when i was nine , i started buying the coolest toy figures in my local department store . 	Translation	Positive	Negative	EmotionRationale
yes , there is . 	yes , there is .	1	-1	 yes[0] there[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one incredible good reason . 	one incredible good reason .	2	-1	 one[0] incredible[0] good[1] reason[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his name is frank langella . 	his name is frank langella .	1	-1	 his[0] name[0] is[0] frank[0] langella[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
langella has always been one of the underrated actors of hollywood , appearing in countless films over the years . 	langella has always been one of the underrated actors of hollywood , appearing in countless films over the years .	1	-1	 langella[0] has[0] always[0] been[0] one[0] of[0] the[0] underrated[0] actors[0] of[0] hollywood[0] appearing[0] in[0] countless[0] films[0] over[0] the[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here he plays skeletor , the villain of the piece . 	here he plays skeletor , the villain of the piece .	2	-3	 here[0] he[0] plays[1] skeletor[0] the[0] villain[-2] of[0] the[0] piece[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
dressed in opulent black velvet robes and bearing a skull for a face , he is one part darth vader , one part emperor and two parts grim reaper . 	dressed in opulent black velvet robes and bearing a skull for a face , he is one part darth vader , one part emperor and two parts grim reaper .	1	-3	 dressed[0] in[0] opulent[0] black[0] velvet[0] robes[0] and[0] bearing[0] a[0] skull[0] for[0] a[0] face[0] he[0] is[0] one[0] part[0] darth[0] vader[0] one[0] part[0] emperor[0] and[0] two[0] parts[0] grim[-2] reaper[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
given this character , langella falls right into it with style and precision . 	given this character , langella falls right into it with style and precision .	1	-1	 given[0] this[0] character[0] langella[0] falls[0] right[0] into[0] it[0] with[0] style[0] and[0] precision[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
skeletor is believable , interesting and manages to tread the fine line between being a homage to the past and startlingly original in his own right . 	skeletor is believable , interesting and manages to tread the fine line between being a homage to the past and startlingly original in his own right .	3	-2	 skeletor[0] is[0] believable[0] interesting[1] and[0] manages[0] to[0] tread[0] the[0] fine[2] line[0] between[0] being[0] a[0] homage[0] to[0] the[0] past[0] and[0] startlingly[-1] original[0] in[0] his[0] own[0] right[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
masters of the universe . 	masters of the universe .	1	-1	 masters[0] of[0] the[0] universe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i remember loving it when i was eleven . 	i remember loving it when i was eleven .	4	-1	 i[0] remember[0] loving[3] it[0] when[0] i[0] was[0] eleven[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
at twenty one it's difficult to see why . 	at twenty one it's difficult to see why .	1	-2	 at[0] twenty[0] one[0] it's[0] difficult[-1] to[0] see[0] why[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but , as i said , it is blessed with a superlative villain who makes the entire thing worth the tedium of the remainder . 	but , as i said , it is blessed with a superlative villain who makes the entire thing worth the tedium of the remainder .	4	-3	 but[0] as[0] i[0] said[0] it[0] is[0] blessed[1] with[0] a[0] superlative[3] villain[-2] who[0] makes[0] the[0] entire[0] thing[0] worth[0] the[0] tedium[0] of[0] the[0] remainder[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
besides , this year marks the film's 10th anniversary . 	besides , this year marks the film's 10th anniversary .	1	-1	 besides[0] this[0] year[0] marks[0] the[0] film's[0] 10th[0] anniversary[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
watch it with some friends for a good laugh and celebrate . 	watch it with some friends for a good laugh and celebrate .	2	-1	 watch[0] it[0] with[0] some[0] friends[1][-1 LastWordBoosterStrength] for[0] a[0] good[1] laugh[1] and[0] celebrate[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
