the blues brothers was a wonderful film , a hilarious comedy packed with good music . 	Translation	Positive	Negative	EmotionRationale
finally , there's buster ( j . 	finally , there's buster ( j .	1	-1	 finally[0] there's[0] buster[0] j[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
evan bonifant ) , a ten year old orphan who tags along with elwood and eventually joins the band . 	evan bonifant ) , a ten year old orphan who tags along with elwood and eventually joins the band .	1	-2	 evan[0] bonifant[0] a[0] ten[0] year[0] old[0] orphan[-1] who[0] tags[0] along[0] with[0] elwood[0] and[0] eventually[0] joins[0] the[0] band[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plotting of the film is hardly original . . . it 	the plotting of the film is hardly original .<br> .<br> .<br> it	1	-1	 the[0] plotting[0] of[0] the[0] film[0] is[0] hardly[0] original[0] [[Sentence=-1,1=word max, 1-5]] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
seems to be almost a clone of the original . 	seems to be almost a clone of the original .	1	-1	 seems[0] to[0] be[0] almost[0] a[0] clone[0] of[0] the[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
elwood has to go to reluctantly retrieve each member of the band , they then travel , while being pursued by the police , and perform at several odd stops until they finally reach the big concert finale . 	elwood has to go to reluctantly retrieve each member of the band , they then travel , while being pursued by the police , and perform at several odd stops until they finally reach the big concert finale .	1	-2	 elwood[0] has[0] to[0] go[0] to[0] reluctantly[-1] retrieve[0] each[0] member[0] of[0] the[0] band[0] they[0] then[0] travel[0] while[0] being[0] pursued[0] by[0] the[0] police[0] and[0] perform[0] at[0] several[0] odd[0] stops[0] until[0] they[0] finally[0] reach[0] the[0] big[0] concert[0] finale[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the first film had neo-nazis as the random element , this time around , the russian mafia and a militia group fill their role . 	the first film had neo-nazis as the random element , this time around , the russian mafia and a militia group fill their role .	1	-2	 the[0] first[0] film[0] had[0] neo[0] nazis[-1] as[0] the[0] random[0] element[0] this[0] time[0] around[0] the[0] russian[0] mafia[0] and[0] a[0] militia[0] group[0] fill[0] their[0] role[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact , the duplication of the plot is so ridiculously complete that certain scenes are practically identical to the original . 	in fact , the duplication of the plot is so ridiculously complete that certain scenes are practically identical to the original .	1	-3	 in[0] fact[0] the[0] duplication[0] of[0] the[0] plot[0] is[0] so[0] ridiculously[-2] complete[0] that[0] certain[0] scenes[0] are[0] practically[0] identical[0] to[0] the[0] original[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
remember the classic performance at country bob's ( where they like both types of music : country and western ) from the first movie ? 	remember the classic performance at country bob's ( where they like both types of music : country and western ) from the first movie ?	2	-1	 remember[0] the[0] classic[0] performance[0] at[0] country[0] bob's[0] where[0] they[0] like[1] both[0] types[0] of[0] music[0] country[0] and[0] western[0] from[0] the[0] first[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
well , this movie has a performance at a country fair , where the band is expected to play bluegrass music . 	well , this movie has a performance at a country fair , where the band is expected to play bluegrass music .	1	-1	 well[0] this[0] movie[0] has[0] a[0] performance[0] at[0] a[0] country[0] fair[0] where[0] the[0] band[0] is[0] expected[0] to[0] play[0] bluegrass[0] music[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's the massive police car pileup , although this time the gag falls completely flat . 	there's the massive police car pileup , although this time the gag falls completely flat .	1	-1	 there's[0] the[0] massive[0] police[0] car[0] pileup[0] although[0] this[0] time[0] the[0] gag[0] falls[0] completely[0] flat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's even an exact replica of the conversion scene in the church of reverend cleophus ( james brown ) . 	there's even an exact replica of the conversion scene in the church of reverend cleophus ( james brown ) .	1	-1	 there's[0] even[0] an[0] exact[0] replica[0] of[0] the[0] conversion[0] scene[0] in[0] the[0] church[0] of[0] reverend[0] cleophus[0] james[0] brown[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are plenty of recurring characters too . 	there are plenty of recurring characters too .	1	-1	 there[0] are[0] plenty[0] of[0] recurring[0] characters[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in addition to mother stigmata and reverend cleophus , aretha franklin reprises her role as mrs . murphy . 	in addition to mother stigmata and reverend cleophus , aretha franklin reprises her role as mrs .<br> murphy .	1	-1	 in[0] addition[0] to[0] mother[0] stigmata[0] and[0] reverend[0] cleophus[0] aretha[0] franklin[0] reprises[0] her[0] role[0] as[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] murphy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
frank oz , a prison guard in the first film , makes an appearance here as the prison warden . 	frank oz , a prison guard in the first film , makes an appearance here as the prison warden .	1	-2	 frank[0] oz[0] a[0] prison[-1] guard[0] in[0] the[0] first[0] film[0] makes[0] an[0] appearance[0] here[0] as[0] the[0] prison[-1] warden[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as the stars , the new blues brothers don't live up to their legacy . 	as the stars , the new blues brothers don't live up to their legacy .	1	-1	 as[0] the[0] stars[0] the[0] new[0] blues[0] brothers[0] don't[0] live[0] up[0] to[0] their[0] legacy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
aykroyd is more loquacious , yet much flatter as elwood . 	aykroyd is more loquacious , yet much flatter as elwood .	1	-1	 aykroyd[0] is[0] more[0] loquacious[0] yet[0] much[0] flatter[0] as[0] elwood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
john goodman barely has a character as mighty mack . 	john goodman barely has a character as mighty mack .	1	-1	 john[0] goodman[0] barely[0] has[0] a[0] character[0] as[0] mighty[0] mack[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
joe morton has the deepest character , but not a terribly interesting one , as cab . 	joe morton has the deepest character , but not a terribly interesting one , as cab .	4	-1	 joe[0] morton[0] has[0] the[0] deepest[0] character[0] but[0] not[0] a[0] terribly[-3][NegatedDueToPreviousWord] interesting[1] one[0] as[0] cab[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
and what's the deal with the orphan ? 	and what's the deal with the orphan ?	1	-2	 and[0] what's[0] the[0] deal[0] with[0] the[0] orphan[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it plays like a desperate gimmick that doesn't mesh at all with the rest of the film . 	it plays like a desperate gimmick that doesn't mesh at all with the rest of the film .	2	-3	 it[0] plays[1] like[1] a[0] desperate[-2] gimmick[0] that[0] doesn't[0] mesh[0] at[0] all[0] with[0] the[0] rest[0] of[0] the[0] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
at least bonifant isn't as precocious as he could have been in the role . 	at least bonifant isn't as precocious as he could have been in the role .	1	-1	 at[0] least[0] bonifant[0] isn't[0] as[0] precocious[0] as[0] he[0] could[0] have[0] been[0] in[0] the[0] role[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the true star , and the only saving grace , of the film is the music . 	but the true star , and the only saving grace , of the film is the music .	3	-1	 but[0] the[0] true[1] star[0] and[0] the[0] only[0] saving[0] grace[2] of[0] the[0] film[0] is[0] the[0] music[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and the film is packed with it ( even during and after the ending credits ) . 	and the film is packed with it ( even during and after the ending credits ) .	1	-1	 and[0] the[0] film[0] is[0] packed[0] with[0] it[0] even[0] during[0] and[0] after[0] the[0] ending[0] credits[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although there are no brilliant mergers of comedy and song as in the original's rawhide/stand by your man medley , the music is very much enjoyable . 	although there are no brilliant mergers of comedy and song as in the original's rawhide/stand by your man medley , the music is very much enjoyable .	3	-1	 although[0] there[0] are[0] no[0] brilliant[1] mergers[0] of[0] comedy[0] and[0] song[0] as[0] in[0] the[0] original's[0] rawhide/stand[0] by[0] your[0] man[0] medley[0] the[0] music[0] is[0] very[0] much[0] enjoyable[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
to top it off , the film is packed to the gills with cameo musician appearances . 	to top it off , the film is packed to the gills with cameo musician appearances .	1	-1	 to[0] top[0] it[0] off[0] the[0] film[0] is[0] packed[0] to[0] the[0] gills[0] with[0] cameo[0] musician[0] appearances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
b . b . king , blues traveler , eric clapton , travis tritt , wilson pickett , erykah badu , bo diddley and steve winwood are just a sampling of the multitude of stars that make an appearance here and there . 	b .<br> b .<br> king , blues traveler , eric clapton , travis tritt , wilson picket , erykah badu , bo diddley and steve winwood are just a sampling of the multitude of stars that make an appearance here and there .	1	-1	 b[0] [[Sentence=-1,1=word max, 1-5]] b[0] [[Sentence=-1,1=word max, 1-5]] king[0] blues[0] traveler[0] eric[0] clapton[0] travis[0] tritt[0] wilson[0] pickett/picket[0] erykah[0] badu[0] bo[0] diddley[0] and[0] steve[0] winwood[0] are[0] just[0] a[0] sampling[0] of[0] the[0] multitude[0] of[0] stars[0] that[0] make[0] an[0] appearance[0] here[0] and[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , the music pauses here and there to allow in the familiar plot . 	unfortunately , the music pauses here and there to allow in the familiar plot .	1	-2	 unfortunately[-1] the[0] music[0] pauses[0] here[0] and[0] there[0] to[0] allow[0] in[0] the[0] familiar[0] plot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if simply copying the original blues brothers wasn't bad enough , writers aykroyd and john landis dumb it down , removing any memorable characters , and replacing them with flashy , but unbelievable , magical gimmicks . 	if simply copying the original blues brothers wasn't bad enough , writers aykroyd and john landis dumb it down , removing any memorable characters , and replacing them with flashy , but unbelievable , magical gimmicks .	1	-2	 if[0] simply[0] copying[0] the[0] original[0] blues[0] brothers[0] wasn't[0] bad[-1] enough[0] writers[0] aykroyd[0] and[0] john[0] landis[0] dumb[-1] it[0] down[0] removing[0] any[0] memorable[0] characters[0] and[0] replacing[0] them[0] with[0] flashy[0] but[0] unbelievable[-1] magical[0] gimmicks[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's a shame . 	it's a shame .	1	-3	 it's[0] a[0] shame[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
buy the soundtrack and avoid the film . 	buy the soundtrack and avoid the film .	1	-2	 buy[0] the[0] soundtrack[0] and[0] avoid[-1] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
better yet , rewatch the original . . . you'll 	better yet , rewatch the original .<br> .<br> .<br> you'll	1	-1	 better[0] yet[0] rewatch[0] the[0] original[0] [[Sentence=-1,1=word max, 1-5]] you'll[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
have a much better time . 	have a much better time .	1	-1	 have[0] a[0] much[0] better[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
