1 . he doesn't have a hard-to-decipher accent , 2 . he doesn't always speak in a monotone , and 3 . 	Translation	Positive	Negative	EmotionRationale
during this sequence , our big burly hero proves that he's also a sensitive guy by risking his life to save a little girl and her dog ( yes , the dog lives ) from being broiled alive . 	during this sequence , our big burly hero proves that he's also a sensitive guy by risking his life to save a little girl and her dog ( yes , the dog lives ) from being broiled alive .	3	-2	 during[0] this[0] sequence[0] our[0] big[0] burly[0] hero[2] proves[0] that[0] he's[0] also[0] a[0] sensitive[0] guy[0] by[0] risking[-1] his[0] life[0] to[0] save[1] a[0] little[0] girl[0] and[0] her[0] dog[0] yes[0] the[0] dog[0] lives[0] from[0] being[0] broiled[0] alive[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
flash-forward a year . 	flash-forward a year .	1	-1	 flash[0] forward[0] a[0] year[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now , our big burly hero is taking over as chief of his smokejumpers association , replacing outgoing honcho wynt perkins ( real actor scott glenn ) . 	now , our big burly hero is taking over as chief of his smokejumpers association , replacing outgoing honcho wynt perkins ( real actor scot glen ) .	3	-1	 now[0] our[0] big[0] burly[0] hero[2] is[0] taking[0] over[0] as[0] chief[0] of[0] his[0] smokejumpers[0] association[0] replacing[0] outgoing[0] honcho[0] wynt[0] perkins[0] real[0] actor[0] scott/scot[0] glenn/glen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but this day , our big burly hero's first in charge , isn't going to be business-as-usual . 	but this day , our big burly hero's first in charge , isn't going to be business-as-usual .	3	-2	 but[0] this[0] day[0] our[0] big[0] burly[0] hero's[2] first[0] in[0] charge[-1] isn't[0] going[0] to[0] be[0] business[0] as[0] usual[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
a group of nasty escaped criminals have set a wyoming forest alight to aid their flight to freedom . 	a group of nasty escaped criminals have set a wyoming forest alight to aid their flight to freedom .	1	-3	 a[0] group[0] of[0] nasty[-2] escaped[0] criminals[-1] have[0] set[0] a[0] wyoming[0] forest[0] alight[0] to[0] aid[0] their[0] flight[0] to[0] freedom[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
led by randy earl shaye ( william forsythe ) , the sadistic creep who must be killed twice to really die , they pose as canadian firefighters who somehow got lost across the border . 	led by randy earl shaye ( william forsythe ) , the sadistic creep who must be killed twice to really die , they pose as canadian firefighters who somehow got lost across the border .	1	-4	 led[0] by[0] randy[0] earl[0] shaye[0] william[0] forsythe[0] the[0] sadistic[0] creep[0] who[0] must[0] be[0] killed[-3] twice[0] to[0] really[0] die[0] they[0] pose[0] as[0] canadian[0] firefighters[0] who[0] somehow[0] got[0] lost[0] across[0] the[0] border[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
along the way , they meet and take hostage the damsel in distress ( suzy amis ) . 	along the way , they meet and take hostage the damsel in distress ( suzy amis ) .	1	-3	 along[0] the[0] way[0] they[0] meet[0] and[0] take[0] hostage[0] the[0] damsel[0] in[0] distress[-2] suzy[0] amis[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
eventually , our big burly hero is placed in a position where he has to fight the fire , rescue the damsel in distress , defeat the sadistic creep who must be killed twice to really die , and restore order to the galaxy . 	eventually , our big burly hero is placed in a position where he has to fight the fire , rescue the damsel in distress , defeat the sadistic creep who must be killed twice to really die , and restore order to the galaxy .	3	-4	 eventually[0] our[0] big[0] burly[0] hero[2] is[0] placed[0] in[0] a[0] position[0] where[0] he[0] has[0] to[0] fight[-2] the[0] fire[0] rescue[0] the[0] damsel[0] in[0] distress[-2] defeat[0] the[0] sadistic[0] creep[0] who[0] must[0] be[0] killed[-3] twice[0] to[0] really[0] die[0] and[0] restore[0] order[0] to[0] the[0] galaxy[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
firestorm's director , dean semler , is a former cinematographer ( he won an academy award for his work on dances with wolves ) , so it's no surprise that the film looks good . 	firestorm's director , dean semler , is a former cinematographer ( he won an academy award for his work on dances with wolves ) , so it's no surprise that the film looks good .	2	-1	 firestorm's[0] director[0] dean[0] semler[0] is[0] a[0] former[0] cinematographer[0] he[0] won[0] an[0] academy[0] award[0] for[0] his[0] work[0] on[0] dances[0] with[0] wolves[0] so[0] it's[0] no[0] surprise[0] that[0] the[0] film[0] looks[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately , that's firestorm's lone asset , and it falters near the end , when computer-generated special effects fill up the screen . 	unfortunately , that's firestorm's lone asset , and it falters near the end , when computer-generated special effects fill up the screen .	2	-2	 unfortunately[-1] that's[0] firestorm's[0] lone[-1] asset[0] and[0] it[0] falters[-1] near[0] the[0] end[0] when[0] computer[0] generated[0] special[1] effects[0] fill[0] up[0] the[0] screen[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
these are of about equal quality to what you might observe on a nintendo 64 video game . 	these are of about equal quality to what you might observe on a nintendo 64 video game .	1	-1	 these[0] are[0] of[0] about[0] equal[0] quality[0] to[0] what[0] you[0] might[0] observe[0] on[0] a[0] nintendo[0] 64[0] video[0] game[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the action sequences , which include a variety of chases , are occasionally interesting , but never invigorating . 	the action sequences , which include a variety of chases , are occasionally interesting , but never invigorating .	2	-2	 the[0] action[0] sequences[0] which[0] include[0] a[0] variety[0] of[0] chases[-1] are[0] occasionally[0] interesting[1] but[0] never[0] invigorating[1][NegatedDueToPreviousWord] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
everyone , including long , appears to be going through the motions . 	everyone , including long , appears to be going through the motions .	1	-1	 everyone[0] including[0] long[0] appears[0] to[0] be[0] going[0] through[0] the[0] motions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there isn't a memorable performance to be found from beginning to end , unless you count the forest fire , which generates some heat . 	there isn't a memorable performance to be found from beginning to end , unless you count the forest fire , which generates some heat .	1	-1	 there[0] isn't[0] a[0] memorable[0] performance[0] to[0] be[0] found[0] from[0] beginning[0] to[0] end[0] unless[0] you[0] count[0] the[0] forest[0] fire[0] which[0] generates[0] some[0] heat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the sadistic creep who must be killed twice to really die , william forsythe lacks panache . 	as the sadistic creep who must be killed twice to really die , william forsythe lacks panache .	1	-4	 as[0] the[0] sadistic[0] creep[0] who[0] must[0] be[0] killed[-3] twice[0] to[0] really[0] die[0] william[0] forsythe[0] lacks[0] panache[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he's worse than a generic bad guy ; he's a boring generic bad guy who doesn't have any snappy one-liners to hurl at our big burly hero . 	he's worse than a generic bad guy ; he's a boring generic bad guy who doesn't have any snappy one-liners to hurl at our big burly hero .	3	-3	 he's[0] worse[-2] than[0] a[0] generic[0] bad[-1] guy[0] he's[0] a[0] boring[-1] generic[0] bad[-1] guy[0] who[0] doesn't[0] have[0] any[0] snappy[0] one[0] liners[0] to[0] hurl[0] at[0] our[0] big[0] burly[0] hero[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
my advice to scott glenn ( absolute power ) and suzy amis ( titanic ) is to accidentally forget this film the next time they're making out a resume . 	my advice to scot glen ( absolute power ) and suzy amis ( titanic ) is to accidentally forget this film the next time they're making out a resume .	1	-2	 my[0] advice[0] to[0] scott/scot[0] glenn/glen[0] absolute[0] power[0] and[0] suzy[0] amis[0] titanic[0] is[0] to[0] accidentally[-1] forget[0] this[0] film[0] the[0] next[0] time[0] they're[0] making[0] out[0] a[0] resume[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's some small comfort in knowing this early in the year that i already have one entry for my bottom 10 list . 	there's some small comfort in knowing this early in the year that i already have one entry for my bottom 10 list .	2	-1	 there's[0] some[0] small[0] comfort[1] in[0] knowing[0] this[0] early[0] in[0] the[0] year[0] that[0] i[0] already[0] have[0] one[0] entry[0] for[0] my[0] bottom[0] 10[0] list[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( at least i hope there aren't 10 worse films than this . ) 	 ( at least i hope there aren't 10 worse films than this .<br> )	3	-1	 at[0] least[0] i[0] hope[2] there[0] aren't[0] 10[0] worse[-2][NegatedDueToPreviousWord] films[0] than[0] this[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and i know i wasn't the only one who really disliked this movie . 	and i know i wasn't the only one who really disliked this movie .	1	-4	 and[0] i[0] know[0] i[0] wasn't[0] the[0] only[0] one[0] who[0] really[0] disliked[-2][-1 LastWordBoosterStrength] this[0] movie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as the audience was filing out of the screening , i loitered in the theater lobby to catch a few comments . 	as the audience was filing out of the screening , i loitered in the theater lobby to catch a few comments .	1	-1	 as[0] the[0] audience[0] was[0] filing[0] out[0] of[0] the[0] screening[0] i[0] loitered[0] in[0] the[0] theater[0] lobby[0] to[0] catch[0] a[0] few[0] comments[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the general consensus seemed to be that , although the movie sucked , the promotional key ring was cool . 	the general consensus seemed to be that , although the movie sucked , the promotional key ring was cool .	2	-2	 the[0] general[0] consensus[0] seemed[0] to[0] be[0] that[0] although[0] the[0] movie[0] sucked[-1] the[0] promotional[0] key[0] ring[0] was[0] cool[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the problem is that fox won't be giving out key rings to regular movie-goers , so that nixes any reason to see firestorm . 	the problem is that fox won't be giving out key rings to regular movie-goers , so that nixes any reason to see firestorm .	1	-2	 the[0] problem[-1] is[0] that[0] fox[0] won't[0] be[0] giving[0] out[0] key[0] rings[0] to[0] regular[0] movie[0] goers[0] so[0] that[0] nixes[0] any[0] reason[0] to[0] see[0] firestorm[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
