call " hush " " stop or my mom will kill . " 	Translation	Positive	Negative	EmotionRationale
when she delves into martha's dark side , predictable cliches -- chain-smoking , staring in mirrors , praying in a confessional to a priest who isn't there , poking a hole in helen's diaphragm so she'll become pregnant ( and she does ) -- abound , but it's moderately entertaining junk because lange is such an interesting actress to watch . 	when she delves into martha's dark side , predictable cliches - chain-smoking , staring in mirrors , praying in a confessional to a priest who isn't there , poking a hole in helen's diaphragm so she'll become pregnant ( and she does ) - abound , but it's moderately entertaining junk because lange is such an interesting actress to watch .	2	-2	 when[0] she[0] delves[0] into[0] martha's[0] dark[0] side[0] predictable[0] cliches[0] chain[0] smoking[0] staring[0] in[0] mirrors[0] praying[0] in[0] a[0] confessional[-1] to[0] a[0] priest[0] who[0] isn't[0] there[0] poking[0] a[0] hole[0] in[0] helen's[0] diaphragm[0] so[0] she'll[0] become[0] pregnant[0] and[0] she[0] does[0] abound[0] but[0] it's[0] moderately[0] entertaining[0] junk[-1] because[0] lange[0] is[0] such[0] an[0] interesting[1] actress[0] to[0] watch[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
veteran performer nina foch is smart and tart as jackson's wheelchair-bound paternal grandmother . 	veteran performer nina foch is smart and tart as jackson's wheelchair-bound paternal grandmother .	2	-1	 veteran[0] performer[0] nina[0] foch[0] is[0] smart[1] and[0] tart[0] as[0] jackson's[0] wheelchair[0] bound[0] paternal[0] grandmother[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the rest of the cast looks ill and uncomfortable , especially paltrow . 	the rest of the cast looks ill and uncomfortable , especially paltrow .	1	-3	 the[0] rest[0] of[0] the[0] cast[0] looks[0] ill[-1] and[0] uncomfortable[-2] especially[0] paltrow[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but can you really blame them ? 	but can you really blame them ?	1	-3	 but[0] can[0] you[0] really[0] blame[-1][-1 LastWordBoosterStrength] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the character relationships in " hush " hold a certain amount of promise , at least until their psychological impact is blown out of the water by sheer stupidity . 	the character relationships in " hush " hold a certain amount of promise , at least until their psychological impact is blown out of the water by sheer stupidity .	2	-2	 the[0] character[0] relationships[0] in[0] hush[0] hold[0] a[0] certain[0] amount[0] of[0] promise[1] at[0] least[0] until[0] their[0] psychological[0] impact[0] is[0] blown[0] out[0] of[0] the[0] water[0] by[0] sheer[0] stupidity[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
idiotic situations ( martha yells at a nearby horse so it will bolt up and knock helen over ) compliment idiotic dialogue ( " why did you yell ? " 	idiotic situations ( martha yells at a nearby horse so it will bolt up and knock helen over ) compliment idiotic dialogue ( " why did you yell ?<br> "	2	-3	 idiotic[-2] situations[0] martha[0] yells[0] at[0] a[0] nearby[0] horse[0] so[0] it[0] will[0] bolt[-1] up[0] and[0] knock[0] helen[0] over[0] compliment[1] idiotic[-2] dialogue[0] why[0] did[0] you[0] yell[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
helen yells back at martha ) , and the film takes the form of one of the shoddier fill in the blank-from-hell flicks ever made . 	helen yells back at martha ) , and the film takes the form of one of the shoddier fill in the blank-from-hell flicks ever made .	1	-2	 helen[0] yells[0] back[0] at[0] martha[0] and[0] the[0] film[0] takes[0] the[0] form[0] of[0] one[0] of[0] the[0] shoddier[0] fill[0] in[0] the[0] blank[0] from[0] hell[-1] flicks[0] ever[0] made[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you can see through a great deal of martha's actions and lies from their conception ; why do people who have known this woman for years longer than we have never figure things out ? 	you can see through a great deal of martha's actions and lies from their conception ; why do people who have known this woman for years longer than we have never figure things out ?	3	-3	 you[0] can[0] see[0] through[0] a[0] great[2] deal[0] of[0] martha's[0] actions[0] and[0] lies[-2] from[0] their[0] conception[0] why[0] do[0] people[0] who[0] have[0] known[0] this[0] woman[0] for[0] years[0] longer[0] than[0] we[0] have[0] never[0] figure[0] things[0] out[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
does nobody communicate or read the newspaper in this town ? 	does nobody communicate or read the newspaper in this town ?	1	-1	 does[0] nobody[0] communicate[0] or[0] read[0] the[0] newspaper[0] in[0] this[0] town[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if any of her potential victims thought , acted or behaved like normal people , " hush " would be a really short movie . 	if any of her potential victims thought , acted or behaved like normal people , " hush " would be a really short movie .	2	-3	 if[0] any[0] of[0] her[0] potential[0] victims[-2] thought[0] acted[0] or[0] behaved[0] like[1] normal[0] people[0] hush[0] would[0] be[0] a[0] really[0] short[0] movie[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and then there's the climax and ending , which abruptly come when helen starts having contractions after eating some pound cake spiked with a labor-inducing drug normally used on horses . 	and then there's the climax and ending , which abruptly come when helen starts having contractions after eating some pound cake spiked with a labor-inducing drug normally used on horses .	1	-1	 and[0] then[0] there's[0] the[0] climax[0] and[0] ending[0] which[0] abruptly[0] come[0] when[0] helen[0] starts[0] having[0] contractions[0] after[0] eating[0] some[0] pound[0] cake[0] spiked[0] with[0] a[0] labor[0] inducing[0] drug[0] normally[0] used[0] on[0] horses[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after a really weird chase scene , martha calmly knits in a rocking chair while forcing helen to give birth in a bed all by herself . 	after a really weird chase scene , martha calmly knits in a rocking chair while forcing helen to give birth in a bed all by herself .	2	-3	 after[0] a[0] really[0] weird[-1][-1 LastWordBoosterStrength] chase[-1] scene[0] martha[0] calmly[1] knits[0] in[0] a[0] rocking[0] chair[0] while[0] forcing[0] helen[0] to[0] give[0] birth[0] in[0] a[0] bed[0] all[0] by[0] herself[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i won't spoil what happens next except to say that it's contradictory , illogical and ( probably , since i'm no doctor ) medically impossible . 	i won't spoil what happens next except to say that it's contradictory , illogical and ( probably , since i'm no doctor ) medically impossible .	2	-2	 i[0] won't[0] spoil[-1][NegatedDueToPreviousWord] what[0] happens[0] next[0] except[0] to[0] say[0] that[0] it's[0] contradictory[-1] illogical[-1] and[0] probably[0] since[0] i'm[0] no[0] doctor[0] medically[0] impossible[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the final scene offers no closure , no resolution , no confrontation whatsoever . 	the final scene offers no closure , no resolution , no confrontation whatsoever .	1	-3	 the[0] final[0] scene[0] offers[0] no[0] closure[0] no[0] resolution[0] no[0] confrontation[-2] whatsoever[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's just there , dangling amidst silent displeasure . 	it's just there , dangling amidst silent displeasure .	1	-3	 it's[0] just[0] there[0] dangling[0] amidst[0] silent[0] displeasure[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
no one should like this ending , regardless of their feelings on the preceding material . 	no one should like this ending , regardless of their feelings on the preceding material .	1	-2	 no[0] one[0] should[0] like[1][-1 LastWordBoosterStrength] this[0] ending[0] regardless[-1] of[0] their[0] feelings[0] on[0] the[0] preceding[0] material[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
perhaps " hush " 's title is a plea to silence its audience's likely bitter word of mouth while exiting the theater . 	perhaps " hush " 's title is a plea to silence its audience's likely bitter word of mouth while exiting the theater .	1	-2	 perhaps[0] hush[0] 's[0] title[0] is[0] a[0] plea[0] to[0] silence[0] its[0] audience's[0] likely[0] bitter[-1] word[0] of[0] mouth[0] while[0] exiting[0] the[0] theater[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
