this is a film that i was inclined to like at the outset : the two main characters had been involved with the fine television drama st . 	Translation	Positive	Negative	EmotionRationale
good music to be sure , but it doesn't replace the dialogue for setting the mood or telling the story--it makes the film somewhat minimalistic , a technique i rarely admire . 	good music to be sure , but it doesn't replace the dialogue for setting the mood or telling the story-it makes the film somewhat minimalistic , a technique i rarely admire .	3	-1	 good[1] music[0] to[0] be[0] sure[0] but[0] it[0] doesn't[0] replace[0] the[0] dialogue[0] for[0] setting[0] the[0] mood[0] or[0] telling[0] the[0] story[0] it[0] makes[0] the[0] film[0] somewhat[0] minimalistic[0] a[0] technique[0] i[0] rarely[0] admire[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
suddenly their friendship is interrupted by morse's introduction to a fellow teacher of arkin's , a woman arkin has long admired from afar , but it too reticent to approach . 	suddenly their friendship is interrupted by morse's introduction to a fellow teacher of arkin's , a woman arkin has long admired from afar , but it too reticent to approach .	3	-2	 suddenly[0] their[0] friendship[1] is[0] interrupted[-1] by[0] morse's[0] introduction[0] to[0] a[0] fellow[0] teacher[0] of[0] arkin's[0] a[0] woman[0] arkin[0] has[0] long[0] admired[2] from[0] afar[0] but[0] it[0] too[0] reticent[0] to[0] approach[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it appears that she begins to admire morse ( who enjoys here attentions , but isn't sure what to do about it--she doesn't realize that he is a drifter , and knows nothing about his past ) , and this causes friction between arkin and almost everyone else . 	it appears that she begins to admire morse ( who enjoys here attentions , but isn't sure what to do about it-she doesn't realize that he is a drifter , and knows nothing about his past ) , and this causes friction between arkin and almost everyone else .	3	-1	 it[0] appears[0] that[0] she[0] begins[0] to[0] admire[2] morse[0] who[0] enjoys[2] here[0] attentions[0] but[0] isn't[0] sure[0] what[0] to[0] do[0] about[0] it[0] she[0] doesn't[0] realize[0] that[0] he[0] is[0] a[0] drifter[0] and[0] knows[0] nothing[0] about[0] his[0] past[0] and[0] this[0] causes[0] friction[0] between[0] arkin[0] and[0] almost[0] everyone[0] else[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
until then , i had only a vague dissatisfaction with the film . 	until then , i had only a vague dissatisfaction with the film .	1	-2	 until[0] then[0] i[0] had[0] only[0] a[0] vague[-1] dissatisfaction[-1] with[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the conclusion is where it begins to evolve into a full-fledged failure . 	the conclusion is where it begins to evolve into a full-fledged failure .	1	-3	 the[0] conclusion[0] is[0] where[0] it[0] begins[0] to[0] evolve[0] into[0] a[0] full[0] fledged[0] failure[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the woman , at least to me , appeared to be fairly shallow ; i didn't realize how shallow until her final scene with arkin , where she reveals that she has been trying to make arkin jealous by her attentions to morse . 	the woman , at least to me , appeared to be fairly shallow ; i didn't realize how shallow until her final scene with arkin , where she reveals that she has been trying to make arkin jealous by her attentions to morse .	1	-3	 the[0] woman[0] at[0] least[0] to[0] me[0] appeared[0] to[0] be[0] fairly[0] shallow[-1] i[0] didn't[0] realize[0] how[0] shallow[-1] until[0] her[0] final[0] scene[0] with[0] arkin[0] where[0] she[0] reveals[0] that[0] she[0] has[0] been[0] trying[0] to[0] make[0] arkin[0] jealous[-2] by[0] her[0] attentions[0] to[0] morse[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
somehow , this is made to appear as if it is arkin's fault , and it is left with him feeling somehow victorious that he's gotten such a find of girlfriend . 	somehow , this is made to appear as if it is arkin's fault , and it is left with him feeling somehow victorious that he's gotten such a find of girlfriend .	1	-2	 somehow[0] this[0] is[0] made[0] to[0] appear[0] as[0] if[0] it[0] is[0] arkin's[0] fault[-1] and[0] it[0] is[0] left[0] with[0] him[0] feeling[0] somehow[0] victorious[0] that[0] he's[0] gotten[0] such[0] a[0] find[0] of[0] girlfriend[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
frankly , dropping her on the spot would have seemed the most civilized action arkin could make ; punching her in the mouth not the least . 	frankly , dropping her on the spot would have seemed the most civilized action arkin could make ; punching her in the mouth not the least .	1	-2	 frankly[0] dropping[0] her[0] on[0] the[0] spot[0] would[0] have[0] seemed[0] the[0] most[0] civilized[0] action[0] arkin[0] could[0] make[0] punching[-1] her[0] in[0] the[0] mouth[0] not[0] the[0] least[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after this , the childish confrontation between morse and arkin at the end seems almost natural . 	after this , the childish confrontation between morse and arkin at the end seems almost natural .	1	-3	 after[0] this[0] the[0] childish[-1] confrontation[-2] between[0] morse[0] and[0] arkin[0] at[0] the[0] end[0] seems[0] almost[0] natural[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if i had to summarize a major gripe , it's that this is a story spread too thin , that creates semi-likable characters at the outset , and then suddenly jerks them into being 16-year-olds at the last moment . 	if i had to summarize a major gripe , it's that this is a story spread too thin , that creates semi-likable characters at the outset , and then suddenly jerks them into being 16-year-olds at the last moment .	1	-3	 if[0] i[0] had[0] to[0] summarize[0] a[0] major[0] gripe[0] it's[0] that[0] this[0] is[0] a[0] story[0] spread[0] too[0] thin[0] that[0] creates[0] semi[0] likable[0] characters[0] at[0] the[0] outset[0] and[0] then[0] suddenly[0] jerks[-2] them[0] into[0] being[0] 16[0] year[0] olds[0] at[0] the[0] last[0] moment[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it might be true-to-life with some people ; but that doesn't mean * i * have to like it . 	it might be true-to-life with some people ; but that doesn't mean * i * have to like it .	2	-1	 it[0] might[0] be[0] true[1] to[0] life[0] with[0] some[0] people[0] but[0] that[0] doesn't[0] mean[0] i[0] have[0] to[0] like[1] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i don't . 	i don't .	1	-1	 i[0] don't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
avoid . 	avoid .	1	-2	 avoid[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
