director luis mandoki's last film was the superb , serious 1994 drama " when a man loves a woman , " but his luck has ultimately run out with his latest picture , " message in a bottle , " which is the worst type of romance , a movie that tugs so relentlessly and violently at the heartstrings that it miraculously manages to dry out your eyes rather than tear them up . 	Translation	Positive	Negative	EmotionRationale
it seems that with such bad luck , he wouldn't want to make another movie set near water , but here he is again with one of the main , and most ridiculous , centerpieces set on a storm-swept sea . 	it seems that with such bad luck , he wouldn't want to make another movie set near water , but here he is again with one of the main , and most ridiculous , centerpieces set on a storm-swept sea .	3	-3	 it[0] seems[0] that[0] with[0] such[0] bad[-1] luck[2] he[0] wouldn't[0] want[0] to[0] make[0] another[0] movie[0] set[0] near[0] water[0] but[0] here[0] he[0] is[0] again[0] with[0] one[0] of[0] the[0] main[0] and[0] most[0] ridiculous[-2] centerpieces[0] set[0] on[0] a[0] storm[-1] swept[0] sea[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the other actors are all , sadly , wasted , including illeana douglas , an underused actress who seems to always get stuck with the " friend " roles , here playing penn's confidante and co-worker at the tribune . 	the other actors are all , sadly , wasted , including illeana douglas , an underused actress who seems to always get stuck with the " friend " roles , here playing penn's confidante and co-worker at the tribune .	2	-2	 the[0] other[0] actors[0] are[0] all[0] sadly[-1] wasted[-1] including[0] illeana[0] douglas[0] an[0] underused[0] actress[0] who[0] seems[0] to[0] always[0] get[0] stuck[0] with[0] the[0] friend[1] roles[0] here[0] playing[1] penn's[0] confidante[0] and[0] co[0] worker[0] at[0] the[0] tribune[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the first half of " message in a bottle " plays like a hum-drum , trite television movie for the lifetime channel , as theresa spends a great deal of time " getting to know " garrett , with dialogue that is not the least bit stimulating or entertaining . 	the first half of " message in a bottle " plays like a hum-drum , trite television movie for the lifetime channel , as theresa spends a great deal of time " getting to know " garret , with dialogue that is not the least bit stimulating or entertaining .	3	-3	 the[0] first[0] half[0] of[0] message[0] in[0] a[0] bottle[0] plays[1] like[1] a[0] hum[0] drum[0] trite[-2] television[0] movie[0] for[0] the[0] lifetime[0] channel[0] as[0] theresa[0] spends[0] a[0] great[2] deal[0] of[0] time[0] getting[0] to[0] know[0] garrett/garret[0] with[0] dialogue[0] that[0] is[0] not[0] the[0] least[0] bit[0] stimulating[0] or[0] entertaining[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
usually , i am the type of person to practically salivate over dialogue-laden sequences since the film is no doubt trying to develop the characters and their relationships , but here it all rang with a resounding falseness since the dialogue felt " written , " and not as if people were really " talking . " 	usually , i am the type of person to practically salivate over dialogue-laden sequences since the film is no doubt trying to develop the characters and their relationships , but here it all rang with a resounding falseness since the dialogue felt " written , " and not as if people were really " talking .<br> "	1	-2	 usually[0] i[0] am[0] the[0] type[0] of[0] person[0] to[0] practically[0] salivate[0] over[0] dialogue[0] laden[0] sequences[0] since[0] the[0] film[0] is[0] no[0] doubt[-1] trying[0] to[0] develop[0] the[0] characters[0] and[0] their[0] relationships[0] but[0] here[0] it[0] all[0] rang[0] with[0] a[0] resounding[0] falseness[0] since[0] the[0] dialogue[0] felt[0] written[0] and[0] not[0] as[0] if[0] people[0] were[0] really[0] talking[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when the main characters of a film have very little of interest to say to each other , and are not particularly interesting themselves , you know immediately that you are in trouble . 	when the main characters of a film have very little of interest to say to each other , and are not particularly interesting themselves , you know immediately that you are in trouble .	2	-2	 when[0] the[0] main[0] characters[0] of[0] a[0] film[0] have[0] very[0] little[0] of[0] interest[1] to[0] say[0] to[0] each[0] other[0] and[0] are[0] not[0] particularly[0] interesting[1][NegatedDueToPreviousWord] themselves[0] you[0] know[0] immediately[0] that[0] you[0] are[0] in[0] trouble[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i swear that while watching " message in a bottle , " i felt as if i had just read the screenplay in its entirety before arriving at the theater ( heck , in actuality i'm not even familiar to the novel this is based on , by nicholas sparks ) . 	i swear that while watching " message in a bottle , " i felt as if i had just read the screenplay in its entirety before arriving at the theater ( heck , in actuality i'm not even familiar to the novel this is based on , by nicholas sparks ) .	1	-2	 i[0] swear[-1] that[0] while[0] watching[0] message[0] in[0] a[0] bottle[0] i[0] felt[0] as[0] if[0] i[0] had[0] just[0] read[0] the[0] screenplay[0] in[0] its[0] entirety[0] before[0] arriving[0] at[0] the[0] theater[0] heck[0] in[0] actuality[0] i'm[0] not[0] even[0] familiar[0] to[0] the[0] novel[0] this[0] is[0] based[0] on[0] by[0] nicholas[0] sparks[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
always one step ahead of the characters , the movie ran so closely and tightly to the constraints of the tried-and-true hollywood melodrama , the film strip often seemed to almost be in danger of tearing . 	always one step ahead of the characters , the movie ran so closely and tightly to the constraints of the tried-and-true hollywood melodrama , the film strip often seemed to almost be in danger of tearing .	2	-2	 always[0] one[0] step[0] ahead[0] of[0] the[0] characters[0] the[0] movie[0] ran[0] so[0] closely[0] and[0] tightly[0] to[0] the[0] constraints[-1] of[0] the[0] tried[0] and[0] true[1] hollywood[0] melodrama[0] the[0] film[0] strip[0] often[0] seemed[0] to[0] almost[0] be[0] in[0] danger[-1] of[0] tearing[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
nobody wins prizes for guessing that garrett will eventually find out theresa's secret , and that several obstacles will come within their ways of living happily ever after . 	nobody wins prizes for guessing that garret will eventually find out theresa's secret , and that several obstacles will come within their ways of living happily ever after .	3	-2	 nobody[0] wins[0] prizes[2] for[0] guessing[0] that[0] garrett/garret[0] will[0] eventually[0] find[0] out[0] theresa's[0] secret[0] and[0] that[0] several[0] obstacles[-1] will[0] come[0] within[0] their[0] ways[0] of[0] living[0] happily[2] ever[0] after[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this same exact problem occurred in last year's very , very similar ( watch this , and you will realize just how similar i mean ) meg ryan-nicolas cage romantic drama , " city of angels . " 	this same exact problem occurred in last year's very , very similar ( watch this , and you will realize just how similar i mean ) meg ryan-nicolas cage romantic drama , " city of angels .<br> "	4	-2	 this[0] same[0] exact[0] problem[-1] occurred[0] in[0] last[0] year's[0] very[0] very[0] similar[0] watch[0] this[0] and[0] you[0] will[0] realize[0] just[0] how[0] similar[0] i[0] mean[0] meg[0] ryan[0] nicolas[0] cage[0] romantic[3] drama[0] city[0] of[0] angels[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
although theresa is deeply touched by the " heartfelt " letter that she finds in the bottle , perhaps the filmakers might have been better off finding a message in a bottle of their own , preferably before filming began . 	although theresa is deeply touched by the " heartfelt " letter that she finds in the bottle , perhaps the filmakers might have been better off finding a message in a bottle of their own , preferably before filming began .	2	-1	 although[0] theresa[0] is[0] deeply[0] touched[0] by[0] the[0] heartfelt[1] letter[0] that[0] she[0] finds[0] in[0] the[0] bottle[0] perhaps[0] the[0] filmakers[0] might[0] have[0] been[0] better[0] off[0] finding[0] a[0] message[0] in[0] a[0] bottle[0] of[0] their[0] own[0] preferably[0] before[0] filming[0] began[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it should have read , " memo to screenwriters : use you brain ! " 	it should have read , " memo to screenwriters : use you brain !<br> "	1	-1	 it[0] should[0] have[0] read[0] memo[0] to[0] screenwriters[0] use[0] you[0] brain[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
