miramax " disinvited " on-line media from press screenings of scream 3 . 	Translation	Positive	Negative	EmotionRationale
with scream 3 , the novelty of ghostface's ever-mutating identity has worn off some , but the character remains conceptually potent . 	with scream 3 , the novelty of ghostface's ever-mutating identity has worn off some , but the character remains conceptually potent .	1	-4	 with[0] scream[-3] 3[0] the[0] novelty[0] of[0] ghostface's[0] ever[0] mutating[0] identity[0] has[0] worn[-1] off[0] some[0] but[0] the[0] character[0] remains[0] conceptually[0] potent[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
conceptually . the execution of ghostface's master plan this time around is creaky , because screenwriter ehren kruger has invented a new mythology for the world of sidney prescott far afield from what we'd come to understand in scream and scream 2 . the movie gets in the silly habit of saying " all bets are off ! " 	conceptually .<br> the execution of ghostface's master plan this time around is creaky , because screenwriter ehren kruger has invented a new mythology for the world of sidney prescott far afield from what we'd come to understand in scream and scream 2 .<br> the movie gets in the silly habit of saying " all bets are off !<br> "	1	-4	 conceptually[0] [[Sentence=-1,1=word max, 1-5]] the[0] execution[0] of[0] ghostface's[0] master[0] plan[0] this[0] time[0] around[0] is[0] creaky[0] because[0] screenwriter[0] ehren[0] kruger[0] has[0] invented[0] a[0] new[0] mythology[0] for[0] the[0] world[0] of[0] sidney[0] prescott[0] far[0] afield[0] from[0] what[0] we'd[0] come[0] to[0] understand[0] in[0] scream[-3] and[0] scream[-3] 2[0] [[Sentence=-4,1=word max, 1-5]] the[0] movie[0] gets[0] in[0] the[0] silly[-1] habit[0] of[0] saying[0] all[0] bets[0] are[0] off[0] [[Sentence=-2,1=word max, 1-5]][[[1,-4 max of sentences]]]
in reference to the " rules " of a trilogy's third act , but there's a difference between rule breaking and cheating . 	in reference to the " rules " of a trilogy's third act , but there's a difference between rule breaking and cheating .	1	-3	 in[0] reference[0] to[0] the[0] rules[0] of[0] a[0] trilogy's[0] third[0] act[0] but[0] there's[0] a[0] difference[0] between[0] rule[0] breaking[0] and[0] cheating[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
with the departure of kevin williamson , who authored the previous screams as well as a tidy outline for scream 3 ( that , for reasons incomprehensible to me , was ignored , save the notion of " stab 3 " ) , kruger needed to be reined in tighter , and by wes craven . 	with the departure of kevin williamson , who authored the previous screams as well as a tidy outline for scream 3 ( that , for reasons incomprehensible to me , was ignored , save the notion of " stab 3 " ) , kruger needed to be reined in tighter , and by wes craven .	2	-4	 with[0] the[0] departure[0] of[0] kevin[0] williamson[0] who[0] authored[0] the[0] previous[0] screams[-3] as[0] well[0] as[0] a[0] tidy[0] outline[0] for[0] scream[-3] 3[0] that[0] for[0] reasons[0] incomprehensible[0] to[0] me[0] was[0] ignored[0] save[1] the[0] notion[0] of[0] stab[-1] 3[0] kruger[0] needed[0] to[0] be[0] reined[0] in[0] tighter[0] and[0] by[0] wes[0] craven[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
craven's direction of scream 3 is lazy in most respects . 	craven's direction of scream 3 is lazy in most respects .	3	-4	 craven's[-1] direction[0] of[0] scream[-3] 3[0] is[0] lazy[-1] in[0] most[0] respects[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
how else to explain the jay and silent bob cameo ( the slacker duo of kevin smith movies ) , akin to seeing mickey mouse pop up in mulan and more distracting than funny . 	how else to explain the jay and silent bob cameo ( the slacker duo of kevin smith movies ) , akin to seeing mickey mouse pop up in mulan and more distracting than funny .	2	-2	 how[0] else[0] to[0] explain[0] the[0] jay[0] and[0] silent[0] bob[0] cameo[0] the[0] slacker[0] duo[0] of[0] kevin[0] smith[0] movies[0] akin[0] to[0] seeing[0] mickey[0] mouse[0] pop[0] up[0] in[0] mulan[0] and[0] more[0] distracting[-1] than[0] funny[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it pains me to write this , but scream 3's comedy is generally laughless , with the exception of well-timed performances by josh pais ( as a police detective possessed of the same personality he had as a persnickety teacher in craven's music of the heart ) , jamie kennedy ( resurrecting film geek randy for the sendoff he was denied in scream 2 ) , and parker posey ( through sheer force of will as a b-actress ) . 	it pains me to write this , but scream 3's comedy is generally laughless , with the exception of well-timed performances by josh pais ( as a police detective possessed of the same personality he had as a persnickety teacher in craven's music of the heart ) , jamie kennedy ( resurrecting film geek randy for the sendoff he was denied in scream 2 ) , and parker posey ( through sheer force of will as a b-actress ) .	2	-4	 it[0] pains[-3] me[0] to[0] write[0] this[0] but[0] scream[-3] 3's[0] comedy[0] is[0] generally[0] laughless[1] with[0] the[0] exception[0] of[0] well[0] timed[0] performances[0] by[0] josh[0] pais[0] as[0] a[0] police[0] detective[0] possessed[0] of[0] the[0] same[0] personality[0] he[0] had[0] as[0] a[0] persnickety[0] teacher[0] in[0] craven's[-1] music[0] of[0] the[0] heart[0] jamie[0] kennedy[0] resurrecting[0] film[0] geek[0] randy[0] for[0] the[0] sendoff[0] he[0] was[0] denied[-1] in[0] scream[-3] 2[0] and[0] parker[0] posey[0] through[0] sheer[0] force[-1] of[0] will[0] as[0] a[0] b[0] actress[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the visuals are much weaker in part three , as well-the occasional sweeping gesture of peter deming's camera is a pale imitation of the stalking steadicam craven gave us twice before . 	the visuals are much weaker in part three , as well-the occasional sweeping gesture of peter deming's camera is a pale imitation of the stalking steadicam craven gave us twice before .	1	-2	 the[0] visuals[0] are[0] much[0] weaker[-1] in[0] part[0] three[0] as[0] well[0] the[0] occasional[0] sweeping[0] gesture[0] of[0] peter[0] deming's[0] camera[0] is[0] a[0] pale[0] imitation[0] of[0] the[0] stalking[0] steadicam[0] craven[-1] gave[0] us[0] twice[0] before[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( aside : in the wake of columbine , craven toned down the violence significantly for scream 3-why the sanctimony , when scream and scream 2 are still readily available on video store shelves ? ) 	 ( aside : in the wake of columbine , craven toned down the violence significantly for scream 3-why the sanctimony , when scream and scream 2 are still readily available on video store shelves ?<br> )	1	-4	 aside[0] in[0] the[0] wake[0] of[0] columbine[0] craven[-1] toned[0] down[0] the[0] violence[-3] significantly[0] for[0] scream[-3] 3[0] why[0] the[0] sanctimony[0] when[0] scream[-3] and[0] scream[-3] 2[0] are[0] still[0] readily[0] available[0] on[0] video[0] store[0] shelves[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
finally , marco beltrami's music cues the suspense too blatantly-do you recall the tense chase at the college radio station in scream 2 ? it's mostly silent . 	finally , marco beltrami's music cues the suspense too blatantly-do you recall the tense chase at the college radio station in scream 2 ?<br> it's mostly silent .	1	-4	 finally[0] marco[0] beltrami's[0] music[0] cues[0] the[0] suspense[0] too[0] blatantly[-1] do[0] you[0] recall[0] the[0] tense[-2] chase[-1] at[0] the[0] college[0] radio[0] station[0] in[0] scream[-3] 2[0] [[Sentence=-4,1=word max, 1-5]] it's[0] mostly[0] silent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
sting notes are a whole lot more effective if they spring from nowhere ; here , they act as the crescendos of an incessantly nerve-jangling score . 	sting notes are a whole lot more effective if they spring from nowhere ; here , they act as the crescendos of an incessantly nerve-jangling score .	1	-2	 sting[-1] notes[0] are[0] a[0] whole[0] lot[0] more[0] effective[0] if[0] they[0] spring[0] from[0] nowhere[0] here[0] they[0] act[0] as[0] the[0] crescendos[0] of[0] an[0] incessantly[0] nerve[0] jangling[0] score[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i look at scream 3 as coming from an alternative universe , the same place that birthed the godfather part iii and superman iii-woefully out of synch with its prequels , scream 3 is a nightmare instead of nightmarish , and will likely put the horror genre back in mothballs . 	i look at scream 3 as coming from an alternative universe , the same place that birthed the godfather part i and superman i-woefully out of synch with its prequels , scream 3 is a nightmare instead of nightmarish , and will likely put the horror genre back in mothballs .	2	-4	 i[0] look[0] at[0] scream[-3] 3[0] as[0] coming[0] from[0] an[0] alternative[0] universe[0] the[0] same[0] place[0] that[0] birthed[0] the[0] godfather[0] part[0] iii/i[0][+0.6 MultipleLetters] and[0] superman[0] iii/i[0][+0.6 MultipleLetters] woefully[-2] out[0] of[0] synch[0] with[0] its[0] prequels[0] scream[-3] 3[0] is[0] a[0] nightmare[-2] instead[0] of[0] nightmarish[0] and[0] will[0] likely[0] put[0] the[0] horror[-3] genre[0] back[0] in[0] mothballs[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the film unintentionally follows the unspoken rule of a trilogy to a t : ? part three must disappoint' . 	the film unintentionally follows the unspoken rule of a trilogy to a t : ?<br> part three must disappoint' .	1	-2	 the[0] film[0] unintentionally[0] follows[0] the[0] unspoken[0] rule[0] of[0] a[0] trilogy[0] to[0] a[0] t[0] [[Sentence=-1,1=word max, 1-5]] part[0] three[0] must[0] disappoint'[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
