one of the most blatantly obvious signs that often-acclaimed director sidney lumet's " gloria , " a remake of the 1980 john cassavetes film , had absolutely no effect on me occurred when i was driving home from the theatre . 	Translation	Positive	Negative	EmotionRationale
there is no doubt in my mind that director lumet has stuck closely to the original , but the film itself is simply lifeless , with only an occasional laugh popping up here and there so that it isn't completely unbearable to watch . 	there is no doubt in my mind that director lumet has stuck closely to the original , but the film itself is simply lifeless , with only an occasional laugh popping up here and there so that it isn't completely unbearable to watch .	5	-2	 there[0] is[0] no[0] doubt[-1] in[0] my[0] mind[0] that[0] director[0] lumet[0] has[0] stuck[0] closely[0] to[0] the[0] original[0] but[0] the[0] film[0] itself[0] is[0] simply[0] lifeless[-1] with[0] only[0] an[0] occasional[0] laugh[1] popping[0] up[0] here[0] and[0] there[0] so[0] that[0] it[0] isn't[0] completely[0] unbearable[-3][-1 LastWordBoosterStrength][NegatedDueToPreviousWord] to[0] watch[0] [[Sentence=-2,5=word max, 1-5]][[[5,-2 max of sentences]]]
i liked , for example , a very funny climactic sequence where gloria is deciding whether to leave the school she has left the boy at , and keeps turning the car around , then driving a little ways , then slamming on the brakes and turning around again . 	i liked , for example , a very funny climactic sequence where gloria is deciding whether to leave the school she has left the boy at , and keeps turning the car around , then driving a little ways , then slamming on the brakes and turning around again .	3	-2	 i[0] liked[2] for[0] example[0] a[0] very[0] funny[1][1 LastWordBoosterStrength] climactic[0] sequence[0] where[0] gloria[1] is[0] deciding[0] whether[0] to[0] leave[0] the[0] school[0] she[0] has[0] left[0] the[0] boy[0] at[0] and[0] keeps[0] turning[0] the[0] car[0] around[0] then[0] driving[0] a[0] little[0] ways[0] then[0] slamming[-1] on[0] the[0] brakes[0] and[0] turning[0] around[0] again[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
these bright moments , however , appear long and far between , and the majority of the film deals with the budding relationship between nicky and gloria , which is both painfully predictable and by-the-numbers . 	these bright moments , however , appear long and far between , and the majority of the film deals with the budding relationship between nicky and gloria , which is both painfully predictable and by-the-numbers .	2	-4	 these[0] bright[0] moments[0] however[0] appear[0] long[0] and[0] far[0] between[0] and[0] the[0] majority[0] of[0] the[0] film[0] deals[0] with[0] the[0] budding[0] relationship[0] between[0] nicky[0] and[0] gloria[1] which[0] is[0] both[0] painfully[-3] predictable[0] and[0] by[0] the[0] numbers[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
throughout , my mind was repeatedly asking the question , " who really cares ? " 	throughout , my mind was repeatedly asking the question , " who really cares ?<br> "	3	-1	 throughout[0] my[0] mind[0] was[0] repeatedly[0] asking[0] the[0] question[0] who[0] really[0] cares[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as gloria , sharon stone has adopted an over-the-top brooklyn accent that honestly doesn't sound realistic at all . 	as gloria , sharon stone has adopted an over-the-top brooklyn accent that honestly doesn't sound realistic at all .	2	-1	 as[0] gloria[1] sharon[0] stone[0] has[0] adopted[0] an[0] over[0] the[0] top[0] brooklyn[0] accent[0] that[0] honestly[0] doesn't[0] sound[0] realistic[0] at[0] all[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in the beginning , in fact , i was amazed at how amateurish stone's performance was , but as the film progressed she got better . 	in the beginning , in fact , i was amazed at how amateurish stone's performance was , but as the film progressed she got better .	3	-1	 in[0] the[0] beginning[0] in[0] fact[0] i[0] was[0] amazed[2] at[0] how[0] amateurish[0] stone's[0] performance[0] was[0] but[0] as[0] the[0] film[0] progressed[0] she[0] got[0] better[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although not one of her better turns , stone does have a comic flare that refuses to be ignored . 	although not one of her better turns , stone does have a comic flare that refuses to be ignored .	1	-2	 although[0] not[0] one[0] of[0] her[0] better[0] turns[0] stone[0] does[0] have[0] a[0] comic[0] flare[0] that[0] refuses[-1] to[0] be[0] ignored[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jean-luke figeroa was fine as nicky and a little more natural than the usual child actors who are so precocious they make you want to gag . 	jean-luke figeroa was fine as nicky and a little more natural than the usual child actors who are so precocious they make you want to gag .	3	-1	 jean[0] luke[0] figeroa[0] was[0] fine[2] as[0] nicky[0] and[0] a[0] little[0] more[0] natural[0] than[0] the[0] usual[0] child[0] actors[0] who[0] are[0] so[0] precocious[0] they[0] make[0] you[0] want[0] to[0] gag[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
all other actors who appeared were considerably wasted , none more than cathy moriarty , an entertaining actress in her own right , who is billed fourth and has all of one scene , as gloria's friend whom she turns to for help . 	all other actors who appeared were considerably wasted , none more than cathy moriarty , an entertaining actress in her own right , who is billed fourth and has all of one scene , as gloria's friend whom she turns to for help .	2	-2	 all[0] other[0] actors[0] who[0] appeared[0] were[0] considerably[0] wasted[-1] none[0] more[0] than[0] cathy[0] moriarty[0] an[0] entertaining[0] actress[0] in[0] her[0] own[0] right[0] who[0] is[0] billed[0] fourth[0] and[0] has[0] all[0] of[0] one[0] scene[0] as[0] gloria's[1] friend[1] whom[0] she[0] turns[0] to[0] for[0] help[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
sony , the studio that released " gloria , " obviously does not have any faith in the film , and i don't blame them . 	sony , the studio that released " gloria , " obviously does not have any faith in the film , and i don't blame them .	2	-1	 sony[0] the[0] studio[0] that[0] released[0] gloria[1] obviously[0] does[0] not[0] have[0] any[0] faith[1] in[0] the[0] film[0] and[0] i[0] don't[0] blame[-1][NegatedDueToPreviousWord] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they declined to screen the picture for critics , which is never a good sign , particularly with the high-profile people involved . 	they declined to screen the picture for critics , which is never a good sign , particularly with the high-profile people involved .	1	-2	 they[0] declined[-1] to[0] screen[0] the[0] picture[0] for[0] critics[0] which[0] is[0] never[0] a[0] good[1][NegatedDueToPreviousWord] sign[0] particularly[0] with[0] the[0] high[0] profile[0] people[0] involved[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although how much money a movie makes does not determine how good it is ( just look at the spectacular " in dreams , " which failed to even make the top 10 last week ) , i have a suspicion " gloria " is going to vanish from theaters faster than " ishtar , " judging from the opening night 7 : 00 p . m . showing i saw it at , where there were about ten to fifteen people present , counting myself . 	although how much money a movie makes does not determine how good it is ( just look at the spectacular " in dreams , " which failed to even make the top 10 last week ) , i have a suspicion " gloria " is going to vanish from theaters faster than " ishtar , " judging from the opening night 7 : 00 p .<br> m .<br> showing i saw it at , where there were about ten to fifteen people present , counting myself .	2	-3	 although[0] how[0] much[0] money[0] a[0] movie[0] makes[0] does[0] not[0] determine[0] how[0] good[1] it[0] is[0] just[0] look[0] at[0] the[0] spectacular[0] in[0] dreams[0] which[0] failed[-2] to[0] even[0] make[0] the[0] top[0] 10[0] last[0] week[0] i[0] have[0] a[0] suspicion[-1] gloria[1] is[0] going[0] to[0] vanish[-1] from[0] theaters[0] faster[0] than[0] ishtar[0] judging[0] from[0] the[0] opening[0] night[0] 7[0] 00[0] p[0] [[Sentence=-3,2=word max, 1-5]] m[0] [[Sentence=-1,1=word max, 1-5]] showing[0] i[0] saw[0] it[0] at[0] where[0] there[0] were[0] about[0] ten[0] to[0] fifteen[0] people[0] present[0] counting[0] myself[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
although stone can be an impressive actress ( just watch her in 1995's " casino " or 1996's " last dance " if you don't believe me ) and sidney lumet can be a respectable director , there is no reasoning for why they thought the cliched story of " gloria " was worth remaking or , for that matter , why columbia pictures agreed to finance it when they could have been making a picture that actually looked like it might have an inkling of a chance to be successful . 	although stone can be an impressive actress ( just watch her in 1995's " casino " or 1996's " last dance " if you don't believe me ) and sidney lumet can be a respectable director , there is no reasoning for why they thought the cliched story of " gloria " was worth remaking or , for that matter , why columbia pictures agreed to finance it when they could have been making a picture that actually looked like it might have an inkling of a chance to be successful .	3	-1	 although[0] stone[0] can[0] be[0] an[0] impressive[1] actress[0] just[0] watch[0] her[0] in[0] 1995's[0] casino[0] or[0] 1996's[0] last[0] dance[0] if[0] you[0] don't[0] believe[0] me[0] and[0] sidney[0] lumet[0] can[0] be[0] a[0] respectable[2] director[0] there[0] is[0] no[0] reasoning[0] for[0] why[0] they[0] thought[0] the[0] cliched[0] story[0] of[0] gloria[1] was[0] worth[0] remaking[0] or[0] for[0] that[0] matter[0] why[0] columbia[0] pictures[0] agreed[0] to[0] finance[0] it[0] when[0] they[0] could[0] have[0] been[0] making[0] a[0] picture[0] that[0] actually[0] looked[0] like[1] it[0] might[0] have[0] an[0] inkling[0] of[0] a[0] chance[0] to[0] be[0] successful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
