writing a screenplay for a thriller is hard . 	Translation	Positive	Negative	EmotionRationale
you've got to throw in something extra , something good and new and better than the last version . 	you've got to throw in something extra , something good and new and better than the last version .	2	-1	 you've[0] got[0] to[0] throw[0] in[0] something[0] extra[0] something[0] good[1] and[0] new[0] and[0] better[0] than[0] the[0] last[0] version[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
something to surprise and move all of us people who buy the tickets and the popcorn and the happy meals . 	something to surprise and move all of us people who buy the tickets and the popcorn and the happy meals .	2	-1	 something[0] to[0] surprise[0] and[0] move[0] all[0] of[0] us[0] people[0] who[0] buy[0] the[0] tickets[0] and[0] the[0] popcorn[0] and[0] the[0] happy[1] meals[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is a hard thing to do , but it is absolutely necessary in every way . 	this is a hard thing to do , but it is absolutely necessary in every way .	1	-1	 this[0] is[0] a[0] hard[0] thing[0] to[0] do[0] but[0] it[0] is[0] absolutely[0] necessary[0] in[0] every[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
without that something extra -- whether it's a great plot or a well-written screenplay , or great special effects or great locations or great casting or great performances or great big hungry dinosaurs -- the movie fails . 	without that something extra - whether it's a great plot or a well-written screenplay , or great special effects or great locations or great casting or great performances or great big hungry dinosaurs - the movie fails .	3	-3	 without[0] that[0] something[0] extra[0] whether[0] it's[0] a[0] great[2] plot[0] or[0] a[0] well[0] written[0] screenplay[0] or[0] great[2] special[1] effects[0] or[0] great[2] locations[0] or[0] great[2] casting[0] or[0] great[2] performances[0] or[0] great[2] big[0] hungry[-1] dinosaurs[0] the[0] movie[0] fails[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
that's why the jackal , with all its starpower , with all its budget , with all its hype , gets a big fat f . 	that's why the jackal , with all its starpower , with all its budget , with all its hype , gets a big fat f .	1	-2	 that's[0] why[0] the[0] jackal[0] with[0] all[0] its[0] starpower[0] with[0] all[0] its[0] budget[0] with[0] all[0] its[0] hype[0] gets[0] a[0] big[0] fat[-1] f[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
bruce willis is the bad guy , the jackal , a legendary killer for hire . 	bruce willis is the bad guy , the jackal , a legendary killer for hire .	1	-2	 bruce[0] willis[0] is[0] the[0] bad[-1] guy[0] the[0] jackal[0] a[0] legendary[0] killer[-1] for[0] hire[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
richard gere is the good guy , a former ira assassin with a vendetta against the jackal . 	richard gere is the good guy , a former ira assassin with a vendetta against the jackal .	2	-3	 richard[0] gere[0] is[0] the[0] good[1] guy[0] a[0] former[0] ira[0] assassin[-2] with[0] a[0] vendetta[0] against[-1] the[0] jackal[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the jackal is trying to kill someone . 	the jackal is trying to kill someone .	1	-2	 the[0] jackal[0] is[0] trying[0] to[0] kill[-1] someone[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
gere is trying to stop him . 	gere is trying to stop him .	1	-1	 gere[0] is[0] trying[0] to[0] stop[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
will gere be able to stop the assassination in time and kill the jackal ? 	will gere be able to stop the assassination in time and kill the jackal ?	1	-3	 will[0] gere[0] be[0] able[0] to[0] stop[0] the[0] assassination[-2] in[0] time[0] and[0] kill[-1] the[0] jackal[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( i'll give you three guesses , and the first two don't count . ) 	 ( i'll give you three guesses , and the first two don't count .<br> )	1	-1	 i'll[0] give[0] you[0] three[0] guesses[0] and[0] the[0] first[0] two[0] don't[0] count[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are no surprises awaiting the audience in the jackal , no moment when you say to yourself , " i wonder what happens next ? " 	there are no surprises awaiting the audience in the jackal , no moment when you say to yourself , " i wonder what happens next ?<br> "	1	-1	 there[0] are[0] no[0] surprises[0] awaiting[0] the[0] audience[0] in[0] the[0] jackal[0] no[0] moment[0] when[0] you[0] say[0] to[0] yourself[0] i[0] wonder[0] what[0] happens[0] next[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the script for the jackal isn't ripped straight from today's headlines . 	the script for the jackal isn't ripped straight from today's headlines .	1	-1	 the[0] script[0] for[0] the[0] jackal[0] isn't[0] ripped[0] straight[0] from[0] today's[0] headlines[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's ripped off , straight from an episode of millennium . 	it's ripped off , straight from an episode of millennium .	1	-1	 it's[0] ripped[0] off[0] straight[0] from[0] an[0] episode[0] of[0] millennium[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
throughout the movie , we learn what the jackal's plans are and how he intends to accomplish them . 	throughout the movie , we learn what the jackal's plans are and how he intends to accomplish them .	2	-1	 throughout[0] the[0] movie[0] we[0] learn[0] what[0] the[0] jackal's[0] plans[0] are[0] and[0] how[0] he[0] intends[0] to[0] accomplish[1] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
no surprise . 	no surprise .	1	-1	 no[0] surprise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the fun of a movie like this should come from richard gere figuring out what the jackal's plan is and developing a clever plan to foil the bad guy . 	the fun of a movie like this should come from richard gere figuring out what the jackal's plan is and developing a clever plan to foil the bad guy .	2	-2	 the[0] fun[1] of[0] a[0] movie[0] like[1] this[0] should[0] come[0] from[0] richard[0] gere[0] figuring[0] out[0] what[0] the[0] jackal's[0] plan[0] is[0] and[0] developing[0] a[0] clever[0] plan[0] to[0] foil[0] the[0] bad[-1] guy[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
instead , we get two ( count 'em , two ) scenes where gere is sitting in an fbi conference room somewhere and instantly divines the jackal's plan just as if he's frank black ( or more likely , just as if he's been handed a copy of the script ) . 	instead , we get two ( count 'em , two ) scenes where gere is sitting in an fbi conference room somewhere and instantly divines the jackal's plan just as if he's frank black ( or more likely , just as if he's been handed a copy of the script ) .	2	-1	 instead[0] we[0] get[0] two[0] count[0] 'em[0] two[0] scenes[0] where[0] gere[0] is[0] sitting[0] in[0] an[0] fbi[0] conference[0] room[0] somewhere[0] and[0] instantly[0] divines[1] the[0] jackal's[0] plan[0] just[0] as[0] if[0] he's[0] frank[0] black[0] or[0] more[0] likely[0] just[0] as[0] if[0] he's[0] been[0] handed[0] a[0] copy[0] of[0] the[0] script[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and we never get more than a superficial clue as to why gere has had this flash of insight . 	and we never get more than a superficial clue as to why gere has had this flash of insight .	1	-2	 and[0] we[0] never[0] get[0] more[0] than[0] a[0] superficial[-1] clue[0] as[0] to[0] why[0] gere[0] has[0] had[0] this[0] flash[0] of[0] insight[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's like gere's character is psychic , but neither he nor the fbi ( or the screenwriters ) seem to know it . 	it's like gere's character is psychic , but neither he nor the fbi ( or the screenwriters ) seem to know it .	2	-1	 it's[0] like[1] gere's[0] character[0] is[0] psychic[0] but[0] neither[0] he[0] nor[0] the[0] fbi[0] or[0] the[0] screenwriters[0] seem[0] to[0] know[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and just like in millennium , the bad guy has an overwhelming need to go after the people the good guy cares about , whether or not they are important to what he's trying to do or not . 	and just like in millennium , the bad guy has an overwhelming need to go after the people the good guy cares about , whether or not they are important to what he's trying to do or not .	2	-3	 and[0] just[0] like[1][-1 LastWordBoosterStrength] in[0] millennium[0] the[0] bad[-1] guy[0] has[0] an[0] overwhelming[-2] need[0] to[0] go[0] after[0] the[0] people[0] the[0] good[1] guy[0] cares[1] about[0] whether[0] or[0] not[0] they[0] are[0] important[0] to[0] what[0] he's[0] trying[0] to[0] do[0] or[0] not[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
what's more , in the last half of the movie , the jackal , supposedly a super-smart professional terrorist who never makes a mistake , comes down with a major case of the stupids . 	what's more , in the last half of the movie , the jackal , supposedly a super-smart professional terrorist who never makes a mistake , comes down with a major case of the stupids .	3	-3	 what's[0] more[0] in[0] the[0] last[0] half[0] of[0] the[0] movie[0] the[0] jackal[0] supposedly[0] a[0] super[2] smart[1] professional[0] terrorist[-2] who[0] never[0] makes[0] a[0] mistake[-1] comes[0] down[0] with[0] a[0] major[0] case[0] of[0] the[0] stupids[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
as for the performances . . . 	as for the performances .<br> .<br> .	1	-1	 as[0] for[0] the[0] performances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bruce willis manages to get through the whole movie without a wisecrack , which is a major achievement , but not enough reason to see the movie . 	bruce willis manages to get through the whole movie without a wisecrack , which is a major achievement , but not enough reason to see the movie .	1	-1	 bruce[0] willis[0] manages[0] to[0] get[0] through[0] the[0] whole[0] movie[0] without[0] a[0] wisecrack[0] which[0] is[0] a[0] major[0] achievement[0] but[0] not[0] enough[0] reason[0] to[0] see[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his disguises are good , but not as good or as interesting as val kilmer's in the saint . 	his disguises are good , but not as good or as interesting as val kilmer's in the saint .	2	-2	 his[0] disguises[0] are[0] good[1] but[0] not[0] as[0] good[1][NegatedDueToPreviousWord] or[0] as[0] interesting[1] as[0] val[0] kilmer's[0] in[0] the[0] saint[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
richard gere is made to talk the entire movie in an irish accent , which detracts from his otherwise lifeless and dull performance . 	richard gere is made to talk the entire movie in an irish accent , which detracts from his otherwise lifeless and dull performance .	1	-2	 richard[0] gere[0] is[0] made[0] to[0] talk[0] the[0] entire[0] movie[0] in[0] an[0] irish[0] accent[0] which[0] detracts[-1] from[0] his[0] otherwise[0] lifeless[-1] and[0] dull[-1] performance[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sidney poitier is probably the most disappointing element in a overwhelmingly disappointing movie -- not that his performance is bad or anything , it's not , but it is sad that hollywood won't use this talented actor in any part other than an fbi agent ( shoot to kill , sneakers ) . 	sidney poitier is probably the most disappointing element in a overwhelmingly disappointing movie - not that his performance is bad or anything , it's not , but it is sad that hollywood won't use this talented actor in any part other than an fbi agent ( shoot to kill , sneakers ) .	2	-5	 sidney[0] poitier[0] is[0] probably[0] the[0] most[0] disappointing[-1] element[0] in[0] a[0] overwhelmingly[-2] disappointing[-1][-2 LastWordBoosterStrength][-1 MultiplePositiveWords] movie[0] not[0] that[0] his[0] performance[0] is[0] bad[-1] or[0] anything[0] it's[0] not[0] but[0] it[0] is[0] sad[-3] that[0] hollywood[0] won't[0] use[0] this[0] talented[1] actor[0] in[0] any[0] part[0] other[0] than[0] an[0] fbi[0] agent[0] shoot[-1] to[0] kill[-1] sneakers[-1] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
writing a good plot and a good screenplay , like i said , is hard , but it can be done . 	writing a good plot and a good screenplay , like i said , is hard , but it can be done .	2	-1	 writing[0] a[0] good[1] plot[0] and[0] a[0] good[1] screenplay[0] like[1] i[0] said[0] is[0] hard[0] but[0] it[0] can[0] be[0] done[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it wasn't done here . 	it wasn't done here .	1	-1	 it[0] wasn't[0] done[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is our job as consumers to reward good screenplays and to denounce bad and uninteresting ones . 	it is our job as consumers to reward good screenplays and to denounce bad and uninteresting ones .	2	-2	 it[0] is[0] our[0] job[0] as[0] consumers[0] to[0] reward[1] good[1] screenplays[0] and[0] to[0] denounce[-1] bad[-1] and[0] uninteresting[0] ones[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
do not go see this movie . 	do not go see this movie .	1	-1	 do[0] not[0] go[0] see[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you'll only encourage the producers to make more just like it . 	you'll only encourage the producers to make more just like it .	2	-1	 you'll[0] only[0] encourage[1] the[0] producers[0] to[0] make[0] more[0] just[0] like[1][-1 LastWordBoosterStrength] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
instead , stay home and rent day of the jackal , or in the line of fire , or a fire safety video , for crying out loud . 	instead , stay home and rent day of the jackal , or in the line of fire , or a fire safety video , for crying out loud .	2	-4	 instead[0] stay[0] home[0] and[0] rent[0] day[0] of[0] the[0] jackal[0] or[0] in[0] the[0] line[0] of[0] fire[0] or[0] a[0] fire[0] safety[1] video[0] for[0] crying[-3] out[0] loud[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
anything other than the jackal , which lives up to its name by gnawing the dead bones of other , better movies . 	anything other than the jackal , which lives up to its name by gnawing the dead bones of other , better movies .	1	-3	 anything[0] other[0] than[0] the[0] jackal[0] which[0] lives[0] up[0] to[0] its[0] name[0] by[0] gnawing[0] the[0] dead[-2] bones[0] of[0] other[0] better[0] movies[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
