in my opinion , a movie reviewer's most important task is to offer an explanation for his opinion . 	Translation	Positive	Negative	EmotionRationale
this is a movie where the ending features one character providing an explanation about the plot to another character , which is one of the lamest screenwriting devices around . 	this is a movie where the ending features one character providing an explanation about the plot to another character , which is one of the lamest screenwriting devices around .	1	-3	 this[0] is[0] a[0] movie[0] where[0] the[0] ending[0] features[0] one[0] character[0] providing[0] an[0] explanation[0] about[0] the[0] plot[0] to[0] another[0] character[0] which[0] is[0] one[0] of[0] the[0] lamest[-2] screenwriting[0] devices[0] around[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the second lamest device , of course , is the , " oh , it was all a dream " resolution . 	the second lamest device , of course , is the , " oh , it was all a dream " resolution .	1	-3	 the[0] second[0] lamest[-2] device[0] of[0] course[0] is[0] the[0] oh[0] it[0] was[0] all[0] a[0] dream[0] resolution[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and guess what ? 	and guess what ?	1	-1	 and[0] guess[0] what[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this movie has both ! 	this movie has both !	1	-1	 this[0] movie[0] has[0] both[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not that the main body of the film , which has sagemiller constantly running in fear or having a nervous breakdown , is anything worthwhile . 	not that the main body of the film , which has sagemiller constantly running in fear or having a nervous breakdown , is anything worthwhile .	2	-4	 not[0] that[0] the[0] main[0] body[0] of[0] the[0] film[0] which[0] has[0] sagemiller[-1] constantly[0] running[0] in[0] fear[-3] or[0] having[0] a[0] nervous[-2] breakdown[-1] is[0] anything[0] worthwhile[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
since there's no captivating dialogue , no character chemistry exists anywhere . 	since there's no captivating dialogue , no character chemistry exists anywhere .	1	-1	 since[0] there's[0] no[0] captivating[0] dialogue[0] no[0] character[0] chemistry[0] exists[0] anywhere[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's a huge problem , since the four main characters are supposed to be couples . 	that's a huge problem , since the four main characters are supposed to be couples .	1	-2	 that's[0] a[0] huge[0] problem[-1] since[0] the[0] four[0] main[0] characters[0] are[0] supposed[0] to[0] be[0] couples[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
carpenter can't even get the smutty scenes right , which are becoming more prevalent in pg-13 movies like bring it on and get over it . 	carpenter can't even get the smutty scenes right , which are becoming more prevalent in pg-13 movies like bring it on and get over it .	2	-1	 carpenter[0] can't[0] even[0] get[0] the[0] smutty[0] scenes[0] right[0] which[0] are[0] becoming[0] more[0] prevalent[0] in[0] pg[0] -13[0] movies[0] like[1] bring[0] it[0] on[0] and[0] get[0] over[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
[the film was recently re-cut from an r rating to get more kids in the seats . 	[the film was recently re-cut from an are rating to get more kids in the seats .	1	-1	 [the[0] film[0] was[0] recently[0] re[0] cut[0] from[0] an[0] r[0] rating[0] to[0] get[0] more[0] kids[0] in[0] the[0] seats[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
-ed . ] 	-ed .<br> ]	1	-1	 ed[0] [[Sentence=-1,1=word max, 1-5]] ][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when sagemiller and dushku dance together at a club , he rarely shows them in a full shot and he never keeps the camera on them for longer than a second before relating to some michael bay-style quick cuts . 	when sagemiller and dushku dance together at a club , he rarely shows them in a full shot and he never keeps the camera on them for longer than a second before relating to some michael bay-style quick cuts .	1	-2	 when[0] sagemiller[-1] and[0] dushku[0] dance[0] together[0] at[0] a[0] club[0] he[0] rarely[0] shows[0] them[0] in[0] a[0] full[0] shot[-1] and[0] he[0] never[0] keeps[0] the[0] camera[0] on[0] them[0] for[0] longer[0] than[0] a[0] second[0] before[0] relating[0] to[0] some[0] michael[0] bay[0] style[0] quick[0] cuts[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and when sagemiller and dushku take a shower together after getting covered in paint , they're fully clothed . 	and when sagemiller and dushku take a shower together after getting covered in paint , they're fully clothed .	1	-2	 and[0] when[0] sagemiller[-1] and[0] dushku[0] take[0] a[0] shower[0] together[0] after[0] getting[0] covered[0] in[0] paint[0] they're[0] fully[0] clothed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
regardless , any sexiness in that scene is undercut by its stupidity . 	regardless , any sexiness in that scene is undercut by its stupidity .	1	-2	 regardless[-1] any[0] sexiness[0] in[0] that[0] scene[0] is[0] undercut[0] by[0] its[0] stupidity[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
why wouldn't they wash the clothes in the sink or in the washing machine ? 	why wouldn't they wash the clothes in the sink or in the washing machine ?	1	-1	 why[0] wouldn't[0] they[0] wash[0] the[0] clothes[0] in[0] the[0] sink[0] or[0] in[0] the[0] washing[0] machine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why would they shower in their clothes ? 	why would they shower in their clothes ?	1	-1	 why[0] would[0] they[0] shower[0] in[0] their[0] clothes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what if they weren't covered in latex paint ? 	what if they weren't covered in latex paint ?	1	-1	 what[0] if[0] they[0] weren't[0] covered[0] in[0] latex[0] paint[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the cast , which will see better material in the future , would be wise to leave this one off their resumes . 	the cast , which will see better material in the future , would be wise to leave this one off their resumes .	1	-1	 the[0] cast[0] which[0] will[0] see[0] better[0] material[0] in[0] the[0] future[0] would[0] be[0] wise[0] to[0] leave[0] this[0] one[0] off[0] their[0] resumes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i felt sorry for affleck , who i've liked in other movies , and bentley , who was great in american beauty . 	i felt sorry for affleck , who i've liked in other movies , and bentley , who was great in american beauty .	3	-2	 i[0] felt[0] sorry[-1] for[0] affleck[0] who[0] i've[0] liked[2] in[0] other[0] movies[0] and[0] bentley[0] who[0] was[0] great[2] in[0] american[0] beauty[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
dushku , who possesses an alluring femme fetale quality , has got to stop taking roles belonging to rose mcgowan . 	dushku , who possesses an alluring femme fetale quality , has got to stop taking roles belonging to rose mcgowan .	1	-1	 dushku[0] who[0] possesses[0] an[0] alluring[0] femme[0] fetale[0] quality[0] has[0] got[0] to[0] stop[0] taking[0] roles[0] belonging[0] to[0] rose[0] mcgowan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as for sagemiller ( star of the aforementioned get over it ) , i want to see her in a movie where she plays a person , and not an object for gawking . 	as for sagemiller ( star of the aforementioned get over it ) , i want to see her in a movie where she plays a person , and not an object for gawking .	2	-2	 as[0] for[0] sagemiller[-1] star[0] of[0] the[0] aforementioned[0] get[0] over[0] it[0] i[0] want[0] to[0] see[0] her[0] in[0] a[0] movie[0] where[0] she[0] plays[1] a[0] person[0] and[0] not[0] an[0] object[0] for[0] gawking[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and i'm not even getting into luke wilson's role as a priest . 	and i'm not even getting into luke wilson's role as a priest .	1	-1	 and[0] i'm[0] not[0] even[0] getting[0] into[0] luke[0] wilson's[0] role[0] as[0] a[0] priest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at least he's friends with wes anderson . 	at least he's friends with wes anderson .	2	-1	 at[0] least[0] he's[0] friends[1] with[0] wes[0] anderson[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
bottom line : soul survivors is so awful i feel compelled to knock on doors and warn people about it . 	bottom line : soul survivors is so awful i feel compelled to knock on doors and warn people about it .	1	-4	 bottom[0] line[0] soul[0] survivors[0] is[0] so[0] awful[-3] i[0] feel[0] compelled[0] to[0] knock[0] on[0] doors[0] and[0] warn[0] people[0] about[0] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
