come on hollywood , surprise me . 	Translation	Positive	Negative	EmotionRationale
so lets not insult a great movie by taking the comparisons any further , okay ? 	so lets not insult a great movie by taking the comparisons any further , okay ?	3	-1	 so[0] lets[0] not[0] insult[-2][NegatedDueToPreviousWord] a[0] great[2] movie[0] by[0] taking[0] the[0] comparisons[0] any[0] further[0] okay[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and as for comparisons to seven . . . oh 	and as for comparisons to seven .<br> .<br> .<br> oh	1	-1	 and[0] as[0] for[0] comparisons[0] to[0] seven[0] [[Sentence=-1,1=word max, 1-5]] oh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
please ! 	please !	2	-1	 please[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kiss the girls is based on the novel by james patterson and written for the screen by one david klass . 	kiss the girls is based on the novel by james patterson and written for the screen by one david klass .	3	-1	 kiss[2] the[0] girls[0] is[0] based[0] on[0] the[0] novel[0] by[0] james[0] patterson[0] and[0] written[0] for[0] the[0] screen[0] by[0] one[0] david[0] klass[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
maybe the novel was a stinker to start with , but whatever the case , it's the writing that's clearly at fault here . 	maybe the novel was a stinker to start with , but whatever the case , it's the writing that's clearly at fault here .	1	-3	 maybe[0] the[0] novel[0] was[0] a[0] stinker[-2] to[0] start[0] with[0] but[0] whatever[0] the[0] case[0] it's[0] the[0] writing[0] that's[0] clearly[0] at[0] fault[-1] here[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
one , these characters have very little to say that's engaging or interesting . 	one , these characters have very little to say that's engaging or interesting .	2	-1	 one[0] these[0] characters[0] have[0] very[0] little[0] to[0] say[0] that's[0] engaging[0] or[0] interesting[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
two , the script has no sense of humour . 	two , the script has no sense of humour .	3	-1	 two[0] the[0] script[0] has[0] no[0] sense[0] of[0] humour[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
three , while the notion of a psycho's victims being smart , successful women is an interesting twist , the execution isn't even half as good as the idea . 	three , while the notion of a psycho's victims being smart , successful women is an interesting twist , the execution isn't even half as good as the idea .	3	-3	 three[0] while[0] the[0] notion[0] of[0] a[0] psycho's[0] victims[-2] being[0] smart[1] successful[2] women[0] is[0] an[0] interesting[1] twist[0] the[0] execution[0] isn't[0] even[0] half[0] as[0] good[1] as[0] the[0] idea[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
thus , ashly judd comes across all out of focus , instead of being the heart of the story . 	thus , ashly judd comes across all out of focus , instead of being the heart of the story .	1	-1	 thus[0] ashly[0] judd[0] comes[0] across[0] all[0] out[0] of[0] focus[0] instead[0] of[0] being[0] the[0] heart[0] of[0] the[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we can't feel her rage . 	we can't feel her rage .	1	-4	 we[0] can't[0] feel[0] her[0] rage[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
some atrociously written casual exchanges between her and several male characters are supposed to remind us that she's the no-bullshit 90's type , but these conversations barely register . 	some atrociously written casual exchanges between her and several male characters are supposed to remind us that she's the no-bullshit 90's type , but these conversations barely register .	1	-3	 some[0] atrociously[-3][--1 LastWordBoosterStrength] written[0] casual[0] exchanges[0] between[0] her[0] and[0] several[0] male[0] characters[0] are[0] supposed[0] to[0] remind[0] us[0] that[0] she's[0] the[0] no[0] bullshit[-2] 90's[0] type[0] but[0] these[0] conversations[0] barely[0] register[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and as for freeman , kiss the girls is his second dog in a year : first chain reaction , now this . 	and as for freeman , kiss the girls is his second dog in a year : first chain reaction , now this .	3	-1	 and[0] as[0] for[0] freeman[0] kiss[2] the[0] girls[0] is[0] his[0] second[0] dog[0] in[0] a[0] year[0] first[0] chain[0] reaction[0] now[0] this[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
for an actor of his calibre , this is most worrying . 	for an actor of his calibre , this is most worrying .	1	-4	 for[0] an[0] actor[0] of[0] his[0] calibre[0] this[0] is[0] most[0] worrying[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
young director gary fleder scored a hit a few years back with his quirky pulp fiction-esque things to do in denver when your dead . 	young director gary fleder scored a hit a few years back with his quirky pulp fiction-esque things to do in denver when your dead .	1	-3	 young[0] director[0] gary[0] fleder[0] scored[0] a[0] hit[0] a[0] few[0] years[0] back[0] with[0] his[0] quirky[0] pulp[0] fiction[0] esque[0] things[0] to[0] do[0] in[0] denver[0] when[0] your[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but what can he do with material as resolutely mediocre as this ? 	but what can he do with material as resolutely mediocre as this ?	1	-2	 but[0] what[0] can[0] he[0] do[0] with[0] material[0] as[0] resolutely[0] mediocre[-1] as[0] this[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
not much , and you can hardly blame him . 	not much , and you can hardly blame him .	1	-2	 not[0] much[0] and[0] you[0] can[0] hardly[0] blame[-1] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's a few well-staged chase scenes through the forest where the camera whirls , dives and jumps , and the effect is startling . 	there's a few well-staged chase scenes through the forest where the camera whirls , dives and jumps , and the effect is startling .	1	-2	 there's[0] a[0] few[0] well[0] staged[0] chase[-1] scenes[0] through[0] the[0] forest[0] where[0] the[0] camera[0] whirls[0] dives[0] and[0] jumps[0] and[0] the[0] effect[0] is[0] startling[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the script is beyond rescue . 	but the script is beyond rescue .	1	-1	 but[0] the[0] script[0] is[0] beyond[0] rescue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what hurts most is that hollywood continues to get away with serving up this tripe , safe in the knowledge that jaded audiences will lap it up . 	what hurts most is that hollywood continues to get away with serving up this tripe , safe in the knowledge that jaded audiences will lap it up .	2	-3	 what[0] hurts[-2] most[0] is[0] that[0] hollywood[0] continues[0] to[0] get[0] away[0] with[0] serving[0] up[0] this[0] tripe[0] safe[1] in[0] the[0] knowledge[0] that[0] jaded[-2] audiences[0] will[0] lap[0] it[0] up[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
complacency rules : it's been so long since we saw a mainstream american thriller that delivered juicy characters , real surprises and consistently sharp dialogue . 	complacency rules : it's been so long since we saw a mainstream american thriller that delivered juicy characters , real surprises and consistently sharp dialogue .	2	-1	 complacency[0] rules[0] it's[0] been[0] so[0] long[0] since[0] we[0] saw[0] a[0] mainstream[0] american[0] thriller[1] that[0] delivered[0] juicy[0] characters[0] real[0] surprises[0] and[0] consistently[0] sharp[0] dialogue[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the only consolation for this viewer is that my ticket to the movie was a freebie , positive proof that the best things in life aren't free . . . . 	the only consolation for this viewer is that my ticket to the movie was a freebie , positive proof that the best things in life aren't free .<br> .<br> .<br> .	3	-1	 the[0] only[0] consolation[0] for[0] this[0] viewer[0] is[0] that[0] my[0] ticket[0] to[0] the[0] movie[0] was[0] a[0] freebie[0] positive[2] proof[0] that[0] the[0] best[1] things[0] in[0] life[0] aren't[0] free[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
