capsule : where are you tonight , leni rienfenstal ? 	Translation	Positive	Negative	EmotionRationale
the film takes place in our future , when earth has come under attack by some alien species that doesn't appear to have intelligence . 	the film takes place in our future , when earth has come under attack by some alien species that doesn't appear to have intelligence .	1	-3	 the[0] film[0] takes[0] place[0] in[0] our[0] future[0] when[0] earth[0] has[0] come[0] under[0] attack[-2] by[0] some[0] alien[-1][--1 LastWordBoosterStrength] species[0] that[0] doesn't[0] appear[0] to[0] have[0] intelligence[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
to counterattack , humankind does the single stupidest thing imaginable : instead of nuke the planet from orbit , which they're clearly capable of , they send down grunts with m-16 rifles . 	to counterattack , humankind does the single stupidest thing imaginable : instead of nuke the planet from orbit , which they're clearly capable of , they send down grunts with m-16 rifles .	1	-2	 to[0] counterattack[0] humankind[0] does[0] the[0] single[0] stupidest[-1] thing[0] imaginable[0] instead[0] of[0] nuke[0] the[0] planet[0] from[0] orbit[0] which[0] they're[0] clearly[0] capable[0] of[0] they[0] send[0] down[0] grunts[0] with[0] m[0] -16[0] rifles[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this isn't heinlein , it's a bad wwii movie , one where all the most obvious points of satire are ever poked and prodded in combat scenes that are noisy , repetitive , and ultimately tiresome . 	this isn't heinlein , it's a bad wwi movie , one where all the most obvious points of satire are ever poked and prodded in combat scenes that are noisy , repetitive , and ultimately tiresome .	1	-2	 this[0] isn't[0] heinlein[0] it's[0] a[0] bad[-1] wwii/wwi[0] movie[0] one[0] where[0] all[0] the[0] most[0] obvious[0] points[0] of[0] satire[0] are[0] ever[0] poked[0] and[0] prodded[0] in[0] combat[-1] scenes[0] that[0] are[0] noisy[0] repetitive[0] and[0] ultimately[0] tiresome[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( one scene has a journalist on a battlefield , filimg soldiers being slaughtered , and ends with groaning predictability : said cameraman gets skewered , too . ) 	 ( one scene has a journalist on a battlefield , filimg soldiers being slaughtered , and ends with groaning predictability : said cameraman gets skewered , too .<br> )	1	-2	 one[0] scene[0] has[0] a[0] journalist[0] on[0] a[0] battlefield[-1] filimg[0] soldiers[0] being[0] slaughtered[-1] and[0] ends[0] with[0] groaning[0] predictability[0] said[0] cameraman[0] gets[0] skewered[0] too[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the soldiers and their commanders are consistently idiotic . 	the soldiers and their commanders are consistently idiotic .	1	-3	 the[0] soldiers[0] and[0] their[0] commanders[0] are[0] consistently[0] idiotic[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they do not possess a germ of tactical intelligence or even common sense . 	they do not possess a germ of tactical intelligence or even common sense .	1	-2	 they[0] do[0] not[0] possess[0] a[0] germ[-1] of[0] tactical[0] intelligence[0] or[0] even[0] common[0] sense[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they don't even behave like soldiers in a bad * movie * , and therefore we don't care about them . 	they don't even behave like soldiers in a bad * movie * , and therefore we don't care about them .	2	-2	 they[0] don't[0] even[0] behave[0] like[1] soldiers[0] in[0] a[0] bad[-1] movie[0] and[0] therefore[0] we[0] don't[0] care[1][NegatedDueToPreviousWord] about[0] them[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we hated the tom berenger character in platoon , but he * mattered * , and therefore we were curious to learn about his fate . 	we hated the tom berenger character in platoon , but he * mattered * , and therefore we were curious to learn about his fate .	1	-4	 we[0] hated[-3] the[0] tom[0] berenger[0] character[0] in[0] platoon[0] but[0] he[0] mattered[0] and[0] therefore[0] we[0] were[0] curious[0] to[0] learn[0] about[0] his[0] fate[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
here , we don't even hate the bugs -- what's there to hate ? 	here , we don't even hate the bugs - what's there to hate ?	4	-4	 here[0] we[0] don't[0] even[0] hate[-3][NegatedDueToPreviousWord] the[0] bugs[0] what's[0] there[0] to[0] hate[-3] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
hating them would be like cursing a hurricaine . 	hating them would be like cursing a hurricaine .	2	-4	 hating[-3] them[0] would[0] be[0] like[1] cursing[0] a[0] hurricaine[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
if there's anything really hateful there , the movie doesn't know how to give it to us . 	if there's anything really hateful there , the movie doesn't know how to give it to us .	1	-5	 if[0] there's[0] anything[0] really[0] hateful[-3][-1 LastWordBoosterStrength] there[0] the[0] movie[0] doesn't[0] know[0] how[0] to[0] give[0] it[0] to[0] us[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
the screenwriter ( ed neumeier -- perhaps a better appelation would be " screen typist " ) and director ( the increasingly talent-impaired paul verhoeven ) have not found any way to make the characters or the story serve each other . 	the screenwriter ( ed neumeier - perhaps a better appelation would be " screen typist " ) and director ( the increasingly talent-impaired paul verhoeven ) have not found any way to make the characters or the story serve each other .	2	-2	 the[0] screenwriter[0] ed[0] neumeier[0] perhaps[0] a[0] better[0] appelation[0] would[0] be[0] screen[0] typist[0] and[0] director[0] the[0] increasingly[0] talent[1] impaired[-1] paul[0] verhoeven[0] have[0] not[0] found[0] any[0] way[0] to[0] make[0] the[0] characters[0] or[0] the[0] story[0] serve[0] each[0] other[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
one of the subplots concerns a woman pilot who's great at getting out of tight situations , and does it again and again and again . 	one of the subplots concerns a woman pilot who's great at getting out of tight situations , and does it again and again and again .	3	-2	 one[0] of[0] the[0] subplots[0] concerns[-1] a[0] woman[0] pilot[0] who's[0] great[2] at[0] getting[0] out[0] of[0] tight[0] situations[0] and[0] does[0] it[0] again[0] and[0] again[0] and[0] again[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
once or twice is fine . 	once or twice is fine .	3	-1	 once[0] or[0] twice[0] is[0] fine[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
by the fifth or sixth time , it's worn out its welcome . 	by the fifth or sixth time , it's worn out its welcome .	2	-2	 by[0] the[0] fifth[0] or[0] sixth[0] time[0] it's[0] worn[-1] out[0] its[0] welcome[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there's never any sense that these people are really thinking their way out of anything , or really being tested to show their mettle . 	there's never any sense that these people are really thinking their way out of anything , or really being tested to show their mettle .	1	-1	 there's[0] never[0] any[0] sense[0] that[0] these[0] people[0] are[0] really[0] thinking[0] their[0] way[0] out[0] of[0] anything[0] or[0] really[0] being[0] tested[0] to[0] show[0] their[0] mettle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also , the movie is irritatingly selective with how effective the bugs are to earthling weaponry . 	also , the movie is irritatingly selective with how effective the bugs are to earthling weaponry .	1	-3	 also[0] the[0] movie[0] is[0] irritatingly[-2] selective[0] with[0] how[0] effective[0] the[0] bugs[0] are[0] to[0] earthling[0] weaponry[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if a bug has one of the humans screaming in its grasp , then five guys can stand around it and blast away on full auto without doing a damned thing . 	if a bug has one of the humans screaming in its grasp , then five guys can stand around it and blast away on full auto without doing a damned thing .	1	-4	 if[0] a[0] bug[-1] has[0] one[0] of[0] the[0] humans[0] screaming[-3] in[0] its[0] grasp[0] then[0] five[0] guys[0] can[0] stand[0] around[0] it[0] and[0] blast[0] away[0] on[0] full[0] auto[0] without[0] doing[0] a[0] damned[-1] thing[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but if one human gets cornered , he lays waste to whole platoons of bugs with one clip . 	but if one human gets cornered , he lays waste to whole platoons of bugs with one clip .	1	-2	 but[0] if[0] one[0] human[0] gets[0] cornered[0] he[0] lays[0] waste[-1] to[0] whole[0] platoons[0] of[0] bugs[0] with[0] one[0] clip[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
uh-huh . 	uh-huh .	1	-1	 uh[0] huh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the very worst feature of the movie is its repulsive quasi-fascist flavor . 	the very worst feature of the movie is its repulsive quasi-fascist flavor .	1	-4	 the[0] very[0] worst[-2][-1 LastWordBoosterStrength] feature[0] of[0] the[0] movie[0] is[0] its[0] repulsive[-3] quasi[0] fascist[-1] flavor[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i say " quasi- " because while the movie uses many of the trappings of fascism ot eroticize its action -- the gear , the uniforms , etc . -- the movie doesn't have the nerve ( or the brains ) to be genuinely fascist , or intelligent about the subject . 	i say " quasi- " because while the movie uses many of the trappings of fascism ot eroticize its action - the gear , the uniforms , etc .<br> - the movie doesn't have the nerve ( or the brains ) to be genuinely fascist , or intelligent about the subject .	2	-2	 i[0] say[0] quasi[0] because[0] while[0] the[0] movie[0] uses[0] many[0] of[0] the[0] trappings[0] of[0] fascism[0] ot[0] eroticize[0] its[0] action[0] the[0] gear[0] the[0] uniforms[0] etc[0] [[Sentence=-1,1=word max, 1-5]] the[0] movie[0] doesn't[0] have[0] the[0] nerve[0] or[0] the[0] brains[0] to[0] be[0] genuinely[0] fascist[-1] or[0] intelligent[1] about[0] the[0] subject[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the bumpers between scenes , which are apparently intended to parody wartime recruitment propaganda are propaganda -- just so clumsy and oafish that they wind up making the bugs look relatively innocuous in comparison . 	the bumpers between scenes , which are apparently intended to parody wartime recruitment propaganda are propaganda - just so clumsy and oafish that they wind up making the bugs look relatively innocuous in comparison .	1	-2	 the[0] bumpers[0] between[0] scenes[0] which[0] are[0] apparently[0] intended[0] to[0] parody[0] wartime[0] recruitment[0] propaganda[-1] are[0] propaganda[-1] just[0] so[0] clumsy[-1] and[0] oafish[0] that[0] they[0] wind[0] up[0] making[0] the[0] bugs[0] look[0] relatively[0] innocuous[0] in[0] comparison[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
like the rest of the movie . 	like the rest of the movie .	2	-1	 like[1] the[0] rest[0] of[0] the[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's more , i suppose , but it's not worth it . 	there's more , i suppose , but it's not worth it .	1	-1	 there's[0] more[0] i[0] suppose[0] but[0] it's[0] not[0] worth[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the acting is bland , neither arsenic nor gravy ; the music disposable ; the camerawork turgid . 	the acting is bland , neither arsenic nor gravy ; the music disposable ; the camerawork turgid .	1	-2	 the[0] acting[0] is[0] bland[-1] neither[0] arsenic[0] nor[0] gravy[0] the[0] music[0] disposable[0] the[0] camerawork[0] turgid[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the heartbreaking thing is that it makes independence day look like a masterpiece . 	the heartbreaking thing is that it makes independence day look like a masterpiece .	2	-4	 the[0] heartbreaking[-3] thing[0] is[0] that[0] it[0] makes[0] independence[0] day[0] look[0] like[1] a[0] masterpiece[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
