libby parsons ( ashley judd ) has the perfect little life -- a rich husband , a cute son , and a house on the ocean -- but when her husband nick ( bruce greenwood ) takes her sailing , she awakes to find him gone and her hands covered with blood . 	Translation	Positive	Negative	EmotionRationale
although libby never leaps from a bus that collides with a train , she manages to get into a few nail-biters -- chased down the beach by a jeep , chained to a car that plunges into the ocean , sealed in a coffin -- that add some much needed thrills to an anemic , slow-moving script . 	although libby never leaps from a bus that collides with a train , she manages to get into a few nail-biters - chased down the beach by a jeep , chained to a car that plunges into the ocean , sealed in a coffin - that add some much needed thrills to an anemic , slow-moving script .	4	-2	 although[0] libby[0] never[0] leaps[0] from[0] a[0] bus[0] that[0] collides[-1] with[0] a[0] train[0] she[0] manages[0] to[0] get[0] into[0] a[0] few[0] nail[0] biters[0] chased[-1] down[0] the[0] beach[0] by[0] a[0] jeep[0] chained[0] to[0] a[0] car[0] that[0] plunges[0] into[0] the[0] ocean[0] sealed[0] in[0] a[0] coffin[0] that[0] add[0] some[0] much[0] needed[0] thrills[3] to[0] an[0] anemic[0] slow[0] moving[0] script[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
character development is thin . 	character development is thin .	1	-1	 character[0] development[0] is[0] thin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
travis' intriguing backstory is mentioned a couple times but has no effect on the story . 	travis' intriguing backstory is mentioned a couple times but has no effect on the story .	1	-1	 travis'[0] intriguing[0] backstory[0] is[0] mentioned[0] a[0] couple[0] times[0] but[0] has[0] no[0] effect[0] on[0] the[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( i think they only made him a former law professor so that he could verify the double-jeopardy theory when libby gets the drop on nick . 	 ( i think they only made him a former law professor so that he could verify the double-jeopardy theory when libby gets the drop on nick .	1	-2	 i[0] think[0] they[0] only[0] made[0] him[0] a[0] former[0] law[0] professor[0] so[0] that[0] he[0] could[0] verify[0] the[0] double[0] jeopardy[-1] theory[0] when[0] libby[0] gets[0] the[0] drop[-1] on[0] nick[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's a long way to go for one line ) . 	it's a long way to go for one line ) .	1	-1	 it's[0] a[0] long[0] way[0] to[0] go[0] for[0] one[0] line[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's considerable sexual tension between travis and libby ( hey , there's something " the fugitive " didn't have ! ) , but it never goes anywhere . 	there's considerable sexual tension between travis and libby ( hey , there's something " the fugitive " didn't have !<br> ) , but it never goes anywhere .	2	-3	 there's[0] considerable[0] sexual[0] tension[-2] between[0] travis[0] and[0] libby[0] hey[1] there's[0] something[0] the[0] fugitive[-1] didn't[0] have[0] [[Sentence=-3,2=word max, 1-5]] but[0] it[0] never[0] goes[0] anywhere[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
libby is a tv-movie everywoman , but judd's intense performance draws us in and makes us forget that her character has no distinguishing characteristics . 	libby is a tv-movie everywoman , but judd's intense performance draws us in and makes us forget that her character has no distinguishing characteristics .	1	-1	 libby[0] is[0] a[0] tv[0] movie[0] everywoman[0] but[0] judd's[0] intense[0] performance[0] draws[0] us[0] in[0] and[0] makes[0] us[0] forget[0] that[0] her[0] character[0] has[0] no[0] distinguishing[0] characteristics[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is judd's most prominent role to date , and she proves that she can light up the screen . 	this is judd's most prominent role to date , and she proves that she can light up the screen .	1	-1	 this[0] is[0] judd's[0] most[0] prominent[0] role[0] to[0] date[0] and[0] she[0] proves[0] that[0] she[0] can[0] light[0] up[0] the[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
let's hope hollywood gives her more to work with next time around . 	let's hope hollywood gives her more to work with next time around .	3	-1	 let's[0] hope[2] hollywood[0] gives[0] her[0] more[0] to[0] work[0] with[0] next[0] time[0] around[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the quality of director bruce beresford's movies seems to depend on luck . 	the quality of director bruce beresford's movies seems to depend on luck .	3	-1	 the[0] quality[0] of[0] director[0] bruce[0] beresford's[0] movies[0] seems[0] to[0] depend[0] on[0] luck[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when he has a good script and a strong cast , he turns out oscar-caliber work like " 'breaker' morant , " " driving miss daisy , " and " tender mercies . " 	when he has a good script and a strong cast , he turns out oscar-caliber work like " 'breaker' morant , " " driving miss daisy , " and " tender mercies .<br> "	3	-2	 when[0] he[0] has[0] a[0] good[1] script[0] and[0] a[0] strong[0] cast[0] he[0] turns[0] out[0] oscar[0] caliber[0] work[0] like[1] 'breaker'[0] morant[0] driving[0] miss[-1] daisy[0] and[0] tender[2] mercies[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
when he doesn't . 	when he doesn't .	1	-1	 when[0] he[0] doesn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
we get " double jeopardy . " 	we get " double jeopardy .<br> "	1	-2	 we[0] get[0] double[0] jeopardy[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
screenwriters david weisberg and douglas cook previously collaborated on " the rock , " a script which probably benefited from the numerous uncredited rewrites . 	screenwriters david weisberg and douglas cook previously collaborated on " the rock , " a script which probably benefited from the numerous uncredited rewrites .	2	-1	 screenwriters[0] david[0] weisberg[0] and[0] douglas[0] cook[0] previously[0] collaborated[0] on[0] the[0] rock[1] a[0] script[0] which[0] probably[0] benefited[0] from[0] the[0] numerous[0] uncredited[0] rewrites[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
bottom line : ashley judd tries hard but can't save this predictable bore . 	bottom line : ashley judd tries hard but can't save this predictable bore .	1	-2	 bottom[0] line[0] ashley[0] judd[0] tries[0] hard[0] but[0] can't[0] save[1][NegatedDueToPreviousWord] this[0] predictable[0] bore[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
