when considering david fincher's latest film , " the game " , four words come to mind . 	Translation	Positive	Negative	EmotionRationale
he ends up spending a whole day going through their screening process , which to me made no sense considering the tight schedule he keeps claiming to have . 	he ends up spending a whole day going through their screening process , which to me made no sense considering the tight schedule he keeps claiming to have .	1	-1	 he[0] ends[0] up[0] spending[0] a[0] whole[0] day[0] going[0] through[0] their[0] screening[0] process[0] which[0] to[0] me[0] made[0] no[0] sense[0] considering[0] the[0] tight[0] schedule[0] he[0] keeps[0] claiming[0] to[0] have[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nevertheless , when it seems nicholas has been rejected as a crs client , the weird things start happening . 	nevertheless , when it seems nicholas has been rejected as a crs client , the weird things start happening .	1	-2	 nevertheless[0] when[0] it[0] seems[0] nicholas[0] has[0] been[0] rejected[-1] as[0] a[0] crs[0] client[0] the[0] weird[-1] things[0] start[0] happening[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course , when we've only covered about 30 minutes of screen time , what else should we expect . 	of course , when we've only covered about 30 minutes of screen time , what else should we expect .	1	-1	 of[0] course[0] when[0] we've[0] only[0] covered[0] about[0] 30[0] minutes[0] of[0] screen[0] time[0] what[0] else[0] should[0] we[0] expect[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
douglas has built his modern career around playing powerful , violent and unlikable men being manipulated by unseen hands . 	douglas has built his modern career around playing powerful , violent and unlikable men being manipulated by unseen hands .	2	-3	 douglas[0] has[0] built[0] his[0] modern[0] career[0] around[0] playing[1] powerful[0] violent[-2] and[0] unlikable[0] men[0] being[0] manipulated[-1] by[0] unseen[0] hands[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
one of those films , " basic instinct " , came from the creative minds of writer , joe eszterhas and director , paul verhoeven . 	one of those films , " basic instinct " , came from the creative minds of writer , joe eszterhas and director , paul verhoeven .	1	-1	 one[0] of[0] those[0] films[0] basic[0] instinct[0] came[0] from[0] the[0] creative[0] minds[0] of[0] writer[0] joe[0] eszterhas[0] and[0] director[0] paul[0] verhoeven[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the premise of " the game , " is not unlike the concept of another verhoeven film , " total recall . " 	the premise of " the game , " is not unlike the concept of another verhoeven film , " total recall .<br> "	1	-1	 the[0] premise[0] of[0] the[0] game[0] is[0] not[0] unlike[0] the[0] concept[0] of[0] another[0] verhoeven[0] film[0] total[0] recall[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in that case , the premise was implanting someone else's memories as a way to enhance one's own life through a dream vacation . 	in that case , the premise was implanting someone else's memories as a way to enhance one's own life through a dream vacation .	1	-1	 in[0] that[0] case[0] the[0] premise[0] was[0] implanting[0] someone[0] else's[0] memories[0] as[0] a[0] way[0] to[0] enhance[0] one's[0] own[0] life[0] through[0] a[0] dream[0] vacation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yet , in both films , the real goal is to create a vicarious bond with the audience . 	yet , in both films , the real goal is to create a vicarious bond with the audience .	1	-1	 yet[0] in[0] both[0] films[0] the[0] real[0] goal[0] is[0] to[0] create[0] a[0] vicarious[0] bond[0] with[0] the[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we live the adventure along with the protagonist , reacting to each twist and turn . 	we live the adventure along with the protagonist , reacting to each twist and turn .	1	-1	 we[0] live[0] the[0] adventure[0] along[0] with[0] the[0] protagonist[0] reacting[0] to[0] each[0] twist[0] and[0] turn[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in theory , the key to the suspense is not being to tell what is real and what isn't . 	in theory , the key to the suspense is not being to tell what is real and what isn't .	1	-1	 in[0] theory[0] the[0] key[0] to[0] the[0] suspense[0] is[0] not[0] being[0] to[0] tell[0] what[0] is[0] real[0] and[0] what[0] isn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all we can do is hang on until the end of the ride , when the truth is finally revealed . 	all we can do is hang on until the end of the ride , when the truth is finally revealed .	2	-2	 all[0] we[0] can[0] do[0] is[0] hang[-1] on[0] until[0] the[0] end[0] of[0] the[0] ride[0] when[0] the[0] truth[1] is[0] finally[0] revealed[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
now , for those of you who forgot , let me say this again . 	now , for those of you who forgot , let me say this again .	1	-1	 now[0] for[0] those[0] of[0] you[0] who[0] forgot[0] let[0] me[0] say[0] this[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " don't believe the hype . " 	 " don't believe the hype .<br> "	1	-1	 don't[0] believe[0] the[0] hype[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " the game " is not a thrilling roller coaster ride . 	 " the game " is not a thrilling roller coaster ride .	1	-4	 the[0] game[0] is[0] not[0] a[0] thrilling[3][NegatedDueToPreviousWord] roller[0] coaster[0] ride[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as a suspense-thriller , it doesn't do much but spin in circles . 	as a suspense-thriller , it doesn't do much but spin in circles .	2	-1	 as[0] a[0] suspense[0] thriller[1] it[0] doesn't[0] do[0] much[0] but[0] spin[0] in[0] circles[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
by the third reel , i was fighting back sleep and checking my watch as i endured the predictable plot . 	by the third reel , i was fighting back sleep and checking my watch as i endured the predictable plot .	1	-3	 by[0] the[0] third[0] reel[0] i[0] was[0] fighting[-2] back[0] sleep[0] and[0] checking[0] my[0] watch[0] as[0] i[0] endured[0] the[0] predictable[0] plot[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
is it any wonder douglas won't be able to resist the charms of a mysterious , potentially life-threatening blonde ( ever heard of glenn close ? 	is it any wonder douglas won't be able to resist the charms of a mysterious , potentially life-threatening blonde ( ever heard of glen close ?	2	-3	 is[0] it[0] any[0] wonder[0] douglas[0] won't[0] be[0] able[0] to[0] resist[0] the[0] charms[1] of[0] a[0] mysterious[0] potentially[0] life[0] threatening[-2] blonde[0] ever[0] heard[0] of[0] glenn/glen[0] close[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
no ? well , how about sharon stone ? 	no ?<br> well , how about sharon stone ?	1	-1	 no[0] [[Sentence=-1,1=word max, 1-5]] well[0] how[0] about[0] sharon[0] stone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thought so ) . 	thought so ) .	1	-1	 thought[0] so[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if anything in this film surprises you at all , i would guess you haven't seen that many films . 	if anything in this film surprises you at all , i would guess you haven't seen that many films .	1	-1	 if[0] anything[0] in[0] this[0] film[0] surprises[0] you[0] at[0] all[0] i[0] would[0] guess[0] you[0] haven't[0] seen[0] that[0] many[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is no suspense here . 	there is no suspense here .	1	-1	 there[0] is[0] no[0] suspense[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
trust me , i looked hard to find some . 	trust me , i looked hard to find some .	2	-1	 trust[1] me[0] i[0] looked[0] hard[0] to[0] find[0] some[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i had to settle for contrived gimmicks and ridiculously implausible situations . 	i had to settle for contrived gimmicks and ridiculously implausible situations .	1	-3	 i[0] had[0] to[0] settle[0] for[0] contrived[0] gimmicks[0] and[0] ridiculously[-2] implausible[0] situations[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
fincher aim's for hitchcock but lands somewhere just north of joe eszterhas . 	fincher aim's for hitchcock but lands somewhere just north of joe eszterhas .	1	-1	 fincher[0] aim's[0] for[0] hitchcock[0] but[0] lands[0] somewhere[0] just[0] north[0] of[0] joe[0] eszterhas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are those that might say " the game " is not intended to be viewed literally . 	there are those that might say " the game " is not intended to be viewed literally .	1	-1	 there[0] are[0] those[0] that[0] might[0] say[0] the[0] game[0] is[0] not[0] intended[0] to[0] be[0] viewed[0] literally[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i would submit that is exactly the way i tried to view the film . 	i would submit that is exactly the way i tried to view the film .	1	-1	 i[0] would[0] submit[0] that[0] is[0] exactly[0] the[0] way[0] i[0] tried[0] to[0] view[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film simply does not have the teeth to bite into any real psychological issues . 	the film simply does not have the teeth to bite into any real psychological issues .	1	-1	 the[0] film[0] simply[0] does[0] not[0] have[0] the[0] teeth[0] to[0] bite[0] into[0] any[0] real[0] psychological[0] issues[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is a moment early in the film where van orton , realizing his game has begun , smiles as he walks through the airport trying to figure out who's in on the whole thing . 	there is a moment early in the film where van orton , realizing his game has begun , smiles as he walks through the airport trying to figure out who's in on the whole thing .	3	-1	 there[0] is[0] a[0] moment[0] early[0] in[0] the[0] film[0] where[0] van[0] orton[0] realizing[0] his[0] game[0] has[0] begun[0] smiles[2] as[0] he[0] walks[0] through[0] the[0] airport[0] trying[0] to[0] figure[0] out[0] who's[0] in[0] on[0] the[0] whole[0] thing[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he is charged by his paranoia . 	he is charged by his paranoia .	1	-3	 he[0] is[0] charged[-1] by[0] his[0] paranoia[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he is looking at the world through new eyes . 	he is looking at the world through new eyes .	1	-1	 he[0] is[0] looking[0] at[0] the[0] world[0] through[0] new[0] eyes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is the last thought-provoking moment in the film . 	it is the last thought-provoking moment in the film .	1	-1	 it[0] is[0] the[0] last[0] thought[0] provoking[0] moment[0] in[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from there on , the director only wants to stay a step ahead of us . 	from there on , the director only wants to stay a step ahead of us .	1	-1	 from[0] there[0] on[0] the[0] director[0] only[0] wants[0] to[0] stay[0] a[0] step[0] ahead[0] of[0] us[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
any significant archetype that is set up in the beginning of the film is simply turned into a plot device . 	any significant archetype that is set up in the beginning of the film is simply turned into a plot device .	1	-1	 any[0] significant[0] archetype[0] that[0] is[0] set[0] up[0] in[0] the[0] beginning[0] of[0] the[0] film[0] is[0] simply[0] turned[0] into[0] a[0] plot[0] device[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at the outset , we're told each " game " is tailored to the individual . 	at the outset , we're told each " game " is tailored to the individual .	1	-1	 at[0] the[0] outset[0] we're[0] told[0] each[0] game[0] is[0] tailored[0] to[0] the[0] individual[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ultimately , this " game " is supposed to work like a crucible , trying this obscenely wealthy and emotionally detached aristocrat by fire , proving his soul . 	ultimately , this " game " is supposed to work like a crucible , trying this obscenely wealthy and emotionally detached aristocrat by fire , proving his soul .	2	-1	 ultimately[0] this[0] game[0] is[0] supposed[0] to[0] work[0] like[1] a[0] crucible[0] trying[0] this[0] obscenely[0] wealthy[0] and[0] emotionally[0] detached[0] aristocrat[0] by[0] fire[0] proving[0] his[0] soul[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
yet , as douglas endures his personal gauntlet , we're given very few pieces of the puzzle to illuminate us on who this man really is . 	yet , as douglas endures his personal gauntlet , we're given very few pieces of the puzle to illuminate us on who this man really is .	1	-1	 yet[0] as[0] douglas[0] endures[0] his[0] personal[0] gauntlet[0] we're[0] given[0] very[0] few[0] pieces[0] of[0] the[0] puzzle/puzle[0] to[0] illuminate[0] us[0] on[0] who[0] this[0] man[0] really[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i wanted to like this film more than i did . 	i wanted to like this film more than i did .	2	-1	 i[0] wanted[0] to[0] like[1] this[0] film[0] more[0] than[0] i[0] did[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i look at it as just anothergreat idea , poorly realized . 	i look at it as just anothergreat idea , poorly realized .	1	-2	 i[0] look[0] at[0] it[0] as[0] just[0] anothergreat[0] idea[0] poorly[-1] realized[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i can think of at least two other superior films where watching the film didn't mean we were seeing what was really happening . 	i can think of at least two other superior films where watching the film didn't mean we were seeing what was really happening .	3	-1	 i[0] can[0] think[0] of[0] at[0] least[0] two[0] other[0] superior[2] films[0] where[0] watching[0] the[0] film[0] didn't[0] mean[0] we[0] were[0] seeing[0] what[0] was[0] really[0] happening[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
bryan singer's " the usual suspects " for one , a film that was truly unique in its ability to get you lost in the details before pulling back to show you the full masterpiece on the canvas . 	bryan singer's " the usual suspects " for one , a film that was truly unique in its ability to get you lost in the details before pulling back to show you the full masterpiece on the canvas .	2	-1	 bryan[0] singer's[0] the[0] usual[0] suspects[0] for[0] one[0] a[0] film[0] that[0] was[0] truly[1] unique[0] in[0] its[0] ability[0] to[0] get[0] you[0] lost[0] in[0] the[0] details[0] before[0] pulling[0] back[0] to[0] show[0] you[0] the[0] full[0] masterpiece[0] on[0] the[0] canvas[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
also , there is the underrated " jacob's ladder , " with tim robbins , a film that really has to be watched twice before you recognize the significance of all its symbolism . 	also , there is the underrated " jacob's ladder , " with tim robins , a film that really has to be watched twice before you recognize the significance of all its symbolism .	1	-1	 also[0] there[0] is[0] the[0] underrated[0] jacob's[0] ladder[0] with[0] tim[0] robbins/robins[0] a[0] film[0] that[0] really[0] has[0] to[0] be[0] watched[0] twice[0] before[0] you[0] recognize[0] the[0] significance[0] of[0] all[0] its[0] symbolism[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here are two examples of films that don't simply manipulate for manipulations' sake . 	here are two examples of films that don't simply manipulate for manipulations' sake .	2	-2	 here[0] are[0] two[0] examples[0] of[0] films[0] that[0] don't[0] simply[0] manipulate[-1][NegatedDueToPreviousWord] for[0] manipulations'[-1] sake[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there are films that use their labyrinth structure to lead us to a meaningful place . 	there are films that use their labyrinth structure to lead us to a meaningful place .	1	-1	 there[0] are[0] films[0] that[0] use[0] their[0] labyrinth[0] structure[0] to[0] lead[0] us[0] to[0] a[0] meaningful[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one major issue that comes up in " the game " is whether or not the whole " illusion " is just a highly sophisticated con game . 	one major issue that comes up in " the game " is whether or not the whole " illusion " is just a highly sophisticated con game .	1	-1	 one[0] major[0] issue[0] that[0] comes[0] up[0] in[0] the[0] game[0] is[0] whether[0] or[0] not[0] the[0] whole[0] illusion[0] is[0] just[0] a[0] highly[0] sophisticated[0] con[0] game[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , i can tell you right now , after you've spent your  7 dollars , you may be asking yourself the same thing . 	well , i can tell you right now , after you've spent your  7 dollars , you may be asking yourself the same thing .	1	-1	 well[0] i[0] can[0] tell[0] you[0] right[0] now[0] after[0] you've[0] spent[0] your[0] 7[0] dollars[0] you[0] may[0] be[0] asking[0] yourself[0] the[0] same[0] thing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
