at the end of an action scene in " lara croft : tomb raider , " a wall collapses near the nubile warrior . 	Translation	Positive	Negative	EmotionRationale
for no particular reason , a muscular supporting character strolls around naked for about 30 seconds , with each shot composed to barely cover his package , ? la " austin powers . " 	for no particular reason , a muscular supporting character strolls around naked for about 30 seconds , with each shot composed to barely cover his package , ?<br> la " austin powers .<br> "	2	-2	 for[0] no[0] particular[0] reason[0] a[0] muscular[0] supporting[1] character[0] strolls[0] around[0] naked[0] for[0] about[0] 30[0] seconds[0] with[0] each[0] shot[-1] composed[0] to[0] barely[0] cover[0] his[0] package[0] [[Sentence=-2,2=word max, 1-5]] la[0] austin[0] powers[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
now , i enjoy a good looking male body as much as the next gay guy , but what the hell is beefcake doing in a t&a flick aimed at heterosexual males ? 	now , i enjoy a good looking male body as much as the next gay guy , but what the hell is beefcake doing in a t&a flick aimed at heterosexual males ?	3	-2	 now[0] i[0] enjoy[2] a[0] good[1] looking[0] male[0] body[0] as[0] much[0] as[0] the[0] next[0] gay[-1] guy[0] but[0] what[0] the[0] hell[-1] is[0] beefcake[0] doing[0] in[0] a[0] t&a[0] flick[0] aimed[0] at[0] heterosexual[0] males[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
of course , what else should one expect in a film that does virtually nothing right ? 	of course , what else should one expect in a film that does virtually nothing right ?	1	-1	 of[0] course[0] what[0] else[0] should[0] one[0] expect[0] in[0] a[0] film[0] that[0] does[0] virtually[0] nothing[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " tomb raider " sets up elaborate action set pieces , then renders them incomprehensible with needless jump cut editing ( a promising dual bungee cord battle is ruined by excessive cuts ) . 	 " tomb raider " sets up elaborate action set pieces , then renders them incomprehensible with needless jump cut editing ( a promising dual bungee cord battle is ruined by excessive cuts ) .	2	-2	 tomb[0] raider[0] sets[0] up[0] elaborate[0] action[0] set[0] pieces[0] then[0] renders[0] them[0] incomprehensible[0] with[0] needless[0] jump[0] cut[0] editing[0] a[0] promising[1] dual[0] bungee[0] cord[0] battle[-1] is[0] ruined[-1] by[0] excessive[-1] cuts[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it promises a series of exotic locales , then delivers cavernous sets and grimy matte paintings with smoggy skies . 	it promises a series of exotic locales , then delivers cavernous sets and grimy matte paintings with smoggy skies .	2	-3	 it[0] promises[1] a[0] series[0] of[0] exotic[0] locales[0] then[0] delivers[0] cavernous[0] sets[0] and[0] grimy[-2] matte[0] paintings[0] with[0] smoggy[0] skies[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
throw in some bargain basement computer graphics and you end up with the ugliest movie to come down the pike in many moons . 	throw in some bargain basement computer graphics and you end up with the ugliest movie to come down the pike in many moons .	1	-3	 throw[0] in[0] some[0] bargain[0] basement[0] computer[0] graphics[0] and[0] you[0] end[0] up[0] with[0] the[0] ugliest[-2] movie[0] to[0] come[0] down[0] the[0] pike[0] in[0] many[0] moons[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
intended to be a rousing " indiana jones " style adventure , " tomb raider " lacks any sense of tension . 	intended to be a rousing " indiana jones " style adventure , " tomb raider " lacks any sense of tension .	1	-3	 intended[0] to[0] be[0] a[0] rousing[0] indiana[0] jones[0] style[0] adventure[0] tomb[0] raider[0] lacks[0] any[0] sense[0] of[0] tension[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the low point comes when lara is " threatened " by statues of monkey warriors and a giant multi-armed shiva figure that come to life courtesy of cgi . 	the low point comes when lara is " threatened " by statues of monkey warriors and a giant multi-armed shiva figure that come to life courtesy of cgi .	1	-3	 the[0] low[-1] point[0] comes[0] when[0] lara[0] is[0] threatened[-2] by[0] statues[0] of[0] monkey[0] warriors[0] and[0] a[0] giant[0] multi[0] armed[0] shiva[0] figure[0] that[0] come[0] to[0] life[0] courtesy[0] of[0] cgi[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
easily the lamest menaces i have ever seen , the creatures move like snails and fall apart with a single shot from a gun . 	easily the lamest menaces i have ever seen , the creatures move like snails and fall apart with a single shot from a gun .	2	-3	 easily[0] the[0] lamest[-2] menaces[0] i[0] have[0] ever[0] seen[0] the[0] creatures[0] move[0] like[1] snails[0] and[0] fall[0] apart[0] with[0] a[0] single[0] shot[-1] from[0] a[0] gun[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
if you ever have to be chased by monsters , pray that you get the monkey warriors . 	if you ever have to be chased by monsters , pray that you get the monkey warriors .	1	-2	 if[0] you[0] ever[0] have[0] to[0] be[0] chased[-1] by[0] monsters[0] pray[0] that[0] you[0] get[0] the[0] monkey[0] warriors[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " tomb raider " tells a story , sort of . 	 " tomb raider " tells a story , sort of .	1	-1	 tomb[0] raider[0] tells[0] a[0] story[0] sort[0] of[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
once every 5 , 000 years , the planets align . 	once every 5 , 00 years , the planets align .	1	-1	 once[0] every[0] 5[0] 000/00[0] years[0] the[0] planets[0] align[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a group of very bad men are out to find two halves of an object that , if reassembled just as the planets align , will give them control over time itself . 	a group of very bad men are out to find two halves of an object that , if reassembled just as the planets align , will give them control over time itself .	1	-3	 a[0] group[0] of[0] very[0] bad[-1][-1 LastWordBoosterStrength] men[0] are[0] out[0] to[0] find[0] two[0] halves[0] of[0] an[0] object[0] that[0] if[0] reassembled[0] just[0] as[0] the[0] planets[0] align[0] will[0] give[0] them[0] control[0] over[0] time[0] itself[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
lara's goal is to stop them and rescue her long-missing poppa ( jon voight , jolie's real life dad ) . 	lara's goal is to stop them and rescue her long-missing poppa ( jon voight , jolie's real life dad ) .	1	-1	 lara's[0] goal[0] is[0] to[0] stop[0] them[0] and[0] rescue[0] her[0] long[0] missing[0] poppa[0] jon[0] voight[0] jolie's[0] real[0] life[0] dad[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
none of this matters though , because stunning gaps in internal logic assure that the plot of " lara croft : tomb raider " is as lame as ever other aspect of the film ? except angelina jolie's lips and breasts . 	none of this matters though , because stunning gaps in internal logic assure that the plot of " lara croft : tomb raider " is as lame as ever other aspect of the film ?<br> except angelina jolie's lips and breasts .	1	-3	 none[0] of[0] this[0] matters[0] though[0] because[0] stunning[0] gaps[0] in[0] internal[0] logic[0] assure[0] that[0] the[0] plot[0] of[0] lara[0] croft[0] tomb[0] raider[0] is[0] as[0] lame[-2] as[0] ever[0] other[0] aspect[0] of[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]] except[0] angelina[0] jolie's[0] lips[0] and[0] breasts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
