it was with a huge lack of something to do that i decided to watch this on good old upn on sunday afternoon , when the only good things on tv are the second-rate movies they show ( some are good : they showed " total recall " before this one ) . 	Translation	Positive	Negative	EmotionRationale
but the guy makes worse films than reagan did . 	but the guy makes worse films than reagan did .	1	-3	 but[0] the[0] guy[0] makes[0] worse[-2] films[0] than[0] reagan[0] did[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
so what's the plot of this shit-terpiece ? 	so what's the plot of this shit-terpiece ?	1	-2	 so[0] what's[0] the[0] plot[0] of[0] this[0] shit[-1] terpiece[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
well . . . something 	well .<br> .<br> .<br> something	1	-1	 well[0] [[Sentence=-1,1=word max, 1-5]] something[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
about him trying to catch a stupid-ass crook ( william forsythe ) who shot and killed his partner in broad daylight . 	about him trying to catch a stupid-ass crook ( william forsythe ) who shot and killed his partner in broad daylight .	1	-4	 about[0] him[0] trying[0] to[0] catch[0] a[0] stupid[-1] ass[0] crook[-1] william[0] forsythe[0] who[0] shot[-1] and[0] killed[-3] his[0] partner[0] in[0] broad[0] daylight[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i couldn't believe how bad this scene was - the guy was conveniently with his family so we get the maximum emotional effect ( ahem ! ) . 	i couldn't believe how bad this scene was - the guy was conveniently with his family so we get the maximum emotional effect ( ahem !<br> ) .	1	-2	 i[0] couldn't[0] believe[0] how[0] bad[-1] this[0] scene[0] was[0] the[0] guy[0] was[0] conveniently[0] with[0] his[0] family[0] so[0] we[0] get[0] the[0] maximum[0] emotional[-1] effect[0] ahem[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and forsythe even said some stupid lines to him before he took off . 	and forsythe even said some stupid lines to him before he took off .	1	-1	 and[0] forsythe[0] even[0] said[0] some[0] stupid[-1][--1 LastWordBoosterStrength] lines[0] to[0] him[0] before[0] he[0] took[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm sorry , did anyone ever hear of concealing one's self ? 	i'm sorry , did anyone ever hear of concealing one's self ?	1	-2	 i'm[0] sorry[-1] did[0] anyone[0] ever[0] hear[0] of[0] concealing[-1] one's[0] self[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so in comes ex-brooklynite seagal , who dedicates his life to catching this guy . 	so in comes ex-brooklynite seagal , who dedicates his life to catching this guy .	1	-1	 so[0] in[0] comes[0] ex[0] brooklynite[0] seagal[0] who[0] dedicates[0] his[0] life[0] to[0] catching[0] this[0] guy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and i just wished he had caught him in the beginning , then ended the film . 	and i just wished he had caught him in the beginning , then ended the film .	1	-1	 and[0] i[0] just[0] wished[0] he[0] had[0] caught[0] him[0] in[0] the[0] beginning[0] then[0] ended[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but noooo , this drags on , as he bullies forsythe's family members ( including a stupid bar-owner , and none other than gina gershon as his other bar-owner sister ) . 	but no , this drags on , as he bullies forsythe's family members ( including a stupid bar-owner , and none other than gina gershon as his other bar-owner sister ) .	2	-2	 but[0] noooo/no[0][+0.6 MultipleLetters] this[0] drags[0] on[0] as[0] he[0] bullies[0] forsythe's[0] family[0] members[0] including[0] a[0] stupid[-1] bar[0] owner[0] and[0] none[0] other[0] than[0] gina[0] gershon[0] as[0] his[0] other[0] bar[0] owner[0] sister[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and forsythe more than once threatens his family . 	and forsythe more than once threatens his family .	1	-3	 and[0] forsythe[0] more[0] than[0] once[0] threatens[-2] his[0] family[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
at one point , he actually comes to their house and stalks them like a non-threatening nicholson in " the shining " ( complete with them all hiding in the bathroom , but with an added bonus of one girl conveniently loosing her cool and screaming to give them away ) . 	at one point , he actually comes to their house and stalks them like a non-threatening nicholson in " the shining " ( complete with them all hiding in the bathroom , but with an added bonus of one girl conveniently loosing her cool and screaming to give them away ) .	2	-4	 at[0] one[0] point[0] he[0] actually[0] comes[0] to[0] their[0] house[0] and[0] stalks[0] them[0] like[1] a[0] non[0] threatening[-2] nicholson[0] in[0] the[0] shining[0] complete[0] with[0] them[0] all[0] hiding[0] in[0] the[0] bathroom[0] but[0] with[0] an[0] added[0] bonus[0] of[0] one[0] girl[0] conveniently[0] loosing[0] her[0] cool[1] and[0] screaming[-3] to[0] give[0] them[0] away[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
seagal paints himself as a lovable person , with a son , and a fiancee . 	seagal paints himself as a lovable person , with a son , and a fiancee .	1	-1	 seagal[0] paints[0] himself[0] as[0] a[0] lovable[0] person[0] with[0] a[0] son[0] and[0] a[0] fiancee[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he even shows him hanging with his son , checking up on his homework , and then about to take him out for a bit of " catch , " when he's conveniently called away on assignment . 	he even shows him hanging with his son , checking up on his homework , and then about to take him out for a bit of " catch , " when he's conveniently called away on assignment .	1	-1	 he[0] even[0] shows[0] him[0] hanging[0] with[0] his[0] son[0] checking[0] up[0] on[0] his[0] homework[0] and[0] then[0] about[0] to[0] take[0] him[0] out[0] for[0] a[0] bit[0] of[0] catch[0] when[0] he's[0] conveniently[0] called[0] away[0] on[0] assignment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i dunno about you , but playing " catch " with seagal was one of my childhood nightmares . 	i dunno about you , but playing " catch " with seagal was one of my childhood nightmares .	2	-1	 i[0] dunno[0] about[0] you[0] but[0] playing[1] catch[0] with[0] seagal[0] was[0] one[0] of[0] my[0] childhood[0] nightmares[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he also shows him as that bad-ass he wants to be , with scenes of him bullying crooks around , and taking out people who are stupid enough to attack him even after he's unarmed a chinese guy swinging bats with a pool cue . 	he also shows him as that bad-ass he wants to be , with scenes of him bullying crooks around , and taking out people who are stupid enough to attack him even after he's unarmed a chinese guy swinging bats with a pool cue .	1	-3	 he[0] also[0] shows[0] him[0] as[0] that[0] bad[-1] ass[0] he[0] wants[0] to[0] be[0] with[0] scenes[0] of[0] him[0] bullying[0] crooks[0] around[0] and[0] taking[0] out[0] people[0] who[0] are[0] stupid[-1] enough[0] to[0] attack[-2] him[0] even[0] after[0] he's[0] unarmed[0] a[0] chinese[0] guy[0] swinging[0] bats[0] with[0] a[0] pool[0] cue[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
serves them right . 	serves them right .	1	-1	 serves[0] them[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film , as some of his do , has an interesting supporting cast of actors who are actually talented , but don't appear to be in this film . 	this film , as some of his do , has an interesting supporting cast of actors who are actually talented , but don't appear to be in this film .	2	-1	 this[0] film[0] as[0] some[0] of[0] his[0] do[0] has[0] an[0] interesting[1] supporting[1] cast[0] of[0] actors[0] who[0] are[0] actually[0] talented[1] but[0] don't[0] appear[0] to[0] be[0] in[0] this[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i already mentioned gina gershon ( who's pretty horrible in this one ) , as well as william forsythe , who over-acts terribly . 	i already mentioned gina gershon ( who's pretty horrible in this one ) , as well as william forsythe , who over-acts terribly .	3	-4	 i[0] already[0] mentioned[0] gina[0] gershon[0] who's[0] pretty[2] horrible[-3] in[0] this[0] one[0] as[0] well[0] as[0] william[0] forsythe[0] who[0] over[0] acts[0] terribly[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
i know this guy can act : he was awesome in " raising arizona " as goodman's partner in crime . 	i know this guy can act : he was awesome in " raising arizona " as goodman's partner in crime .	3	-2	 i[0] know[0] this[0] guy[0] can[0] act[0] he[0] was[0] awesome[2] in[0] raising[0] arizona[0] as[0] goodman's[0] partner[0] in[0] crime[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but he's just awful here . 	but he's just awful here .	1	-3	 but[0] he's[0] just[0] awful[-3][--1 LastWordBoosterStrength] here[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
jerry orbach gives the only credible performance in the film as the police chief who checks up on segal after things have gone down . 	jerry orbach gives the only credible performance in the film as the police chief who checks up on segal after things have gone down .	1	-1	 jerry[0] orbach[0] gives[0] the[0] only[0] credible[0] performance[0] in[0] the[0] film[0] as[0] the[0] police[0] chief[0] who[0] checks[0] up[0] on[0] segal[0] after[0] things[0] have[0] gone[0] down[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why is he the only one who gives a good performance ? 	why is he the only one who gives a good performance ?	2	-1	 why[0] is[0] he[0] the[0] only[0] one[0] who[0] gives[0] a[0] good[1] performance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
well , because his role is small enough and sporadic enough to not tarnish his credibility . 	well , because his role is small enough and sporadic enough to not tarnish his credibility .	1	-1	 well[0] because[0] his[0] role[0] is[0] small[0] enough[0] and[0] sporadic[0] enough[0] to[0] not[0] tarnish[0] his[0] credibility[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he seems to be in here just to give it a cool " law and order " feeling ( even if it's not a " cool " feeling ) . 	he seems to be in here just to give it a cool " law and order " feeling ( even if it's not a " cool " feeling ) .	2	-2	 he[0] seems[0] to[0] be[0] in[0] here[0] just[0] to[0] give[0] it[0] a[0] cool[1] law[0] and[0] order[0] feeling[0] even[0] if[0] it's[0] not[0] a[0] cool[1][NegatedDueToPreviousWord] feeling[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and in cameos are b-rated erotic-thriller-cinemax-style stars , shannon whirry ( as " terry malloy , " which is more of a bad joke than a clever one ) and athena massey . 	and in cameos are b-rated erotic-thriller-cinemax-style stars , shannon whirry ( as " terry malloy , " which is more of a bad joke than a clever one ) and athena massey .	2	-2	 and[0] in[0] cameos[0] are[0] b[0] rated[0] erotic[0] thriller[1] cinemax[0] style[0] stars[0] shannon[0] whirry[0] as[0] terry[0] malloy[0] which[0] is[0] more[0] of[0] a[0] bad[-1] joke[1] than[0] a[0] clever[0] one[0] and[0] athena[0] massey[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
oh ! 	oh !	1	-1	 oh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and " er " 's julliana margiulles has two scenes . 	and " er " 's julliana margiulles has two scenes .	1	-1	 and[0] er[0] 's[0] julliana[0] margiulles[0] has[0] two[0] scenes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " out for justice " just proves once again that american action films just suck . 	 " out for justice " just proves once again that american action films just suck .	1	-1	 out[0] for[0] justice[0] just[0] proves[0] once[0] again[0] that[0] american[0] action[0] films[0] just[0] suck[-1][--1 LastWordBoosterStrength] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i know that there's such a good thing as good action - he's called john woo . 	i know that there's such a good thing as good action - he's called john woo .	2	-1	 i[0] know[0] that[0] there's[0] such[0] a[0] good[1] thing[0] as[0] good[1] action[0] he's[0] called[0] john[0] woo[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but if you're in the mood for some good old no-brainer , fun-yet-dumb action , don't bother watching this . 	but if you're in the mood for some good old no-brainer , fun-yet-dumb action , don't bother watching this .	2	-2	 but[0] if[0] you're[0] in[0] the[0] mood[0] for[0] some[0] good[1][-1 LastWordBoosterStrength] old[0] no[0] brainer[0] fun[1] yet[0] dumb[-1] action[0] don't[0] bother[-1][NegatedDueToPreviousWord] watching[0] this[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's so stupid that it's boring . 	it's so stupid that it's boring .	1	-2	 it's[0] so[0] stupid[-1] that[0] it's[0] boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
