so what do you get when you mix together plot elements from various successful sci-fi films such as close encounters of the third kind , 2001 : a space odyssey , apollo 13 and contact ? 	Translation	Positive	Negative	EmotionRationale
mind you , if you enjoyed that film's shrug-of-the-shoulders ending , you might just enjoy this frivolous ditty as well . 	mind you , if you enjoyed that film's shrug-of-the-shoulders ending , you might just enjoy this frivolous ditty as well .	3	-2	 mind[0] you[0] if[0] you[0] enjoyed[2] that[0] film's[0] shrug[0] of[0] the[0] shoulders[0] ending[0] you[0] might[0] just[0] enjoy[2][-1 LastWordBoosterStrength] this[0] frivolous[-1] ditty[0] as[0] well[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
of course , i don't remember contact having such obvious and painfully distracting computer generated effects at its end of story . 	of course , i don't remember contact having such obvious and painfully distracting computer generated effects at its end of story .	1	-4	 of[0] course[0] i[0] don't[0] remember[0] contact[0] having[0] such[0] obvious[0] and[0] painfully[-3] distracting[-1] computer[0] generated[0] effects[0] at[0] its[0] end[0] of[0] story[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
ugh . 	ugh .	1	-3	 ugh[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what a friggin' mess . 	what a friggin' mess .	1	-1	 what[0] a[0] friggin'[0] mess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
films like this generally get me wondering about the brass in hollywood again . 	films like this generally get me wondering about the brass in hollywood again .	2	-1	 films[0] like[1] this[0] generally[0] get[0] me[0] wondering[0] about[0] the[0] brass[0] in[0] hollywood[0] again[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
didn't anybody recognize the crappiness in this script ? 	didn't anybody recognize the crappiness in this script ?	1	-1	 didn't[0] anybody[0] recognize[0] the[0] crappiness[0] in[0] this[0] script[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
didn't they read the bad dialogue , the cheezy lines , the obvious derivative nature of the work ( mind you , with a director like depalma at the helm , that ain't saying much ! ) . 	didn't they read the bad dialogue , the cheezy lines , the obvious derivative nature of the work ( mind you , with a director like depalma at the helm , that ain't saying much !<br> ) .	2	-2	 didn't[0] they[0] read[0] the[0] bad[-1] dialogue[0] the[0] cheezy[0] lines[0] the[0] obvious[0] derivative[0] nature[0] of[0] the[0] work[0] mind[0] you[0] with[0] a[0] director[0] like[1] depalma[0] at[0] the[0] helm[0] that[0] ain't[0] saying[0] much[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
of course , you can't really blame the brass for the inclusion of jerry o'connell in this fine crew of thespians . 	of course , you can't really blame the brass for the inclusion of jerry o'connell in this fine crew of thespians .	3	-1	 of[0] course[0] you[0] can't[0] really[0] blame[-1][-1 LastWordBoosterStrength][NegatedDueToPreviousWord] the[0] brass[0] for[0] the[0] inclusion[0] of[0] jerry[0] o'connell[0] in[0] this[0] fine[2] crew[0] of[0] thespians[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
'nuff said . 	'nuff said .	1	-1	 'nuff[0] said[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
neither can you blame them for depalma cranking up the juice on the film's musical score during the last fifteen minutes , presumably in order to wake the audience up ( okay , we get it brian , this scene is supposed to be powerful . . . wow . . . yawn . . . my 	neither can you blame them for depalma cranking up the juice on the film's musical score during the last fifteen minutes , presumably in order to wake the audience up ( okay , we get it brian , this scene is supposed to be powerful .<br> .<br> .<br> wow .<br> .<br> .<br> yawn .<br> .<br> .<br> my	3	-2	 neither[0] can[0] you[0] blame[-1] them[0] for[0] depalma[0] cranking[0] up[0] the[0] juice[0] on[0] the[0] film's[0] musical[0] score[0] during[0] the[0] last[0] fifteen[0] minutes[0] presumably[0] in[0] order[0] to[0] wake[0] the[0] audience[0] up[0] okay[0] we[0] get[0] it[0] brian[0] this[0] scene[0] is[0] supposed[0] to[0] be[0] powerful[0] [[Sentence=-2,1=word max, 1-5]] wow[2] [[Sentence=-1,3=word max, 1-5]] yawn[-1] [[Sentence=-2,1=word max, 1-5]] my[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
ears hurt ! ) . 	ears hurt !<br> ) .	1	-3	 ears[0] hurt[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
so is anything salvageable in this movie ? 	so is anything salvageable in this movie ?	1	-1	 so[0] is[0] anything[0] salvageable[0] in[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sure . 	sure .	1	-1	 sure[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gary sinise does another great job , as does cheadle , the film doesn't completely bore you as much as it just moves along slowly without anything really interesting happening , and yes , the " sand-twister " effect that you see in the commercial is well done . 	gary sinise does another great job , as does cheadle , the film doesn't completely bore you as much as it just moves along slowly without anything really interesting happening , and yes , the " sand-twister " effect that you see in the commercial is well done .	3	-3	 gary[0] sinise[0] does[0] another[0] great[2] job[0] as[0] does[0] cheadle[0] the[0] film[0] doesn't[0] completely[0] bore[-1][-1 LastWordBoosterStrength] you[0] as[0] much[0] as[0] it[0] just[0] moves[0] along[0] slowly[0] without[0] anything[0] really[0] interesting[1][1 LastWordBoosterStrength] happening[0] and[0] yes[0] the[0] sand[0] twister[0] effect[0] that[0] you[0] see[0] in[0] the[0] commercial[0] is[0] well[0] done[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
other than that ? 	other than that ?	1	-1	 other[0] than[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i guess i could say that i admire how filmmakers have become so much more devious in their product placement strategies . . . oops , 	i guess i could say that i admire how filmmakers have become so much more devious in their product placement strategies .<br> .<br> .<br> oops ,	3	-2	 i[0] guess[0] i[0] could[0] say[0] that[0] i[0] admire[2] how[0] filmmakers[0] have[0] become[0] so[0] much[0] more[0] devious[-1] in[0] their[0] product[0] placement[0] strategies[0] [[Sentence=-2,3=word max, 1-5]] oops[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
did i say " admire " , i meant " am disgusted " ! 	did i say " admire " , i meant " am disgusted " !	3	-4	 did[0] i[0] say[0] admire[2] i[0] meant[0] am[0] disgusted[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
all in all , this movie delivers very little in actual substance , offers two-bit dialogue masked in a lot of sci-fi mumbo-jumbo , pretends to be deep when really it's just sappy , and eventually just settles into an ending which , other than presenting us with a pathetic computer graphic as a part of the story , gives us little more to think about than how we might be able to get our money back for sitting through this rehashed dreck . 	all in all , this movie delivers very little in actual substance , offers two-bit dialogue masked in a lot of sci-fi mumbo-jumbo , pretends to be deep when really it's just sappy , and eventually just settles into an ending which , other than presenting us with a pathetic computer graphic as a part of the story , gives us little more to think about than how we might be able to get our money back for sitting through this rehashed dreck .	1	-3	 all[0] in[0] all[0] this[0] movie[0] delivers[0] very[0] little[0] in[0] actual[0] substance[0] offers[0] two[0] bit[0] dialogue[0] masked[0] in[0] a[0] lot[0] of[0] sci[0] fi[0] mumbo[0] jumbo[0] pretends[0] to[0] be[0] deep[0] when[0] really[0] it's[0] just[0] sappy[0] and[0] eventually[0] just[0] settles[0] into[0] an[0] ending[0] which[0] other[0] than[0] presenting[0] us[0] with[0] a[0] pathetic[-2] computer[0] graphic[0] as[0] a[0] part[0] of[0] the[0] story[0] gives[0] us[0] little[0] more[0] to[0] think[0] about[0] than[0] how[0] we[0] might[0] be[0] able[0] to[0] get[0] our[0] money[0] back[0] for[0] sitting[0] through[0] this[0] rehashed[0] dreck[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
go see the ninth gate . . . now 	go see the ninth gate .<br> .<br> .<br> now	1	-1	 go[0] see[0] the[0] ninth[0] gate[0] [[Sentence=-1,1=word max, 1-5]] now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's a great movie ! 	there's a great movie !	3	-1	 there's[0] a[0] great[2] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and on a personal note , i think it's time for depalma to stop worrying so much about his proverbial 12-minute uninterrupted film sequences , and start worrying more about how crappy his movies are getting . 	and on a personal note , i think it's time for depalma to stop worrying so much about his proverbial 12-minute uninterrupted film sequences , and start worrying more about how crappy his movies are getting .	1	-4	 and[0] on[0] a[0] personal[0] note[0] i[0] think[0] it's[0] time[0] for[0] depalma[0] to[0] stop[0] worrying[-3] so[0] much[0] about[0] his[0] proverbial[0] 12[0] minute[0] uninterrupted[0] film[0] sequences[0] and[0] start[0] worrying[-3] more[0] about[0] how[0] crappy[-2] his[0] movies[0] are[0] getting[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
