for better or worse , the appearance of basic instinct in the movie marketplace gave the greenlight to a whole slew of overheated , oversexed , underwritten thrillers . 	Translation	Positive	Negative	EmotionRationale
how obvious is it that he's gonna cheat on her and have to fess everything up ? 	how obvious is it that he's gonna cheat on her and have to fess everything up ?	1	-3	 how[0] obvious[0] is[0] it[0] that[0] he's[0] gonna[0] cheat[-2] on[0] her[0] and[0] have[0] to[0] fess[0] everything[0] up[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and get kicked out of the house ? 	and get kicked out of the house ?	1	-2	 and[0] get[0] kicked[-1] out[0] of[0] the[0] house[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and get welcomed back anyway ? 	and get welcomed back anyway ?	2	-1	 and[0] get[0] welcomed[1] back[0] anyway[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
don't skip to the end yet ; we're just getting warmed up . 	don't skip to the end yet ; we're just getting warmed up .	1	-1	 don't[0] skip[0] to[0] the[0] end[0] yet[0] we're[0] just[0] getting[0] warmed[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dafoe and madonna have a lot of sex in this movie . 	dafoe and madonna have a lot of sex in this movie .	1	-1	 dafoe[0] and[0] madonna[0] have[0] a[0] lot[0] of[0] sex[0] in[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most of it is about as erotic as open-heart surgery , since it involves such goodies as hot candlewax ( always the kink of choice among screenwriters who don't know the first thing about * really * kinky sex ) and smashed light bulbs . 	most of it is about as erotic as open-heart surgery , since it involves such goodies as hot candlewax ( always the kink of choice among screenwriters who don't know the first thing about * really * kinky sex ) and smashed light bulbs .	1	-1	 most[0] of[0] it[0] is[0] about[0] as[0] erotic[0] as[0] open[0] heart[0] surgery[0] since[0] it[0] involves[0] such[0] goodies[0] as[0] hot[0] candlewax[0] always[0] the[0] kink[0] of[0] choice[0] among[0] screenwriters[0] who[0] don't[0] know[0] the[0] first[0] thing[0] about[0] really[0] kinky[0] sex[0] and[0] smashed[0] light[0] bulbs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
don't ask . 	don't ask .	1	-1	 don't[0] ask[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
another thing that people are starting to realize about explicit sex in movies is that unless it is critically important to the story , it's insanely dull . 	another thing that people are starting to realize about explicit sex in movies is that unless it is critically important to the story , it's insanely dull .	1	-2	 another[0] thing[0] that[0] people[0] are[0] starting[0] to[0] realize[0] about[0] explicit[0] sex[0] in[0] movies[0] is[0] that[0] unless[0] it[0] is[0] critically[-1] important[0] to[0] the[0] story[0] it's[0] insanely[0] dull[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what's worse is that body of evidence is dull * everywhere * , not just in the sex scenes . 	what's worse is that body of evidence is dull * everywhere * , not just in the sex scenes .	1	-3	 what's[0] worse[-2] is[0] that[0] body[0] of[0] evidence[0] is[0] dull[-1] everywhere[0] not[0] just[0] in[0] the[0] sex[0] scenes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the stuff in the courtroom is recycled ninth-hand from other bad courtroom drama scenes . 	the stuff in the courtroom is recycled ninth-hand from other bad courtroom drama scenes .	1	-2	 the[0] stuff[0] in[0] the[0] courtroom[0] is[0] recycled[0] ninth[0] hand[0] from[0] other[0] bad[-1] courtroom[0] drama[0] scenes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the thriller business itself is ridiculous -- it involves nasal spray bottles and drugs , and juergen prochnow as a surly doctor . 	the thriller business itself is ridiculous - it involves nasal spray bottles and drugs , and juergen prochnow as a surly doctor .	2	-3	 the[0] thriller[1] business[0] itself[0] is[0] ridiculous[-2] it[0] involves[0] nasal[0] spray[0] bottles[0] and[0] drugs[0] and[0] juergen[0] prochnow[0] as[0] a[0] surly[0] doctor[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and the ending -- another homage to eszterhas , maybe ? 	and the ending - another homage to eszterhas , maybe ?	1	-1	 and[0] the[0] ending[0] another[0] homage[0] to[0] eszterhas[0] maybe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
-- is one of those endings where you can almost see the exact * frame * where one of the five or six various endings to this mess was spliced in . 	- is one of those endings where you can almost see the exact * frame * where one of the five or six various endings to this mess was spliced in .	1	-1	 is[0] one[0] of[0] those[0] endings[0] where[0] you[0] can[0] almost[0] see[0] the[0] exact[0] frame[0] where[0] one[0] of[0] the[0] five[0] or[0] six[0] various[0] endings[0] to[0] this[0] mess[0] was[0] spliced[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the director is uli edel , all the more disappointing since he also directed the elegiac and powerful last exit to brooklyn and christiane f . everyone has to eat , i guess , but this isn't a meal ticket , it's leftovers . 	the director is uli edel , all the more disappointing since he also directed the elegiac and powerful last exit to brooklyn and christiane f .<br> everyone has to eat , i guess , but this isn't a meal ticket , it's leftovers .	1	-2	 the[0] director[0] is[0] uli[0] edel[0] all[0] the[0] more[0] disappointing[-1] since[0] he[0] also[0] directed[0] the[0] elegiac[0] and[0] powerful[0] last[0] exit[-1] to[0] brooklyn[0] and[0] christiane[0] f[0] [[Sentence=-2,1=word max, 1-5]] everyone[0] has[0] to[0] eat[0] i[0] guess[0] but[0] this[0] isn't[0] a[0] meal[0] ticket[0] it's[0] leftovers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
