 " alcohol and drugs = bad . 	Translation	Positive	Negative	EmotionRationale
here she must realize that the only thing that can save her is her is redemption , willpower and commitment . 	here she must realize that the only thing that can save her is her is redemption , willpower and commitment .	2	-1	 here[0] she[0] must[0] realize[0] that[0] the[0] only[0] thing[0] that[0] can[0] save[1] her[0] is[0] her[0] is[0] redemption[0] willpower[0] and[0] commitment[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
most important she must realize her place and direction in life and understand that her life is not just a big party . 	most important she must realize her place and direction in life and understand that her life is not just a big party .	1	-1	 most[0] important[0] she[0] must[0] realize[0] her[0] place[0] and[0] direction[0] in[0] life[0] and[0] understand[0] that[0] her[0] life[0] is[0] not[0] just[0] a[0] big[0] party[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film itself feels like a rehab program , whining and moaning about things that have been said and written a million times . 	the film itself feels like a rehab program , whining and moaning about things that have been said and written a million times .	2	-3	 the[0] film[0] itself[0] feels[0] like[1] a[0] rehab[0] program[0] whining[-2] and[0] moaning[0] about[0] things[0] that[0] have[0] been[0] said[0] and[0] written[0] a[0] million[0] times[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it is a classic cautionary tale . 	it is a classic cautionary tale .	1	-1	 it[0] is[0] a[0] classic[0] cautionary[0] tale[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an echo . 	an echo .	1	-1	 an[0] echo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a big , fat and expensive clich ? . 	a big , fat and expensive clich ?<br> .	1	-2	 a[0] big[0] fat[-1] and[0] expensive[-1] clich[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a shadow of last year's 'girl , interrupted' , which likewise followed in the footsteps of great masterpieces like 'the cuckoo's nest' and 'trainspotting' . 	a shadow of last year's 'girl , interrupted' , which likewise followed in the footsteps of great masterpieces like 'the cuckoo's nest' and 'trainspotting' .	3	-2	 a[0] shadow[0] of[0] last[0] year's[0] 'girl[0] interrupted'[-1] which[0] likewise[0] followed[0] in[0] the[0] footsteps[0] of[0] great[2] masterpieces[0] like[1] 'the[0] cuckoo's[0] nest'[0] and[0] 'trainspotting'[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
director betty thomas has stuffed her film with so many failures and errors , that it is impossible to sum them all up in one review . 	director betty thomas has stuffed her film with so many failures and errors , that it is impossible to sum them all up in one review .	1	-3	 director[0] betty[0] thomas[0] has[0] stuffed[0] her[0] film[0] with[0] so[0] many[0] failures[-2] and[0] errors[-1] that[0] it[0] is[0] impossible[0] to[0] sum[0] them[0] all[0] up[0] in[0] one[0] review[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
for some paranoid reason she decided to make her film a drama/comedy . 	for some paranoid reason she decided to make her film a drama/comedy .	1	-2	 for[0] some[0] paranoid[-2][--1 LastWordBoosterStrength] reason[0] she[0] decided[0] to[0] make[0] her[0] film[0] a[0] drama/comedy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jokes and funny characters almost deliberately delude you from the really important and complex issues : alienation , despair , terror , confusion , loneliness . 	jokes and funny characters almost deliberately delude you from the really important and complex issues : alienation , despair , terror , confusion , loneliness .	2	-4	 jokes[1] and[0] funny[1] characters[0] almost[0] deliberately[0] delude[0] you[0] from[0] the[0] really[0] important[0] and[0] complex[0] issues[0] alienation[-1] despair[-3] terror[-1] confusion[-1] loneliness[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
and what awesome power and strength of character it actually takes to overcome all that and become clean . 	and what awesome power and strength of character it actually takes to overcome all that and become clean .	3	-1	 and[0] what[0] awesome[2] power[0] and[0] strength[0] of[0] character[0] it[0] actually[0] takes[0] to[0] overcome[0] all[0] that[0] and[0] become[0] clean[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
isn't that what the filmmakers wanted to show in the first place ? 	isn't that what the filmmakers wanted to show in the first place ?	1	-1	 isn't[0] that[0] what[0] the[0] filmmakers[0] wanted[0] to[0] show[0] in[0] the[0] first[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even the transition process itself seems like a walk in the park . betty thomas' idea of hell is a cozy , homey place where happy alcoholics and cheerful drug addicts are not allowed to smoke , drink or watch tv after 11 . 	even the transition process itself seems like a walk in the park .<br> betty thomas' idea of hell is a cozy , homey place where happy alcoholics and cheerful drug addicts are not allowed to smoke , drink or watch tv after 11 .	3	-2	 even[0] the[0] transition[0] process[0] itself[0] seems[0] like[1] a[0] walk[0] in[0] the[0] park[0] [[Sentence=-1,2=word max, 1-5]] betty[0] thomas'[0] idea[0] of[0] hell[-1] is[0] a[0] cozy[1] homey[0] place[0] where[0] happy[1] alcoholics[0] and[0] cheerful[2] drug[0] addicts[-1] are[0] not[0] allowed[0] to[0] smoke[0] drink[0] or[0] watch[0] tv[0] after[0] 11[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it is simply too light , simplified and unnecessary sweet to be taken seriously . 	it is simply too light , simplified and unnecessary sweet to be taken seriously .	2	-2	 it[0] is[0] simply[0] too[0] light[0] simplified[0] and[0] unnecessary[-1] sweet[1] to[0] be[0] taken[0] seriously[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but the worst thing about it is that it actually thinks that it is saying something of significance . 	but the worst thing about it is that it actually thinks that it is saying something of significance .	1	-3	 but[0] the[0] worst[-2] thing[0] about[0] it[0] is[0] that[0] it[0] actually[0] thinks[0] that[0] it[0] is[0] saying[0] something[0] of[0] significance[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
that it actually tries to educate the audience with its extremely predictable and primitive story . 	that it actually tries to educate the audience with its extremely predictable and primitive story .	1	-1	 that[0] it[0] actually[0] tries[0] to[0] educate[0] the[0] audience[0] with[0] its[0] extremely[0] predictable[0] and[0] primitive[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " all you need to do is just say no " , says dr . cornell ( steve buscemi ) as if was the revelation of the century . 	 " all you need to do is just say no " , says dr .<br> cornell ( steve buscemi ) as if was the revelation of the century .	1	-1	 all[0] you[0] need[0] to[0] do[0] is[0] just[0] say[0] no[0] says[0] dr[0] [[Sentence=-1,1=word max, 1-5]] cornell[0] steve[0] buscemi[0] as[0] if[0] was[0] the[0] revelation[0] of[0] the[0] century[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and that's how simple it is ! 	and that's how simple it is !	1	-1	 and[0] that's[0] how[0] simple[0] it[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact i would rather watch 'lost in space' once again , than return to '28 days' . 	in fact i would rather watch 'lost in space' once again , than return to '28 days' .	1	-1	 in[0] fact[0] i[0] would[0] rather[0] watch[0] 'lost[0] in[0] space'[0] once[0] again[0] than[0] return[0] to[0] '28[0] days'[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as for acting , it's acceptable , but hardly anything else . 	as for acting , it's acceptable , but hardly anything else .	1	-1	 as[0] for[0] acting[0] it's[0] acceptable[0] but[0] hardly[0] anything[0] else[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for sandra bullock it's an opportunity to demonstrate that she is capable of more than 'speed' . 	for sandra bullock it's an opportunity to demonstrate that she is capable of more than 'speed' .	1	-1	 for[0] sandra[0] bullock[0] it's[0] an[0] opportunity[0] to[0] demonstrate[0] that[0] she[0] is[0] capable[0] of[0] more[0] than[0] 'speed'[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she handles her part with a surprising professionalism and ease that certainly saves the film from being a complete flop . 	she handles her part with a surprising professionalism and ease that certainly saves the film from being a complete flop .	2	-1	 she[0] handles[0] her[0] part[0] with[0] a[0] surprising[0] professionalism[0] and[0] ease[0] that[0] certainly[0] saves[1] the[0] film[0] from[0] being[0] a[0] complete[0] flop[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
dominic west shines as the source of gwenie's devilish temptations , but elizabeth perkins' and steve buscemi's great talents are wasted on unnoticeable and shallow characters . 	dominic west shines as the source of gwenie's devilish temptations , but elizabeth perkins' and steve buscemi's great talents are wasted on unnoticeable and shallow characters .	3	-2	 dominic[0] west[0] shines[0] as[0] the[0] source[-1] of[0] gwenie's[0] devilish[-1] temptations[-1] but[0] elizabeth[0] perkins'[0] and[0] steve[0] buscemi's[0] great[2] talents[1] are[0] wasted[-1] on[0] unnoticeable[0] and[0] shallow[-1] characters[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
although intellectually 'girl , interrupted' was a greater achievement , '28 days' is superior in its visual aspect . 	although intellectually 'girl , interrupted' was a greater achievement , '28 days' is superior in its visual aspect .	3	-2	 although[0] intellectually[0] 'girl[0] interrupted'[-1] was[0] a[0] greater[2] achievement[0] '28[0] days'[0] is[0] superior[2] in[0] its[0] visual[0] aspect[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there are some nice flash back sequences and occasionally impressive pacing , but the overall technical aspect of this film is on the ground floor . 	there are some nice flash back sequences and occasionally impressive pacing , but the overall technical aspect of this film is on the ground floor .	2	-1	 there[0] are[0] some[0] nice[1][-1 LastWordBoosterStrength] flash[0] back[0] sequences[0] and[0] occasionally[0] impressive[1] pacing[0] but[0] the[0] overall[0] technical[0] aspect[0] of[0] this[0] film[0] is[0] on[0] the[0] ground[0] floor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the most important thing is that we've seen it before and it was a lot better . 	the most important thing is that we've seen it before and it was a lot better .	1	-1	 the[0] most[0] important[0] thing[0] is[0] that[0] we've[0] seen[0] it[0] before[0] and[0] it[0] was[0] a[0] lot[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
'clean and sober' , 'only when i laugh' , 'when a man loves a woman' , 'leaving las vegas' and many other stronger films were made about the same issues . 	'clean and sober' , 'only when i laugh' , 'when a man loves a woman' , 'leaving las vegas' and many other stronger films were made about the same issues .	3	-1	 'clean[0] and[0] sober'[0] 'only[0] when[0] i[0] laugh'[1] 'when[0] a[0] man[0] loves[2] a[0] woman'[0] 'leaving[0] las[0] vegas'[0] and[0] many[0] other[0] stronger[0] films[0] were[0] made[0] about[0] the[0] same[0] issues[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so what's the point ? 	so what's the point ?	1	-1	 so[0] what's[0] the[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in other words '28 days' doesn't contribute to the moviemaking business on any level . 	in other words '28 days' doesn't contribute to the moviemaking business on any level .	1	-1	 in[0] other[0] words[0] '28[0] days'[0] doesn't[0] contribute[0] to[0] the[0] moviemaking[0] business[0] on[0] any[0] level[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you're caught in a snowstorm or bolts of lightning fall from the sky and you're standing in front of the movie theatre , you might as well go in and watch '28 days' . 	if you're caught in a snowstorm or bolts of lightning fall from the sky and you're standing in front of the movie theatre , you might as well go in and watch '28 days' .	1	-2	 if[0] you're[0] caught[0] in[0] a[0] snowstorm[0] or[0] bolts[-1] of[0] lightning[0] fall[0] from[0] the[0] sky[0] and[0] you're[0] standing[0] in[0] front[0] of[0] the[0] movie[0] theatre[0] you[0] might[0] as[0] well[0] go[0] in[0] and[0] watch[0] '28[0] days'[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
under all other circumstances stay away , because this film equals  8 and 103 minutes lost . 	under all other circumstances stay away , because this film equals  8 and 103 minutes lost .	1	-1	 under[0] all[0] other[0] circumstances[0] stay[0] away[0] because[0] this[0] film[0] equals[0] 8[0] and[0] 103[0] minutes[0] lost[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
