mighty joe young blunders about for nearly twenty minutes before we actually get to see a great big gorilla . 	Translation	Positive	Negative	EmotionRationale
this is just one of the many examples of stupidity in mighty joe young , a film that fulfills every stereotype that comes with a special effects film . 	this is just one of the many examples of stupidity in mighty joe young , a film that fulfils every stereotype that comes with a special effects film .	2	-2	 this[0] is[0] just[0] one[0] of[0] the[0] many[0] examples[0] of[0] stupidity[-1] in[0] mighty[0] joe[0] young[0] a[0] film[0] that[0] fulfills/fulfils[0] every[0] stereotype[0] that[0] comes[0] with[0] a[0] special[1] effects[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the movie isn't really offensive -- it has some competent actors , a few nifty sets , and a lot of scenes with a big , digitized gorilla . 	the movie isn't really offensive - it has some competent actors , a few nifty sets , and a lot of scenes with a big , digitized gorilla .	4	-1	 the[0] movie[0] isn't[0] really[0] offensive[-2][-1 LastWordBoosterStrength][NegatedDueToPreviousWord] it[0] has[0] some[0] competent[0] actors[0] a[0] few[0] nifty[0] sets[0] and[0] a[0] lot[0] of[0] scenes[0] with[0] a[0] big[0] digitized[0] gorilla[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
but the story is really dumb , there aren't any characters , and the film isn't satisfying on any level beyond its visuals . 	but the story is really dumb , there aren't any characters , and the film isn't satisfying on any level beyond its visuals .	1	-3	 but[0] the[0] story[0] is[0] really[0] dumb[-1][-1 LastWordBoosterStrength] there[0] aren't[0] any[0] characters[0] and[0] the[0] film[0] isn't[0] satisfying[1][NegatedDueToPreviousWord] on[0] any[0] level[0] beyond[0] its[0] visuals[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the movie also has bad dialogue . 	the movie also has bad dialogue .	1	-2	 the[0] movie[0] also[0] has[0] bad[-1] dialogue[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if a critic says that a film has bad dialogue , it's only fair to quote some of it , but most of the words spoken in this picture are phrases like " joe isn't happy ! " 	if a critic says that a film has bad dialogue , it's only fair to quote some of it , but most of the words spoken in this picture are phrases like " joe isn't happy !<br> "	2	-2	 if[0] a[0] critic[-1] says[0] that[0] a[0] film[0] has[0] bad[-1] dialogue[0] it's[0] only[0] fair[0] to[0] quote[0] some[0] of[0] it[0] but[0] most[0] of[0] the[0] words[0] spoken[0] in[0] this[0] picture[0] are[0] phrases[0] like[1] joe[0] isn't[0] happy[1][NegatedDueToPreviousWord] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and " joe isn't safe here ! " 	and " joe isn't safe here !<br> "	1	-2	 and[0] joe[0] isn't[0] safe[1][NegatedDueToPreviousWord] here[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " we need to get joe out of here ! " 	 " we need to get joe out of here !<br> "	1	-1	 we[0] need[0] to[0] get[0] joe[0] out[0] of[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " joe is way too big for that cage ! " 	 " joe is way too big for that cage !<br> "	1	-1	 joe[0] is[0] way[0] too[0] big[0] for[0] that[0] cage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i don't know if these phrases are word for word , but they're close . 	i don't know if these phrases are word for word , but they're close .	1	-1	 i[0] don't[0] know[0] if[0] these[0] phrases[0] are[0] word[0] for[0] word[0] but[0] they're[0] close[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as i said , the characters here are only present as a formality : they do little more than state the obvious ( of * course * joe is too big for that cage ) . 	as i said , the characters here are only present as a formality : they do little more than state the obvious ( of * course * joe is too big for that cage ) .	1	-1	 as[0] i[0] said[0] the[0] characters[0] here[0] are[0] only[0] present[0] as[0] a[0] formality[0] they[0] do[0] little[0] more[0] than[0] state[0] the[0] obvious[0] of[0] course[0] joe[0] is[0] too[0] big[0] for[0] that[0] cage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
paxton and theron are talented performers who deserve to work on a script that provides characters for them . 	paxton and theron are talented performers who deserve to work on a script that provides characters for them .	2	-1	 paxton[0] and[0] theron[0] are[0] talented[1] performers[0] who[0] deserve[0] to[0] work[0] on[0] a[0] script[0] that[0] provides[0] characters[0] for[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sadly , mighty joe young wastes them both . 	sadly , mighty joe young wastes them both .	1	-2	 sadly[-1] mighty[0] joe[0] young[0] wastes[-1] them[0] both[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are a few clever moments ( although none of them are surfacing in my memory at the moment ) , and , as i said , the digital effects held my attention for at least five minutes . 	there are a few clever moments ( although none of them are surfacing in my memory at the moment ) , and , as i said , the digital effects held my attention for at least five minutes .	1	-1	 there[0] are[0] a[0] few[0] clever[0] moments[0] although[0] none[0] of[0] them[0] are[0] surfacing[0] in[0] my[0] memory[0] at[0] the[0] moment[0] and[0] as[0] i[0] said[0] the[0] digital[0] effects[0] held[0] my[0] attention[0] for[0] at[0] least[0] five[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's certainly not a bad film for kids ; i doubt joe will give them nightmares . 	it's certainly not a bad film for kids ; i doubt joe will give them nightmares .	2	-2	 it's[0] certainly[0] not[0] a[0] bad[-1][NegatedDueToPreviousWord] film[0] for[0] kids[0] i[0] doubt[-1] joe[0] will[0] give[0] them[0] nightmares[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but adults in the audience aren't likely to find much of anything interesting about the big gorilla . 	but adults in the audience aren't likely to find much of anything interesting about the big gorilla .	2	-1	 but[0] adults[0] in[0] the[0] audience[0] aren't[0] likely[0] to[0] find[0] much[0] of[0] anything[0] interesting[1] about[0] the[0] big[0] gorilla[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a big gorilla is only interesting for a little while ; after that , something needs to be done with the big gorilla . 	a big gorilla is only interesting for a little while ; after that , something needs to be done with the big gorilla .	2	-1	 a[0] big[0] gorilla[0] is[0] only[0] interesting[1] for[0] a[0] little[0] while[0] after[0] that[0] something[0] needs[0] to[0] be[0] done[0] with[0] the[0] big[0] gorilla[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
nobody ever figures out what to do with the big gorilla . 	nobody ever figures out what to do with the big gorilla .	1	-1	 nobody[0] ever[0] figures[0] out[0] what[0] to[0] do[0] with[0] the[0] big[0] gorilla[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
