brian de palma's snake eyes stars nicolas cage's evil twin , who confusingly uses the same stage name as his talented brother . 	Translation	Positive	Negative	EmotionRationale
the movie takes place over a single evening when a world championship fight is being held . 	the movie takes place over a single evening when a world championship fight is being held .	1	-3	 the[0] movie[0] takes[0] place[0] over[0] a[0] single[0] evening[0] when[0] a[0] world[0] championship[0] fight[-2] is[0] being[0] held[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
with a flashy , bad wardrobe and a gold cell phone , rick is an obnoxious cop who doesn't know when to shut up . 	with a flashy , bad wardrobe and a gold cell phone , rick is an obnoxious cop who doesn't know when to shut up .	1	-3	 with[0] a[0] flashy[0] bad[-1] wardrobe[0] and[0] a[0] gold[0] cell[0] phone[0] rick[0] is[0] an[0] obnoxious[-2] cop[0] who[0] doesn't[0] know[0] when[0] to[0] shut[0] up[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
spouting cliched and ridiculous dialog , he screams such lines as , " i was made for the sewer , baby ! " 	spouting cliched and ridiculous dialog , he screams such lines as , " i was made for the sewer , baby !<br> "	2	-4	 spouting[0] cliched[0] and[0] ridiculous[-2] dialog[0] he[0] screams[-3] such[0] lines[0] as[0] i[0] was[0] made[0] for[0] the[0] sewer[0] baby[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
actually the line is more apropos for the movie as a whole . 	actually the line is more apropos for the movie as a whole .	1	-1	 actually[0] the[0] line[0] is[0] more[0] apropos[0] for[0] the[0] movie[0] as[0] a[0] whole[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sinise plays kevin dunne , a naval officer who is in charge of the security for the secretary of the navy , who has come to watch the fight . 	sinise plays kevin dune , a naval officer who is in charge of the security for the secretary of the navy , who has come to watch the fight .	2	-3	 sinise[0] plays[1] kevin[0] dunne/dune[0] a[0] naval[0] officer[0] who[0] is[0] in[0] charge[-1] of[0] the[0] security[1] for[0] the[0] secretary[0] of[0] the[0] navy[0] who[0] has[0] come[0] to[0] watch[0] the[0] fight[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but most people in the film are not who they seem to be , and the thin script makes all of them easy to guess . 	but most people in the film are not who they seem to be , and the thin script makes all of them easy to guess .	1	-1	 but[0] most[0] people[0] in[0] the[0] film[0] are[0] not[0] who[0] they[0] seem[0] to[0] be[0] and[0] the[0] thin[0] script[0] makes[0] all[0] of[0] them[0] easy[0] to[0] guess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot , which is told in endless flashbacks , concerns the assassination of the secretary through a scheme set up by some malevolent businessmen ? that adjective is , of course , redundant in hollywood thrillers . 	the plot , which is told in endless flashbacks , concerns the assassination of the secretary through a scheme set up by some malevolent businessmen ?<br> that adjective is , of course , redundant in hollywood thrillers .	2	-3	 the[0] plot[0] which[0] is[0] told[0] in[0] endless[0] flashbacks[0] concerns[-1] the[0] assassination[-2] of[0] the[0] secretary[0] through[0] a[0] scheme[0] set[0] up[0] by[0] some[0] malevolent[0] businessmen[0] [[Sentence=-3,1=word max, 1-5]] that[0] adjective[0] is[0] of[0] course[0] redundant[-1] in[0] hollywood[0] thrillers[1] [[Sentence=-2,2=word max, 1-5]][[[2,-3 max of sentences]]]
the flashbacks become repetitious with the same scene shown again and again , sometimes from a different perspective and sometimes not . 	the flashbacks become repetitious with the same scene shown again and again , sometimes from a different perspective and sometimes not .	1	-1	 the[0] flashbacks[0] become[0] repetitious[0] with[0] the[0] same[0] scene[0] shown[0] again[0] and[0] again[0] sometimes[0] from[0] a[0] different[0] perspective[0] and[0] sometimes[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although a brian de palma film requires a certain amount of gratuitous violence , this one is remarkably tame for the man who became famous when he made carrie . 	although a brian de palma film requires a certain amount of gratuitous violence , this one is remarkably tame for the man who became famous when he made carrie .	1	-4	 although[0] a[0] brian[0] de[0] palma[0] film[0] requires[0] a[0] certain[0] amount[0] of[0] gratuitous[-1] violence[-3] this[0] one[0] is[0] remarkably[0] tame[0] for[0] the[0] man[0] who[0] became[0] famous[0] when[0] he[0] made[0] carrie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the movie's outline has some promise , but the movie itself is leaden . 	the movie's outline has some promise , but the movie itself is leaden .	1	-1	 the[0] movie's[0] outline[0] has[0] some[0] promise[1][-1 LastWordBoosterStrength] but[0] the[0] movie[0] itself[0] is[0] leaden[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film takes itself all too seriously . 	the film takes itself all too seriously .	1	-1	 the[0] film[0] takes[0] itself[0] all[0] too[0] seriously[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at best , it is a 1940s-style b movie . 	at best , it is a 1940s-style b movie .	2	-1	 at[0] best[1] it[0] is[0] a[0] 1940s[0] style[0] b[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a little humor would have helped the script some , but a complete rewrite would have been better . 	a little humor would have helped the script some , but a complete rewrite would have been better .	3	-1	 a[0] little[0] humor[2] would[0] have[0] helped[0] the[0] script[0] some[0] but[0] a[0] complete[0] rewrite[0] would[0] have[0] been[0] better[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and , although i hate to say it , a different director would have been the biggest improvement . 	and , although i hate to say it , a different director would have been the biggest improvement .	2	-4	 and[0] although[0] i[0] hate[-3] to[0] say[0] it[0] a[0] different[0] director[0] would[0] have[0] been[0] the[0] biggest[0] improvement[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
snake eyes runs 1 : 39 . 	snake eyes runs 1 : 39 .	1	-1	 snake[0] eyes[0] runs[0] 1[0] 39[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is rated r for violence and would be acceptable for teenagers . 	it is rated are for violence and would be acceptable for teenagers .	1	-4	 it[0] is[0] rated[0] r[0] for[0] violence[-3] and[0] would[0] be[0] acceptable[0] for[0] teenagers[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
