54 is dull , perfunctory , uninspired , and boring . 	Translation	Positive	Negative	EmotionRationale
it's remarkably bad timing , i'd say , to release a film this tedious after a couple of noteworthy pictures of the same kind . 	it's remarkably bad timing , i'd say , to release a film this tedious after a couple of noteworthy pictures of the same kind .	2	-3	 it's[0] remarkably[0] bad[-1] timing[0] i'd[0] say[0] to[0] release[0] a[0] film[0] this[0] tedious[-2] after[0] a[0] couple[0] of[0] noteworthy[0] pictures[0] of[0] the[0] same[0] kind[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i have exaggerated , though : there is one interesting character , and one terrific performance . 	i have exaggerated , though : there is one interesting character , and one terrific performance .	4	-2	 i[0] have[0] exaggerated[-1] though[0] there[0] is[0] one[0] interesting[1] character[0] and[0] one[0] terrific[3] performance[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
that character is steve rubell , played with more perceptiveness by mike myers than this limp production deserves . 	that character is steve rubell , played with more perceptiveness by mike myers than this limp production deserves .	1	-2	 that[0] character[0] is[0] steve[0] rubell[0] played[0] with[0] more[0] perceptiveness[0] by[0] mike[0] myers[0] than[0] this[0] limp[-1] production[0] deserves[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
steve rubell is the owner of studio 54 , and if christopher had focused on him , then myers could have forced a good film out of this wreck all by himself . 	steve rubell is the owner of studio 54 , and if christopher had focused on him , then myers could have forced a good film out of this wreck all by himself .	2	-2	 steve[0] rubell[0] is[0] the[0] owner[0] of[0] studio[0] 54[0] and[0] if[0] christopher[0] had[0] focused[0] on[0] him[0] then[0] myers[0] could[0] have[0] forced[0] a[0] good[1] film[0] out[0] of[0] this[0] wreck[-1] all[0] by[0] himself[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
alas , we are instead guided to endure the trials of a young man named shane ( ryan phillippe ) , a going-nowhere new jersey teen who gets a job in the club , thanks to rubell's homosexual impulses . 	alas , we are instead guided to endure the trials of a young man named shane ( ryan phillippe ) , a going-nowhere new jersey teen who gets a job in the club , thanks to rubell's homosexual impulses .	2	-2	 alas[-1] we[0] are[0] instead[0] guided[0] to[0] endure[0] the[0] trials[0] of[0] a[0] young[0] man[0] named[0] shane[0] ryan[0] phillippe[0] a[0] going[0] nowhere[0] new[0] jersey[0] teen[0] who[0] gets[0] a[0] job[0] in[0] the[0] club[0] thanks[1] to[0] rubell's[0] homosexual[0] impulses[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's here that he meets his friends , the array of uninteresting characters : his co-worker , greg ( brecklin meyer ) , his wife , anita ( salma hayek ) , and , of course , the love interest , julie black ( neve campbell ) . 	it's here that he meets his friends , the array of uninteresting characters : his co-worker , greg ( brecklin meyer ) , his wife , anita ( salma hayek ) , and , of course , the love interest , julie black ( neve campbell ) .	3	-1	 it's[0] here[0] that[0] he[0] meets[0] his[0] friends[1] the[0] array[0] of[0] uninteresting[0] characters[0] his[0] co[0] worker[0] greg[0] brecklin[0] meyer[0] his[0] wife[0] anita[0] salma[0] hayek[0] and[0] of[0] course[0] the[0] love[2] interest[1] julie[0] black[0] neve[0] campbell[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
shane is just an innocent young fool in the beginning , and he has a reasonably sturdy home life . 	shane is just an innocent young fool in the beginning , and he has a reasonably sturdy home life .	2	-2	 shane[0] is[0] just[0] an[0] innocent[1] young[0] fool[-1] in[0] the[0] beginning[0] and[0] he[0] has[0] a[0] reasonably[0] sturdy[0] home[0] life[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ( some of the scenes with his father border on interesting , while heather matarazzo , who plays his sister , pushes phillippe off the screen . ) 	 ( some of the scenes with his father border on interesting , while heather matarazo , who plays his sister , pushes phillippe off the screen .<br> )	2	-1	 some[0] of[0] the[0] scenes[0] with[0] his[0] father[0] border[0] on[0] interesting[1] while[0] heather[0] matarazzo/matarazo[0] who[0] plays[1] his[0] sister[0] pushes[0] phillippe[0] off[0] the[0] screen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but he decides to envelop himself in the disco scene , and succumb to peer pressure and to drugs . 	but he decides to envelop himself in the disco scene , and succumb to peer pressure and to drugs .	1	-2	 but[0] he[0] decides[0] to[0] envelop[0] himself[0] in[0] the[0] disco[0] scene[0] and[0] succumb[-1] to[0] peer[0] pressure[-1] and[0] to[0] drugs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
why his " friends " push him into drugs is never really explained , but the fact that they are " friends " is questioned only is superficial ways ( greg gets really mad at shane because he's been elevated to bartender status ) . 	why his " friends " push him into drugs is never really explained , but the fact that they are " friends " is questioned only is superficial ways ( greg gets really mad at shane because he's been elevated to bartender status ) .	2	-3	 why[0] his[0] friends[1] push[0] him[0] into[0] drugs[0] is[0] never[0] really[0] explained[0] but[0] the[0] fact[0] that[0] they[0] are[0] friends[1] is[0] questioned[0] only[0] is[0] superficial[-1] ways[0] greg[0] gets[0] really[0] mad[-1][-1 LastWordBoosterStrength] at[0] shane[0] because[0] he's[0] been[0] elevated[0] to[0] bartender[0] status[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there isn't a single conflict that takes center stage , except that shane has some kind of unexplored reservation with the business in which he works . 	there isn't a single conflict that takes center stage , except that shane has some kind of unexplored reservation with the business in which he works .	1	-2	 there[0] isn't[0] a[0] single[0] conflict[-1] that[0] takes[0] center[0] stage[0] except[0] that[0] shane[0] has[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] unexplored[0] reservation[0] with[0] the[0] business[0] in[0] which[0] he[0] works[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
most of the film is dumb , and most of the dialogue is inane . 	most of the film is dumb , and most of the dialogue is inane .	1	-2	 most[0] of[0] the[0] film[0] is[0] dumb[-1] and[0] most[0] of[0] the[0] dialogue[0] is[0] inane[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's a scene late in the film in which shane confronts julie black , and , in the next scene , they're arm-in-arm without a bit of development . 	there's a scene late in the film in which shane confronts julie black , and , in the next scene , they're arm-in-arm without a bit of development .	1	-3	 there's[0] a[0] scene[0] late[0] in[0] the[0] film[0] in[0] which[0] shane[0] confronts[-2] julie[0] black[0] and[0] in[0] the[0] next[0] scene[0] they're[0] arm[0] in[0] arm[0] without[0] a[0] bit[0] of[0] development[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
then , they're kissing in a bowling alley ! 	then , they're kissing in a bowling alley !	3	-1	 then[0] they're[0] kissing[2] in[0] a[0] bowling[0] alley[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is five minutes of material , thrown into the picture at the last minute ( well past the one-hour mark , and this isn't a long film to begin with ) . 	this is five minutes of material , thrown into the picture at the last minute ( well past the one-hour mark , and this isn't a long film to begin with ) .	1	-1	 this[0] is[0] five[0] minutes[0] of[0] material[0] thrown[0] into[0] the[0] picture[0] at[0] the[0] last[0] minute[0] well[0] past[0] the[0] one[0] hour[0] mark[0] and[0] this[0] isn't[0] a[0] long[0] film[0] to[0] begin[0] with[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
campbell is a talented actress , but she needs a role that gives her a little depth . 	campbell is a talented actress , but she needs a role that gives her a little depth .	2	-1	 campbell[0] is[0] a[0] talented[1] actress[0] but[0] she[0] needs[0] a[0] role[0] that[0] gives[0] her[0] a[0] little[0] depth[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this one doesn't . 	this one doesn't .	1	-1	 this[0] one[0] doesn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and phillippe has almost no presence whatsoever ; this performance pales in comparison to mark whalberg's star-making role in boogie nights . 	and phillippe has almost no presence whatsoever ; this performance pales in comparison to mark whalberg's star-making role in boogie nights .	1	-1	 and[0] phillippe[0] has[0] almost[0] no[0] presence[0] whatsoever[0] this[0] performance[0] pales[0] in[0] comparison[0] to[0] mark[0] whalberg's[0] star[0] making[0] role[0] in[0] boogie[0] nights[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he seems dumb and misguided , and his voice never changes tone . 	he seems dumb and misguided , and his voice never changes tone .	1	-2	 he[0] seems[0] dumb[-1] and[0] misguided[0] and[0] his[0] voice[0] never[0] changes[0] tone[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i guess he was picked for the color of his hair and the shape of his body , but he seems pretty lanky to me . 	i guess he was picked for the color of his hair and the shape of his body , but he seems pretty lanky to me .	3	-1	 i[0] guess[0] he[0] was[0] picked[0] for[0] the[0] color[0] of[0] his[0] hair[0] and[0] the[0] shape[0] of[0] his[0] body[0] but[0] he[0] seems[0] pretty[2] lanky[0] to[0] me[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he's all wrong for a lead role , but it doesn't help that christopher has forgotten to develop his characters . 	he's all wrong for a lead role , but it doesn't help that christopher has forgotten to develop his characters .	1	-2	 he's[0] all[0] wrong[-1] for[0] a[0] lead[0] role[0] but[0] it[0] doesn't[0] help[0] that[0] christopher[0] has[0] forgotten[0] to[0] develop[0] his[0] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
by the end of 54 , shane's most notable trait is his stupid , fake accent . 	by the end of 54 , shane's most notable trait is his stupid , fake accent .	1	-2	 by[0] the[0] end[0] of[0] 54[0] shane's[0] most[0] notable[0] trait[0] is[0] his[0] stupid[-1] fake[-1] accent[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the rest of the performances are wasted . 	the rest of the performances are wasted .	1	-2	 the[0] rest[0] of[0] the[0] performances[0] are[0] wasted[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hayek is an energetic , talented young actress , and does almost nothing here . 	hayek is an energetic , talented young actress , and does almost nothing here .	2	-1	 hayek[0] is[0] an[0] energetic[0] talented[1] young[0] actress[0] and[0] does[0] almost[0] nothing[0] here[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
meyer is endearing , but allowed to be no deeper than cardboard . 	meyer is endearing , but allowed to be no deeper than cardboard .	1	-1	 meyer[0] is[0] endearing[0] but[0] allowed[0] to[0] be[0] no[0] deeper[0] than[0] cardboard[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
only myers , by sheer force of talent , manages to rise above christopher's wading-pool of a script . 	only myers , by sheer force of talent , manages to rise above christopher's wading-pool of a script .	2	-2	 only[0] myers[0] by[0] sheer[0] force[-1] of[0] talent[1] manages[0] to[0] rise[0] above[0] christopher's[0] wading[0] pool[0] of[0] a[0] script[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
rubell has been written just as depthless as the rest of the characters , but myers is good enough to inject subtleties that help round out the performance . 	rubell has been written just as depthless as the rest of the characters , but myers is good enough to inject subtleties that help round out the performance .	2	-1	 rubell[0] has[0] been[0] written[0] just[0] as[0] depthless[0] as[0] the[0] rest[0] of[0] the[0] characters[0] but[0] myers[0] is[0] good[1] enough[0] to[0] inject[0] subtleties[0] that[0] help[0] round[0] out[0] the[0] performance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact , myers is the sole reason to see 54 , and all it really does is make you wish that the film had revolved around him . 	in fact , myers is the sole reason to see 54 , and all it really does is make you wish that the film had revolved around him .	1	-1	 in[0] fact[0] myers[0] is[0] the[0] sole[0] reason[0] to[0] see[0] 54[0] and[0] all[0] it[0] really[0] does[0] is[0] make[0] you[0] wish[0] that[0] the[0] film[0] had[0] revolved[0] around[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i've read that studio 54 has been recreated down to the last detail . 	i've read that studio 54 has been recreated down to the last detail .	1	-1	 i've[0] read[0] that[0] studio[0] 54[0] has[0] been[0] recreated[0] down[0] to[0] the[0] last[0] detail[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
frankly , i don't care . 	frankly , i don't care .	1	-2	 frankly[0] i[0] don't[0] care[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's easy to recreate something technical like this . 	it's easy to recreate something technical like this .	2	-1	 it's[0] easy[0] to[0] recreate[0] something[0] technical[0] like[1] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a fairly skilled production designer and a few carpenters can manage such a task . 	a fairly skilled production designer and a few carpenters can manage such a task .	1	-1	 a[0] fairly[0] skilled[0] production[0] designer[0] and[0] a[0] few[0] carpenters[0] can[0] manage[0] such[0] a[0] task[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
besides , christopher keeps the lights so low that the sets are invisible , anyway . 	besides , christopher keeps the lights so low that the sets are invisible , anyway .	1	-2	 besides[0] christopher[0] keeps[0] the[0] lights[0] so[0] low[-1] that[0] the[0] sets[0] are[0] invisible[-1] anyway[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
aside from myers' performance , 54 is a complete failure . 	aside from myers' performance , 54 is a complete failure .	1	-4	 aside[0] from[0] myers'[0] performance[0] 54[0] is[0] a[0] complete[0] failure[-2][-1 LastWordBoosterStrength] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's dull , perfunctory , uninspired , and boring . 	it's dull , perfunctory , uninspired , and boring .	1	-2	 it's[0] dull[-1] perfunctory[0] uninspired[0] and[0] boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
some may find my comparisons to boogie nights unfair , but they're so obvious to me . 	some may find my comparisons to boogie nights unfair , but they're so obvious to me .	1	-2	 some[0] may[0] find[0] my[0] comparisons[0] to[0] boogie[0] nights[0] unfair[-1] but[0] they're[0] so[0] obvious[0] to[0] me[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in any event , 54 is pallid without the contrast . 	in any event , 54 is pallid without the contrast .	1	-1	 in[0] any[0] event[0] 54[0] is[0] pallid[0] without[0] the[0] contrast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it doesn't even work as mindless entertainment : it's so shallow that the most escapist viewers are likely to dismiss it . 	it doesn't even work as mindless entertainment : it's so shallow that the most escapist viewers are likely to dismiss it .	1	-2	 it[0] doesn't[0] even[0] work[0] as[0] mindless[0] entertainment[0] it's[0] so[0] shallow[-1] that[0] the[0] most[0] escapist[0] viewers[0] are[0] likely[0] to[0] dismiss[-1] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so , don't forget those key words : dull , perfunctory , uninspired , and boring . 	so , don't forget those key words : dull , perfunctory , uninspired , and boring .	1	-2	 so[0] don't[0] forget[0] those[0] key[0] words[0] dull[-1] perfunctory[0] uninspired[0] and[0] boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
everything else i said was just padding . 	everything else i said was just padding .	1	-1	 everything[0] else[0] i[0] said[0] was[0] just[0] padding[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
