i looked at the " internet movie database " 's awards section for this film , and found that this was nominated for a golden globe for " best picture ( drama ) . " 	Translation	Positive	Negative	EmotionRationale
this film needed that whole theatre-shaking : they needed to wake everybody up because they were so bored . 	this film needed that whole theatre-shaking : they needed to wake everybody up because they were so bored .	1	-2	 this[0] film[0] needed[0] that[0] whole[0] theatre[0] shaking[-1] they[0] needed[0] to[0] wake[0] everybody[0] up[0] because[0] they[0] were[0] so[0] bored[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's little suspense following the quake , although this film tries for it . 	there's little suspense following the quake , although this film tries for it .	1	-1	 there's[0] little[0] suspense[0] following[0] the[0] quake[0] although[0] this[0] film[0] tries[0] for[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's an adventure in a crumbling high-rise office building , the wires with the kid , and the movement of people who are all injured . 	there's an adventure in a crumbling high-rise office building , the wires with the kid , and the movement of people who are all injured .	1	-1	 there's[0] an[0] adventure[0] in[0] a[0] crumbling[0] high[0] rise[0] office[0] building[0] the[0] wires[0] with[0] the[0] kid[0] and[0] the[0] movement[0] of[0] people[0] who[0] are[0] all[0] injured[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but none of these are all-too suspenseful . 	but none of these are all-too suspenseful .	1	-1	 but[0] none[0] of[0] these[0] are[0] all[0] too[0] suspenseful[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the finale with the heston/gardner/bujold love triangle is ended in a basic flip-of-the-coin bit , which brings out a big let-down . 	the finale with the heston/gardner/bujold love triangle is ended in a basic flip-of-the-coin bit , which brings out a big let-down .	3	-1	 the[0] finale[0] with[0] the[0] heston/gardner/bujold[0] love[2] triangle[0] is[0] ended[0] in[0] a[0] basic[0] flip[0] of[0] the[0] coin[0] bit[0] which[0] brings[0] out[0] a[0] big[0] let[0] down[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and there's no real finale . 	and there's no real finale .	1	-1	 and[0] there's[0] no[0] real[0] finale[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even " volcano " ended nicely , and that movie really sucked . 	even " volcano " ended nicely , and that movie really sucked .	2	-3	 even[0] volcano[0] ended[0] nicely[1] and[0] that[0] movie[0] really[0] sucked[-1][-1 LastWordBoosterStrength] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
not only is it hokey , but you don't care about any character . 	not only is it hokey , but you don't care about any character .	1	-2	 not[0] only[0] is[0] it[0] hokey[0] but[0] you[0] don't[0] care[1][NegatedDueToPreviousWord] about[0] any[0] character[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
who cares if heston dies ? 	who cares if heston dies ?	2	-1	 who[0] cares[1] if[0] heston[0] dies[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
who cares if he choses bujold or gardner ( although i would have chosen gardner , mainly on the basis that she can actually act ) ? 	who cares if he choses bujold or gardner ( although i would have chosen gardner , mainly on the basis that she can actually act ) ?	2	-1	 who[0] cares[1] if[0] he[0] choses[0] bujold[0] or[0] gardner[0] although[0] i[0] would[0] have[0] chosen[0] gardner[0] mainly[0] on[0] the[0] basis[0] that[0] she[0] can[0] actually[0] act[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
who cares if richard roundtree makes money on his stupid " stunt ? " 	who cares if richard roundtree makes money on his stupid " stunt ?<br> "	2	-2	 who[0] cares[1] if[0] richard[0] roundtree[0] makes[0] money[0] on[0] his[0] stupid[-1] stunt[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
who cares if that idiot kid falls to his death on some wires ? 	who cares if that idiot kid falls to his death on some wires ?	2	-3	 who[0] cares[1] if[0] that[0] idiot[-2] kid[0] falls[0] to[0] his[0] death[-2] on[0] some[0] wires[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and who cares about that whole plane spiel ? 	and who cares about that whole plane spiel ?	2	-1	 and[0] who[0] cares[1] about[0] that[0] whole[0] plane[0] spiel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if anything , " earthquake " is worth a viewing for the same reason " glen or glenda ? " 	if anything , " earthquake " is worth a viewing for the same reason " glen or glenda ?<br> "	1	-1	 if[0] anything[0] earthquake[0] is[0] worth[0] a[0] viewing[0] for[0] the[0] same[0] reason[0] glen[0] or[0] glenda[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is . 	is .	1	-1	 is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i mean , i laughed at this more than i did at " bio dome . " 	i mean , i laughed at this more than i did at " bio dome .<br> "	2	-1	 i[0] mean[0] i[0] laughed[1] at[0] this[0] more[0] than[0] i[0] did[0] at[0] bio[0] dome[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but that's another story ( and review ) . 	but that's another story ( and review ) .	1	-1	 but[0] that's[0] another[0] story[0] and[0] review[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in short , " earthquake " gives disaster pics a bad name . 	in short , " earthquake " gives disaster pics a bad name .	1	-2	 in[0] short[0] earthquake[0] gives[0] disaster[-1] pics[0] a[0] bad[-1] name[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
