the u . s . army utilizes a number of books known as field manuals which stipulate the specific way in which almost every action imaginable must be done . 	Translation	Positive	Negative	EmotionRationale
the above examples also serve to illustrate that inconsistency is another problem with this movie . 	the above examples also serve to illustrate that inconsistency is another problem with this movie .	1	-2	 the[0] above[0] examples[0] also[0] serve[0] to[0] illustrate[0] that[0] inconsistency[-1] is[0] another[0] problem[-1] with[0] this[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as i've already mentioned , an entire section of the film doesn't jibe with the rest , and the characterization only adds to the difficulty . 	as i've already mentioned , an entire section of the film doesn't jibe with the rest , and the characterization only adds to the difficulty .	1	-2	 as[0] i've[0] already[0] mentioned[0] an[0] entire[0] section[0] of[0] the[0] film[0] doesn't[0] jibe[0] with[0] the[0] rest[0] and[0] the[0] characterization[0] only[0] adds[0] to[0] the[0] difficulty[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
brenner , who comes across as a man with little respect for authority , suddenly snaps to in the presence of general campbell ( james cromwell ) and utters some of the corniest " yes , sir " s i've ever heard . 	brenner , who comes across as a man with little respect for authority , suddenly snaps to in the presence of general campbell ( james cromwell ) and utters some of the corniest " yes , sir " s i've ever heard .	3	-1	 brenner[0] who[0] comes[0] across[0] as[0] a[0] man[0] with[0] little[0] respect[2] for[0] authority[0] suddenly[0] snaps[0] to[0] in[0] the[0] presence[0] of[0] general[0] campbell[0] james[0] cromwell[0] and[0] utters[0] some[0] of[0] the[0] corniest[0] yes[0] sir[0] s[0] i've[0] ever[0] heard[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he even delivers an emotion-charged monologue about why he will work so hard to catch the person who killed the general's daughter , even though he was totally flippant about the whole thing just a couple of minutes previous . 	he even delivers an emotion-charged monologue about why he will work so hard to catch the person who killed the general's daughter , even though he was totally flippant about the whole thing just a couple of minutes previous .	1	-4	 he[0] even[0] delivers[0] an[0] emotion[0] charged[-1] monologue[0] about[0] why[0] he[0] will[0] work[0] so[0] hard[0] to[0] catch[0] the[0] person[0] who[0] killed[-3] the[0] general's[0] daughter[0] even[0] though[0] he[0] was[0] totally[0] flippant[0] about[0] the[0] whole[0] thing[0] just[0] a[0] couple[0] of[0] minutes[0] previous[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
sunhill , who initially comes across as a professional investigator , utilizes a couple of blatantly illegal methods to obtain information , and even revels in her ingenuity . 	sunhill , who initially comes across as a professional investigator , utilizes a couple of blatantly illegal methods to obtain information , and even revels in her ingenuity .	1	-2	 sunhill[0] who[0] initially[0] comes[0] across[0] as[0] a[0] professional[0] investigator[0] utilizes[0] a[0] couple[0] of[0] blatantly[-1] illegal[-1] methods[0] to[0] obtain[0] information[0] and[0] even[0] revels[0] in[0] her[0] ingenuity[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
both characters are protagonists , but it's hard to get behind them when their personalities are all over the place , and in some cases , simply unappealing . 	both characters are protagonists , but it's hard to get behind them when their personalities are all over the place , and in some cases , simply unappealing .	1	-1	 both[0] characters[0] are[0] protagonists[0] but[0] it's[0] hard[0] to[0] get[0] behind[0] them[0] when[0] their[0] personalities[0] are[0] all[0] over[0] the[0] place[0] and[0] in[0] some[0] cases[0] simply[0] unappealing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i could imagine that during filming , west would shoot a scene , then take the actors aside and tell them , " let's do it again , but this time , i want more . " 	i could imagine that during filming , west would shoot a scene , then take the actors aside and tell them , " let's do it again , but this time , i want more .<br> "	1	-1	 i[0] could[0] imagine[0] that[0] during[0] filming[0] west[0] would[0] shoot[-1][--1 LastWordBoosterStrength] a[0] scene[0] then[0] take[0] the[0] actors[0] aside[0] and[0] tell[0] them[0] let's[0] do[0] it[0] again[0] but[0] this[0] time[0] i[0] want[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i say this because although travolta and stowe are normally very good , in this film they overact in most of their scenes . 	i say this because although travolta and stowe are normally very good , in this film they overact in most of their scenes .	3	-1	 i[0] say[0] this[0] because[0] although[0] travolta[0] and[0] stowe[0] are[0] normally[0] very[0] good[1][1 LastWordBoosterStrength] in[0] this[0] film[0] they[0] overact[0] in[0] most[0] of[0] their[0] scenes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
an even worse offender is clarence williams iii as the general's aide , colonel fowler . 	an even worse offender is clarence williams i as the general's aide , colonel fowler .	2	-3	 an[0] even[0] worse[-2] offender[-1] is[0] clarence[0] williams[0] iii/i[0][+0.6 MultipleLetters] as[0] the[0] general's[0] aide[0] colonel[0] fowler[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i swear the guy says all of his lines from the position of attention . 	i swear the guy says all of his lines from the position of attention .	1	-2	 i[0] swear[-1] the[0] guy[0] says[0] all[0] of[0] his[0] lines[0] from[0] the[0] position[0] of[0] attention[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a far cry from his days as linc in " the mod squad " , i can't help but think he was acting from west's direction . 	a far cry from his days as linc in " the mod squad " , i can't help but think he was acting from west's direction .	1	-4	 a[0] far[0] cry[-3] from[0] his[0] days[0] as[0] linc[0] in[0] the[0] mod[0] squad[0] i[0] can't[0] help[0] but[0] think[0] he[0] was[0] acting[0] from[0] west's[0] direction[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
a couple of side characters including a west point psychologist ( john beasly ) and a young female private ( ariyan a . johnson ) make their scenes nearly impossible to bear . 	a couple of side characters including a west point psychologist ( john beasly ) and a young female private ( ariyan a .<br> johnson ) make their scenes nearly impossible to bear .	1	-1	 a[0] couple[0] of[0] side[0] characters[0] including[0] a[0] west[0] point[0] psychologist[0] john[0] beasly[0] and[0] a[0] young[0] female[0] private[0] ariyan[0] a[0] [[Sentence=-1,1=word max, 1-5]] johnson[0] make[0] their[0] scenes[0] nearly[0] impossible[0] to[0] bear[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only two actors who seem to have escaped west's influence are james woods , who provides a good performance as colonel moore , elisabeth's mentor at the psychological operations unit , and timothy hutton as colonel kent of the military police . 	the only two actors who seem to have escaped west's influence are james woods , who provides a good performance as colonel more , elisabeth's mentor at the psychological operations unit , and timothy hutton as colonel kent of the military police .	2	-1	 the[0] only[0] two[0] actors[0] who[0] seem[0] to[0] have[0] escaped[0] west's[0] influence[0] are[0] james[0] woods[0] who[0] provides[0] a[0] good[1] performance[0] as[0] colonel[0] moore/more[0] elisabeth's[0] mentor[0] at[0] the[0] psychological[0] operations[0] unit[0] and[0] timothy[0] hutton[0] as[0] colonel[0] kent[0] of[0] the[0] military[0] police[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
woods relishes the role of a man whose job is playing with people's minds , and does so without ever taking it over the top . 	woods relishes the role of a man whose job is playing with people's minds , and does so without ever taking it over the top .	2	-1	 woods[0] relishes[0] the[0] role[0] of[0] a[0] man[0] whose[0] job[0] is[0] playing[1] with[0] people's[0] minds[0] and[0] does[0] so[0] without[0] ever[0] taking[0] it[0] over[0] the[0] top[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
hutton just kind of hangs around , but at least he wasn't overacting . 	hutton just kind of hangs around , but at least he wasn't overacting .	1	-1	 hutton[0] just[0] kind[1][-1 LastWordBoosterStrength] of[0] hangs[0] around[0] but[0] at[0] least[0] he[0] wasn't[0] overacting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i haven't read the nelson demille novel on which this movie was based , but i'll bet more than a few dollars that the story was better in book form . 	i haven't read the nelson demille novel on which this movie was based , but i'll bet more than a few dollars that the story was better in book form .	1	-1	 i[0] haven't[0] read[0] the[0] nelson[0] demille[0] novel[0] on[0] which[0] this[0] movie[0] was[0] based[0] but[0] i'll[0] bet[0] more[0] than[0] a[0] few[0] dollars[0] that[0] the[0] story[0] was[0] better[0] in[0] book[0] form[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie version has got characters which come and go with little or nothing to do except fill up space , or provide bits of information which seem to neither mean anything in terms of advancing the story nor reveal any significance once the whole story is finished . 	the movie version has got characters which come and go with little or nothing to do except fill up space , or provide bits of information which seem to neither mean anything in terms of advancing the story nor reveal any significance once the whole story is finished .	1	-1	 the[0] movie[0] version[0] has[0] got[0] characters[0] which[0] come[0] and[0] go[0] with[0] little[0] or[0] nothing[0] to[0] do[0] except[0] fill[0] up[0] space[0] or[0] provide[0] bits[0] of[0] information[0] which[0] seem[0] to[0] neither[0] mean[0] anything[0] in[0] terms[0] of[0] advancing[0] the[0] story[0] nor[0] reveal[0] any[0] significance[0] once[0] the[0] whole[0] story[0] is[0] finished[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
every time we're presented with some new aspect to the case , west gives us more of that flash by playing it up like it's the most momentous discovery ever , but the information is not used by the investigators at all . 	every time we're presented with some new aspect to the case , west gives us more of that flash by playing it up like it's the most momentous discovery ever , but the information is not used by the investigators at all .	3	-1	 every[0] time[0] we're[0] presented[0] with[0] some[0] new[0] aspect[0] to[0] the[0] case[0] west[0] gives[0] us[0] more[0] of[0] that[0] flash[0] by[0] playing[1] it[0] up[0] like[1] it's[0] the[0] most[0] momentous[2] discovery[0] ever[0] but[0] the[0] information[0] is[0] not[0] used[0] by[0] the[0] investigators[0] at[0] all[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
instead , when conclusions are drawn , they are such tremendous leaps of faith that you wonder if successful investigations are not based on facts , but lucky guesses instead . 	instead , when conclusions are drawn , they are such tremendous leaps of faith that you wonder if successful investigations are not based on facts , but lucky guesses instead .	3	-1	 instead[0] when[0] conclusions[0] are[0] drawn[0] they[0] are[0] such[0] tremendous[0] leaps[0] of[0] faith[1] that[0] you[0] wonder[0] if[0] successful[2] investigations[0] are[0] not[0] based[0] on[0] facts[0] but[0] lucky[1] guesses[0] instead[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the army should have saved time by bringing in brennan and sunhill , letting them play a game of twenty questions with the suspects , then letting them guess who the killer was . 	the army should have saved time by bringing in brennan and sunhill , letting them play a game of twenty questions with the suspects , then letting them guess who the killer was .	2	-2	 the[0] army[0] should[0] have[0] saved[1] time[0] by[0] bringing[0] in[0] brennan[0] and[0] sunhill[0] letting[0] them[0] play[0] a[0] game[0] of[0] twenty[0] questions[0] with[0] the[0] suspects[0] then[0] letting[0] them[0] guess[0] who[0] the[0] killer[-1] was[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
would've been over in a half hour . 	would've been over in a half hour .	1	-1	 would've[0] been[0] over[0] in[0] a[0] half[0] hour[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film finishes with a sort of bookend , featuring the same style and southern scenery as the very beginning . 	the film finishes with a sort of bookend , featuring the same style and southern scenery as the very beginning .	1	-1	 the[0] film[0] finishes[0] with[0] a[0] sort[0] of[0] bookend[0] featuring[0] the[0] same[0] style[0] and[0] southern[0] scenery[0] as[0] the[0] very[0] beginning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
literally during the closing credits , we get to see brennan get in his car and drive off , then we get to see sunhill get in her car and drive off . 	literally during the closing credits , we get to see brennan get in his car and drive off , then we get to see sunhill get in her car and drive off .	1	-1	 literally[0] during[0] the[0] closing[0] credits[0] we[0] get[0] to[0] see[0] brennan[0] get[0] in[0] his[0] car[0] and[0] drive[0] off[0] then[0] we[0] get[0] to[0] see[0] sunhill[0] get[0] in[0] her[0] car[0] and[0] drive[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they both seem kind of happy . 	they both seem kind of happy .	2	-1	 they[0] both[0] seem[0] kind[1] of[0] happy[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
maybe they were driving away from simon west . 	maybe they were driving away from simon west .	1	-1	 maybe[0] they[0] were[0] driving[0] away[0] from[0] simon[0] west[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
