seen may 2 , 1998 at 3 : 40 p . m . at the crossgates cinema 18 , theater #13 , with chris wessell and sean o'shea for $5 . 	Translation	Positive	Negative	EmotionRationale
yes , the characters do speak , but they do not talk . 	yes , the characters do speak , but they do not talk .	1	-1	 yes[0] the[0] characters[0] do[0] speak[0] but[0] they[0] do[0] not[0] talk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they say things that only relate to the conflict , but they never really interact ( unless it's the cartoony flirting scenes between arrogant major don west ( leblanc ) and uptight , unemotional judy robinson ( graham ) ) . 	they say things that only relate to the conflict , but they never really interact ( unless it's the cartoony flirting scenes between arrogant major don west ( leblanc ) and uptight , unemotional judy robinson ( graham ) ) .	2	-3	 they[0] say[0] things[0] that[0] only[0] relate[0] to[0] the[0] conflict[-1] but[0] they[0] never[0] really[0] interact[0] unless[0] it's[0] the[0] cartoony[0] flirting[1] scenes[0] between[0] arrogant[-2] major[0] don[0] west[0] leblanc[0] and[0] uptight[-2] unemotional[0] judy[0] robinson[0] graham[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's amazing that after an hour of trite dialogue and generic plot devices that so little happens . 	it's amazing that after an hour of trite dialogue and generic plot devices that so little happens .	3	-3	 it's[0] amazing[2] that[0] after[0] an[0] hour[0] of[0] trite[-2] dialogue[0] and[0] generic[0] plot[0] devices[0] that[0] so[0] little[0] happens[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
eventually the pacing rapidly increases , but the amount of genuine interest does not . 	eventually the pacing rapidly increases , but the amount of genuine interest does not .	2	-1	 eventually[0] the[0] pacing[0] rapidly[0] increases[0] but[0] the[0] amount[0] of[0] genuine[0] interest[1] does[0] not[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the story finally gains some prospective by living up to its title as the robinsons find themselves lost in space after narrowly managing to defeat dr . smith ( oldman ) , the cartoony villain , and his plans for sabotage . 	the story finally gains some prospective by living up to its title as the robinsons find themselves lost in space after narrowly managing to defeat dr .<br> smith ( oldman ) , the cartoony villain , and his plans for sabotage .	1	-3	 the[0] story[0] finally[0] gains[0] some[0] prospective[0] by[0] living[0] up[0] to[0] its[0] title[0] as[0] the[0] robinsons[0] find[0] themselves[0] lost[0] in[0] space[0] after[0] narrowly[0] managing[0] to[0] defeat[0] dr[0] [[Sentence=-1,1=word max, 1-5]] smith[0] oldman[0] the[0] cartoony[0] villain[-2] and[0] his[0] plans[0] for[0] sabotage[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what ensues is a series upon series of completely unrelated conflicts . 	what ensues is a series upon series of completely unrelated conflicts .	1	-2	 what[0] ensues[0] is[0] a[0] series[0] upon[0] series[0] of[0] completely[0] unrelated[0] conflicts[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the first such scene takes place on an abandoned spaceship and what ensues could best be described as " alien " -lite . 	the first such scene takes place on an abandoned spaceship and what ensues could best be described as " alien " -lite .	1	-2	 the[0] first[0] such[0] scene[0] takes[0] place[0] on[0] an[0] abandoned[-1] spaceship[0] and[0] what[0] ensues[0] could[0] best[1][-1 LastWordBoosterStrength] be[0] described[0] as[0] alien[-1] lite[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story changes again when the robinsons crash land on an alien planet and must act quickly to escape it and survive . 	the story changes again when the robinsons crash land on an alien planet and must act quickly to escape it and survive .	1	-2	 the[0] story[0] changes[0] again[0] when[0] the[0] robinsons[0] crash[0] land[0] on[0] an[0] alien[-1] planet[0] and[0] must[0] act[0] quickly[0] to[0] escape[0] it[0] and[0] survive[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but there's never any real notion of suspense here because the script constantly wanders aimlessly . 	but there's never any real notion of suspense here because the script constantly wanders aimlessly .	1	-2	 but[0] there's[0] never[0] any[0] real[0] notion[0] of[0] suspense[0] here[0] because[0] the[0] script[0] constantly[0] wanders[0] aimlessly[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
plotlines are developed , but each becomes totally irrelevant as the story changes from scenario to scenario . 	plotlines are developed , but each becomes totally irrelevant as the story changes from scenario to scenario .	1	-1	 plotlines[0] are[0] developed[0] but[0] each[0] becomes[0] totally[0] irrelevant[0] as[0] the[0] story[0] changes[0] from[0] scenario[0] to[0] scenario[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the atmosphere attempts to be surreal by incorporating time travel and various time paradoxes , but it's presented in such a ridiculous way it's utterly boring . 	the atmosphere attempts to be surreal by incorporating time travel and various time paradoxes , but it's presented in such a ridiculous way it's utterly boring .	1	-3	 the[0] atmosphere[0] attempts[0] to[0] be[0] surreal[0] by[0] incorporating[0] time[0] travel[0] and[0] various[0] time[0] paradoxes[0] but[0] it's[0] presented[0] in[0] such[0] a[0] ridiculous[-2] way[0] it's[0] utterly[0] boring[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
by the time the last act rolls around , there is no sense of a payoff building . 	by the time the last act rolls around , there is no sense of a payoff building .	1	-1	 by[0] the[0] time[0] the[0] last[0] act[0] rolls[0] around[0] there[0] is[0] no[0] sense[0] of[0] a[0] payoff[0] building[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the ending does not go out on a high note with any kind of climax , instead , it seems to come to a sudden halt ( but at least it ends at all ) . 	the ending does not go out on a high note with any kind of climax , instead , it seems to come to a sudden halt ( but at least it ends at all ) .	2	-1	 the[0] ending[0] does[0] not[0] go[0] out[0] on[0] a[0] high[0] note[0] with[0] any[0] kind[1] of[0] climax[0] instead[0] it[0] seems[0] to[0] come[0] to[0] a[0] sudden[0] halt[0] but[0] at[0] least[0] it[0] ends[0] at[0] all[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " lost in space " is major film production at its worst . 	 " lost in space " is major film production at its worst .	1	-3	 lost[0] in[0] space[0] is[0] major[0] film[0] production[0] at[0] its[0] worst[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's frightening that a film so poorly written , directed , and acted might be considered mainstream entertainment . 	it's frightening that a film so poorly written , directed , and acted might be considered mainstream entertainment .	1	-4	 it's[0] frightening[-3] that[0] a[0] film[0] so[0] poorly[-1] written[0] directed[0] and[0] acted[0] might[0] be[0] considered[0] mainstream[0] entertainment[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
