8mm , written by seven scribe andrew kevin walker , has an interesting idea which is ruined by hollywood formula to become a bog standard murder mystery . 	Translation	Positive	Negative	EmotionRationale
and in this overlong thriller , these virtues do not help keep the suspense up . 	and in this overlong thriller , these virtues do not help keep the suspense up .	3	-1	 and[0] in[0] this[0] overlong[0] thriller[1] these[0] virtues[2] do[0] not[0] help[0] keep[0] the[0] suspense[0] up[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
only when cage is onscreen with the excellent phoenix does the film start moving , as phoenix is a true talent . 	only when cage is onscreen with the excellent phoenix does the film start moving , as phoenix is a true talent .	4	-1	 only[0] when[0] cage[0] is[0] onscreen[0] with[0] the[0] excellent[3] phoenix[0] does[0] the[0] film[0] start[0] moving[0] as[0] phoenix[0] is[0] a[0] true[1] talent[1] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
his performance is a great break away from the gloom , and he's just purely enjoyable to watch . 	his performance is a great break away from the gloom , and he's just purely enjoyable to watch .	3	-3	 his[0] performance[0] is[0] a[0] great[2] break[0] away[0] from[0] the[0] gloom[-2] and[0] he's[0] just[0] purely[0] enjoyable[2] to[0] watch[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
catherine keener is completely wasted as cage's wife , although she delivers a far better performance than her character deserves . 	catherine keener is completely wasted as cage's wife , although she delivers a far better performance than her character deserves .	1	-3	 catherine[0] keener[0] is[0] completely[0] wasted[-1][-1 LastWordBoosterStrength] as[0] cage's[0] wife[0] although[0] she[0] delivers[0] a[0] far[0] better[0] performance[0] than[0] her[0] character[0] deserves[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
her character , though , is hugely underwritten , one of the most wasted characters of the year . 	her character , though , is hugely underwritten , one of the most wasted characters of the year .	1	-2	 her[0] character[0] though[0] is[0] hugely[0] underwritten[0] one[0] of[0] the[0] most[0] wasted[-1] characters[0] of[0] the[0] year[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
also fun is fargo's peter stormare as the wildly over the top snuff film director . 	also fun is fargo's peter stormare as the wildly over the top snuff film director .	2	-1	 also[0] fun[1] is[0] fargo's[0] peter[0] stormare[0] as[0] the[0] wildly[0] over[0] the[0] top[0] snuff[0] film[0] director[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as this film is written by the person behind seven , 8mm is filled with doom and gloom , and no-one appears to know how to use an light switch . 	as this film is written by the person behind seven , 8m is filled with doom and gloom , and no-one appears to know how to use an light switch .	1	-3	 as[0] this[0] film[0] is[0] written[0] by[0] the[0] person[0] behind[0] seven[0] 8mm/8m[0] is[0] filled[0] with[0] doom[-1] and[0] gloom[-2] and[0] no[0] one[0] appears[0] to[0] know[0] how[0] to[0] use[0] an[0] light[0] switch[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
unlike seven , 8mm isn't too clever , and the twist is pathetic and startlingly obvious when it arrives . 	unlike seven , 8m isn't too clever , and the twist is pathetic and startlingly obvious when it arrives .	1	-3	 unlike[0] seven[0] 8mm/8m[0] isn't[0] too[0] clever[0] and[0] the[0] twist[0] is[0] pathetic[-2] and[0] startlingly[-1] obvious[0] when[0] it[0] arrives[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
lacking the strong characters seven featured , 8mm ultimately becomes uninvolving plot wise , and relies on the graphic scenes to provide any entertainment . 	lacking the strong characters seven featured , 8m ultimately becomes uninvolving plot wise , and relies on the graphic scenes to provide any entertainment .	1	-1	 lacking[0] the[0] strong[0] characters[0] seven[0] featured[0] 8mm/8m[0] ultimately[0] becomes[0] uninvolving[0] plot[0] wise[0] and[0] relies[0] on[0] the[0] graphic[0] scenes[0] to[0] provide[0] any[0] entertainment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but director joel schumacher , the completely wrong guy for the job , puts style over content , and while the direction and look are good , it's just not very disturbing . 	but director joel schumacher , the completely wrong guy for the job , puts style over content , and while the direction and look are good , it's just not very disturbing .	3	-3	 but[0] director[0] joel[0] schumacher[0] the[0] completely[0] wrong[-1][-1 LastWordBoosterStrength] guy[0] for[0] the[0] job[0] puts[0] style[0] over[0] content[0] and[0] while[0] the[0] direction[0] and[0] look[0] are[0] good[1] it's[0] just[0] not[0] very[0] disturbing[-1][-1 LastWordBoosterStrength][NegatedDueToPreviousWord] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
schumacher also has no idea how to shock and audience , and though we are meant to be looking at the 'dark belly' of the porn industry , it doesn't exactly leave an haunting impression on the viewers mind , which misses the point . 	schumacher also has no idea how to shock and audience , and though we are meant to be looking at the 'dark belly' of the porn industry , it doesn't exactly leave an haunting impression on the viewers mind , which misses the point .	1	-3	 schumacher[0] also[0] has[0] no[0] idea[0] how[0] to[0] shock[-2] and[0] audience[0] and[0] though[0] we[0] are[0] meant[0] to[0] be[0] looking[0] at[0] the[0] 'dark[0] belly'[0] of[0] the[0] porn[0] industry[0] it[0] doesn't[0] exactly[0] leave[0] an[0] haunting[0] impression[0] on[0] the[0] viewers[0] mind[0] which[0] misses[-2] the[0] point[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
also , the last 20 minutes are so hackneyed , so cliched , it's amazing to think it's the same film you're watching . 	also , the last 20 minutes are so hackneyed , so cliched , it's amazing to think it's the same film you're watching .	3	-1	 also[0] the[0] last[0] 20[0] minutes[0] are[0] so[0] hackneyed[0] so[0] cliched[0] it's[0] amazing[2] to[0] think[0] it's[0] the[0] same[0] film[0] you're[0] watching[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
8mm is far from an success , a 'snuffed' opportunity . 	8m is far from an success , a 'snuffed' opportunity .	3	-1	 8mm/8m[0] is[0] far[0] from[0] an[0] success[2] a[0] 'snuffed'[0] opportunity[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
with a boring lead character , 'controversial' scenes that manage not to be controversial , and a director obsessed with looks , what could have been one of the most shocking films of the year is a dumb thriller . 	with a boring lead character , 'controversial' scenes that manage not to be controversial , and a director obsessed with looks , what could have been one of the most shocking films of the year is a dumb thriller .	2	-3	 with[0] a[0] boring[-1] lead[0] character[0] 'controversial'[0] scenes[0] that[0] manage[0] not[0] to[0] be[0] controversial[-1] and[0] a[0] director[0] obsessed[-2] with[0] looks[0] what[0] could[0] have[0] been[0] one[0] of[0] the[0] most[0] shocking[-2] films[0] of[0] the[0] year[0] is[0] a[0] dumb[-1] thriller[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
ultimately , 8mm is probably worth renting on home video , unless your desperate to see what the snuff film within the film looks like . 	ultimately , 8m is probably worth renting on home video , unless your desperate to see what the snuff film within the film looks like .	2	-3	 ultimately[0] 8mm/8m[0] is[0] probably[0] worth[0] renting[0] on[0] home[0] video[0] unless[0] your[0] desperate[-2] to[0] see[0] what[0] the[0] snuff[0] film[0] within[0] the[0] film[0] looks[0] like[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and trust me , the rest of the 2 hours are not worth it . 	and trust me , the rest of the 2 hours are not worth it .	2	-1	 and[0] trust[1] me[0] the[0] rest[0] of[0] the[0] 2[0] hours[0] are[0] not[0] worth[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
