everything about this ninth trek movie seems on the cheap , from the roger corman-grade special effects to its highly derivative and ugly ad campaign ( the poster is nearly identical to that of star trek vi : the undiscovered country ) . 	Translation	Positive	Negative	EmotionRationale
he has called it a comedy , a thinking man's picture , a throwback to the old series , and , most grievously , he has likened it to a john ford western . 	he has called it a comedy , a thinking man's picture , a throwback to the old series , and , most grievously , he has likened it to a john ford western .	1	-4	 he[0] has[0] called[0] it[0] a[0] comedy[0] a[0] thinking[0] man's[0] picture[0] a[0] throwback[0] to[0] the[0] old[0] series[0] and[0] most[0] grievously[-3] he[0] has[0] likened[0] it[0] to[0] a[0] john[0] ford[0] western[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 ( i presume that's some john ford he went to school with , not the director of the searchers . ) 	 ( i presume that's some john ford he went to school with , not the director of the searchers .<br> )	1	-1	 i[0] presume[0] that's[0] some[0] john[0] ford[0] he[0] went[0] to[0] school[0] with[0] not[0] the[0] director[0] of[0] the[0] searchers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has also gone on record as saying paramount recut the film from his version . 	he has also gone on record as saying paramount recut the film from his version .	1	-1	 he[0] has[0] also[0] gone[0] on[0] record[0] as[0] saying[0] paramount[0] recut[0] the[0] film[0] from[0] his[0] version[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's no excuse-someone generated this footage . 	that's no excuse-someone generated this footage .	1	-1	 that's[0] no[0] excuse[0] someone[0] generated[0] this[0] footage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
muddy cinematography and sitcom sets are the least of its problems ; star trek : insurrection appears to have been beamed in from the planet plotholia . 	muddy cinematography and sitcom sets are the least of its problems ; star trek : insurrection appears to have been beamed in from the planet plotholia .	1	-2	 muddy[-1] cinematography[0] and[0] sitcom[0] sets[0] are[0] the[0] least[0] of[0] its[0] problems[-1] star[0] trek[0] insurrection[0] appears[0] to[0] have[0] been[0] beamed[0] in[0] from[0] the[0] planet[0] plotholia[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
consider such curiosities . . . 	consider such curiosities .<br> .<br> .	1	-1	 consider[0] such[0] curiosities[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
picard's love interest , anij ( donna murphy ) , can slow things down by staring at them ( such as a waterfall or falling rocks ) -her scientific explanation for this ? 	picard's love interest , anij ( donna murphy ) , can slow things down by staring at them ( such as a waterfall or falling rocks ) -her scientific explanation for this ?	3	-1	 picard's[0] love[2] interest[1] anij[0] donna[0] murphy[0] can[0] slow[0] things[0] down[0] by[0] staring[0] at[0] them[0] such[0] as[0] a[0] waterfall[0] or[0] falling[0] rocks[0] her[0] scientific[0] explanation[0] for[0] this[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " don't ask . " 	 " don't ask .<br> "	1	-1	 don't[0] ask[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
worf gets a pimple ( he's re-experiencing klingon puberty thanks to the time-defying atmosphere ) , laforge regains his eyesight ( trust me , levar burton's real eyes are scarier than those electronic lenses he wore in first contact ) and troi brags about her firm boobs , but picard remains as bald as an android's butt . 	worf gets a pimple ( he's re-experiencing klingon puberty thanks to the time-defying atmosphere ) , laforge regains his eyesight ( trust me , levar burton's real eyes are scarier than those electronic lenses he wore in first contact ) and troi brags about her firm bobs , but picard remains as bald as an android's butt .	2	-2	 worf[0] gets[0] a[0] pimple[0] he's[0] re[0] experiencing[0] klingon[0] puberty[0] thanks[1] to[0] the[0] time[0] defying[0] atmosphere[0] laforge[0] regains[0] his[0] eyesight[0] trust[1] me[0] levar[0] burton's[0] real[0] eyes[0] are[0] scarier[0] than[0] those[0] electronic[0] lenses[0] he[0] wore[0] in[0] first[0] contact[0] and[0] troi[0] brags[-1] about[0] her[0] firm[0] boobs/bobs[0] but[0] picard[0] remains[0] as[0] bald[0] as[0] an[0] android's[0] butt[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
most suspiciously , what exactly is the problem with letting this endangered race have a little fun in the sun ? 	most suspiciously , what exactly is the problem with letting this endangered race have a little fun in the sun ?	2	-2	 most[0] suspiciously[-1] what[0] exactly[0] is[0] the[0] problem[-1] with[0] letting[0] this[0] endangered[-1] race[0] have[0] a[0] little[0] fun[1] in[0] the[0] sun[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the filmmakers cloud the issue with some nonsense about a family feud of sorts , and they also turn ru'afo into a completely power-mad superfreak , just so the characters will have something to do in the climax . 	the filmmakers cloud the issue with some nonsense about a family feud of sorts , and they also turn ru'afo into a completely power-mad superfreak , just so the characters will have something to do in the climax .	1	-3	 the[0] filmmakers[0] cloud[0] the[0] issue[0] with[0] some[0] nonsense[-1][--1 LastWordBoosterStrength] about[0] a[0] family[0] feud[-2] of[0] sorts[0] and[0] they[0] also[0] turn[0] ru'afo[0] into[0] a[0] completely[0] power[0] mad[-1] superfreak[0] just[0] so[0] the[0] characters[0] will[0] have[0] something[0] to[0] do[0] in[0] the[0] climax[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( and if you've seen return of the jedi , you've seen the ending of this movie . ) 	 ( and if you've seen return of the jedi , you've seen the ending of this movie .<br> )	1	-1	 and[0] if[0] you've[0] seen[0] return[0] of[0] the[0] jedi[0] you've[0] seen[0] the[0] ending[0] of[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
didn't picard himself previously disobey the prime directive when he prevented the borg from assimilating millions ? 	didn't picard himself previously disobey the prime directive when he prevented the borg from assimilating millions ?	1	-1	 didn't[0] picard[0] himself[0] previously[0] disobey[0] the[0] prime[0] directive[0] when[0] he[0] prevented[0] the[0] borg[0] from[0] assimilating[0] millions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
frakes lucked out with first contact , and repeat viewings of that film reveal the seeds of what went wrong in his direction of insurrection : he has no sense of comic timing , and he mines for acting chemistry where none exists . 	frakes lucked out with first contact , and repeat viewings of that film reveal the seeds of what went wrong in his direction of insurrection : he has no sense of comic timing , and he mines for acting chemistry where none exists .	3	-2	 frakes[0] lucked[2] out[0] with[0] first[0] contact[0] and[0] repeat[0] viewings[0] of[0] that[0] film[0] reveal[0] the[0] seeds[0] of[0] what[0] went[0] wrong[-1] in[0] his[0] direction[0] of[0] insurrection[0] he[0] has[0] no[0] sense[0] of[0] comic[0] timing[0] and[0] he[0] mines[0] for[0] acting[0] chemistry[0] where[0] none[0] exists[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 ( take a look at the painful " troi gets drunk " scene in fc and you'll get the general idea of insurrection's unsuccessfully jokey and hollow tone . ) 	 ( take a look at the painful " troi gets drunk " scene in fc and you'll get the general idea of insurrection's unsuccessfully jokey and hollow tone .<br> )	2	-4	 take[0] a[0] look[0] at[0] the[0] painful[-3] troi[0] gets[0] drunk[-1] scene[0] in[0] fc[0] and[0] you'll[0] get[0] the[0] general[0] idea[0] of[0] insurrection's[0] unsuccessfully[-2] jokey[1] and[0] hollow[-1] tone[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
even the worst shatner and co . 	even the worst shatner and co .	1	-3	 even[0] the[0] worst[-2] shatner[0] and[0] co[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
treks , like the final frontier , maintained a watchability thanks to the effortless , charming comaraderie between kirk , spock , and bones . 	treks , like the final frontier , maintained a watchability thanks to the effortless , charming comaraderie between kirk , spock , and bones .	2	-1	 treks[0] like[1] the[0] final[0] frontier[0] maintained[0] a[0] watchability[0] thanks[1] to[0] the[0] effortless[0] charming[1] comaraderie[0] between[0] kirk[0] spock[0] and[0] bones[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
neither first contact nor insurrection has any idea what to do with crusher ( gates mcfadden , whom i must say maintains a fabulous physique ) , troi , or laforge . 	neither first contact nor insurrection has any idea what to do with crusher ( gates mcfadden , whom i must say maintains a fabulous physique ) , troi , or laforge .	3	-1	 neither[0] first[0] contact[0] nor[0] insurrection[0] has[0] any[0] idea[0] what[0] to[0] do[0] with[0] crusher[0] gates[0] mcfadden[0] whom[0] i[0] must[0] say[0] maintains[0] a[0] fabulous[2] physique[0] troi[0] or[0] laforge[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and all three next generation films spend too much time on data , who is the franchise's answer to urkel . 	and all three next generation films spend too much time on data , who is the franchise's answer to urkel .	1	-1	 and[0] all[0] three[0] next[0] generation[0] films[0] spend[0] too[0] much[0] time[0] on[0] data[0] who[0] is[0] the[0] franchise's[0] answer[0] to[0] urkel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
need a cheap laugh ? 	need a cheap laugh ?	2	-2	 need[0] a[0] cheap[-1] laugh[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
have data say something sexual , or start singing , or lift up a four hundred pound boulder as if it's the hunk of styrofoam it really is . 	have data say something sexual , or start singing , or lift up a four hundred pound boulder as if it's the hunk of styrofoam it really is .	1	-1	 have[0] data[0] say[0] something[0] sexual[0] or[0] start[0] singing[0] or[0] lift[0] up[0] a[0] four[0] hundred[0] pound[0] boulder[0] as[0] if[0] it's[0] the[0] hunk[0] of[0] styrofoam[0] it[0] really[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here's my proposed title for number 10 : data star data trek : data data data data data . 	here's my proposed title for number 10 : data star data trek : data data data data data .	1	-1	 here's[0] my[0] proposed[0] title[0] for[0] number[0] 10[0] data[0] star[0] data[0] trek[0] data[0] data[0] data[0] data[0] data[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in this movie , data will become preoccupied with learning to blow his nose , while crusher and troi watch silently from 500 yards away and laforge points his sinister gaze at the android in doubly robotic observation . 	in this movie , data will become preoccupied with learning to blow his nose , while crusher and troi watch silently from 500 yards away and laforge points his sinister gaze at the android in doubly robotic observation .	1	-4	 in[0] this[0] movie[0] data[0] will[0] become[0] preoccupied[0] with[0] learning[0] to[0] blow[0] his[0] nose[0] while[0] crusher[0] and[0] troi[0] watch[0] silently[0] from[0] 500[0] yards[0] away[0] and[0] laforge[0] points[0] his[0] sinister[-3] gaze[0] at[0] the[0] android[0] in[0] doubly[0] robotic[0] observation[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
star trek : insurrection had one nice , eerie , silent moment that hints at a better , darker film . 	star trek : insurrection had one nice , eerie , silent moment that hints at a better , darker film .	2	-1	 star[0] trek[0] insurrection[0] had[0] one[0] nice[1] eerie[0] silent[0] moment[0] that[0] hints[0] at[0] a[0] better[0] darker[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i'm not saying all of them should be star trek ii : the wrath of khan , but this one boldly went where no movie should go again . 	i'm not saying all of them should be star trek i : the wrath of khan , but this one boldly went where no movie should go again .	1	-2	 i'm[0] not[0] saying[0] all[0] of[0] them[0] should[0] be[0] star[0] trek[0] ii/i[0] the[0] wrath[-1] of[0] khan[0] but[0] this[0] one[0] boldly[0] went[0] where[0] no[0] movie[0] should[0] go[0] again[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
