kate ( jennifer aniston ) is having some problems . 	Translation	Positive	Negative	EmotionRationale
after some provoking nick does oblige , but problems continue for kate . 	after some provoking nick does oblige , but problems continue for kate .	1	-2	 after[0] some[0] provoking[0] nick[0] does[0] oblige[0] but[0] problems[-1] continue[0] for[0] kate[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it appears sam is no longer interested now that she is available . 	it appears sam is no longer interested now that she is available .	2	-1	 it[0] appears[0] sam[0] is[0] no[0] longer[0] interested[1] now[0] that[0] she[0] is[0] available[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
or maybe kate does like nick , but " reconciliation " will force her to admit her lies to her employer . 	or maybe kate does like nick , but " reconciliation " will force her to admit her lies to her employer .	2	-3	 or[0] maybe[0] kate[0] does[0] like[1] nick[0] but[0] reconciliation[0] will[0] force[-1] her[0] to[0] admit[0] her[0] lies[-2] to[0] her[0] employer[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
adding to her mess is the constant prying of her mother ( olympia dukakis ) , who wants her to get married and settle down . 	adding to her mess is the constant prying of her mother ( olympia dukakis ) , who wants her to get married and settle down .	1	-2	 adding[0] to[0] her[0] mess[0] is[0] the[0] constant[0] prying[-1] of[0] her[0] mother[0] olympia[0] dukakis[0] who[0] wants[0] her[0] to[0] get[0] married[0] and[0] settle[0] down[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is a scene in this movie where jennifer aniston is ( from the waist up ) only wearing a bra . 	there is a scene in this movie where jennifer aniston is ( from the waist up ) only wearing a bra .	1	-1	 there[0] is[0] a[0] scene[0] in[0] this[0] movie[0] where[0] jennifer[0] aniston[0] is[0] from[0] the[0] waist[0] up[0] only[0] wearing[0] a[0] bra[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it made me chuckle because it is the only time in the movie when she actually wears one . 	it made me chuckle because it is the only time in the movie when she actually wears one .	3	-1	 it[0] made[0] me[0] chuckle[2] because[0] it[0] is[0] the[0] only[0] time[0] in[0] the[0] movie[0] when[0] she[0] actually[0] wears[0] one[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there is enough cleavage in this movie to satisfy russ meyer . 	there is enough cleavage in this movie to satisfy russ meyer .	2	-1	 there[0] is[0] enough[0] cleavage[0] in[0] this[0] movie[0] to[0] satisfy[1] russ[0] meyer[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's like the director said 'well , we know the story is formulaic and the performances aren't that great so , what the heck , let's show jennifer's assets as often and as uncovered as humanly possible to keep the pg rating . " 	it's like the director said 'well , we know the story is formulaic and the performances aren't that great so , what the heck , let's show jennifer's assets as often and as uncovered as humanly possible to keep the pg rating .<br> "	2	-3	 it's[0] like[1] the[0] director[0] said[0] 'well[0] we[0] know[0] the[0] story[0] is[0] formulaic[0] and[0] the[0] performances[0] aren't[0] that[0] great[2][NegatedDueToPreviousWord] so[0] what[0] the[0] heck[0] let's[0] show[0] jennifer's[0] assets[0] as[0] often[0] and[0] as[0] uncovered[0] as[0] humanly[0] possible[0] to[0] keep[0] the[0] pg[0] rating[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
quite frankly it's insulting . 	quite frankly it's insulting .	1	-3	 quite[0] frankly[0] it's[0] insulting[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i don't think aniston is a competent enough actress to carry a movie . 	i don't think aniston is a competent enough actress to carry a movie .	1	-1	 i[0] don't[0] think[0] aniston[0] is[0] a[0] competent[0] enough[0] actress[0] to[0] carry[0] a[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she did a decent enough job in ed burns' " she's the one " because it was a smaller and supporting role , and she just doesn't deliver the goods effectively in this movie . 	she did a decent enough job in ed burns' " she's the one " because it was a smaller and supporting role , and she just doesn't deliver the goods effectively in this movie .	2	-2	 she[0] did[0] a[0] decent[0] enough[0] job[0] in[0] ed[0] burns'[-1] she's[0] the[0] one[0] because[0] it[0] was[0] a[0] smaller[0] and[0] supporting[1] role[0] and[0] she[0] just[0] doesn't[0] deliver[0] the[0] goods[0] effectively[0] in[0] this[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
her performance was not convincing . 	her performance was not convincing .	1	-1	 her[0] performance[0] was[0] not[0] convincing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , as far as romantic comedies go , this movie adds nothing new to the standard formula for these types of movies . 	unfortunately , as far as romantic comedies go , this movie adds nothing new to the standard formula for these types of movies .	4	-2	 unfortunately[-1] as[0] far[0] as[0] romantic[3] comedies[0] go[0] this[0] movie[0] adds[0] nothing[0] new[0] to[0] the[0] standard[0] formula[0] for[0] these[0] types[0] of[0] movies[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the film is similar to " my best friends wedding " in a sense that the leading female character is actually quite vindictive and due her actions , gets no sympathy from me when things go awry . 	the film is similar to " my best friends wedding " in a sense that the leading female character is actually quite vindictive and due her actions , gets no sympathy from me when things go awry .	2	-1	 the[0] film[0] is[0] similar[0] to[0] my[0] best[1] friends[1] wedding[0] in[0] a[0] sense[0] that[0] the[0] leading[0] female[0] character[0] is[0] actually[0] quite[0] vindictive[0] and[0] due[0] her[0] actions[0] gets[0] no[0] sympathy[0] from[0] me[0] when[0] things[0] go[0] awry[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i didn't care for how quickly kate puts down nick's profession by explaining that videotaping weddings wasn't glamorous enough for her co-workers . 	i didn't care for how quickly kate puts down nick's profession by explaining that videotaping weddings wasn't glamorous enough for her co-workers .	2	-1	 i[0] didn't[0] care[1] for[0] how[0] quickly[0] kate[0] puts[0] down[0] nick's[0] profession[0] by[0] explaining[0] that[0] videotaping[0] weddings[0] wasn't[0] glamorous[1] enough[0] for[0] her[0] co[0] workers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at least " my best friends wedding " changed the formula a bit and had a somewhat surprise ending . 	at least " my best friends wedding " changed the formula a bit and had a somewhat surprise ending .	2	-1	 at[0] least[0] my[0] best[1] friends[1] wedding[0] changed[0] the[0] formula[0] a[0] bit[0] and[0] had[0] a[0] somewhat[0] surprise[0] ending[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
no such luck with " picture perfect " . 	no such luck with " picture perfect " .	3	-1	 no[0] such[0] luck[2] with[0] picture[0] perfect[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
every plot occurrence can be spotted a mile away , including a couple that really made no sense . 	every plot occurrence can be spotted a mile away , including a couple that really made no sense .	1	-1	 every[0] plot[0] occurrence[0] can[0] be[0] spotted[0] a[0] mile[0] away[0] including[0] a[0] couple[0] that[0] really[0] made[0] no[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after everything kate had done to prove her loyalty to her company , why would she blindly throw it all away when she should have made sure that nick would even talk to her first , let alone consider a relationship ? 	after everything kate had done to prove her loyalty to her company , why would she blindly throw it all away when she should have made sure that nick would even talk to her first , let alone consider a relationship ?	2	-2	 after[0] everything[0] kate[0] had[0] done[0] to[0] prove[0] her[0] loyalty[1] to[0] her[0] company[0] why[0] would[0] she[0] blindly[-1] throw[0] it[0] all[0] away[0] when[0] she[0] should[0] have[0] made[0] sure[0] that[0] nick[0] would[0] even[0] talk[0] to[0] her[0] first[0] let[0] alone[0] consider[0] a[0] relationship[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
was quitting her job a prerequisite to making amends with nick ? 	was quitting her job a prerequisite to making amends with nick ?	1	-1	 was[0] quitting[0] her[0] job[0] a[0] prerequisite[0] to[0] making[0] amends[0] with[0] nick[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
throw in the fact that i don't think nick and kate spent enough time together to even warrant that rash of a decision . 	throw in the fact that i don't think nick and kate spent enough time together to even warrant that rash of a decision .	1	-2	 throw[0] in[0] the[0] fact[0] that[0] i[0] don't[0] think[0] nick[0] and[0] kate[0] spent[0] enough[0] time[0] together[0] to[0] even[0] warrant[0] that[0] rash[-1] of[0] a[0] decision[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i believe that kate liked him , but liked him so intensely that she was willing to throw her career away ? 	i believe that kate liked him , but liked him so intensely that she was willing to throw her career away ?	3	-1	 i[0] believe[0] that[0] kate[0] liked[2] him[0] but[0] liked[2] him[0] so[0] intensely[0] that[0] she[0] was[0] willing[0] to[0] throw[0] her[0] career[0] away[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i doubt it . 	i doubt it .	1	-2	 i[0] doubt[-1] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and what of the ending scene at a wedding where the entire congregation feels it necessary to stop everything and stare at the couple ? 	and what of the ending scene at a wedding where the entire congregation feels it necessary to stop everything and stare at the couple ?	1	-1	 and[0] what[0] of[0] the[0] ending[0] scene[0] at[0] a[0] wedding[0] where[0] the[0] entire[0] congregation[0] feels[0] it[0] necessary[0] to[0] stop[0] everything[0] and[0] stare[0] at[0] the[0] couple[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
are mass groups of people simultaneously that interested in total strangers ? 	are mass groups of people simultaneously that interested in total strangers ?	2	-1	 are[0] mass[0] groups[0] of[0] people[0] simultaneously[0] that[0] interested[1] in[0] total[0] strangers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
well , i guess of the congregation consists of movie extras and the strangers are the movies two lead stars , then that would make sense . 	well , i guess of the congregation consists of movie extras and the strangers are the movies two lead stars , then that would make sense .	1	-1	 well[0] i[0] guess[0] of[0] the[0] congregation[0] consists[0] of[0] movie[0] extras[0] and[0] the[0] strangers[0] are[0] the[0] movies[0] two[0] lead[0] stars[0] then[0] that[0] would[0] make[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
picture perfect directed by glenn gordon caron 	picture perfect directed by glen gordon caron	2	-1	 picture[0] perfect[1] directed[0] by[0] glenn/glen[0] gordon[0] caron[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kate . . . . . . . . . . . . . . . . . . . . . . . . jennifer aniston nick . . . . . . . . . . . . . . . . . . . . . . . . jay 	kate .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> jennifer aniston nick .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> jay	1	-1	 kate[0] [[Sentence=-1,1=word max, 1-5]] jennifer[0] aniston[0] nick[0] [[Sentence=-1,1=word max, 1-5]] jay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mohr sam . . . . . . . . . . . . . . . . . . . . . . . . kevin 	mohr sam .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> kevin	1	-1	 mohr[0] sam[0] [[Sentence=-1,1=word max, 1-5]] kevin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bacon mercer . . . . . . . . . . . . . . . . . . . . . kevin 	bacon mercer .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> kevin	1	-1	 bacon[0] mercer[0] [[Sentence=-1,1=word max, 1-5]] kevin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dunn darcy . . . . . . . . . . . . . . . . . . . . . . illeana 	dun darcy .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> illeana	1	-1	 dunn/dun[0] darcy[0] [[Sentence=-1,1=word max, 1-5]] illeana[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
douglas rita . . . . . . . . . . . . . . . . . . . . . . . . olympia 	douglas rita .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> olympia	1	-1	 douglas[0] rita[0] [[Sentence=-1,1=word max, 1-5]] olympia[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dukakis 	dukakis	1	-1	 dukakis[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
written by randy turgeon , february 26 , 1998 . 	written by randy turgeon , february 26 , 1998 .	1	-1	 written[0] by[0] randy[0] turgeon[0] february[0] 26[0] 1998[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
visit my movie reviews ! 	visit my movie reviews !	1	-1	 visit[0] my[0] movie[0] reviews[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
www . xtdl . com/ canran 	w .<br> xtdl .<br> com/ canran	1	-1	 www/w[0] [[Sentence=-1,1=word max, 1-5]] xtdl[0] [[Sentence=-1,1=word max, 1-5]] com/[0] canran[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
