an experience like baby geniuses can have certain effects on an average moviegoer . 	Translation	Positive	Negative	EmotionRationale
the adults in this film are furiously beaten by these youngsters in diapers . 	the adults in this film are furiously beaten by these youngsters in diapers .	1	-4	 the[0] adults[0] in[0] this[0] film[0] are[0] furiously[-3] beaten[0] by[0] these[0] youngsters[0] in[0] diapers[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's a shock when writers will stoop this low just to draw cheap laughs by using john hughes' familiar home alone formula . 	it's a shock when writers will stoop this low just to draw cheap laughs by using john hughes' familiar home alone formula .	2	-3	 it's[0] a[0] shock[-2] when[0] writers[0] will[0] stoop[0] this[0] low[-1] just[0] to[0] draw[0] cheap[-1] laughs[1] by[0] using[0] john[0] hughes'[0] familiar[0] home[0] alone[0] formula[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i also found it disturbing that the babies in this film have attitude and endless 90's knowledge , quoting numerous movies and insulting their adult captors . 	i also found it disturbing that the babies in this film have attitude and endless 90's knowledge , quoting numerous movies and insulting their adult captors .	2	-3	 i[0] also[0] found[0] it[0] disturbing[-1] that[0] the[0] babies[1] in[0] this[0] film[0] have[0] attitude[0] and[0] endless[0] 90's[0] knowledge[0] quoting[0] numerous[0] movies[0] and[0] insulting[-2] their[0] adult[0] captors[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the effects in baby geniuses ( similar to the talking animals in babe ) are pathetic , the editing is a disaster , and the jokes are never funny . 	the effects in baby geniuses ( similar to the talking animals in babe ) are pathetic , the editing is a disaster , and the jokes are never funny .	2	-3	 the[0] effects[0] in[0] baby[1] geniuses[0] similar[0] to[0] the[0] talking[0] animals[0] in[0] babe[0] are[0] pathetic[-2] the[0] editing[0] is[0] a[0] disaster[-1] and[0] the[0] jokes[1] are[0] never[0] funny[1][NegatedDueToPreviousWord] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the only reason viewers may avoid vomiting is the argument that the babies are  cute' . 	the only reason viewers may avoid vomiting is the argument that the babies are  cute' .	2	-3	 the[0] only[0] reason[0] viewers[0] may[0] avoid[-1][--1 LastWordBoosterStrength] vomiting[-2] is[0] the[0] argument[-1] that[0] the[0] babies[1] are[0] cute'[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i suppose they are . 	i suppose they are .	1	-1	 i[0] suppose[0] they[0] are[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i can admit to smiling a few times because the babies were cute . 	i can admit to smiling a few times because the babies were cute .	3	-1	 i[0] can[0] admit[0] to[0] smiling[2] a[0] few[0] times[0] because[0] the[0] babies[1] were[0] cute[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
other instances , though , i was howling in laughter due to the inane stupidity of the script . 	other instances , though , i was howling in laughter due to the inane stupidity of the script .	2	-2	 other[0] instances[0] though[0] i[0] was[0] howling[0] in[0] laughter[1] due[0] to[0] the[0] inane[-1] stupidity[-1] of[0] the[0] script[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there are supporting characters who have no personality whatsoever ; their entire existence is based on punch lines . 	there are supporting characters who have no personality whatsoever ; their entire existence is based on punch lines .	2	-2	 there[0] are[0] supporting[1] characters[0] who[0] have[0] no[0] personality[0] whatsoever[0] their[0] entire[0] existence[0] is[0] based[0] on[0] punch[-1] lines[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
peter macnicol and kim cattrall , as an unwilling couple who have adopted sylvester's twin , are both miscast . 	peter macnicol and kim cattrall , as an unwilling couple who have adopted sylvester's twin , are both miscast .	1	-2	 peter[0] macnicol[0] and[0] kim[0] cattrall[0] as[0] an[0] unwilling[-1] couple[0] who[0] have[0] adopted[0] sylvester's[0] twin[0] are[0] both[0] miscast[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
then again , i don't suppose any performer could handle the uneven material without looking incredibly stupid . 	then again , i don't suppose any performer could handle the uneven material without looking incredibly stupid .	1	-4	 then[0] again[0] i[0] don't[0] suppose[0] any[0] performer[0] could[0] handle[0] the[0] uneven[-1] material[0] without[0] looking[0] incredibly[0] stupid[-1][-2 LastWordBoosterStrength] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
meanwhile , dom deluise plays a fellow who gets hit in the crotch with a monkey wrench ( hahaha ) . 	meanwhile , dom deluise plays a fellow who gets hit in the crotch with a monkey wrench ( hahaha ) .	2	-1	 meanwhile[0] dom[0] deluise[0] plays[1] a[0] fellow[0] who[0] gets[0] hit[0] in[0] the[0] crotch[0] with[0] a[0] monkey[0] wrench[0] hahaha[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i would avoid baby geniuses at all costs . 	i would avoid baby geniuses at all costs .	2	-1	 i[0] would[0] avoid[-1][--1 LastWordBoosterStrength] baby[1] geniuses[0] at[0] all[0] costs[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
instead of watching this , i would recommended filling your bathtub with cement and going snorkeling . 	instead of watching this , i would recommended filling your bathtub with cement and going snorkeling .	1	-1	 instead[0] of[0] watching[0] this[0] i[0] would[0] recommended[0] filling[0] your[0] bathtub[0] with[0] cement[0] and[0] going[0] snorkeling[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or perhaps you would consider going diving in shark-infested waters . 	or perhaps you would consider going diving in shark-infested waters .	2	-3	 or[0] perhaps[0] you[0] would[0] consider[0] going[0] diving[1] in[0] shark[-1] infested[-2] waters[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
anything to avoid this painful movie . 	anything to avoid this painful movie .	1	-4	 anything[0] to[0] avoid[-1] this[0] painful[-3] movie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the final line in the film , spoken by the bratty sylvester , is  if they think i'm doing the sequel for less than  20 mill , they're nuts' . 	the final line in the film , spoken by the bratty sylvester , is  if they think i'm doing the sequel for less than  20 mill , they're nuts' .	1	-1	 the[0] final[0] line[0] in[0] the[0] film[0] spoken[0] by[0] the[0] bratty[0] sylvester[0] is[0] if[0] they[0] think[0] i'm[0] doing[0] the[0] sequel[0] for[0] less[0] than[0] 20[0] mill[0] they're[0] nuts'[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sequel ? 	sequel ?	1	-1	 sequel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
please have mercy . 	please have mercy .	2	-1	 please[1] have[0] mercy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
