take two old and dying men , a lifetime of regrets , a house full of sins , a thoroughly despicable man , enough lies , insecurities and other character defects to keep a team of psychiatrists gainfully employed , then add a inexplicable meteorological and amphibian-based phenomenon and you will have summed up magnolia , the newest film from paul thomas anderson ( boogie nights ) . 	Translation	Positive	Negative	EmotionRationale
and then it gets worse , literally raining frogs . 	and then it gets worse , literally raining frogs .	1	-3	 and[0] then[0] it[0] gets[0] worse[-2] literally[0] raining[0] frogs[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
yes , frogs . 	yes , frogs .	1	-1	 yes[0] frogs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
assuming it to be an intended deus-ex-machina device , it is an ineffective one because it doesn't seem to faze the characters much . 	assuming it to be an intended deus-ex-machina device , it is an ineffective one because it doesn't seem to faze the characters much .	1	-2	 assuming[0] it[0] to[0] be[0] an[0] intended[0] deus[0] ex[0] machina[0] device[0] it[0] is[0] an[0] ineffective[-1] one[0] because[0] it[0] doesn't[0] seem[0] to[0] faze[0] the[0] characters[0] much[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
oh , they may step gingerly around the splattered frog corpses littering the streets , but otherwise , the frog shower didn't seem to change their behavior or pattern of living ( or dying ) . 	oh , they may step gingerly around the splattered frog corpses littering the streets , but otherwise , the frog shower didn't seem to change their behavior or pattern of living ( or dying ) .	1	-2	 oh[0] they[0] may[0] step[0] gingerly[0] around[0] the[0] splattered[0] frog[0] corpses[0] littering[-1] the[0] streets[0] but[0] otherwise[0] the[0] frog[0] shower[0] didn't[0] seem[0] to[0] change[0] their[0] behavior[0] or[0] pattern[0] of[0] living[0] or[0] dying[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is simply too much going on in this movie and most of it is distasteful to watch . 	there is simply too much going on in this movie and most of it is distasteful to watch .	1	-1	 there[0] is[0] simply[0] too[0] much[0] going[0] on[0] in[0] this[0] movie[0] and[0] most[0] of[0] it[0] is[0] distasteful[0] to[0] watch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mr . anderson further obscures the film by incorporating a loud and intrusive sound track that often drowned out the dialogue , a character who apparently rapped a significant clue to a plot development which was completely unintelligble , and a heavy handed segment of " historical " occurances containing ironic twists which set up absolutely nothing . 	mr .<br> anderson further obscures the film by incorporating a loud and intrusive sound track that often drowned out the dialogue , a character who apparently rapped a significant clue to a plot development which was completely unintelligble , and a heavy handed segment of " historical " occurances containing ironic twists which set up absolutely nothing .	1	-2	 mr[0] [[Sentence=-1,1=word max, 1-5]] anderson[0] further[0] obscures[0] the[0] film[0] by[0] incorporating[0] a[0] loud[0] and[0] intrusive[0] sound[0] track[0] that[0] often[0] drowned[-1] out[0] the[0] dialogue[0] a[0] character[0] who[0] apparently[0] rapped[0] a[0] significant[0] clue[0] to[0] a[0] plot[0] development[0] which[0] was[0] completely[0] unintelligble[0] and[0] a[0] heavy[0] handed[0] segment[0] of[0] historical[0] occurances[0] containing[0] ironic[-1] twists[0] which[0] set[0] up[0] absolutely[0] nothing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one of the recurring themes is found in a line donnie quotes : " we may be done with the past , but the past is not done with us . " 	one of the recurring themes is found in a line donnie quotes : " we may be done with the past , but the past is not done with us .<br> "	1	-1	 one[0] of[0] the[0] recurring[0] themes[0] is[0] found[0] in[0] a[0] line[0] donnie[0] quotes[0] we[0] may[0] be[0] done[0] with[0] the[0] past[0] but[0] the[0] past[0] is[0] not[0] done[0] with[0] us[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is an absolute lie . 	this is an absolute lie .	1	-1	 this[0] is[0] an[0] absolute[0] lie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
god is in the forgiveness business . 	god is in the forgiveness business .	2	-1	 god[0] is[0] in[0] the[0] forgiveness[1] business[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact , as we humbly ask for forgiveness and repent or change our offending mindset , god's word says that he not only forgives , he also forgets . 	in fact , as we humbly ask for forgiveness and repent or change our offending mindset , god's word says that he not only forgives , he also forgets .	2	-3	 in[0] fact[0] as[0] we[0] humbly[0] ask[0] for[0] forgiveness[1] and[0] repent[0] or[0] change[0] our[0] offending[-2] mindset[0] god's[0] word[0] says[0] that[0] he[0] not[0] only[0] forgives[1][NegatedDueToPreviousWord] he[0] also[0] forgets[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " i , even i , am he that blotteth out thy transgressions for mine own sake , and will not remember thy sins . " 	 " i , even i , am he that blotteth out thy transgressions for mine own sake , and will not remember thy sins .<br> "	1	-3	 i[0] even[0] i[0] am[0] he[0] that[0] blotteth[0] out[0] thy[0] transgressions[-1] for[0] mine[0] own[0] sake[0] and[0] will[0] not[0] remember[0] thy[0] sins[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
isaiah 43 : 25 [kjv] 	isaiah 43 : 25 [kjv]	1	-1	 isaiah[0] 43[0] 25[0] [kjv][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the spiritual one who keeps bringing up our unrighteous past is the same one who wants to keep us in a state of condemnation . 	the spiritual one who keeps bringing up our unrighteous past is the same one who wants to keep us in a state of condemnation .	1	-2	 the[0] spiritual[0] one[0] who[0] keeps[0] bringing[0] up[0] our[0] unrighteous[0] past[0] is[0] the[0] same[0] one[0] who[0] wants[0] to[0] keep[0] us[0] in[0] a[0] state[0] of[0] condemnation[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
don't let him . 	don't let him .	1	-1	 don't[0] let[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
next time your spiritual adversary reminds you of your past , take great pleasure in reminding him of his future . 	next time your spiritual adversary reminds you of your past , take great pleasure in reminding him of his future .	4	-2	 next[0] time[0] your[0] spiritual[0] adversary[-1] reminds[0] you[0] of[0] your[0] past[0] take[0] great[2] pleasure[2][+1 MultiplePositiveWords] in[0] reminding[0] him[0] of[0] his[0] future[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
he hates that . 	he hates that .	1	-4	 he[0] hates[-3] that[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
