movies based on video games , such as street fighter or mario bros . , have never generated much interest at the box office . 	Translation	Positive	Negative	EmotionRationale
it is only a video game , after all , but the on-screen version tries to go beyond it's comic book boundaries by adding depth , a conceptualization of self-worth , and worst of all , a love story . 	it is only a video game , after all , but the on-screen version tries to go beyond it's comic book boundaries by adding depth , a conceptualization of self-worth , and worst of all , a love story .	3	-3	 it[0] is[0] only[0] a[0] video[0] game[0] after[0] all[0] but[0] the[0] on[0] screen[0] version[0] tries[0] to[0] go[0] beyond[0] it's[0] comic[0] book[0] boundaries[0] by[0] adding[0] depth[0] a[0] conceptualization[0] of[0] self[0] worth[0] and[0] worst[-2] of[0] all[0] a[0] love[2] story[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
this becomes very awkward , because all of the players are fighters and nothing more . 	this becomes very awkward , because all of the players are fighters and nothing more .	1	-3	 this[0] becomes[0] very[0] awkward[-1][-1 LastWordBoosterStrength] because[0] all[0] of[0] the[0] players[0] are[0] fighters[-2] and[0] nothing[0] more[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they are likable and impressive when they are showcasing their martial arts and fighting skills , but look extremely awkward and uncomfortable when they are required to actually act . 	they are likable and impressive when they are showcasing their martial arts and fighting skills , but look extremely awkward and uncomfortable when they are required to actually act .	2	-4	 they[0] are[0] likable[0] and[0] impressive[1] when[0] they[0] are[0] showcasing[0] their[0] martial[0] arts[0] and[0] fighting[-2] skills[0] but[0] look[0] extremely[0] awkward[-1][-2 LastWordBoosterStrength] and[0] uncomfortable[-2] when[0] they[0] are[0] required[0] to[0] actually[0] act[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this becomes embarrassingly apparent , for example , as the movie tries to develop a romantic bond between liu kang and princess kitana . 	this becomes embarrassingly apparent , for example , as the movie tries to develop a romantic bond between liu kang and princess kitana .	4	-3	 this[0] becomes[0] embarrassingly[-2] apparent[0] for[0] example[0] as[0] the[0] movie[0] tries[0] to[0] develop[0] a[0] romantic[3] bond[0] between[0] liu[0] kang[0] and[0] princess[0] kitana[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the original mk was smart in letting the players do what they do best . 	the original mk was smart in letting the players do what they do best .	2	-1	 the[0] original[0] mk[0] was[0] smart[1] in[0] letting[0] the[0] players[0] do[0] what[0] they[0] do[0] best[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they spoke little , but fought a lot . 	they spoke little , but fought a lot .	1	-3	 they[0] spoke[0] little[0] but[0] fought[-2] a[0] lot[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
thus , the movie was easy to digest . 	thus , the movie was easy to digest .	1	-1	 thus[0] the[0] movie[0] was[0] easy[0] to[0] digest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , mk2 tries to give these players a certain amount of depth , an element that was lacking in the first movie , but the attempt here fails miserably . 	however , mk2 tries to give these players a certain amount of depth , an element that was lacking in the first movie , but the attempt here fails miserably .	1	-4	 however[0] mk2[0] tries[0] to[0] give[0] these[0] players[0] a[0] certain[0] amount[0] of[0] depth[0] an[0] element[0] that[0] was[0] lacking[0] in[0] the[0] first[0] movie[0] but[0] the[0] attempt[0] here[0] fails[-2] miserably[-2][-1 MultiplePositiveWords] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this uneasy feeling is readily apparent , for example , whenever you hear lord rayden speak . 	this uneasy feeling is readily apparent , for example , whenever you hear lord rayden speak .	1	-2	 this[0] uneasy[-1] feeling[0] is[0] readily[0] apparent[0] for[0] example[0] whenever[0] you[0] hear[0] lord[0] rayden[0] speak[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
not only does he talk in riddles and offer enigmatic ( e . g . 	not only does he talk in riddles and offer enigmatic ( e .<br> grin� .	1	-1	 not[0] only[0] does[0] he[0] talk[0] in[0] riddles[0] and[0] offer[0] enigmatic[0] e[0] [[Sentence=-1,1=word max, 1-5]] g[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
useless ) advice , but he speaks so slowly as if to simulate infinite wisdom . 	useless ) advice , but he speaks so slowly as if to simulate infinite wisdom .	1	-3	 useless[-2] advice[0] but[0] he[0] speaks[0] so[0] slowly[0] as[0] if[0] to[0] simulate[0] infinite[0] wisdom[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
try reading this half as fast , and you'll hear what i mean . 	try reading this half as fast , and you'll hear what i mean .	1	-1	 try[0] reading[0] this[0] half[0] as[0] fast[0] and[0] you'll[0] hear[0] what[0] i[0] mean[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the movie is not a complete fatality . 	but the movie is not a complete fatality .	4	-1	 but[0] the[0] movie[0] is[0] not[0] a[0] complete[0] fatality[-2][-1 LastWordBoosterStrength][NegatedDueToPreviousWord] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
fight scenes are well-choreographed , highlighted by terrific acrobatics and agility . 	fight scenes are well-choreographed , highlighted by terrific acrobatics and agility .	4	-3	 fight[-2] scenes[0] are[0] well[0] choreographed[-2] highlighted[0] by[0] terrific[3] acrobatics[0] and[0] agility[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
and players of the game will be rewarded with the inclusion of practically every character from the video game , although their screen time amounts to nothing more than a cameo . 	and players of the game will be rewarded with the inclusion of practically every character from the video game , although their screen time amounts to nothing more than a cameo .	2	-1	 and[0] players[0] of[0] the[0] game[0] will[0] be[0] rewarded[1] with[0] the[0] inclusion[0] of[0] practically[0] every[0] character[0] from[0] the[0] video[0] game[0] although[0] their[0] screen[0] time[0] amounts[0] to[0] nothing[0] more[0] than[0] a[0] cameo[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even if you're not familiar with the video game , each fighter has their own costume and unique weaponry to easily differentiate themselves . 	even if you're not familiar with the video game , each fighter has their own costume and unique weaponry to easily differentiate themselves .	1	-3	 even[0] if[0] you're[0] not[0] familiar[0] with[0] the[0] video[0] game[0] each[0] fighter[-2] has[0] their[0] own[0] costume[0] and[0] unique[0] weaponry[-1] to[0] easily[0] differentiate[0] themselves[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but it's just too little of what movie-goers and especially fans of the game will expect . 	but it's just too little of what movie-goers and especially fans of the game will expect .	1	-1	 but[0] it's[0] just[0] too[0] little[0] of[0] what[0] movie[0] goers[0] and[0] especially[0] fans[0] of[0] the[0] game[0] will[0] expect[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oddly , the inclusion of the human element actually pollutes the purity of the mortal kombat essence . 	oddly , the inclusion of the human element actually pollutes the purity of the mortal kombat essence .	1	-2	 oddly[0] the[0] inclusion[0] of[0] the[0] human[0] element[0] actually[0] pollutes[-1] the[0] purity[0] of[0] the[0] mortal[0] kombat[0] essence[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and the poor acting results in a muddled movie that offers the viewing audience little chance for survival . 	and the poor acting results in a muddled movie that offers the viewing audience little chance for survival .	1	-2	 and[0] the[0] poor[-1] acting[0] results[0] in[0] a[0] muddled[-1] movie[0] that[0] offers[0] the[0] viewing[0] audience[0] little[0] chance[0] for[0] survival[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( i am now talking very slowly as if to simulate infinite wisdom ) . 	 ( i am now talking very slowly as if to simulate infinite wisdom ) .	1	-1	 i[0] am[0] now[0] talking[0] very[0] slowly[0] as[0] if[0] to[0] simulate[0] infinite[0] wisdom[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rent the first one , but the sequel is for kombat fans only . 	rent the first one , but the sequel is for kombat fans only .	1	-1	 rent[0] the[0] first[0] one[0] but[0] the[0] sequel[0] is[0] for[0] kombat[0] fans[0] only[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
