unfortunately it doesn't get much more formulaic than one tough cop . 	Translation	Positive	Negative	EmotionRationale
whatever neat mesh the screenwriter wanted to create between the two stories failed miserably . 	whatever neat mesh the screenwriter wanted to create between the two stories failed miserably .	1	-4	 whatever[0] neat[0] mesh[0] the[0] screenwriter[0] wanted[0] to[0] create[0] between[0] the[0] two[0] stories[0] failed[-2] miserably[-2][-1 MultiplePositiveWords] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
aside from being asked to accept michael mcglone as a mafioso ( an insult if you ask me ) the performances were pretty good . 	aside from being asked to accept michael mcglone as a mafioso ( an insult if you ask me ) the performances were pretty good .	3	-3	 aside[0] from[0] being[0] asked[0] to[0] accept[0] michael[0] mcglone[0] as[0] a[0] mafioso[0] an[0] insult[-2] if[0] you[0] ask[0] me[0] the[0] performances[0] were[0] pretty[2] good[1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
baldwin , though he occasionally slips into an impression of his brother alec , does a fine job as one tough cop . 	baldwin , though he occasionally slips into an impression of his brother alec , does a fine job as one tough cop .	3	-2	 baldwin[0] though[0] he[0] occasionally[0] slips[0] into[0] an[0] impression[0] of[0] his[0] brother[0] alec[0] does[0] a[0] fine[2] job[0] as[0] one[0] tough[-1] cop[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
penn , who also slips into an impression of his brother sean , is even better as a loser tough guy cop . 	pen , who also slips into an impression of his brother sean , is even better as a loser tough guy cop .	1	-3	 penn/pen[0] who[0] also[0] slips[0] into[0] an[0] impression[0] of[0] his[0] brother[0] sean[0] is[0] even[0] better[0] as[0] a[0] loser[-2] tough[-1] guy[0] cop[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what one tough cop lacks is originality . 	what one tough cop lacks is originality .	1	-2	 what[0] one[0] tough[-1] cop[0] lacks[0] is[0] originality[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this film offers nothing new . 	this film offers nothing new .	1	-1	 this[0] film[0] offers[0] nothing[0] new[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nothing that you can't get from any cop film . 	nothing that you can't get from any cop film .	1	-1	 nothing[0] that[0] you[0] can't[0] get[0] from[0] any[0] cop[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it screams sidney lumet all over the place , perhaps because it was produced by marty and michael bregman , producers of lumet's dog day afternoon and serpico . 	it screams sidney lumet all over the place , perhaps because it was produced by marty and michael bregman , producers of lumet's dog day afternoon and serpico .	1	-4	 it[0] screams[-3] sidney[0] lumet[0] all[0] over[0] the[0] place[0] perhaps[0] because[0] it[0] was[0] produced[0] by[0] marty[0] and[0] michael[0] bregman[0] producers[0] of[0] lumet's[0] dog[0] day[0] afternoon[0] and[0] serpico[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but even the masterful sidney would not have been able to make one tough cop into a good film . 	but even the masterful sidney would not have been able to make one tough cop into a good film .	2	-2	 but[0] even[0] the[0] masterful[0] sidney[0] would[0] not[0] have[0] been[0] able[0] to[0] make[0] one[0] tough[-1] cop[0] into[0] a[0] good[1] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
too much else is lacking . 	too much else is lacking .	1	-1	 too[0] much[0] else[0] is[0] lacking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i also saw the boom mic pop into the top of the frame twice early on in the picture , something that i almost never notice . 	i also saw the boom mic pop into the top of the frame twice early on in the picture , something that i almost never notice .	1	-1	 i[0] also[0] saw[0] the[0] boom[0] mic[0] pop[0] into[0] the[0] top[0] of[0] the[0] frame[0] twice[0] early[0] on[0] in[0] the[0] picture[0] something[0] that[0] i[0] almost[0] never[0] notice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but once i saw that , i had it in the back of my mind every time i saw a medium or long shot . 	but once i saw that , i had it in the back of my mind every time i saw a medium or long shot .	1	-2	 but[0] once[0] i[0] saw[0] that[0] i[0] had[0] it[0] in[0] the[0] back[0] of[0] my[0] mind[0] every[0] time[0] i[0] saw[0] a[0] medium[0] or[0] long[0] shot[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at times , i was hoping to see it . 	at times , i was hoping to see it .	2	-1	 at[0] times[0] i[0] was[0] hoping[1] to[0] see[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one tough cop isn't laughable , nor is it a terrible film , but it just isn't unique . 	one tough cop isn't laughable , nor is it a terrible film , but it just isn't unique .	2	-4	 one[0] tough[-1] cop[0] isn't[0] laughable[-1][NegatedDueToPreviousWord] nor[0] is[0] it[0] a[0] terrible[-3] film[0] but[0] it[0] just[0] isn't[0] unique[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it is a classic example of a film that didn't need to be made . 	it is a classic example of a film that didn't need to be made .	1	-1	 it[0] is[0] a[0] classic[0] example[0] of[0] a[0] film[0] that[0] didn't[0] need[0] to[0] be[0] made[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but one thing is for sure , it could really use a better title . 	but one thing is for sure , it could really use a better title .	1	-1	 but[0] one[0] thing[0] is[0] for[0] sure[0] it[0] could[0] really[0] use[0] a[0] better[0] title[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
