roger ebert asks in his review of sexy beast , " who would have guessed that the most savage mad-dog frothing gangster in recent movies would be played by . . . 	Translation	Positive	Negative	EmotionRationale
back in london gang boss teddy bass ( ian mcshane , tv's lovejoy ) is planning to break into a safety deposit room in a bank and he wants gal . 	back in london gang boss teddy bass ( ian mcshane , tv's lovejoy ) is planning to break into a safety deposit room in a bank and he wants get a life� .	2	-1	 back[0] in[0] london[0] gang[0] boss[0] teddy[0] bass[0] ian[0] mcshane[0] tv's[0] lovejoy[0] is[0] planning[0] to[0] break[0] into[0] a[0] safety[1] deposit[0] room[0] in[0] a[0] bank[0] and[0] he[0] wants[0] gal[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he sends his most rabid henchman don logan ( ben kingsley ) to fetch gal . 	he sends his most rabid henchman don logan ( ben kingsley ) to fetch get a life� .	1	-1	 he[0] sends[0] his[0] most[0] rabid[0] henchman[0] don[0] logan[0] ben[0] kingsley[0] to[0] fetch[0] gal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
don will accept any decision gal makes from " yes " to " certainly . " 	don will accept any decision get a life� makes from " yes " to " certainly .<br> "	1	-1	 don[0] will[0] accept[0] any[0] decision[0] gal[0] makes[0] from[0] yes[0] to[0] certainly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , if gal says " no " don will do whatever it takes to turn it into a yes including threatening guy's ex-porn- star wife deedee ( amanda redman ) . 	however , if get a life� says " no " don will do whatever it takes to turn it into a yes including threatening guy's ex-porn- star wife deedee ( amanda redman ) .	1	-3	 however[0] if[0] gal[0] says[0] no[0] don[0] will[0] do[0] whatever[0] it[0] takes[0] to[0] turn[0] it[0] into[0] a[0] yes[0] including[0] threatening[-2] guy's[0] ex[0] porn[0] star[0] wife[0] deedee[0] amanda[0] redman[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in the meantime don knows just how to get under everybody's skin . 	in the meantime don knows just how to get under everybody's skin .	1	-1	 in[0] the[0] meantime[0] don[0] knows[0] just[0] how[0] to[0] get[0] under[0] everybody's[0] skin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kingsley makes don a compact package of fury and nastiness . 	kingsley makes don a compact package of fury and nastiness .	1	-4	 kingsley[0] makes[0] don[0] a[0] compact[0] package[0] of[0] fury[-3] and[0] nastiness[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there are some serious problems in louis mellis's and david scinto's script that should have been caught before filming . 	there are some serious problems in louis mellis's and david scinto's script that should have been caught before filming .	1	-2	 there[0] are[0] some[0] serious[-1][--1 LastWordBoosterStrength] problems[-1] in[0] louis[0] mellis's[0] and[0] david[0] scinto's[0] script[0] that[0] should[0] have[0] been[0] caught[0] before[0] filming[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when we see the actual crime we have no idea why gal was so important to its success . 	when we see the actual crime we have no idea why get a life� was so important to its success .	3	-2	 when[0] we[0] see[0] the[0] actual[0] crime[-1] we[0] have[0] no[0] idea[0] why[0] gal[0] was[0] so[0] important[0] to[0] its[0] success[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
beyond an ability to use skin-diving gear , no special talents are required of him . 	beyond an ability to use skin-diving gear , no special talents are required of him .	2	-1	 beyond[0] an[0] ability[0] to[0] use[0] skin[0] diving[1] gear[0] no[0] special[1] talents[1] are[0] required[0] of[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
any local hood could have done what gal is needed for . 	any local hood could have done what get a life� is needed for .	1	-1	 any[0] local[0] hood[0] could[0] have[0] done[0] what[0] gal[0] is[0] needed[0] for[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
additionally the crime involves digging from a swimming pool to the bank vault , flooding the vault . 	additionally the crime involves digging from a swimming pool to the bank vault , flooding the vault .	1	-2	 additionally[0] the[0] crime[-1] involves[0] digging[0] from[0] a[0] swimming[0] pool[0] to[0] the[0] bank[0] vault[0] flooding[0] the[0] vault[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
no only could they have let the water out of the pool and avoided the complication altogether , but there is by far too much water to be accounted for by what was in the pool . 	no only could they have let the water out of the pool and avoided the complication altogether , but there is by far too much water to be accounted for by what was in the pool .	1	-2	 no[0] only[0] could[0] they[0] have[0] let[0] the[0] water[0] out[0] of[0] the[0] pool[0] and[0] avoided[-1] the[0] complication[-1] altogether[0] but[0] there[0] is[0] by[0] far[0] too[0] much[0] water[0] to[0] be[0] accounted[0] for[0] by[0] what[0] was[0] in[0] the[0] pool[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in spite of the provocative title , the story is cliched and overly familiar . 	in spite of the provocative title , the story is cliched and overly familiar .	1	-4	 in[0] spite[-3] of[0] the[0] provocative[0] title[0] the[0] story[0] is[0] cliched[0] and[0] overly[0] familiar[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i know i have seen all the plot elements of sexy beast in old westerns like the law and jake wade . 	i know i have seen all the plot elements of sexy beast in old westerns like the law and jake wade .	3	-1	 i[0] know[0] i[0] have[0] seen[0] all[0] the[0] plot[0] elements[0] of[0] sexy[2] beast[0] in[0] old[0] westerns[0] like[1] the[0] law[0] and[0] jake[0] wade[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the story is usually of the reformed outlaw , a robert taylor type , who has hung up his guns and is trying for a life of peaceful respectability . 	the story is usually of the reformed outlaw , a robert taylor type , who has hung up his guns and is trying for a life of peaceful respectability .	3	-2	 the[0] story[0] is[0] usually[0] of[0] the[0] reformed[0] outlaw[-1] a[0] robert[0] taylor[0] type[0] who[0] has[0] hung[0] up[0] his[0] guns[-1] and[0] is[0] trying[0] for[0] a[0] life[0] of[0] peaceful[0] respectability[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the old gang , however , wants to do one more job with their old buddy and sends a rabid richard widmark type to go and git ? im . 	the old gang , however , wants to do one more job with their old buddy and sends a rabid richard widmark type to go and git ?<br> im .	1	-1	 the[0] old[0] gang[0] however[0] wants[0] to[0] do[0] one[0] more[0] job[0] with[0] their[0] old[0] buddy[0] and[0] sends[0] a[0] rabid[0] richard[0] widmark[0] type[0] to[0] go[0] and[0] git[0] [[Sentence=-1,1=word max, 1-5]] im[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is not a great plot . 	it is not a great plot .	1	-3	 it[0] is[0] not[0] a[0] great[2][NegatedDueToPreviousWord] plot[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in sexy beast even the plot twists have gray beards . 	in sexy beast even the plot twists have gray beards .	3	-1	 in[0] sexy[2] beast[0] even[0] the[0] plot[0] twists[0] have[0] gray[0] beards[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
perhaps the film has a little more respectability because it was made not as a western but as a stylish british gangster film . 	perhaps the film has a little more respectability because it was made not as a western but as a stylish british gangster film .	3	-1	 perhaps[0] the[0] film[0] has[0] a[0] little[0] more[0] respectability[2] because[0] it[0] was[0] made[0] not[0] as[0] a[0] western[0] but[0] as[0] a[0] stylish[0] british[0] gangster[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is an old plot dressed up to look new . 	it is an old plot dressed up to look new .	1	-1	 it[0] is[0] an[0] old[0] plot[0] dressed[0] up[0] to[0] look[0] new[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if the plot is old , at least the style is creative . 	if the plot is old , at least the style is creative .	1	-1	 if[0] the[0] plot[0] is[0] old[0] at[0] least[0] the[0] style[0] is[0] creative[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is director jonathan glazer's first film , but he has reputedly done some notable tv ads for guinness stout . 	this is director jonathan glazer's first film , but he has reputedly done some notable tv ads for guinness stout .	1	-1	 this[0] is[0] director[0] jonathan[0] glazer's[0] first[0] film[0] but[0] he[0] has[0] reputedly[0] done[0] some[0] notable[0] tv[0] ads[0] for[0] guinness[0] stout[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his style does have some unexpected touches including some very odd dream sequences . 	his style does have some unexpected touches including some very odd dream sequences .	1	-1	 his[0] style[0] does[0] have[0] some[0] unexpected[0] touches[0] including[0] some[0] very[0] odd[0] dream[0] sequences[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cinematographer ivan bird uses a lot of half lit scenes . 	cinematographer ivan bird uses a lot of half lit scenes .	1	-1	 cinematographer[0] ivan[0] bird[0] uses[0] a[0] lot[0] of[0] half[0] lit[0] scenes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we see one side of a person's faces . 	we see one side of a person's faces .	1	-1	 we[0] see[0] one[0] side[0] of[0] a[0] person's[0] faces[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the other side fades into the darkness , a sort of metaphor for the half-world these characters in-habit . 	but the other side fades into the darkness , a sort of metaphor for the half-world these characters in-habit .	1	-1	 but[0] the[0] other[0] side[0] fades[0] into[0] the[0] darkness[0] a[0] sort[0] of[0] metaphor[0] for[0] the[0] half[0] world[0] these[0] characters[0] in[0] habit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
half of everything that is happening is also kept hidden . 	half of everything that is happening is also kept hidden .	1	-1	 half[0] of[0] everything[0] that[0] is[0] happening[0] is[0] also[0] kept[0] hidden[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
us yanks will have a hard time with some of the dialog . 	us yanks will have a hard time with some of the dialog .	1	-1	 us[0] yanks[0] will[0] have[0] a[0] hard[0] time[0] with[0] some[0] of[0] the[0] dialog[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at least in my theater it was difficult to make out the words with the quiet speaking , the heavy accents , and the cockney language . 	at least in my theater it was difficult to make out the words with the quiet speaking , the heavy accents , and the cockney language .	1	-2	 at[0] least[0] in[0] my[0] theater[0] it[0] was[0] difficult[-1] to[0] make[0] out[0] the[0] words[0] with[0] the[0] quiet[0] speaking[0] the[0] heavy[0] accents[0] and[0] the[0] cockney[0] language[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sexy beast is a very and familiar minor plot lent respectability in the us by being done in what is here a still somewhat novel genre , the london crime film . 	sexy beast is a very and familiar minor plot lent respectability in the us by being done in what is here a still somewhat novel genre , the london crime film .	3	-2	 sexy[2] beast[0] is[0] a[0] very[0] and[0] familiar[0] minor[0] plot[0] lent[0] respectability[2] in[0] the[0] us[0] by[0] being[0] done[0] in[0] what[0] is[0] here[0] a[0] still[0] somewhat[0] novel[0] genre[0] the[0] london[0] crime[-1] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the plot may be new to british crime films , but it would be overly familiar as a western . 	the plot may be new to british crime films , but it would be overly familiar as a western .	1	-2	 the[0] plot[0] may[0] be[0] new[0] to[0] british[0] crime[-1] films[0] but[0] it[0] would[0] be[0] overly[0] familiar[0] as[0] a[0] western[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
further respectability comes from ben kingsley's high-powered performance . 	further respectability comes from ben kingsley's high-powered performance .	3	-1	 further[0] respectability[2] comes[0] from[0] ben[0] kingsley's[0] high[0] powered[0] performance[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i give it a 4 on the 0 to 10 scale and a 0 on the -4 to  4 scale . 	i give it a 4 on the 0 to 10 scale and a 0 on the -4 to  4 scale .	1	-1	 i[0] give[0] it[0] a[0] 4[0] on[0] the[0] 0[0] to[0] 10[0] scale[0] and[0] a[0] 0[0] on[0] the[0] -4[0] to[0] 4[0] scale[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
