starship troopers is a bad movie . 	Translation	Positive	Negative	EmotionRationale
sonic weapons ? 	sonic weapons ?	1	-2	 sonic[0] weapons[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
phasers ? 	phasers ?	1	-1	 phasers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
photon cannons ? " . 	photon cannons ?<br> " .	1	-1	 photon[0] cannons[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nope , they hop out brandishing good old 1997 machine guns , pump action rifles , and tactical nuclear weapons ! 	nope , they hop out brandishing good old 1997 machine guns , pump action rifles , and tactical nuclear weapons !	2	-2	 nope[0] they[0] hop[0] out[0] brandishing[-1] good[1] old[0] 1997[0] machine[0] guns[-1] pump[0] action[0] rifles[0] and[0] tactical[0] nuclear[0] weapons[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i guess a lot of physics money r&d went into travel and not weaponry . 	i guess a lot of physics money r&d went into travel and not weaponry .	2	-1	 i[0] guess[0] a[0] lot[0] of[0] physics[0] money[0] r&d[0] went[0] into[0] travel[0] and[0] not[0] weaponry[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as the assault begins , our group of troopers are seen walking in a straight line through a box canyon . 	as the assault begins , our group of troopers are seen walking in a straight line through a box canyon .	1	-3	 as[0] the[0] assault[-2] begins[0] our[0] group[0] of[0] troopers[0] are[0] seen[0] walking[0] in[0] a[0] straight[0] line[0] through[0] a[0] box[0] canyon[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
two members of the group notice rocks slipping and falling above them , and one even sees a streak fly by , but disregards it as nothing . 	two members of the group notice rocks slipping and falling above them , and one even sees a streak fly by , but disregards it as nothing .	1	-2	 two[0] members[0] of[0] the[0] group[0] notice[0] rocks[0] slipping[0] and[0] falling[0] above[0] them[0] and[0] one[0] even[0] sees[0] a[0] streak[0] fly[0] by[0] but[0] disregards[-1] it[0] as[0] nothing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this of course , leads to more massive carnage , blood shed , and graphic depictions of limbs and heads being ripped and severed from their bodies . 	this of course , leads to more massive carnage , blood shed , and graphic depictions of limbs and heads being ripped and severed from their bodies .	1	-2	 this[0] of[0] course[0] leads[0] to[0] more[0] massive[0] carnage[0] blood[0] shed[0] and[0] graphic[0] depictions[0] of[0] limbs[0] and[0] heads[0] being[0] ripped[0] and[0] severed[-1] from[0] their[0] bodies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
again , i see that military tactics in the future must have evolved at about the same pace as their weapons ! 	again , i see that military tactics in the future must have evolved at about the same pace as their weapons !	1	-2	 again[0] i[0] see[0] that[0] military[0] tactics[0] in[0] the[0] future[0] must[0] have[0] evolved[0] at[0] about[0] the[0] same[0] pace[0] as[0] their[0] weapons[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the end , we see neil patrick " doogie howser " harris burst onto the scene in what could accurately be described as a nazi ss trenchcoat , hat , and gloves . 	in the end , we see neil patrick " doogie howser " harris burst onto the scene in what could accurately be described as a nazi ss trenchcoat , hat , and gloves .	1	-2	 in[0] the[0] end[0] we[0] see[0] neil[0] patrick[0] doogie[0] howser[0] harris[0] burst[0] onto[0] the[0] scene[0] in[0] what[0] could[0] accurately[0] be[0] described[0] as[0] a[0] nazi[-1] ss[0] trenchcoat[0] hat[0] and[0] gloves[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he does a vulcan mind meld on the giant slug , and then proclaims that the bugs are scared ! 	he does a vulcan mind meld on the giant slug , and then proclaims that the bugs are scared !	1	-4	 he[0] does[0] a[0] vulcan[0] mind[0] meld[0] on[0] the[0] giant[0] slug[-1] and[0] then[0] proclaims[0] that[0] the[0] bugs[0] are[0] scared[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this sets the troopers into a frenzy , as they are now one step closer to completing their goal , total genocide of a species ( again , sound familiar ? ? ) . 	this sets the troopers into a frenzy , as they are now one step closer to completing their goal , total genocide of a species ( again , sound familiar ?<br> ?<br> ) .	1	-1	 this[0] sets[0] the[0] troopers[0] into[0] a[0] frenzy[0] as[0] they[0] are[0] now[0] one[0] step[0] closer[0] to[0] completing[0] their[0] goal[0] total[0] genocide[0] of[0] a[0] species[0] again[0] sound[0] familiar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i have tried very hard not to step on and spoil the plot with this review , but given it's non-existence , i may have anyway . 	i have tried very hard not to step on and spoil the plot with this review , but given it's non-existence , i may have anyway .	1	-2	 i[0] have[0] tried[0] very[0] hard[0] not[0] to[0] step[0] on[0] and[0] spoil[-1] the[0] plot[0] with[0] this[0] review[0] but[0] given[0] it's[0] non[0] existence[0] i[0] may[0] have[0] anyway[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i could go on for pages ripping this movie apart , but don't want to bore you too badly . 	i could go on for pages ripping this movie apart , but don't want to bore you too badly .	1	-2	 i[0] could[0] go[0] on[0] for[0] pages[0] ripping[0] this[0] movie[0] apart[0] but[0] don't[0] want[0] to[0] bore[-1] you[0] too[0] badly[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in short , i felt as if i were subjected to a mix between a pro-nazi war film with bugs substituted for allies , a drivers education accident scene film , and a complete blank screen ( the plot , of course ) . 	in short , i felt as if i were subjected to a mix between a pro-nazi war film with bugs substituted for allies , a drivers education accident scene film , and a complete blank screen ( the plot , of course ) .	1	-3	 in[0] short[0] i[0] felt[0] as[0] if[0] i[0] were[0] subjected[0] to[0] a[0] mix[0] between[0] a[0] pro[0] nazi[-1] war[-2] film[0] with[0] bugs[0] substituted[0] for[0] allies[0] a[0] drivers[0] education[0] accident[-1] scene[0] film[0] and[0] a[0] complete[0] blank[0] screen[0] the[0] plot[0] of[0] course[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i wouldn't recommend this movie to anyone , anywhere , under any circumstance . 	i wouldn't recommend this movie to anyone , anywhere , under any circumstance .	1	-1	 i[0] wouldn't[0] recommend[0] this[0] movie[0] to[0] anyone[0] anywhere[0] under[0] any[0] circumstance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
copyright ( c ) 1997 tim jandt "   	copyright ( c ) 1997 tim jandt "  	1	-1	 copyright[0] c[0] 1997[0] tim[0] jandt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
