this movie is written by the man who is deemed to be " one of the hottest writers in hollywood " . 	Translation	Positive	Negative	EmotionRationale
he also forgot about suspense , with all of his characters based on incomprehensible decisions , unbelievable motivations and simply boring us with all of their trite dialogue . 	he also forgot about suspense , with all of his characters based on incomprehensible decisions , unbelievable motivations and simply boring us with all of their trite dialogue .	1	-3	 he[0] also[0] forgot[0] about[0] suspense[0] with[0] all[0] of[0] his[0] characters[0] based[0] on[0] incomprehensible[0] decisions[0] unbelievable[-1] motivations[0] and[0] simply[0] boring[-1] us[0] with[0] all[0] of[0] their[0] trite[-2] dialogue[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sure , katie holmes is cute , and her co-star , marisa coughlan , did a reasonably amusing impression of the exorcist ( worth two points out of my three on ten ) , but how can we forgive the biggest one-dimensional character in any film , holmes' rival in the film , mrs . tingle's complete unprofessionalism being let go by all others around her ( are teachers allowed to behave that way nowadays ? ) and a transparent romance between holmes and some long-haired dude , hired to be the poor man's version of skeet ulrich ( who himself is a poor man's version of johnny depp ! ) . 	sure , katie holmes is cute , and her co-star , marisa coughlan , did a reasonably amusing impression of the exorcist ( worth two points out of my three on ten ) , but how can we forgive the biggest one-dimensional character in any film , holmes' rival in the film , mrs .<br> tingle's complete unprofessionalism being let go by all others around her ( are teachers allowed to behave that way nowadays ?<br> ) and a transparent romance between holmes and some long-haired dude , hired to be the poor man's version of skeet ulrich ( who himself is a poor man's version of johnny dep !<br> ) .	4	-2	 sure[0] katie[0] holmes[0] is[0] cute[1] and[0] her[0] co[0] star[0] marisa[0] coughlan[0] did[0] a[0] reasonably[0] amusing[1] impression[0] of[0] the[0] exorcist[0] worth[0] two[0] points[0] out[0] of[0] my[0] three[0] on[0] ten[0] but[0] how[0] can[0] we[0] forgive[1] the[0] biggest[0] one[0] dimensional[0] character[0] in[0] any[0] film[0] holmes'[0] rival[-1] in[0] the[0] film[0] mrs[0] [[Sentence=-2,2=word max, 1-5]] tingle's[0] complete[0] unprofessionalism[0] being[0] let[0] go[0] by[0] all[0] others[0] around[0] her[0] are[0] teachers[0] allowed[0] to[0] behave[0] that[0] way[0] nowadays[0] [[Sentence=-1,1=word max, 1-5]] and[0] a[0] transparent[0] romance[3] between[0] holmes[0] and[0] some[0] long[0] haired[0] dude[0] hired[0] to[0] be[0] the[0] poor[-1] man's[0] version[0] of[0] skeet[0] ulrich[0] who[0] himself[0] is[0] a[0] poor[-1] man's[0] version[0] of[0] johnny[0] depp/dep[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
all in all , this movie was laughable for me , provided me with no insight into anything , demonstrated williamson's genuine lack of directorial skills alongside a juvenile script , and provided helen mirren with a great role to chew into , unfortunately forgetting to give her character any believability , humanity or capacity to comprehend . 	all in all , this movie was laughable for me , provided me with no insight into anything , demonstrated williamson's genuine lack of directorial skills alongside a juvenile script , and provided helen mirren with a great role to chew into , unfortunately forgetting to give her character any believability , humanity or capacity to comprehend .	3	-2	 all[0] in[0] all[0] this[0] movie[0] was[0] laughable[-1] for[0] me[0] provided[0] me[0] with[0] no[0] insight[0] into[0] anything[0] demonstrated[0] williamson's[0] genuine[0] lack[-1] of[0] directorial[0] skills[0] alongside[0] a[0] juvenile[0] script[0] and[0] provided[0] helen[0] mirren[0] with[0] a[0] great[2] role[0] to[0] chew[0] into[0] unfortunately[-1] forgetting[0] to[0] give[0] her[0] character[0] any[0] believability[0] humanity[0] or[0] capacity[0] to[0] comprehend[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
no hip lines , no cheap thrills , just a dull time at the movie theater . 	no hip lines , no cheap thrills , just a dull time at the movie theater .	4	-2	 no[0] hip[0] lines[0] no[0] cheap[-1] thrills[3] just[0] a[0] dull[-1] time[0] at[0] the[0] movie[0] theater[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
if you want to see a funny teenage movie , go see detroit rock city ( 8/10 ) , and thank my drunken , sorry ass in the morning . 	if you want to see a funny teenage movie , go see detroit rock city ( 8/10 ) , and thank my drunken , sorry ass in the morning .	2	-2	 if[0] you[0] want[0] to[0] see[0] a[0] funny[1] teenage[0] movie[0] go[0] see[0] detroit[0] rock[1] city[0] 8/10[0] and[0] thank[1] my[0] drunken[-1] sorry[-1] ass[0] in[0] the[0] morning[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
little known facts about this film and its stars : kevin williamson's father was a fisherman . 	little known facts about this film and its stars : kevin williamson's father was a fisherman .	1	-1	 little[0] known[0] facts[0] about[0] this[0] film[0] and[0] its[0] stars[0] kevin[0] williamson's[0] father[0] was[0] a[0] fisherman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kevin used his knowledge of fishing hooks and winches when creating the killer in i know what you did last summer ( 7 . 5/10 ) . 	kevin used his knowledge of fishing hooks and winches when creating the killer in i know what you did last summer ( 7 .<br> 5/10 ) .	1	-2	 kevin[0] used[0] his[0] knowledge[0] of[0] fishing[0] hooks[0] and[0] winches[0] when[0] creating[0] the[0] killer[-1] in[0] i[0] know[0] what[0] you[0] did[0] last[0] summer[0] 7[0] [[Sentence=-2,1=word max, 1-5]] 5/10[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
he is also a huge fan of steven spielberg and coincidentally , so is dawson leery on tv's " dawson's creek " , a show kevin created . 	he is also a huge fan of steven spielberg and coincidentally , so is dawson leery on tv's " dawson's creek " , a show kevin created .	1	-1	 he[0] is[0] also[0] a[0] huge[0] fan[0] of[0] steven[0] spielberg[0] and[0] coincidentally[0] so[0] is[0] dawson[0] leery[0] on[0] tv's[0] dawson's[0] creek[0] a[0] show[0] kevin[0] created[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he was once an aspiring actor . 	he was once an aspiring actor .	1	-1	 he[0] was[0] once[0] an[0] aspiring[0] actor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , he even landed a bit part on tv's " another world " . 	in fact , he even landed a bit part on tv's " another world " .	1	-1	 in[0] fact[0] he[0] even[0] landed[0] a[0] bit[0] part[0] on[0] tv's[0] another[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also , williamson has gone on record to say that an unsupportive english teacher who once told him that he would never amount to anything was the inspiration for mrs . tingle , which is also loosely based on the book " killing mr . griffin " by the writer of i know what you did last summer ( 7 . 5/10 ) , 	also , williamson has gone on record to say that an unsupportive english teacher who once told him that he would never amount to anything was the inspiration for mrs .<br> tingle , which is also loosely based on the book " killing mr .<br> griffin " by the writer of i know what you did last summer ( 7 .<br> 5/10 ) ,	3	-2	 also[0] williamson[0] has[0] gone[0] on[0] record[0] to[0] say[0] that[0] an[0] unsupportive[0] english[0] teacher[0] who[0] once[0] told[0] him[0] that[0] he[0] would[0] never[0] amount[0] to[0] anything[0] was[0] the[0] inspiration[2] for[0] mrs[0] [[Sentence=-1,3=word max, 1-5]] tingle[0] which[0] is[0] also[0] loosely[0] based[0] on[0] the[0] book[0] killing[-1] mr[0] [[Sentence=-2,1=word max, 1-5]] griffin[0] by[0] the[0] writer[0] of[0] i[0] know[0] what[0] you[0] did[0] last[0] summer[0] 7[0] [[Sentence=-1,1=word max, 1-5]] 5/10[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
lois duncan . 	lois duncan .	1	-1	 lois[0] duncan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has also come out and said that he is a gay man . 	he has also come out and said that he is a gay man .	1	-2	 he[0] has[0] also[0] come[0] out[0] and[0] said[0] that[0] he[0] is[0] a[0] gay[-1] man[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
helen mirren was born in london , england under the name ilynea lydia mironoff . 	helen mirren was born in london , england under the name ilynea lydia mironoff .	1	-1	 helen[0] mirren[0] was[0] born[0] in[0] london[0] england[0] under[0] the[0] name[0] ilynea[0] lydia[0] mironoff[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she is married to director taylor hackford , whose works include devil's advocate ( 8/10 ) and an officer and a gentleman ( 8 . 5/10 ) . 	she is married to director taylor hackford , whose works include devil's advocate ( 8/10 ) and an officer and a gentleman ( 8 .<br> 5/10 ) .	1	-2	 she[0] is[0] married[0] to[0] director[0] taylor[0] hackford[0] whose[0] works[0] include[0] devil's[-1] advocate[0] 8/10[0] and[0] an[0] officer[0] and[0] a[0] gentleman[0] 8[0] [[Sentence=-2,1=word max, 1-5]] 5/10[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
this film was originally titled killing mrs . 	this film was originally titled killing mrs .	1	-2	 this[0] film[0] was[0] originally[0] titled[0] killing[-1] mrs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
tingle , but was changed after the columbine high school shooting incident . 	tingle , but was changed after the columbine high school shooting incident .	1	-2	 tingle[0] but[0] was[0] changed[0] after[0] the[0] columbine[0] high[0] school[0] shooting[-1] incident[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
actress marisa coughlan will star in kevin williamson next tv project called " wasteland " . 	actress marisa coughlan will star in kevin williamson next tv project called " wasteland " .	1	-2	 actress[0] marisa[0] coughlan[0] will[0] star[0] in[0] kevin[0] williamson[0] next[0] tv[0] project[0] called[0] wasteland[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is actor barry watson first full feature film . 	this is actor barry watson first full feature film .	1	-1	 this[0] is[0] actor[0] barry[0] watson[0] first[0] full[0] feature[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has played the character of " seth " on tv's " malibu shores " several times . 	he has played the character of " seth " on tv's " malibu shores " several times .	1	-1	 he[0] has[0] played[0] the[0] character[0] of[0] seth[0] on[0] tv's[0] malibu[0] shores[0] several[0] times[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
