i didn't come into city of angels expecting greatness . 	Translation	Positive	Negative	EmotionRationale
as maggie , ryan manages to be convincing as a heart surgeon who has trouble coming to terms with her having lost a patient on the operating table despite having done everything right . 	as maggie , ryan manages to be convincing as a heart surgeon who has trouble coming to terms with her having lost a patient on the operating table despite having done everything right .	1	-2	 as[0] maggie[0] ryan[0] manages[0] to[0] be[0] convincing[0] as[0] a[0] heart[0] surgeon[0] who[0] has[0] trouble[-1] coming[0] to[0] terms[0] with[0] her[0] having[0] lost[0] a[0] patient[0] on[0] the[0] operating[0] table[0] despite[0] having[0] done[0] everything[0] right[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
her beauty , unlike her unbearable cuteness in french kiss , is mature , intelligent , and winning . 	her beauty , unlike her unbearable cuteness in french kiss , is mature , intelligent , and winning .	3	-4	 her[0] beauty[2] unlike[0] her[0] unbearable[-3] cuteness[1] in[0] french[0] kiss[2] is[0] mature[0] intelligent[1] and[0] winning[1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
likewise , some interesting ideas float around at the beginning of the film . 	likewise , some interesting ideas float around at the beginning of the film .	1	-1	 likewise[0] some[0] interesting[1][-1 LastWordBoosterStrength] ideas[0] float[0] around[0] at[0] the[0] beginning[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the camera pans through traffic jams and libraries and we get to hear the thoughts of the random people who flash across the screen , the audience experiences a little of what it must be like to be an angel . 	when the camera pans through traffic jams and libraries and we get to hear the thoughts of the random people who flash across the screen , the audience experiences a little of what it must be like to be an angel .	2	-1	 when[0] the[0] camera[0] pans[0] through[0] traffic[0] jams[0] and[0] libraries[0] and[0] we[0] get[0] to[0] hear[0] the[0] thoughts[0] of[0] the[0] random[0] people[0] who[0] flash[0] across[0] the[0] screen[0] the[0] audience[0] experiences[0] a[0] little[0] of[0] what[0] it[0] must[0] be[0] like[1] to[0] be[0] an[0] angel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the beautiful camera work , shooting down onto the hectic world of los angeles from the improbable perches of the angels , also gives us a sense of the unique wonder angels feel . 	the beautiful camera work , shooting down onto the hectic world of los angeles from the improbable perches of the angels , also gives us a sense of the unique wonder angels feel .	3	-2	 the[0] beautiful[2] camera[0] work[0] shooting[-1] down[0] onto[0] the[0] hectic[-1] world[0] of[0] los[0] angeles[0] from[0] the[0] improbable[0] perches[0] of[0] the[0] angels[0] also[0] gives[0] us[0] a[0] sense[0] of[0] the[0] unique[0] wonder[0] angels[0] feel[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film begins to lose its way , though , when the focus tightens more and more on seth and maggie . 	the film begins to lose its way , though , when the focus tightens more and more on seth and maggie .	1	-2	 the[0] film[0] begins[0] to[0] lose[-1] its[0] way[0] though[0] when[0] the[0] focus[0] tightens[0] more[0] and[0] more[0] on[0] seth[0] and[0] maggie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the grand , angelic perspective gets lost , except for some idly tossed lines about the incredible beauty of the world through an angel's eyes . 	the grand , angelic perspective gets lost , except for some idly tossed lines about the incredible beauty of the world through an angel's eyes .	3	-1	 the[0] grand[1] angelic[1] perspective[0] gets[0] lost[0] except[0] for[0] some[0] idly[0] tossed[0] lines[0] about[0] the[0] incredible[0] beauty[2] of[0] the[0] world[0] through[0] an[0] angel's[0] eyes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the movie devolves into an examination of how seth can't feel the world or , more importantly , he can't feel maggie : he can't smell her hair , feel her touch , or taste the pears she eats . 	the movie devolves into an examination of how seth can't feel the world or , more importantly , he can't feel maggie : he can't smell her hair , feel her touch , or taste the pears she eats .	1	-1	 the[0] movie[0] devolves[0] into[0] an[0] examination[0] of[0] how[0] seth[0] can't[0] feel[0] the[0] world[0] or[0] more[0] importantly[0] he[0] can't[0] feel[0] maggie[0] he[0] can't[0] smell[0] her[0] hair[0] feel[0] her[0] touch[0] or[0] taste[0] the[0] pears[0] she[0] eats[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this change in focus attempts to capture the audience in seth's intense longing , but in doing so , the conflict disappears . 	this change in focus attempts to capture the audience in seth's intense longing , but in doing so , the conflict disappears .	1	-3	 this[0] change[0] in[0] focus[0] attempts[0] to[0] capture[-1] the[0] audience[0] in[0] seth's[0] intense[0] longing[-2] but[0] in[0] doing[0] so[0] the[0] conflict[-1] disappears[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if he wants maggie so badly , then why doesn't her just make the leap and become human ? 	if he wants maggie so badly , then why doesn't her just make the leap and become human ?	1	-2	 if[0] he[0] wants[0] maggie[0] so[0] badly[-1] then[0] why[0] doesn't[0] her[0] just[0] make[0] the[0] leap[0] and[0] become[0] human[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after all , what's so great about being an angel ? 	after all , what's so great about being an angel ?	3	-1	 after[0] all[0] what's[0] so[0] great[2] about[0] being[0] an[0] angel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sure , you get to sit on marlboro signs , but what's that compared to getting to be with meg ryan ? 	sure , you get to sit on marlboro signs , but what's that compared to getting to be with meg ryan ?	1	-1	 sure[0] you[0] get[0] to[0] sit[0] on[0] marlboro[0] signs[0] but[0] what's[0] that[0] compared[0] to[0] getting[0] to[0] be[0] with[0] meg[0] ryan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and from there , once the yearning has been established and the romantic denouement must occur , it's all downhill . 	and from there , once the yearning has been established and the romantic denouement must occur , it's all downhill .	4	-2	 and[0] from[0] there[0] once[0] the[0] yearning[-1] has[0] been[0] established[0] and[0] the[0] romantic[3] denouement[0] must[0] occur[0] it's[0] all[0] downhill[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the philosophy becomes heavy-handed , the dialogue pedestrian when it tries to be deep , and the plot twists simply attempt to yank a few more tears into the audience's hankie . 	the philosophy becomes heavy-handed , the dialogue pedestrian when it tries to be deep , and the plot twists simply attempt to yank a few more tears into the audience's hankie .	1	-4	 the[0] philosophy[0] becomes[0] heavy[0] handed[0] the[0] dialogue[0] pedestrian[0] when[0] it[0] tries[0] to[0] be[0] deep[0] and[0] the[0] plot[0] twists[0] simply[0] attempt[0] to[0] yank[0] a[0] few[0] more[0] tears[-3] into[0] the[0] audience's[0] hankie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's the last thirty minutes of the movie , then , that wrecks the film . 	it's the last thirty minutes of the movie , then , that wrecks the film .	1	-2	 it's[0] the[0] last[0] thirty[0] minutes[0] of[0] the[0] movie[0] then[0] that[0] wrecks[-1] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i feel like the writer , by pulling out all the melodramatic stops , has robbed me of what could have been a genuinely powerful movie experience on both the romantic and the philosophical level . 	i feel like the writer , by pulling out all the melodramatic stops , has robbed me of what could have been a genuinely powerful movie experience on both the romantic and the philosophical level .	4	-2	 i[0] feel[0] like[1] the[0] writer[0] by[0] pulling[0] out[0] all[0] the[0] melodramatic[-1] stops[0] has[0] robbed[0] me[0] of[0] what[0] could[0] have[0] been[0] a[0] genuinely[0] powerful[0] movie[0] experience[0] on[0] both[0] the[0] romantic[3] and[0] the[0] philosophical[0] level[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
i came out feeling robbed , seeing so much possibility in a film becoming nothing . 	i came out feeling robbed , seeing so much possibility in a film becoming nothing .	1	-1	 i[0] came[0] out[0] feeling[0] robbed[0] seeing[0] so[0] much[0] possibility[0] in[0] a[0] film[0] becoming[0] nothing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i could go on longer , but i don't want to " ruin " the end by revealing any of the cheap plot devices the film relies on . 	i could go on longer , but i don't want to " ruin " the end by revealing any of the cheap plot devices the film relies on .	1	-2	 i[0] could[0] go[0] on[0] longer[0] but[0] i[0] don't[0] want[0] to[0] ruin[-1] the[0] end[0] by[0] revealing[0] any[0] of[0] the[0] cheap[-1] plot[0] devices[0] the[0] film[0] relies[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
city of angels , then , is a paradox . 	city of angels , then , is a paradox .	1	-1	 city[0] of[0] angels[0] then[0] is[0] a[0] paradox[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a well-acted ( particularly look for dennis franz cutting against type-casting as a happy-go-lucky fallen angel ) , well-filmed , and based on a wonderful idea . 	it's a well-acted ( particularly look for dennis franz cutting against type-casting as a happy-go-lucky fallen angel ) , well-filmed , and based on a wonderful idea .	3	-2	 it's[0] a[0] well[0] acted[0] particularly[0] look[0] for[0] dennis[0] franz[0] cutting[0] against[-1] type[0] casting[0] as[0] a[0] happy[1] go[0] lucky[1] fallen[0] angel[0] well[0] filmed[0] and[0] based[0] on[0] a[0] wonderful[2] idea[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
all these possibilities , though , are what make the film so unredeemable when the closing credits come up . 	all these possibilities , though , are what make the film so unredeemable when the closing credits come up .	1	-1	 all[0] these[0] possibilities[0] though[0] are[0] what[0] make[0] the[0] film[0] so[0] unredeemable[0] when[0] the[0] closing[0] credits[0] come[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
