i don't expect much from eddie murphy these days . 	Translation	Positive	Negative	EmotionRationale
then the klump family , all played by eddie murphy , step in for some comedic relief involving old people having sex , flabby breasts , a slew of fart and dick jokes , and enough fat people jokes that i lost count after the first thirty minutes . 	then the klump family , all played by eddie murphy , step in for some comedic relief involving old people having sex , flabby breasts , a slew of fart and dick jokes , and enough fat people jokes that i lost count after the first thirty minutes .	2	-2	 then[0] the[0] klump[0] family[0] all[0] played[0] by[0] eddie[0] murphy[0] step[0] in[0] for[0] some[0] comedic[0] relief[1] involving[0] old[0] people[0] having[0] sex[0] flabby[0] breasts[0] a[0] slew[0] of[0] fart[0] and[0] dick[0] jokes[1] and[0] enough[0] fat[-1] people[0] jokes[1] that[0] i[0] lost[0] count[0] after[0] the[0] first[0] thirty[0] minutes[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and did i mention the part where larry miller gets anally raped by an overgrown hamster ? 	and did i mention the part where larry miller gets anally raped by an overgrown hamster ?	1	-4	 and[0] did[0] i[0] mention[0] the[0] part[0] where[0] larry[0] miller[0] gets[0] anally[0] raped[-3] by[0] an[0] overgrown[0] hamster[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the movie finally dissolves into a really bad hallmark family special about realizing who you are and what you can be in this world -- with enough soft lighting and people on the verge of tears in every scene . 	the movie finally dissolves into a really bad hallmark family special about realizing who you are and what you can be in this world - with enough soft lighting and people on the verge of tears in every scene .	2	-4	 the[0] movie[0] finally[0] dissolves[0] into[0] a[0] really[0] bad[-1][-1 LastWordBoosterStrength] hallmark[0] family[0] special[1] about[0] realizing[0] who[0] you[0] are[0] and[0] what[0] you[0] can[0] be[0] in[0] this[0] world[0] with[0] enough[0] soft[0] lighting[0] and[0] people[0] on[0] the[0] verge[0] of[0] tears[-3] in[0] every[0] scene[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
pure and simple , the klumps is a failure . 	pure and simple , the klumps is a failure .	1	-3	 pure[0] and[0] simple[0] the[0] klumps[0] is[0] a[0] failure[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
its script was handled by not one but five screenwriters , and it really shows during the awkward transitions between scenes . 	its script was handled by not one but five screenwriters , and it really shows during the awkward transitions between scenes .	1	-2	 its[0] script[0] was[0] handled[0] by[0] not[0] one[0] but[0] five[0] screenwriters[0] and[0] it[0] really[0] shows[0] during[0] the[0] awkward[-1] transitions[0] between[0] scenes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
any sense of story and plot were lost in the rewrite process . 	any sense of story and plot were lost in the rewrite process .	1	-1	 any[0] sense[0] of[0] story[0] and[0] plot[0] were[0] lost[0] in[0] the[0] rewrite[0] process[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's more discerning to learn that chris weitz and paul weitz , the team behind one of the funniest films of the last decade , american pie , have their names stamped to this trash . 	it's more discerning to learn that chris weitz and paul weitz , the team behind one of the funniest films of the last decade , american pie , have their names stamped to this trash .	2	-2	 it's[0] more[0] discerning[0] to[0] learn[0] that[0] chris[0] weitz[0] and[0] paul[0] weitz[0] the[0] team[0] behind[0] one[0] of[0] the[0] funniest[1] films[0] of[0] the[0] last[0] decade[0] american[0] pie[0] have[0] their[0] names[0] stamped[0] to[0] this[0] trash[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
hey guys - quick note - keep this movie off of your resumes . 	hey guys - quick note - keep this movie off of your resumes .	2	-1	 hey[1] guys[0] quick[0] note[0] keep[0] this[0] movie[0] off[0] of[0] your[0] resumes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the characterization of sherman's family , the klumps , is one of the most ignorant stereotypes of a black family i have ever seen in cinema . 	the characterization of sherman's family , the klumps , is one of the most ignorant stereotypes of a black family i have ever seen in cinema .	1	-3	 the[0] characterization[0] of[0] sherman's[0] family[0] the[0] klumps[0] is[0] one[0] of[0] the[0] most[0] ignorant[-2] stereotypes[0] of[0] a[0] black[0] family[0] i[0] have[0] ever[0] seen[0] in[0] cinema[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
everyone member of the family is a large person who wipes the bins clean at a local buffet restaurant like pigs at a trough . 	everyone member of the family is a large person who wipes the bins clean at a local buffet restaurant like pigs at a trough .	2	-1	 everyone[0] member[0] of[0] the[0] family[0] is[0] a[0] large[0] person[0] who[0] wipes[0] the[0] bins[0] clean[0] at[0] a[0] local[0] buffet[0] restaurant[0] like[1] pigs[0] at[0] a[0] trough[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the grandma is an oversexed fiend who constantly talks of ways to pleasure her man and her sagging breasts . 	the grandma is an oversexed fiend who constantly talks of ways to pleasure her man and her sagging breasts .	3	-3	 the[0] grandma[0] is[0] an[0] oversexed[0] fiend[-2] who[0] constantly[0] talks[0] of[0] ways[0] to[0] pleasure[2] her[0] man[0] and[0] her[0] sagging[-1] breasts[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the father is gruff , is fired from a blue-collar job , is sexually inadequate , and cannot communicate with his family about his feelings . 	the father is gruff , is fired from a blue-collar job , is sexually inadequate , and cannot communicate with his family about his feelings .	1	-3	 the[0] father[0] is[0] gruff[-1] is[0] fired[-2] from[0] a[0] blue[0] collar[0] job[0] is[0] sexually[0] inadequate[-1] and[0] cannot[0] communicate[0] with[0] his[0] family[0] about[0] his[0] feelings[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the mother is ignorant of all the negativity around her and seems to hold no opinion about anything or anyone . 	the mother is ignorant of all the negativity around her and seems to hold no opinion about anything or anyone .	1	-3	 the[0] mother[0] is[0] ignorant[-2] of[0] all[0] the[0] negativity[-1] around[0] her[0] and[0] seems[0] to[0] hold[0] no[0] opinion[0] about[0] anything[0] or[0] anyone[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the brother is silent and brooding and resembles the ice cube gangster character from boyz in the hood . 	the brother is silent and brooding and resembles the ice cube gangster character from boyz in the hood .	1	-2	 the[0] brother[0] is[0] silent[0] and[0] brooding[-1] and[0] resembles[0] the[0] ice[0] cube[0] gangster[0] character[0] from[0] boyz[0] in[0] the[0] hood[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sherman himself is terribly insecure and never conveys anything for the audience to become attached to . 	sherman himself is terribly insecure and never conveys anything for the audience to become attached to .	1	-4	 sherman[0] himself[0] is[0] terribly[-3] insecure[-1] and[0] never[0] conveys[0] anything[0] for[0] the[0] audience[0] to[0] become[0] attached[0] to[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but the main problem with the film is its inability to create any type of convincing conversational or situational comedy . 	but the main problem with the film is its inability to create any type of convincing conversational or situational comedy .	1	-2	 but[0] the[0] main[0] problem[-1] with[0] the[0] film[0] is[0] its[0] inability[-1] to[0] create[0] any[0] type[0] of[0] convincing[0] conversational[0] or[0] situational[0] comedy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the family scenes from the first nutty professor worked so well because their conversations were short and direct . 	the family scenes from the first nutty professor worked so well because their conversations were short and direct .	1	-1	 the[0] family[0] scenes[0] from[0] the[0] first[0] nutty[0] professor[0] worked[0] so[0] well[0] because[0] their[0] conversations[0] were[0] short[0] and[0] direct[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and you got the feeling that these crass people couldn't act like this all the time . 	and you got the feeling that these crass people couldn't act like this all the time .	1	-2	 and[0] you[0] got[0] the[0] feeling[0] that[0] these[0] crass[-1] people[0] couldn't[0] act[0] like[1][NegatedDueToPreviousWord] this[0] all[0] the[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the sequel does the reverse and drives the negatives of the klumps right in to the hilt , making the first five minutes of their interaction enjoyable and the last 55 or so unbearable and pathetic . 	the sequel does the reverse and drives the negatives of the klumps right in to the hilt , making the first five minutes of their interaction enjoyable and the last 55 or so unbearable and pathetic .	3	-4	 the[0] sequel[0] does[0] the[0] reverse[0] and[0] drives[0] the[0] negatives[-1] of[0] the[0] klumps[0] right[0] in[0] to[0] the[0] hilt[0] making[0] the[0] first[0] five[0] minutes[0] of[0] their[0] interaction[0] enjoyable[2] and[0] the[0] last[0] 55[0] or[0] so[0] unbearable[-3] and[0] pathetic[-2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
after a while , their conversations just become a barrage of frustrated anger tinged with indecency and overworked premises that end up drawing energy away from any type of empathy one might feel for the central themes of the story . 	after a while , their conversations just become a barrage of frustrated anger tinged with indecency and overworked premises that end up drawing energy away from any type of empathy one might feel for the central themes of the story .	1	-5	 after[0] a[0] while[0] their[0] conversations[0] just[0] become[0] a[0] barrage[0] of[0] frustrated[-2] anger[-3][-1 MultiplePositiveWords] tinged[0] with[0] indecency[-2] and[0] overworked[-1] premises[0] that[0] end[0] up[0] drawing[0] energy[0] away[0] from[0] any[0] type[0] of[0] empathy[0] one[0] might[0] feel[0] for[0] the[0] central[0] themes[0] of[0] the[0] story[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
its also a damn shame that the makeup magic of rick baker -- who worked on the original nutty professor and won an academy award for his work on an american werewolf in london -- and amazing digital special effects that enabled murphy to interact with himself in such beautiful motions are built around such a lame story line . 	its also a damn shame that the makeup magic of rick baker - who worked on the original nutty professor and won an academy award for his work on an american werewolf in london - and amazing digital special effects that enabled murphy to interact with himself in such beautiful motions are built around such a lame story line .	3	-3	 its[0] also[0] a[0] damn[-1] shame[-2] that[0] the[0] makeup[0] magic[0] of[0] rick[0] baker[0] who[0] worked[0] on[0] the[0] original[0] nutty[0] professor[0] and[0] won[0] an[0] academy[0] award[0] for[0] his[0] work[0] on[0] an[0] american[0] werewolf[0] in[0] london[0] and[0] amazing[2] digital[0] special[1] effects[0] that[0] enabled[0] murphy[0] to[0] interact[0] with[0] himself[0] in[0] such[0] beautiful[2] motions[0] are[0] built[0] around[0] such[0] a[0] lame[-2] story[0] line[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
even the best effects can't seem to save the most pathetic of movies these days . 	even the best effects can't seem to save the most pathetic of movies these days .	2	-3	 even[0] the[0] best[1] effects[0] can't[0] seem[0] to[0] save[1] the[0] most[0] pathetic[-2] of[0] movies[0] these[0] days[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
now that i think about it , the worst thing about this film has to be all the money that it will make . 	now that i think about it , the worst thing about this film has to be all the money that it will make .	1	-3	 now[0] that[0] i[0] think[0] about[0] it[0] the[0] worst[-2] thing[0] about[0] this[0] film[0] has[0] to[0] be[0] all[0] the[0] money[0] that[0] it[0] will[0] make[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
people will be lined up around the block for it . 	people will be lined up around the block for it .	1	-2	 people[0] will[0] be[0] lined[0] up[0] around[0] the[0] block[-1] for[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the studios will concoct the a sequel for release in the summer of 2002 . 	the studios will concoct the a sequel for release in the summer of 2002 .	1	-1	 the[0] studios[0] will[0] concoct[0] the[0] a[0] sequel[0] for[0] release[0] in[0] the[0] summer[0] of[0] 2002[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
eddie murphy will be signed up to take not just one role or five roles , but he'll play every character in the movie . 	eddie murphy will be signed up to take not just one role or five roles , but he'll play every character in the movie .	1	-1	 eddie[0] murphy[0] will[0] be[0] signed[0] up[0] to[0] take[0] not[0] just[0] one[0] role[0] or[0] five[0] roles[0] but[0] he'll[0] play[0] every[0] character[0] in[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i just can't wait to see eddie murphy in a love scene with himself . 	i just can't wait to see eddie murphy in a love scene with himself .	3	-1	 i[0] just[0] can't[0] wait[0] to[0] see[0] eddie[0] murphy[0] in[0] a[0] love[2] scene[0] with[0] himself[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
