written by david j . schow and john shirley , based on the comic book series and comic book strip by james o'barr . 	Translation	Positive	Negative	EmotionRationale
she dies , the perps . 	she dies , the perps .	1	-1	 she[0] dies[0] the[0] perps[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
escape , and , exactly one year later , draven rises from the grave to wreak revenge . 	escape , and , exactly one year later , draven rises from the grave to wreak revenge .	1	-3	 escape[0] and[0] exactly[0] one[0] year[0] later[0] draven[0] rises[0] from[0] the[0] grave[-2] to[0] wreak[0] revenge[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sound familiar ? 	sound familiar ?	1	-1	 sound[0] familiar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unlike charles bronson , whose only known superpower involves an inability to refrain from filming death wish sequels , lee's character has supernatural strength and amazing agility and can even reheal from gunshot wounds faster than robert patrick in terminator 2 . by his side is his crow , the presumable source of his powers as related in the narration . 	unlike charles bronson , whose only known superpower involves an inability to refrain from filming death wish sequels , lee's character has supernatural strength and amazing agility and can even reheal from gunshot wounds faster than robert patrick in terminator 2 .<br> by his side is his crow , the presumable source of his powers as related in the narration .	3	-3	 unlike[0] charles[0] bronson[0] whose[0] only[0] known[0] superpower[0] involves[0] an[0] inability[-1] to[0] refrain[-1] from[0] filming[0] death[-2] wish[0] sequels[0] lee's[0] character[0] has[0] supernatural[0] strength[0] and[0] amazing[2] agility[0] and[0] can[0] even[0] reheal[0] from[0] gunshot[-1] wounds[-1] faster[0] than[0] robert[0] patrick[0] in[0] terminator[0] 2[0] [[Sentence=-3,3=word max, 1-5]] by[0] his[0] side[0] is[0] his[0] crow[0] the[0] presumable[0] source[-1] of[0] his[0] powers[0] as[0] related[0] in[0] the[0] narration[0] [[Sentence=-2,1=word max, 1-5]][[[3,-3 max of sentences]]]
wearing what appears to be alice cooper's leftover make-up , lee is plopped into an underlit urban landscape that was obviously modeled after batman and blade runner . 	wearing what appears to be alice cooper's leftover make-up , lee is plopped into an underlit urban landscape that was obviously modeled after batman and blade runner .	1	-1	 wearing[0] what[0] appears[0] to[0] be[0] alice[0] cooper's[0] leftover[0] make[0] up[0] lee[0] is[0] plopped[0] into[0] an[0] underlit[0] urban[0] landscape[0] that[0] was[0] obviously[0] modeled[0] after[0] batman[0] and[0] blade[0] runner[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but no number of red-lit , rain-soaked streets can compensate for cheap fx that make the crow seem closer to darkman than batman . 	but no number of red-lit , rain-soaked streets can compensate for cheap fx that make the crow seem closer to darkman than batman .	1	-2	 but[0] no[0] number[0] of[0] red[0] lit[0] rain[0] soaked[0] streets[0] can[0] compensate[0] for[0] cheap[-1] fx[0] that[0] make[0] the[0] crow[0] seem[0] closer[0] to[0] darkman[0] than[0] batman[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( the glaring miniatures should show better on video , though . 	 ( the glaring miniatures should show better on video , though .	1	-1	 the[0] glaring[0] miniatures[0] should[0] show[0] better[0] on[0] video[0] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 : ) 	 : )	1	-1	[[[0,0 max of sentences]]]
a nod to darkman is an insult to sam raimi , though , because alex proyas can't film a decent action scene to save his life . 	a nod to darkman is an insult to sam raimi , though , because alex proyas can't film a decent action scene to save his life .	2	-3	 a[0] nod[0] to[0] darkman[0] is[0] an[0] insult[-2] to[0] sam[0] raimi[0] though[0] because[0] alex[0] proyas[0] can't[0] film[0] a[0] decent[0] action[0] scene[0] to[0] save[1] his[0] life[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
his two " best " set-pieces-- some banzai board-room butchery and a cool church- roof sword fight-- are also undercut by the awful editing of dov hoenig and scott smith . 	his two " best " set-pieces- some banzai board-room butchery and a cool church- roof sword fight- are also undercut by the awful editing of dov hoenig and scot smith .	2	-4	 his[0] two[0] best[1] set[0] pieces[0] some[0] banzai[0] board[0] room[0] butchery[-1] and[0] a[0] cool[1] church[0] roof[0] sword[0] fight[-2] are[0] also[0] undercut[0] by[0] the[0] awful[-3] editing[0] of[0] dov[0] hoenig[0] and[0] scott/scot[0] smith[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
blame said editors for the film's frightful flashbacks , as well . 	blame said editors for the film's frightful flashbacks , as well .	1	-4	 blame[-1] said[0] editors[0] for[0] the[0] film's[0] frightful[-3] flashbacks[0] as[0] well[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but the pace is quick , thank god , and every good-idea-turned-bad is over before it begins . 	but the pace is quick , thank god , and every good-idea-turned-bad is over before it begins .	2	-2	 but[0] the[0] pace[0] is[0] quick[0] thank[1] god[0] and[0] every[0] good[1] idea[0] turned[0] bad[-1] is[0] over[0] before[0] it[0] begins[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the cast is better than it should be . 	the cast is better than it should be .	1	-1	 the[0] cast[0] is[0] better[0] than[0] it[0] should[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ernie hudson is a good choice as a friendly policeman and he gets off most of the film's funnier lines . 	ernie hudson is a good choice as a friendly policeman and he gets off most of the film's funnier lines .	2	-1	 ernie[0] hudson[0] is[0] a[0] good[1] choice[0] as[0] a[0] friendly[1] policeman[0] and[0] he[0] gets[0] off[0] most[0] of[0] the[0] film's[0] funnier[1] lines[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
newcomer rochelle davis does well as both the narrator and draven's scrappy ward . 	newcomer rochelle davis does well as both the narrator and draven's scrappy ward .	1	-1	 newcomer[0] rochelle[0] davis[0] does[0] well[0] as[0] both[0] the[0] narrator[0] and[0] draven's[0] scrappy[0] ward[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jon polito has a small , succulent role as pungent pawnbroker . 	jon polito has a small , succulent role as pungent pawnbroker .	1	-1	 jon[0] polito[0] has[0] a[0] small[0] succulent[0] role[0] as[0] pungent[0] pawnbroker[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and michael wincott makes a distinct impression as a long-haired mr . big whose collection of ancient-swords makes him seem like he walked into the film from the trailer to highlander iii . 	and michael wincott makes a distinct impression as a long-haired mr .<br> big whose collection of ancient-swords makes him seem like he walked into the film from the trailer to highlander i .	2	-1	 and[0] michael[0] wincott[0] makes[0] a[0] distinct[0] impression[0] as[0] a[0] long[0] haired[0] mr[0] [[Sentence=-1,1=word max, 1-5]] big[0] whose[0] collection[0] of[0] ancient[0] swords[0] makes[0] him[0] seem[0] like[1] he[0] walked[0] into[0] the[0] film[0] from[0] the[0] trailer[0] to[0] highlander[0] iii/i[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there can be only one . 	there can be only one .	1	-1	 there[0] can[0] be[0] only[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
finally , there's brandon lee , son of bruce lee , and a 28-year-old rising-star who was fatally shot during shooting . 	finally , there's brandon lee , son of bruce lee , and a 28-year-old rising-star who was fatally shot during shooting .	1	-3	 finally[0] there's[0] brandon[0] lee[0] son[0] of[0] bruce[0] lee[0] and[0] a[0] 28[0] year[0] old[0] rising[0] star[0] who[0] was[0] fatally[-2] shot[-1] during[0] shooting[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
lee had four films to his name-- kung fu : the movie , laser mission , showdown in little toyko , and rapid fire-- and the crow would've been a nice feather in his belt and that's about it . 	lee had four films to his name- kung fu : the movie , laser mission , showdown in little toyko , and rapid fire- and the crow would've been a nice feather in his belt and that's about it .	2	-1	 lee[0] had[0] four[0] films[0] to[0] his[0] name[0] kung[0] fu[0] the[0] movie[0] laser[0] mission[0] showdown[0] in[0] little[0] toyko[0] and[0] rapid[0] fire[0] and[0] the[0] crow[0] would've[0] been[0] a[0] nice[1] feather[0] in[0] his[0] belt[0] and[0] that's[0] about[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's nothing great from him here-- just a good performance that owes as much to presence as ability . 	there's nothing great from him here- just a good performance that owes as much to presence as ability .	3	-1	 there's[0] nothing[0] great[2] from[0] him[0] here[0] just[0] a[0] good[1] performance[0] that[0] owes[0] as[0] much[0] to[0] presence[0] as[0] ability[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when the echo of that gunshot finally fades , watching the crow should prove an even * less * remarkable experience . 	when the echo of that gunshot finally fades , watching the crow should prove an even * less * remarkable experience .	1	-2	 when[0] the[0] echo[0] of[0] that[0] gunshot[-1] finally[0] fades[0] watching[0] the[0] crow[0] should[0] prove[0] an[0] even[0] less[0] remarkable[0] experience[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
despite a healthy dose of humor and some surprising sincerity , the crow is still just a couple notches above its straight-to-video brethren . 	despite a healthy dose of humor and some surprising sincerity , the crow is still just a couple notches above its straight-to-video brethren .	3	-1	 despite[0] a[0] healthy[0] dose[0] of[0] humor[2] and[0] some[0] surprising[0] sincerity[0] the[0] crow[0] is[0] still[0] just[0] a[0] couple[0] notches[0] above[0] its[0] straight[0] to[0] video[0] brethren[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
for now , maybe it's an appropriate eulogy to an actor who could only get better . 	for now , maybe it's an appropriate eulogy to an actor who could only get better .	1	-1	 for[0] now[0] maybe[0] it's[0] an[0] appropriate[0] eulogy[0] to[0] an[0] actor[0] who[0] could[0] only[0] get[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
