please don't mind this windbag letting off a bit of steam . . . i 	Translation	Positive	Negative	EmotionRationale
first of all , this movie gets way too many snake facts wrong . 	first of all , this movie gets way too many snake facts wrong .	1	-2	 first[0] of[0] all[0] this[0] movie[0] gets[0] way[0] too[0] many[0] snake[0] facts[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as an ophiophile ( snake lover ) , i can tell you that a ) anacondas would never reach a length of 40 feet , b ) they're scared of people , c ) cases of snakes eating adult humans are extremely rare because human shoulders are too wide to fit in a snake's mouth , and constrictor snakes don't kill what they can't eat , d ) people can outrun snakes with no trouble , especially heavy ones like anacondas , e ) if an anaconda did eat a human , it would need at least 6 months of sitting on its butt to digest the huge meal , therefore it couldn't run around gobbling up everybody else in the cast , and f ) snakes have no vocal cords , so they can't make funny squealing noises . 	as an ophiophile ( snake lover ) , i can tell you that a ) anacondas would never reach a length of 40 feet , b ) they're scared of people , c ) cases of snakes eating adult humans are extremely rare because human shoulders are too wide to fit in a snake's mouth , and constrictor snakes don't kill what they can't eat , d ) people can outrun snakes with no trouble , especially heavy ones like anacondas , e ) if an anaconda did eat a human , it would need at least 6 months of sitting on its butt to digest the huge meal , therefore it couldn't run around gobbling up everybody else in the cast , and f ) snakes have no vocal cords , so they can't make funny squealing noises .	4	-4	 as[0] an[0] ophiophile[0] snake[0] lover[3] i[0] can[0] tell[0] you[0] that[0] a[0] anacondas[0] would[0] never[0] reach[0] a[0] length[0] of[0] 40[0] feet[0] b[0] they're[0] scared[-3] of[0] people[0] c[0] cases[0] of[0] snakes[0] eating[0] adult[0] humans[0] are[0] extremely[0] rare[0] because[0] human[0] shoulders[0] are[0] too[0] wide[0] to[0] fit[0] in[0] a[0] snake's[0] mouth[0] and[0] constrictor[0] snakes[0] don't[0] kill[-1][NegatedDueToPreviousWord] what[0] they[0] can't[0] eat[0] d[0] people[0] can[0] outrun[0] snakes[0] with[0] no[0] trouble[-1] especially[0] heavy[0] ones[0] like[1] anacondas[0] e[0] if[0] an[0] anaconda[0] did[0] eat[0] a[0] human[0] it[0] would[0] need[0] at[0] least[0] 6[0] months[0] of[0] sitting[0] on[0] its[0] butt[0] to[0] digest[0] the[0] huge[0] meal[0] therefore[0] it[0] couldn't[0] run[0] around[0] gobbling[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
whew . 	whew .	1	-1	 whew[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i was prepared to suspend reality if the movie would have been worth it . 	i was prepared to suspend reality if the movie would have been worth it .	1	-2	 i[0] was[0] prepared[0] to[0] suspend[-1] reality[0] if[0] the[0] movie[0] would[0] have[0] been[0] worth[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , anaconda was about as suspenseful and exciting as watching paint peel . 	unfortunately , anaconda was about as suspenseful and exciting as watching paint peel .	3	-2	 unfortunately[-1] anaconda[0] was[0] about[0] as[0] suspenseful[0] and[0] exciting[2] as[0] watching[0] paint[0] peel[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
my friend and i even successfully predicted who would live at the end . 	my friend and i even successfully predicted who would live at the end .	3	-1	 my[0] friend[1] and[0] i[0] even[0] successfully[2] predicted[0] who[0] would[0] live[0] at[0] the[0] end[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
anybody can tell the bad guy is going to die eventually . 	anybody can tell the bad guy is going to die eventually .	1	-2	 anybody[0] can[0] tell[0] the[0] bad[-1] guy[0] is[0] going[0] to[0] die[0] eventually[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that was a pity because his character was one of the few reasons my friend and i didn't give up and fall asleep . 	that was a pity because his character was one of the few reasons my friend and i didn't give up and fall asleep .	2	-2	 that[0] was[0] a[0] pity[-1] because[0] his[0] character[0] was[0] one[0] of[0] the[0] few[0] reasons[0] my[0] friend[1] and[0] i[0] didn't[0] give[0] up[0] and[0] fall[0] asleep[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he was the most likable character in the movie . 	he was the most likable character in the movie .	1	-1	 he[0] was[0] the[0] most[0] likable[0] character[0] in[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
who wouldn't enjoy somebody who looks like a deranged walt whitman ? 	who wouldn't enjoy somebody who looks like a deranged walt whitman ?	2	-3	 who[0] wouldn't[0] enjoy[2][NegatedDueToPreviousWord] somebody[0] who[0] looks[0] like[1] a[0] deranged[0] walt[0] whitman[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
anaconda did have its cute moments : arguments between ice cube's character and the british guy , for instance . 	anaconda did have its cute moments : arguments between ice cube's character and the british guy , for instance .	2	-2	 anaconda[0] did[0] have[0] its[0] cute[1] moments[0] arguments[-1] between[0] ice[0] cube's[0] character[0] and[0] the[0] british[0] guy[0] for[0] instance[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
however , those small flashes of wit were not worth the other hour and twenty-eight minutes of boring schlock . 	however , those small flashes of wit were not worth the other hour and twenty-eight minutes of boring schlock .	1	-2	 however[0] those[0] small[0] flashes[0] of[0] wit[0] were[0] not[0] worth[0] the[0] other[0] hour[0] and[0] twenty[0] eight[0] minutes[0] of[0] boring[-1] schlock[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the writers had - and blew - a multitude of opportunities to insert funny lines . 	the writers had - and blew - a multitude of opportunities to insert funny lines .	2	-1	 the[0] writers[0] had[0] and[0] blew[0] a[0] multitude[0] of[0] opportunities[0] to[0] insert[0] funny[1] lines[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i was quite disappointed with a scene where a young guy tells a young lady that the jungle makes him horny . 	i was quite disappointed with a scene where a young guy tells a young lady that the jungle makes him horny .	1	-2	 i[0] was[0] quite[0] disappointed[-1] with[0] a[0] scene[0] where[0] a[0] young[0] guy[0] tells[0] a[0] young[0] lady[0] that[0] the[0] jungle[0] makes[0] him[0] horny[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
did she retort with a clever , ego-withering comeback ? 	did she retort with a clever , ego-withering comeback ?	1	-1	 did[0] she[0] retort[0] with[0] a[0] clever[0] ego[0] withering[0] comeback[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course not ! 	of course not !	1	-1	 of[0] course[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " i'm trying to work ! " 	 " i'm trying to work !<br> "	1	-1	 i'm[0] trying[0] to[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gee , that's even dumber than the crap comebacks i come up with . 	gee , that's even dumber than the crap comebacks i come up with .	1	-3	 gee[0] that's[0] even[0] dumber[-1] than[0] the[0] crap[-2] comebacks[0] i[0] come[0] up[0] with[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she could have told him to go find a knothole or something . . . 	she could have told him to go find a knothole or something .<br> .<br> .	1	-1	 she[0] could[0] have[0] told[0] him[0] to[0] go[0] find[0] a[0] knothole[0] or[0] something[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ; p but i will admit , there was just one scene where i was surprised at the outcome ( hint : it involves the evil guy and miss crap comebacks ) . 	 ; p but i will admit , there was just one scene where i was surprised at the outcome ( hint : it involves the evil guy and miss crap comebacks ) .	2	-3	 p[0] but[0] i[0] will[0] admit[0] there[0] was[0] just[0] one[0] scene[0] where[0] i[0] was[0] surprised[0] at[0] the[0] outcome[0] hint[0] it[0] involves[0] the[0] evil[-2] guy[0] and[0] miss[-1] crap[-2] comebacks[0] [[Sentence=-3,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-3 max of sentences]]]
as for the plot , i'm still trying to find one . 	as for the plot , i'm still trying to find one .	1	-1	 as[0] for[0] the[0] plot[0] i'm[0] still[0] trying[0] to[0] find[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this movie was basically an excuse to get a boatload of people into dangerous territory where they could get snarfed by ridiculous , computer-generated anacondas with the eyes and fangs of vipers and the faster-than-gravity downward acceleration of a harrier jet . 	this movie was basically an excuse to get a boatload of people into dangerous territory where they could get snarfed by ridiculous , computer-generated anacondas with the eyes and fangs of vipers and the faster-than-gravity downward acceleration of a harrier jet .	1	-3	 this[0] movie[0] was[0] basically[0] an[0] excuse[0] to[0] get[0] a[0] boatload[0] of[0] people[0] into[0] dangerous[-1] territory[0] where[0] they[0] could[0] get[0] snarfed[0] by[0] ridiculous[-2] computer[0] generated[0] anacondas[0] with[0] the[0] eyes[0] and[0] fangs[0] of[0] vipers[-1] and[0] the[0] faster[0] than[0] gravity[0] downward[0] acceleration[0] of[0] a[0] harrier[0] jet[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( harrier snake ? ) 	 ( harrier snake ?<br> )	1	-1	 harrier[0] snake[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not to mention instant digestion so they could go snarf countless other victims . 	not to mention instant digestion so they could go snarf countless other victims .	1	-3	 not[0] to[0] mention[0] instant[0] digestion[0] so[0] they[0] could[0] go[0] snarf[0] countless[0] other[0] victims[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the writers tried to throw in some sort of plot twist ( should i call it a plot knot because it made no sense ? ) in which the sick guy's g-friend kisses the evil dude and suddenly everybody hates said evil dude and starts trying to kill him . 	the writers tried to throw in some sort of plot twist ( should i call it a plot knot because it made no sense ?<br> ) in which the sick guy's grin�-friend kisses the evil dude and suddenly everybody hates said evil dude and starts trying to kill him .	3	-4	 the[0] writers[0] tried[0] to[0] throw[0] in[0] some[0] sort[0] of[0] plot[0] twist[0] should[0] i[0] call[0] it[0] a[0] plot[0] knot[0] because[0] it[0] made[0] no[0] sense[0] [[Sentence=-1,1=word max, 1-5]] in[0] which[0] the[0] sick[-1] guy's[0] g[0] friend[1] kisses[2] the[0] evil[-2] dude[0] and[0] suddenly[0] everybody[0] hates[-3] said[0] evil[-2] dude[0] and[0] starts[0] trying[0] to[0] kill[-1] him[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
that was about as clear and understandable as mission : impossible . 	that was about as clear and understandable as mission : impossible .	1	-1	 that[0] was[0] about[0] as[0] clear[0] and[0] understandable[0] as[0] mission[0] impossible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( if someone could explain that movie to me , i'd be most grateful ! 	 ( if someone could explain that movie to me , i'd be most grateful !	2	-1	 if[0] someone[0] could[0] explain[0] that[0] movie[0] to[0] me[0] i'd[0] be[0] most[0] grateful[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
all the old-guy double agents looked the same ! ! ) 	all the old-guy double agents looked the same !<br> !<br> )	1	-1	 all[0] the[0] old[0] guy[0] double[0] agents[0] looked[0] the[0] same[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i wasn't inspired by the acting , save for the evil dude . 	i wasn't inspired by the acting , save for the evil dude .	3	-3	 i[0] wasn't[0] inspired[2] by[0] the[0] acting[0] save[1] for[0] the[0] evil[-2] dude[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i can't blame the actors , though . 	i can't blame the actors , though .	2	-1	 i[0] can't[0] blame[-1][NegatedDueToPreviousWord] the[0] actors[0] though[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's not their fault they had a cruddy script to work with . 	it's not their fault they had a cruddy script to work with .	2	-1	 it's[0] not[0] their[0] fault[-1][NegatedDueToPreviousWord] they[0] had[0] a[0] cruddy[0] script[0] to[0] work[0] with[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this concludes rydain's diatribe on a shameless exploitation ( and perpetuation ! ) of public fear of snakes . 	this concludes rydain's diatribe on a shameless exploitation ( and perpetuation !<br> ) of public fear of snakes .	1	-4	 this[0] concludes[0] rydain's[0] diatribe[0] on[0] a[0] shameless[-2] exploitation[0] and[0] perpetuation[0] [[Sentence=-3,1=word max, 1-5]] of[0] public[0] fear[-3] of[0] snakes[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
comments , flames , anyone ? 	comments , flames , anyone ?	1	-1	 comments[0] flames[0] anyone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
-rydain the atomic cheese , fresh from chernobyl dairies ! 	-rydain the atomic cheese , fresh from chernobyl dairies !	1	-1	 rydain[0] the[0] atomic[0] cheese[0] fresh[0] from[0] chernobyl[0] dairies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
