with his successful books and movies , michael crichton is doing well . 	Translation	Positive	Negative	EmotionRationale
the film jaunts along from scene to scene , never fully explaining what is going on . 	the film jaunts along from scene to scene , never fully explaining what is going on .	1	-1	 the[0] film[0] jaunts[0] along[0] from[0] scene[0] to[0] scene[0] never[0] fully[0] explaining[0] what[0] is[0] going[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the actors and directing don't help , either . 	the actors and directing don't help , either .	1	-1	 the[0] actors[0] and[0] directing[0] don't[0] help[0] either[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hoffman is on autopilot ( and almost seems embarrassed ) throughout the movie , churning out dull lines , and probably wondering what the hell he is doing in this movie . 	hoffman is on autopilot ( and almost seems embarrassed ) throughout the movie , churning out dull lines , and probably wondering what the hell he is doing in this movie .	1	-3	 hoffman[0] is[0] on[0] autopilot[0] and[0] almost[0] seems[0] embarrassed[-2] throughout[0] the[0] movie[0] churning[0] out[0] dull[-1] lines[0] and[0] probably[0] wondering[0] what[0] the[0] hell[-1] he[0] is[0] doing[0] in[0] this[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
stone is useless , displaying no emotion , and fails to convince the audience that she has any feelings for hoffman . 	stone is useless , displaying no emotion , and fails to convince the audience that she has any feelings for hoffman .	1	-3	 stone[0] is[0] useless[-2] displaying[0] no[0] emotion[0] and[0] fails[-2] to[0] convince[0] the[0] audience[0] that[0] she[0] has[0] any[0] feelings[0] for[0] hoffman[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the only person who seems to be having fun in this movie is jackson , who's funny as the mathematician who slowly goes crazy and entering the sphere . 	the only person who seems to be having fun in this movie is jackson , who's funny as the mathematician who slowly goes crazy and entering the sphere .	2	-2	 the[0] only[0] person[0] who[0] seems[0] to[0] be[0] having[0] fun[1] in[0] this[0] movie[0] is[0] jackson[0] who's[0] funny[1] as[0] the[0] mathematician[0] who[0] slowly[0] goes[0] crazy[-1] and[0] entering[0] the[0] sphere[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but he's hardly in it , and by the end of the film he is just as dull as hoffman and stone . 	but he's hardly in it , and by the end of the film he is just as dull as hoffman and stone .	1	-2	 but[0] he's[0] hardly[0] in[0] it[0] and[0] by[0] the[0] end[0] of[0] the[0] film[0] he[0] is[0] just[0] as[0] dull[-1] as[0] hoffman[0] and[0] stone[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the same goes for peter coyote , who hams it up as the officer , but is then killed off halfway through . 	the same goes for peter coyote , who hams it up as the officer , but is then killed off halfway through .	1	-4	 the[0] same[0] goes[0] for[0] peter[0] coyote[0] who[0] hams[0] it[0] up[0] as[0] the[0] officer[0] but[0] is[0] then[0] killed[-3] off[0] halfway[0] through[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the director , barry levinson , who directed the better crichton adaptation disclosure ( 1994 ) messes up with the drama and the action . 	the director , barry levinson , who directed the better crichton adaptation disclosure ( 1994 ) messes up with the drama and the action .	1	-1	 the[0] director[0] barry[0] levinson[0] who[0] directed[0] the[0] better[0] crichton[0] adaptation[0] disclosure[0] 1994[0] messes[0] up[0] with[0] the[0] drama[0] and[0] the[0] action[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the drama scenes are , quite frankly , boring , and the action scenes suffer from overkill , with levison throwing the camera all over the place ( much like the godawful speed 2 , 1997 ) 	the drama scenes are , quite frankly , boring , and the action scenes suffer from overkill , with levison throwing the camera all over the place ( much like the godawful speed 2 , 1997 )	2	-4	 the[0] drama[0] scenes[0] are[0] quite[0] frankly[0] boring[-1] and[0] the[0] action[0] scenes[0] suffer[-3] from[0] overkill[0] with[0] levison[0] throwing[0] the[0] camera[0] all[0] over[0] the[0] place[0] much[0] like[1] the[0] godawful[0] speed[0] 2[0] 1997[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the writing doesn't help much , either . 	the writing doesn't help much , either .	1	-1	 the[0] writing[0] doesn't[0] help[0] much[0] either[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although crichton is great with plots , he's terrible with dialogue , and practically every line in sphere is a dud . 	although crichton is great with plots , he's terrible with dialogue , and practically every line in sphere is a dud .	3	-4	 although[0] crichton[0] is[0] great[2] with[0] plots[0] he's[0] terrible[-3] with[0] dialogue[0] and[0] practically[0] every[0] line[0] in[0] sphere[0] is[0] a[0] dud[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the speech is too simple , i was hoping it would be a bit more intelligent . 	the speech is too simple , i was hoping it would be a bit more intelligent .	2	-1	 the[0] speech[0] is[0] too[0] simple[0] i[0] was[0] hoping[1] it[0] would[0] be[0] a[0] bit[0] more[0] intelligent[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
practically every line is just stating the obvious . 	practically every line is just stating the obvious .	1	-1	 practically[0] every[0] line[0] is[0] just[0] stating[0] the[0] obvious[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
none of it is smart . 	none of it is smart .	2	-1	 none[0] of[0] it[0] is[0] smart[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
also , where the hell did the budget go ? 	also , where the hell did the budget go ?	1	-2	 also[0] where[0] the[0] hell[-1] did[0] the[0] budget[0] go[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the sphere itself is impressive , and there's a few nice special effect shots , but where the  100 million went is anyone's guess . 	the sphere itself is impressive , and there's a few nice special effect shots , but where the  100 million went is anyone's guess .	2	-1	 the[0] sphere[0] itself[0] is[0] impressive[1] and[0] there's[0] a[0] few[0] nice[1] special[1] effect[0] shots[0] but[0] where[0] the[0] 100[0] million[0] went[0] is[0] anyone's[0] guess[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's a giant squid attack in the picture , but not once does the audience see the squid , even though the film has a massive budget . 	there's a giant squid attack in the picture , but not once does the audience see the squid , even though the film has a massive budget .	1	-3	 there's[0] a[0] giant[0] squid[0] attack[-2] in[0] the[0] picture[0] but[0] not[0] once[0] does[0] the[0] audience[0] see[0] the[0] squid[0] even[0] though[0] the[0] film[0] has[0] a[0] massive[0] budget[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i assume the picture was trying to build up tension by not showing the squid , and if handled correctly it probably would . 	i assume the picture was trying to build up tension by not showing the squid , and if handled correctly it probably would .	1	-3	 i[0] assume[0] the[0] picture[0] was[0] trying[0] to[0] build[0] up[0] tension[-2] by[0] not[0] showing[0] the[0] squid[0] and[0] if[0] handled[0] correctly[0] it[0] probably[0] would[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but the whole scene is done badly , and i was just hoping we could see the stupid squid . 	but the whole scene is done badly , and i was just hoping we could see the stupid squid .	1	-2	 but[0] the[0] whole[0] scene[0] is[0] done[0] badly[-1] and[0] i[0] was[0] just[0] hoping[1][-1 LastWordBoosterStrength] we[0] could[0] see[0] the[0] stupid[-1] squid[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
finally , the film has no idea what genre to be . 	finally , the film has no idea what genre to be .	1	-1	 finally[0] the[0] film[0] has[0] no[0] idea[0] what[0] genre[0] to[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
levison can't handle his own plot . 	levison can't handle his own plot .	1	-1	 levison[0] can't[0] handle[0] his[0] own[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it leaps from hokey sci-fi , to horror , and finally the shining/event horizon psychological thriller . 	it leaps from hokey sci-fi , to horror , and finally the shining/event horizon psychological thriller .	2	-4	 it[0] leaps[0] from[0] hokey[0] sci[0] fi[0] to[0] horror[-3] and[0] finally[0] the[0] shining/event[0] horizon[0] psychological[0] thriller[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
and , of course , the film is very much like the abyss ( 1988 ) , although in it's defense , crichton did write sphere before the abyss was released ( and is far superior to this rubbish . ) 	and , of course , the film is very much like the abyss ( 1988 ) , although in it's defense , crichton did write sphere before the abyss was released ( and is far superior to this rubbish .<br> )	3	-3	 and[0] of[0] course[0] the[0] film[0] is[0] very[0] much[0] like[1] the[0] abyss[-1] 1988[0] although[0] in[0] it's[0] defense[0] crichton[0] did[0] write[0] sphere[0] before[0] the[0] abyss[-1] was[0] released[0] and[0] is[0] far[0] superior[2] to[0] this[0] rubbish[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it's not all that bad though . 	it's not all that bad though .	1	-2	 it's[0] not[0] all[0] that[0] bad[-1] though[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plot is all right , there's a few jump scenes ( although nothing very scary ) and there's the occasionally interesting bit . 	the plot is all right , there's a few jump scenes ( although nothing very scary ) and there's the occasionally interesting bit .	2	-5	 the[0] plot[0] is[0] all[0] right[0] there's[0] a[0] few[0] jump[0] scenes[0] although[0] nothing[0] very[0] scary[-3][-1 LastWordBoosterStrength] and[0] there's[0] the[0] occasionally[0] interesting[1] bit[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
but overall , sphere is a big waste of some fine talent , a lot of money , and a potentially good movie . 	but overall , sphere is a big waste of some fine talent , a lot of money , and a potentially good movie .	2	-2	 but[0] overall[0] sphere[0] is[0] a[0] big[0] waste[-1] of[0] some[0] fine[2][-1 LastWordBoosterStrength] talent[1] a[0] lot[0] of[0] money[0] and[0] a[0] potentially[0] good[1] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
not really worth seeing . 	not really worth seeing .	1	-1	 not[0] really[0] worth[0] seeing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
overall rating  review by david wilcock 	overall rating  review by david wilcock	1	-1	 overall[0] rating[0] review[0] by[0] david[0] wilcock[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
