the corruptor is a big silly mess of an action movie , complete with pointless plot turns and gratuitous violence . 	Translation	Positive	Negative	EmotionRationale
he's shouting and pointing his finger and stepping on the furniture , and i was thinking that i would have fired him if he had done that to me . 	he's shouting and pointing his finger and stepping on the furniture , and i was thinking that i would have fired him if he had done that to me .	1	-3	 he's[0] shouting[0] and[0] pointing[0] his[0] finger[0] and[0] stepping[0] on[0] the[0] furniture[0] and[0] i[0] was[0] thinking[0] that[0] i[0] would[0] have[0] fired[-2] him[0] if[0] he[0] had[0] done[0] that[0] to[0] me[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( in addition , the film takes a bite into race-related issues , and never develops them at all . ) 	 ( in addition , the film takes a bite into race-related issues , and never develops them at all .<br> )	1	-1	 in[0] addition[0] the[0] film[0] takes[0] a[0] bite[0] into[0] race[0] related[0] issues[0] and[0] never[0] develops[0] them[0] at[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are a lot of scenes like this one , and none of them are very coherent . 	there are a lot of scenes like this one , and none of them are very coherent .	2	-1	 there[0] are[0] a[0] lot[0] of[0] scenes[0] like[1] this[0] one[0] and[0] none[0] of[0] them[0] are[0] very[0] coherent[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's also a considerable language barrier , given that chow and some of the other actors have thick chinese accents . 	there's also a considerable language barrier , given that chow and some of the other actors have thick chinese accents .	1	-2	 there's[0] also[0] a[0] considerable[0] language[0] barrier[-1] given[0] that[0] chow[0] and[0] some[0] of[0] the[0] other[0] actors[0] have[0] thick[0] chinese[0] accents[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plot itself never straightens out . 	the plot itself never straightens out .	1	-1	 the[0] plot[0] itself[0] never[0] straightens[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm not sure who or what the fukienese dragons are , or why henry lee is associated with them , or what they do as a group . 	i'm not sure who or what the fukienese dragons are , or why henry lee is associated with them , or what they do as a group .	1	-1	 i'm[0] not[0] sure[0] who[0] or[0] what[0] the[0] fukienese[0] dragons[0] are[0] or[0] why[0] henry[0] lee[0] is[0] associated[0] with[0] them[0] or[0] what[0] they[0] do[0] as[0] a[0] group[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the corruptor is an action movie , and so all these weird plot developments are decorated with loud and violent action sequences . 	the corruptor is an action movie , and so all these weird plot developments are decorated with loud and violent action sequences .	1	-3	 the[0] corruptor[-2] is[0] an[0] action[0] movie[0] and[0] so[0] all[0] these[0] weird[-1] plot[0] developments[0] are[0] decorated[0] with[0] loud[0] and[0] violent[-2] action[0] sequences[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the sequences aren't bad , but they're not new ; how many car chases through chinatown have you seen ? 	the sequences aren't bad , but they're not new ; how many car chases through chinatown have you seen ?	2	-2	 the[0] sequences[0] aren't[0] bad[-1][NegatedDueToPreviousWord] but[0] they're[0] not[0] new[0] how[0] many[0] car[0] chases[-1] through[0] chinatown[0] have[0] you[0] seen[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
on that note , how many chinatown cop movies have you seen ? 	on that note , how many chinatown cop movies have you seen ?	1	-1	 on[0] that[0] note[0] how[0] many[0] chinatown[0] cop[0] movies[0] have[0] you[0] seen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one too many , i'd imagine . 	one too many , i'd imagine .	1	-1	 one[0] too[0] many[0] i'd[0] imagine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
foley's strength is clearly in characterization , and he does a pretty good job here . 	foley's strength is clearly in characterization , and he does a pretty good job here .	3	-1	 foley's[0] strength[0] is[0] clearly[0] in[0] characterization[0] and[0] he[0] does[0] a[0] pretty[2] good[1] job[0] here[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the scenes between nick and danny are very good , and i actually got a feel for their characters ; a bond forms between them that holds parts of the film together . 	the scenes between nick and danny are very good , and i actually got a feel for their characters ; a bond forms between them that holds parts of the film together .	3	-1	 the[0] scenes[0] between[0] nick[0] and[0] danny[0] are[0] very[0] good[1][1 LastWordBoosterStrength] and[0] i[0] actually[0] got[0] a[0] feel[0] for[0] their[0] characters[0] a[0] bond[0] forms[0] between[0] them[0] that[0] holds[0] parts[0] of[0] the[0] film[0] together[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
chow and wahlberg are both good actors ; chow is a pro , and can do this kind of stuff in his sleep . 	chow and wahlberg are both good actors ; chow is a pro , and can do this kind of stuff in his sleep .	2	-1	 chow[0] and[0] wahlberg[0] are[0] both[0] good[1] actors[0] chow[0] is[0] a[0] pro[0] and[0] can[0] do[0] this[0] kind[1] of[0] stuff[0] in[0] his[0] sleep[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
wahlberg seems less at home in this atmosphere , but he's still fun to watch . 	wahlberg seems less at home in this atmosphere , but he's still fun to watch .	2	-1	 wahlberg[0] seems[0] less[0] at[0] home[0] in[0] this[0] atmosphere[0] but[0] he's[0] still[0] fun[1] to[0] watch[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i also liked the subplot involving danny's father ; brian cox's performance is powerful , and his character makes a compelling moral compass for danny . 	i also liked the subplot involving danny's father ; brian cox's performance is powerful , and his character makes a compelling moral compass for danny .	3	-1	 i[0] also[0] liked[2] the[0] subplot[0] involving[0] danny's[0] father[0] brian[0] cox's[0] performance[0] is[0] powerful[0] and[0] his[0] character[0] makes[0] a[0] compelling[0] moral[0] compass[0] for[0] danny[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but the film ultimately fails , mostly at the hands of insane incoherence and overly-familiar action scenes . 	but the film ultimately fails , mostly at the hands of insane incoherence and overly-familiar action scenes .	1	-3	 but[0] the[0] film[0] ultimately[0] fails[-2] mostly[0] at[0] the[0] hands[0] of[0] insane[-1] incoherence[0] and[0] overly[0] familiar[0] action[0] scenes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a complicated plot can be successful , but the story needs to make sense when it's over . 	a complicated plot can be successful , but the story needs to make sense when it's over .	3	-2	 a[0] complicated[-1] plot[0] can[0] be[0] successful[2] but[0] the[0] story[0] needs[0] to[0] make[0] sense[0] when[0] it's[0] over[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the corruptor never manages to make any sense -- it just keeps spinning out of control until , finally , there's nothing left to hold on to . 	the corruptor never manages to make any sense - it just keeps spinning out of control until , finally , there's nothing left to hold on to .	1	-3	 the[0] corruptor[-2] never[0] manages[0] to[0] make[0] any[0] sense[0] it[0] just[0] keeps[0] spinning[0] out[0] of[0] control[0] until[0] finally[0] there's[0] nothing[0] left[0] to[0] hold[0] on[0] to[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
