 " varsity blues " is the best film of 1999 thus far . 	Translation	Positive	Negative	EmotionRationale
the adult characters probably fare the worse of any , since they all must play residents of a dim-witted town that cares about nothing but football . 	the adult characters probably fare the worse of any , since they all must play residents of a dim-witted town that cares about nothing but football .	2	-3	 the[0] adult[0] characters[0] probably[0] fare[0] the[0] worse[-2] of[0] any[0] since[0] they[0] all[0] must[0] play[0] residents[0] of[0] a[0] dim[-1] witted[0] town[0] that[0] cares[1] about[0] nothing[0] but[0] football[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
john's relationship with his parents can also be telegraphed far in advance . 	john's relationship with his parents can also be telegraphed far in advance .	1	-1	 john's[0] relationship[0] with[0] his[0] parents[0] can[0] also[0] be[0] telegraphed[0] far[0] in[0] advance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his father is set on him becoming a football player at a university , but john doesn't want any part of that . 	his father is set on him becoming a football player at a university , but john doesn't want any part of that .	1	-1	 his[0] father[0] is[0] set[0] on[0] him[0] becoming[0] a[0] football[0] player[0] at[0] a[0] university[0] but[0] john[0] doesn't[0] want[0] any[0] part[0] of[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his mother stands beside her " big , strong husband " and is a passive female . 	his mother stands beside her " big , strong husband " and is a passive female .	1	-1	 his[0] mother[0] stands[0] beside[0] her[0] big[0] strong[0] husband[0] and[0] is[0] a[0] passive[0] female[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
finally , jon voight plays the stock bully coach character and he does nothing to make the thankless role any more than one-dimensional . 	finally , jon voight plays the stock bully coach character and he does nothing to make the thankless role any more than one-dimensional .	2	-1	 finally[0] jon[0] voight[0] plays[1] the[0] stock[0] bully[0] coach[0] character[0] and[0] he[0] does[0] nothing[0] to[0] make[0] the[0] thankless[0] role[0] any[0] more[0] than[0] one[0] dimensional[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
saving " varsity blues " from being a total washout are a few amusing sequences , including one set in the sex education class , which did get a laugh out of me . 	saving " varsity blues " from being a total washout are a few amusing sequences , including one set in the sex education class , which did get a laugh out of me .	2	-1	 saving[0] varsity[0] blues[0] from[0] being[0] a[0] total[0] washout[0] are[0] a[0] few[0] amusing[1] sequences[0] including[0] one[0] set[0] in[0] the[0] sex[0] education[0] class[0] which[0] did[0] get[0] a[0] laugh[1] out[0] of[0] me[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the scenes of playing football were well-shot and thankfully didn't overstay their welcome , as many sports films fall victim to . 	the scenes of playing football were well-shot and thankfully didn't overstay their welcome , as many sports films fall victim to .	2	-3	 the[0] scenes[0] of[0] playing[1] football[0] were[0] well[0] shot[-1] and[0] thankfully[1] didn't[0] overstay[0] their[0] welcome[1] as[0] many[0] sports[0] films[0] fall[0] victim[-2] to[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but leaving the theater , the question i had in my mind was why did this film need to be made ? 	but leaving the theater , the question i had in my mind was why did this film need to be made ?	1	-1	 but[0] leaving[0] the[0] theater[0] the[0] question[0] i[0] had[0] in[0] my[0] mind[0] was[0] why[0] did[0] this[0] film[0] need[0] to[0] be[0] made[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i seem to be asking this question quite a lot lately , since the same old stories seem to be cranking out of hollywood . 	i seem to be asking this question quite a lot lately , since the same old stories seem to be cranking out of hollywood .	1	-1	 i[0] seem[0] to[0] be[0] asking[0] this[0] question[0] quite[0] a[0] lot[0] lately[0] since[0] the[0] same[0] old[0] stories[0] seem[0] to[0] be[0] cranking[0] out[0] of[0] hollywood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
do we really need another high-school sports film ? 	do we really need another high-school sports film ?	1	-1	 do[0] we[0] really[0] need[0] another[0] high[0] school[0] sports[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no , we don't , and certainly not one of this low-caliber , which felt like a cut-and-paste job of spare parts from much better , but similar , films . 	no , we don't , and certainly not one of this low-caliber , which felt like a cut-and-paste job of spare parts from much better , but similar , films .	2	-2	 no[0] we[0] don't[0] and[0] certainly[0] not[0] one[0] of[0] this[0] low[-1] caliber[0] which[0] felt[0] like[1] a[0] cut[0] and[0] paste[0] job[0] of[0] spare[0] parts[0] from[0] much[0] better[0] but[0] similar[0] films[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " varsity blues , " no doubt is the first one , however , to include an earnest scene in which one of the characters is only wearing whipped cream on their private parts . 	 " varsity blues , " no doubt is the first one , however , to include an earnest scene in which one of the characters is only wearing whipped cream on their private parts .	1	-2	 varsity[0] blues[0] no[0] doubt[-1] is[0] the[0] first[0] one[0] however[0] to[0] include[0] an[0] earnest[0] scene[0] in[0] which[0] one[0] of[0] the[0] characters[0] is[0] only[0] wearing[0] whipped[0] cream[0] on[0] their[0] private[0] parts[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
