in the james bond film " diamonds are forever , " tiffany case asks 007 whether he prefers brunettes to redheads . 	Translation	Positive	Negative	EmotionRationale
but it's not really madonna starring in the video but a lookalike ( played by elizabeth berkley , still trying to jump-start her career after " showgirls " ) . 	but it's not really madonna starring in the video but a lookalike ( played by elizabeth berkley , still trying to jump-start her career after " showgirls " ) .	1	-1	 but[0] it's[0] not[0] really[0] madonna[0] starring[0] in[0] the[0] video[0] but[0] a[0] lookalike[0] played[0] by[0] elizabeth[0] berkley[0] still[0] trying[0] to[0] jump[0] start[0] her[0] career[0] after[0] showgirls[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this points out how artificial this whole business is , one supposes . 	this points out how artificial this whole business is , one supposes .	1	-1	 this[0] points[0] out[0] how[0] artificial[0] this[0] whole[0] business[0] is[0] one[0] supposes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dicillo has referred to " the real blonde " as " off-kilter , but an interesting combination of all sorts of stuff . . . " 	dicillo has referred to " the real blonde " as " off-kilter , but an interesting combination of all sorts of stuff .<br> .<br> .<br> "	2	-1	 dicillo[0] has[0] referred[0] to[0] the[0] real[0] blonde[0] as[0] off[0] kilter[0] but[0] an[0] interesting[1] combination[0] of[0] all[0] sorts[0] of[0] stuff[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film , which wanders all over the place without getting anywhere , is remarkably * on * -kilter and , with perhaps the single exception of the always-likable modine ( who's not afraid to stand around in a very unattractive bathing suit surrounded by hunks ) , the entire cast is vague and uninteresting . 	the film , which wanders all over the place without getting anywhere , is remarkably * on * -kilter and , with perhaps the single exception of the always-likable modine ( who's not afraid to stand around in a very unattractive bathing suit surrounded by hunks ) , the entire cast is vague and uninteresting .	4	-4	 the[0] film[0] which[0] wanders[0] all[0] over[0] the[0] place[0] without[0] getting[0] anywhere[0] is[0] remarkably[0] on[0] kilter[0] and[0] with[0] perhaps[0] the[0] single[0] exception[0] of[0] the[0] always[0] likable[0] modine[0] who's[0] not[0] afraid[-3][NegatedDueToPreviousWord] to[0] stand[0] around[0] in[0] a[0] very[0] unattractive[-2][-1 LastWordBoosterStrength] bathing[0] suit[0] surrounded[0] by[0] hunks[0] the[0] entire[0] cast[0] is[0] vague[-1] and[0] uninteresting[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
catherine keener , who's appeared in dicillo's previous three films ( including the brilliant " living in oblivion " ) , is at her most annoying in " the real blonde . " 	catherine keener , who's appeared in dicillo's previous three films ( including the brilliant " living in oblivion " ) , is at her most annoying in " the real blonde .<br> "	2	-3	 catherine[0] keener[0] who's[0] appeared[0] in[0] dicillo's[0] previous[0] three[0] films[0] including[0] the[0] brilliant[1] living[0] in[0] oblivion[0] is[0] at[0] her[0] most[0] annoying[-2] in[0] the[0] real[0] blonde[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
look at her closely ; she really can't act at all . 	look at her closely ; she really can't act at all .	1	-1	 look[0] at[0] her[0] closely[0] she[0] really[0] can't[0] act[0] at[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her reactions are all wrong , almost always out of sync with her co-stars . 	her reactions are all wrong , almost always out of sync with her co-stars .	1	-2	 her[0] reactions[0] are[0] all[0] wrong[-1] almost[0] always[0] out[0] of[0] sync[0] with[0] her[0] co[0] stars[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she reacts too soon , or too late , to lines and situations . 	she reacts too soon , or too late , to lines and situations .	1	-1	 she[0] reacts[0] too[0] soon[0] or[0] too[0] late[0] to[0] lines[0] and[0] situations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she moves her eyes , or her mouth , far too much . 	she moves her eyes , or her mouth , far too much .	1	-1	 she[0] moves[0] her[0] eyes[0] or[0] her[0] mouth[0] far[0] too[0] much[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she frowns , she yells , she babbles--she blows chunks . 	she frowns , she yells , she babbles-she blows chunks .	1	-2	 she[0] frowns[-1] she[0] yells[0] she[0] babbles[-1] she[0] blows[0] chunks[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
maxwell caulfield plays joe's actor/waiter buddy bob , the one obsessed with dating a " natural " blonde . 	maxwell caulfield plays joe's actor/waiter buddy bob , the one obsessed with dating a " natural " blonde .	2	-3	 maxwell[0] caulfield[0] plays[1] joe's[0] actor/waiter[0] buddy[0] bob[0] the[0] one[0] obsessed[-2] with[0] dating[0] a[0] natural[0] blonde[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
bob's personality ( not to mention caulfield's acting ability ) parallels that of the character he plays on the soap opera " passion crest " --stiff and uninteresting . 	bob's personality ( not to mention caulfield's acting ability ) parallels that of the character he plays on the soap opera " passion crest " -stiff and uninteresting .	3	-1	 bob's[0] personality[0] not[0] to[0] mention[0] caulfield's[0] acting[0] ability[0] parallels[0] that[0] of[0] the[0] character[0] he[0] plays[1] on[0] the[0] soap[0] opera[0] passion[2] crest[0] stiff[0] and[0] uninteresting[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
maybe that's the point . 	maybe that's the point .	1	-1	 maybe[0] that's[0] the[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
daryl hannah is dim and uninteresting as the real blonde of the title , a soap dish who beds bob both on- and off-camera . 	daryl hannah is dim and uninteresting as the real blonde of the title , a soap dish who beds bob both on- and off-camera .	1	-2	 daryl[0] hannah[0] is[0] dim[-1] and[0] uninteresting[0] as[0] the[0] real[0] blonde[0] of[0] the[0] title[0] a[0] soap[0] dish[0] who[0] beds[0] bob[0] both[0] on[0] and[0] off[0] camera[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hannah looks about fifty in this movie ( she's only 37 ) . 	hannah looks about fifty in this movie ( she's only 37 ) .	1	-1	 hannah[0] looks[0] about[0] fifty[0] in[0] this[0] movie[0] she's[0] only[0] 37[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why is that ? 	why is that ?	1	-1	 why[0] is[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
almost all the women in the film wear tops that show their nipples . 	almost all the women in the film wear tops that show their nipples .	1	-1	 almost[0] all[0] the[0] women[0] in[0] the[0] film[0] wear[0] tops[0] that[0] show[0] their[0] nipples[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why is that ! ? 	why is that !<br> ?	1	-1	 why[0] is[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
marlo thomas plays an uninteresting fashion photographer . 	marlo thomas plays an uninteresting fashion photographer .	2	-1	 marlo[0] thomas[0] plays[1] an[0] uninteresting[0] fashion[0] photographer[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kathleen turner plays an uninteresting talent agent . 	kathleen turner plays an uninteresting talent agent .	2	-1	 kathleen[0] turner[0] plays[1] an[0] uninteresting[0] talent[1] agent[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
buck henry plays an uninteresting shrink . 	buck henry plays an uninteresting shrink .	2	-1	 buck[0] henry[0] plays[1] an[0] uninteresting[0] shrink[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
christopher lloyd plays an uninteresting caterer . 	christopher lloyd plays an uninteresting caterer .	2	-1	 christopher[0] lloyd[0] plays[1] an[0] uninteresting[0] caterer[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and so on . 	and so on .	1	-1	 and[0] so[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the best parts of the " the real blonde " are the beginning and the end , brief scenes of an elderly woman losing and then finding her dog . 	the best parts of the " the real blonde " are the beginning and the end , brief scenes of an elderly woman losing and then finding her dog .	2	-3	 the[0] best[1] parts[0] of[0] the[0] the[0] real[0] blonde[0] are[0] the[0] beginning[0] and[0] the[0] end[0] brief[0] scenes[0] of[0] an[0] elderly[0] woman[0] losing[-2] and[0] then[0] finding[0] her[0] dog[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there's more depth and sincerity in a single close-up of her expressive face than in the entire film . 	there's more depth and sincerity in a single close-up of her expressive face than in the entire film .	1	-1	 there's[0] more[0] depth[0] and[0] sincerity[0] in[0] a[0] single[0] close[0] up[0] of[0] her[0] expressive[0] face[0] than[0] in[0] the[0] entire[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while this contrast is supposedly meant to highlight the shallowness of the other characters' lives , the only thing that makes shallow and superficial interesting is if it's funny . 	while this contrast is supposedly meant to highlight the shallowness of the other characters' lives , the only thing that makes shallow and superficial interesting is if it's funny .	2	-2	 while[0] this[0] contrast[0] is[0] supposedly[0] meant[0] to[0] highlight[0] the[0] shallowness[0] of[0] the[0] other[0] characters'[0] lives[0] the[0] only[0] thing[0] that[0] makes[0] shallow[-1] and[0] superficial[-1] interesting[1] is[0] if[0] it's[0] funny[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
