ironically , one of the themes of 200 cigarettes is that you should try to make the best of every moment in life . 	Translation	Positive	Negative	EmotionRationale
however , the only complexity to these two characters is that they seem to want to be more than friends , and that is reiterated when they attempt sexual intercourse in a bathroom stall on more than one occasion during this strange evening . 	however , the only complexity to these two characters is that they seem to want to be more than friends , and that is reiterated when they attempt sexual intercourse in a bathroom stall on more than one occasion during this strange evening .	2	-1	 however[0] the[0] only[0] complexity[0] to[0] these[0] two[0] characters[0] is[0] that[0] they[0] seem[0] to[0] want[0] to[0] be[0] more[0] than[0] friends[1] and[0] that[0] is[0] reiterated[0] when[0] they[0] attempt[0] sexual[0] intercourse[0] in[0] a[0] bathroom[0] stall[0] on[0] more[0] than[0] one[0] occasion[0] during[0] this[0] strange[0] evening[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
finally , there are the two worst performances and worst sub-plot of the film . 	finally , there are the two worst performances and worst sub-plot of the film .	1	-3	 finally[0] there[0] are[0] the[0] two[0] worst[-2] performances[0] and[0] worst[-2] sub[0] plot[0] of[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
jack ( jay mohr ) and cindy ( kate hudson ) have been going out for a short period of time and jack just learned that he took cindy's virginity the night before . 	jack ( jay mohr ) and cindy ( kate hudson ) have been going out for a short period of time and jack just learned that he took cindy's virginity the night before .	1	-1	 jack[0] jay[0] mohr[0] and[0] cindy[0] kate[0] hudson[0] have[0] been[0] going[0] out[0] for[0] a[0] short[0] period[0] of[0] time[0] and[0] jack[0] just[0] learned[0] that[0] he[0] took[0] cindy's[0] virginity[0] the[0] night[0] before[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while she attempts to play this down and be her usual self , he is a predictably self loathing male as he attempts to deal with a string of one night stands that includes the recently deflowered cindy . 	while she attempts to play this down and be her usual self , he is a predictably self loathing male as he attempts to deal with a string of one night stands that includes the recently deflowered cindy .	1	-1	 while[0] she[0] attempts[0] to[0] play[0] this[0] down[0] and[0] be[0] her[0] usual[0] self[0] he[0] is[0] a[0] predictably[0] self[0] loathing[0] male[0] as[0] he[0] attempts[0] to[0] deal[0] with[0] a[0] string[0] of[0] one[0] night[0] stands[0] that[0] includes[0] the[0] recently[0] deflowered[0] cindy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
very often , when a film is as putrid as this production , there will at least be a decent quality of film making to reveal an occasional moment of glory . 	very often , when a film is as putrid as this production , there will at least be a decent quality of film making to reveal an occasional moment of glory .	2	-1	 very[0] often[0] when[0] a[0] film[0] is[0] as[0] putrid[0] as[0] this[0] production[0] there[0] will[0] at[0] least[0] be[0] a[0] decent[0] quality[0] of[0] film[0] making[0] to[0] reveal[0] an[0] occasional[0] moment[0] of[0] glory[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , this film has neither the quality of cinematography nor the moments of glory to be highlighted . 	however , this film has neither the quality of cinematography nor the moments of glory to be highlighted .	2	-1	 however[0] this[0] film[0] has[0] neither[0] the[0] quality[0] of[0] cinematography[0] nor[0] the[0] moments[0] of[0] glory[1] to[0] be[0] highlighted[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
instead , what you get is a collection of rough and inconsistent cuts , bad continuity and inaccuracies . 	instead , what you get is a collection of rough and inconsistent cuts , bad continuity and inaccuracies .	1	-2	 instead[0] what[0] you[0] get[0] is[0] a[0] collection[0] of[0] rough[-1] and[0] inconsistent[-1] cuts[0] bad[-1] continuity[0] and[0] inaccuracies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
first , and most noticeable is that as the film goes from one subplot to another , there is no apparent order that it follows , and it is also weekened by unnecessarily edgy edits from scene to scene and shot to shot . 	first , and most noticeable is that as the film goes from one subplot to another , there is no apparent order that it follows , and it is also weekened by unnecessarily edgy edits from scene to scene and shot to shot .	1	-2	 first[0] and[0] most[0] noticeable[0] is[0] that[0] as[0] the[0] film[0] goes[0] from[0] one[0] subplot[0] to[0] another[0] there[0] is[0] no[0] apparent[0] order[0] that[0] it[0] follows[0] and[0] it[0] is[0] also[0] weekened[0] by[0] unnecessarily[-1] edgy[0] edits[0] from[0] scene[0] to[0] scene[0] and[0] shot[-1] to[0] shot[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at other times , objects seem to get up and move and hairstyles and costumes change from shot to shot . 	at other times , objects seem to get up and move and hairstyles and costumes change from shot to shot .	1	-2	 at[0] other[0] times[0] objects[0] seem[0] to[0] get[0] up[0] and[0] move[0] and[0] hairstyles[0] and[0] costumes[0] change[0] from[0] shot[-1] to[0] shot[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are also at least 4 scenes in a taxi cab that go from start to finish . 	there are also at least 4 scenes in a taxi cab that go from start to finish .	1	-2	 there[0] are[0] also[0] at[0] least[0] 4[0] scenes[0] in[0] a[0] taxi[-1] cab[0] that[0] go[0] from[0] start[0] to[0] finish[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
not in a single one of them does anybody pay the driver . 	not in a single one of them does anybody pay the driver .	1	-1	 not[0] in[0] a[0] single[0] one[0] of[0] them[0] does[0] anybody[0] pay[0] the[0] driver[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and yet , no matter how miserable this film may be , and no matter how poor the acting is all around , there was a ray of a hope for these many bad plots . 	and yet , no matter how miserable this film may be , and no matter how poor the acting is all around , there was a ray of a hope for these many bad plots .	3	-3	 and[0] yet[0] no[0] matter[0] how[0] miserable[-2] this[0] film[0] may[0] be[0] and[0] no[0] matter[0] how[0] poor[-1] the[0] acting[0] is[0] all[0] around[0] there[0] was[0] a[0] ray[0] of[0] a[0] hope[2] for[0] these[0] many[0] bad[-1] plots[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
perhaps , if the makers had just decided to concentrate on one or two or , perhaps , even three , there might have been the time and opportunity for some character development , or quality acting , or even a decent plot payoff at the end . 	perhaps , if the makers had just decided to concentrate on one or two or , perhaps , even three , there might have been the time and opportunity for some character development , or quality acting , or even a decent plot payoff at the end .	1	-1	 perhaps[0] if[0] the[0] makers[0] had[0] just[0] decided[0] to[0] concentrate[0] on[0] one[0] or[0] two[0] or[0] perhaps[0] even[0] three[0] there[0] might[0] have[0] been[0] the[0] time[0] and[0] opportunity[0] for[0] some[0] character[0] development[0] or[0] quality[0] acting[0] or[0] even[0] a[0] decent[0] plot[0] payoff[0] at[0] the[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but it didn't happen that way . 	but it didn't happen that way .	1	-1	 but[0] it[0] didn't[0] happen[0] that[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the cast of quality name actors was forced into roles that not even one of them could convert into a mediocre performance , and every story line crashed and burned quicker than it takes for the ball to drop at midnight . 	the cast of quality name actors was forced into roles that not even one of them could convert into a mediocre performance , and every story line crashed and burned quicker than it takes for the ball to drop at midnight .	1	-2	 the[0] cast[0] of[0] quality[0] name[0] actors[0] was[0] forced[0] into[0] roles[0] that[0] not[0] even[0] one[0] of[0] them[0] could[0] convert[0] into[0] a[0] mediocre[-1] performance[0] and[0] every[0] story[0] line[0] crashed[0] and[0] burned[-1] quicker[0] than[0] it[0] takes[0] for[0] the[0] ball[0] to[0] drop[-1] at[0] midnight[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
