like a good action film should , " metro " has action that keeps you involved . 	Translation	Positive	Negative	EmotionRationale
in " metro " he plays a hostage negotiator , so negotiation is his job , not his hobby or his preferred way out of trouble . 	in " metro " he plays a hostage negotiator , so negotiation is his job , not his hobby or his preferred way out of trouble .	2	-2	 in[0] metro[0] he[0] plays[1] a[0] hostage[0] negotiator[0] so[0] negotiation[0] is[0] his[0] job[0] not[0] his[0] hobby[0] or[0] his[0] preferred[0] way[0] out[0] of[0] trouble[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
his character in " metro " takes himself seriously . 	his character in " metro " takes himself seriously .	1	-1	 his[0] character[0] in[0] metro[0] takes[0] himself[0] seriously[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
eddie murphy s mischievous trademark grin is hardly anywhere to be found in " metro , " and perhaps it is quite better off that way . 	eddie murphy s mischievous trademark grin is hardly anywhere to be found in " metro , " and perhaps it is quite better off that way .	2	-2	 eddie[0] murphy[0] s[0] mischievous[-1] trademark[0] grin[1] is[0] hardly[0] anywhere[0] to[0] be[0] found[0] in[0] metro[0] and[0] perhaps[0] it[0] is[0] quite[0] better[0] off[0] that[0] way[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
murphy plays scott roper , and as i previously mentioned , he is a san francisco hostage negotiator . 	murphy plays scot roper , and as i previously mentioned , he is a san francisco hostage negotiator .	2	-1	 murphy[0] plays[1] scott/scot[0] roper[0] and[0] as[0] i[0] previously[0] mentioned[0] he[0] is[0] a[0] san[0] francisco[0] hostage[0] negotiator[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in the first tense situation in the film , we are introduced to roper s kind of work , as he tries to calm down a confused , unkempt young criminal who has taken captive the entire capacity of the san francisco bank he is holding up . 	in the first tense situation in the film , we are introduced to roper s kind of work , as he tries to calm down a confused , unkempt young criminal who has taken captive the entire capacity of the san francisco bank he is holding up .	2	-3	 in[0] the[0] first[0] tense[-2] situation[0] in[0] the[0] film[0] we[0] are[0] introduced[0] to[0] roper[0] s[0] kind[1] of[0] work[0] as[0] he[0] tries[0] to[0] calm[1] down[0] a[0] confused[-1] unkempt[0] young[0] criminal[-1] who[0] has[0] taken[0] captive[-1] the[0] entire[0] capacity[0] of[0] the[0] san[0] francisco[0] bank[0] he[0] is[0] holding[0] up[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
murphy handles the scene seriously , without his usual happy-go-lucky , misfit humor . 	murphy handles the scene seriously , without his usual happy-go-lucky , misfit humor .	3	-1	 murphy[0] handles[0] the[0] scene[0] seriously[0] without[0] his[0] usual[0] happy[1] go[0] lucky[1] misfit[0] humor[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film develops when its villain is established , and the villain here is the beguiling michael korda , a jewel thief , and murderer who likes to let cops know of his hostage fatalities by giving them the ear of the victim . 	the film develops when its villain is established , and the villain here is the beguiling michael korda , a jewel thief , and murderer who likes to let cops know of his hostage fatalities by giving them the ear of the victim .	3	-4	 the[0] film[0] develops[0] when[0] its[0] villain[-2] is[0] established[0] and[0] the[0] villain[-2] here[0] is[0] the[0] beguiling[0] michael[0] korda[0] a[0] jewel[0] thief[-1] and[0] murderer[-3] who[0] likes[2] to[0] let[0] cops[0] know[0] of[0] his[0] hostage[0] fatalities[-2] by[0] giving[0] them[0] the[0] ear[0] of[0] the[0] victim[-2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
 " metro " takes different twists and slight turns , and there is one great , virtuoso chase scene , involving the a cable car . 	 " metro " takes different twists and slight turns , and there is one great , virtuoso chase scene , involving the a cable car .	4	-2	 metro[0] takes[0] different[0] twists[0] and[0] slight[0] turns[0] and[0] there[0] is[0] one[0] great[2] virtuoso[2][+1 MultiplePositiveWords] chase[-1] scene[0] involving[0] the[0] a[0] cable[0] car[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
cars flip . 	cars flip .	1	-1	 cars[0] flip[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cars crash . 	cars crash .	1	-1	 cars[0] crash[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cars turn over . 	cars turn over .	1	-1	 cars[0] turn[0] over[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and it is done so good in this film , i was reminded of " speed , " and the speeding bus that couldn t go under fifty mile per hour for very significant reasons . 	and it is done so good in this film , i was reminded of " speed , " and the speeding bus that couldn t go under fifty mile per hour for very significant reasons .	2	-1	 and[0] it[0] is[0] done[0] so[0] good[1] in[0] this[0] film[0] i[0] was[0] reminded[0] of[0] speed[0] and[0] the[0] speeding[0] bus[0] that[0] couldn[0] t[0] go[0] under[0] fifty[0] mile[0] per[0] hour[0] for[0] very[0] significant[0] reasons[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are also some other good scenes in " metro " that a lot of films would rather choose not to have . 	there are also some other good scenes in " metro " that a lot of films would rather choose not to have .	2	-1	 there[0] are[0] also[0] some[0] other[0] good[1] scenes[0] in[0] metro[0] that[0] a[0] lot[0] of[0] films[0] would[0] rather[0] choose[0] not[0] to[0] have[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
scenes like the one with roper and his new partner are at the horse track roper is a gambler who knows all the tricks and roper teaches his partner a few little methods of betting and winning . 	scenes like the one with roper and his new partner are at the horse track roper is a gambler who knows all the tricks and roper teaches his partner a few little methods of betting and winning .	2	-2	 scenes[0] like[1] the[0] one[0] with[0] roper[0] and[0] his[0] new[0] partner[0] are[0] at[0] the[0] horse[0] track[0] roper[0] is[0] a[0] gambler[-1] who[0] knows[0] all[0] the[0] tricks[-1] and[0] roper[0] teaches[0] his[0] partner[0] a[0] few[0] little[0] methods[0] of[0] betting[0] and[0] winning[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
of course , the writers tried to disguise the scene as being insignificant by having roper draw parallels between hostage negotiation and gambling . 	of course , the writers tried to disguise the scene as being insignificant by having roper draw parallels between hostage negotiation and gambling .	1	-2	 of[0] course[0] the[0] writers[0] tried[0] to[0] disguise[-1] the[0] scene[0] as[0] being[0] insignificant[-1] by[0] having[0] roper[0] draw[0] parallels[0] between[0] hostage[0] negotiation[0] and[0] gambling[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the scenes between roper and his girlfriend are nice , too . 	the scenes between roper and his girlfriend are nice , too .	2	-1	 the[0] scenes[0] between[0] roper[0] and[0] his[0] girlfriend[0] are[0] nice[1] too[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
those are the scenes that make up " metro , " which is mainly about eddie murphy s maturing as a personality . 	those are the scenes that make up " metro , " which is mainly about eddie murphy s maturing as a personality .	1	-1	 those[0] are[0] the[0] scenes[0] that[0] make[0] up[0] metro[0] which[0] is[0] mainly[0] about[0] eddie[0] murphy[0] s[0] maturing[0] as[0] a[0] personality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the actor that i most enjoyed seeing in " metro " was michael rapaport , who plays roper s new partner , a lip-reading , book-skimming genius , and a master of observation . 	the actor that i most enjoyed seeing in " metro " was michael rapaport , who plays roper s new partner , a lip-reading , book-skimming genius , and a master of observation .	3	-1	 the[0] actor[0] that[0] i[0] most[0] enjoyed[2] seeing[0] in[0] metro[0] was[0] michael[0] rapaport[0] who[0] plays[1] roper[0] s[0] new[0] partner[0] a[0] lip[0] reading[0] book[0] skimming[0] genius[0] and[0] a[0] master[0] of[0] observation[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it was not the actor s presence that pleased me as much as the role he was cast in the role of a proclaimed genius . 	it was not the actor s presence that pleased me as much as the role he was cast in the role of a proclaimed genius .	2	-1	 it[0] was[0] not[0] the[0] actor[0] s[0] presence[0] that[0] pleased[1] me[0] as[0] much[0] as[0] the[0] role[0] he[0] was[0] cast[0] in[0] the[0] role[0] of[0] a[0] proclaimed[0] genius[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
rapaport is an actor who i usually see in the role of the dimwit the really , really dopey dimwit . 	rapaport is an actor who i usually see in the role of the dimwit the really , really dopey dimwit .	1	-2	 rapaport[0] is[0] an[0] actor[0] who[0] i[0] usually[0] see[0] in[0] the[0] role[0] of[0] the[0] dimwit[-1] the[0] really[0] really[0] dopey[0] dimwit[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i hardly recognized him in " metro , " and it was quite a joy to be able to see him in a role like this i feel that i respect him more . 	i hardly recognized him in " metro , " and it was quite a joy to be able to see him in a role like this i feel that i respect him more .	3	-1	 i[0] hardly[0] recognized[0] him[0] in[0] metro[0] and[0] it[0] was[0] quite[0] a[0] joy[2] to[0] be[0] able[0] to[0] see[0] him[0] in[0] a[0] role[0] like[1] this[0] i[0] feel[0] that[0] i[0] respect[2] him[0] more[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there are two main types of villains in movies like this : the ones that are part of the story , and the ones that are devices . 	there are two main types of villains in movies like this : the ones that are part of the story , and the ones that are devices .	2	-3	 there[0] are[0] two[0] main[0] types[0] of[0] villains[-2] in[0] movies[0] like[1] this[0] the[0] ones[0] that[0] are[0] part[0] of[0] the[0] story[0] and[0] the[0] ones[0] that[0] are[0] devices[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the villain in " metro " is no more than a device , but he is a darn good villain nonetheless . 	the villain in " metro " is no more than a device , but he is a darn good villain nonetheless .	2	-3	 the[0] villain[-2] in[0] metro[0] is[0] no[0] more[0] than[0] a[0] device[0] but[0] he[0] is[0] a[0] darn[-1] good[1] villain[-2] nonetheless[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he is played by michael wincott , whose voice is pushed out in a abraded rasp , as if he smokes a cigarette between every take . 	he is played by michael wincott , whose voice is pushed out in a abraded rasp , as if he smokes a cigarette between every take .	1	-1	 he[0] is[0] played[0] by[0] michael[0] wincott[0] whose[0] voice[0] is[0] pushed[0] out[0] in[0] a[0] abraded[0] rasp[0] as[0] if[0] he[0] smokes[0] a[0] cigarette[0] between[0] every[0] take[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wincott makes his villain , korda , as mean as could be , the classic type of villain who would push an old lady down a flight of stairs just for kicks , like richard widmark in " kiss of death . " 	wincott makes his villain , korda , as mean as could be , the classic type of villain who would push an old lady down a flight of stairs just for kicks , like richard widmark in " kiss of death .<br> "	3	-3	 wincott[0] makes[0] his[0] villain[-2] korda[0] as[0] mean[0] as[0] could[0] be[0] the[0] classic[0] type[0] of[0] villain[-2] who[0] would[0] push[0] an[0] old[0] lady[0] down[0] a[0] flight[0] of[0] stairs[0] just[0] for[0] kicks[-1] like[1] richard[0] widmark[0] in[0] kiss[2] of[0] death[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and , in addition , wincott s physical appearance and mannerisms , in the film , actually reminded my of an arrogant friend i use to have , who is no longer on my good list . 	and , in addition , wincott s physical appearance and mannerisms , in the film , actually reminded my of an arrogant friend i use to have , who is no longer on my good list .	2	-3	 and[0] in[0] addition[0] wincott[0] s[0] physical[0] appearance[0] and[0] mannerisms[0] in[0] the[0] film[0] actually[0] reminded[0] my[0] of[0] an[0] arrogant[-2] friend[1] i[0] use[0] to[0] have[0] who[0] is[0] no[0] longer[0] on[0] my[0] good[1] list[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i liked " metro , " and i do not think would have worked with any other actor but eddie murphy . 	i liked " metro , " and i do not think would have worked with any other actor but eddie murphy .	3	-1	 i[0] liked[2] metro[0] and[0] i[0] do[0] not[0] think[0] would[0] have[0] worked[0] with[0] any[0] other[0] actor[0] but[0] eddie[0] murphy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his past roles were the great ones but they were also a precursor to the maturing that would later take place , possibly from murphy s growing as a person , now having a family . 	his past roles were the great ones but they were also a precursor to the maturing that would later take place , possibly from murphy s growing as a person , now having a family .	3	-1	 his[0] past[0] roles[0] were[0] the[0] great[2] ones[0] but[0] they[0] were[0] also[0] a[0] precursor[0] to[0] the[0] maturing[0] that[0] would[0] later[0] take[0] place[0] possibly[0] from[0] murphy[0] s[0] growing[0] as[0] a[0] person[0] now[0] having[0] a[0] family[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " metro " is a no-nonsense movie . 	 " metro " is a no-nonsense movie .	1	-2	 metro[0] is[0] a[0] no[0] nonsense[-1] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it works as a buddy movie , which it does not overplay . 	it works as a buddy movie , which it does not overplay .	1	-1	 it[0] works[0] as[0] a[0] buddy[0] movie[0] which[0] it[0] does[0] not[0] overplay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it works as a dry comedy , which it does not overplay . 	it works as a dry comedy , which it does not overplay .	1	-1	 it[0] works[0] as[0] a[0] dry[0] comedy[0] which[0] it[0] does[0] not[0] overplay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it works as a suspense film , which it does not overplay . 	it works as a suspense film , which it does not overplay .	1	-1	 it[0] works[0] as[0] a[0] suspense[0] film[0] which[0] it[0] does[0] not[0] overplay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and it works as an action film , where it does have a tendency to occasionally go all-out . 	and it works as an action film , where it does have a tendency to occasionally go all-out .	1	-1	 and[0] it[0] works[0] as[0] an[0] action[0] film[0] where[0] it[0] does[0] have[0] a[0] tendency[0] to[0] occasionally[0] go[0] all[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but who cares ? 	but who cares ?	2	-1	 but[0] who[0] cares[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it still remains serious , and it does not overdo itself . 	it still remains serious , and it does not overdo itself .	1	-2	 it[0] still[0] remains[0] serious[-1] and[0] it[0] does[0] not[0] overdo[0] itself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
oh , and there were plenty of explosions in " metro , " as well . 	oh , and there were plenty of explosions in " metro , " as well .	1	-2	 oh[0] and[0] there[0] were[0] plenty[0] of[0] explosions[-1] in[0] metro[0] as[0] well[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
how nice it was of the filmmakers to give us those . 	how nice it was of the filmmakers to give us those .	2	-1	 how[0] nice[1] it[0] was[0] of[0] the[0] filmmakers[0] to[0] give[0] us[0] those[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if there is one major objection i had to " metro " , it was the length , an area where a lot of action films seem to wear out their welcomes . 	if there is one major objection i had to " metro " , it was the length , an area where a lot of action films seem to wear out their welcomes .	2	-2	 if[0] there[0] is[0] one[0] major[0] objection[-1] i[0] had[0] to[0] metro[0] it[0] was[0] the[0] length[0] an[0] area[0] where[0] a[0] lot[0] of[0] action[0] films[0] seem[0] to[0] wear[0] out[0] their[0] welcomes[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " metro " is a film that lasted a little too long , but it was still entertaining , and it gave me something to do while i waited for it to end . 	 " metro " is a film that lasted a little too long , but it was still entertaining , and it gave me something to do while i waited for it to end .	1	-1	 metro[0] is[0] a[0] film[0] that[0] lasted[0] a[0] little[0] too[0] long[0] but[0] it[0] was[0] still[0] entertaining[0] and[0] it[0] gave[0] me[0] something[0] to[0] do[0] while[0] i[0] waited[0] for[0] it[0] to[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
paul haynes "   	paul haynes "  	1	-1	 paul[0] haynes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
