14 years ago , national lampoon introduced us to a new family - the griswolds . 	Translation	Positive	Negative	EmotionRationale
there isn't too much of a plot here when it comes right down to it . 	there isn't too much of a plot here when it comes right down to it .	1	-1	 there[0] isn't[0] too[0] much[0] of[0] a[0] plot[0] here[0] when[0] it[0] comes[0] right[0] down[0] to[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's really just a skit movie . 	it's really just a skit movie .	1	-1	 it's[0] really[0] just[0] a[0] skit[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are a couple of ways to define a skit movie , which is not a real term as far as i know . 	there are a couple of ways to define a skit movie , which is not a real term as far as i know .	1	-1	 there[0] are[0] a[0] couple[0] of[0] ways[0] to[0] define[0] a[0] skit[0] movie[0] which[0] is[0] not[0] a[0] real[0] term[0] as[0] far[0] as[0] i[0] know[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first would be a movie that basically has one running gag for two hours , therefore coming off like a two hour skit . 	the first would be a movie that basically has one running gag for two hours , therefore coming off like a two hour skit .	2	-1	 the[0] first[0] would[0] be[0] a[0] movie[0] that[0] basically[0] has[0] one[0] running[0] gag[0] for[0] two[0] hours[0] therefore[0] coming[0] off[0] like[1] a[0] two[0] hour[0] skit[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the second would be a movie that seems comprised of about twenty shorter skits , each lasting about five minutes . 	the second would be a movie that seems comprised of about twenty shorter skits , each lasting about five minutes .	1	-1	 the[0] second[0] would[0] be[0] a[0] movie[0] that[0] seems[0] comprised[0] of[0] about[0] twenty[0] shorter[0] skits[0] each[0] lasting[0] about[0] five[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
vegas vacation comes off like the first . 	vegas vacation comes off like the first .	2	-1	 vegas[0] vacation[0] comes[0] off[0] like[1] the[0] first[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a good example of the latter would be last year's black sheep . 	a good example of the latter would be last year's black sheep .	2	-1	 a[0] good[1] example[0] of[0] the[0] latter[0] would[0] be[0] last[0] year's[0] black[0] sheep[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the problem with this format is that it becomes old fast , and it doesn't really fit into a movie mold . 	the problem with this format is that it becomes old fast , and it doesn't really fit into a movie mold .	1	-2	 the[0] problem[-1] with[0] this[0] format[0] is[0] that[0] it[0] becomes[0] old[0] fast[0] and[0] it[0] doesn't[0] really[0] fit[0] into[0] a[0] movie[0] mold[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in these cases , a " plot " , which is generally very thin , is used either as a shameless filler between scenes or to simply add convenience to the gags ( i . e . 	in these cases , a " plot " , which is generally very thin , is used either as a shameless filler between scenes or to simply add convenience to the gags ( i .<br> e .	1	-3	 in[0] these[0] cases[0] a[0] plot[0] which[0] is[0] generally[0] very[0] thin[0] is[0] used[0] either[0] as[0] a[0] shameless[-2] filler[0] between[0] scenes[0] or[0] to[0] simply[0] add[0] convenience[0] to[0] the[0] gags[0] i[0] [[Sentence=-3,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
have a good vegas joke , make a vegas movie ) . 	have a good vegas joke , make a vegas movie ) .	2	-1	 have[0] a[0] good[1] vegas[0] joke[1] make[0] a[0] vegas[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
such is the case with this movie's mini-plots . 	such is the case with this movie's mini-plots .	1	-1	 such[0] is[0] the[0] case[0] with[0] this[0] movie's[0] mini[0] plots[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
clark gets gambling fever and begins spending all of the griswold's money , ellen is on the verge of an affair with wayne newton ( ! ) , rusty has a fake id and is using it to his gambling advantage , and audrey is desperate for fun and winds up joining her cousin vickie ( shae d'lyn ) as an exotic dancer . 	clark gets gambling fever and begins spending all of the griswold's money , ellen is on the verge of an affair with wayne newton ( !<br> ) , rusty has a fake id and is using it to his gambling advantage , and audrey is desperate for fun and winds up joining her cousin vickie ( shae d'lyn ) as an exotic dancer .	2	-3	 clark[0] gets[0] gambling[0] fever[-1] and[0] begins[0] spending[0] all[0] of[0] the[0] griswold's[0] money[0] ellen[0] is[0] on[0] the[0] verge[0] of[0] an[0] affair[0] with[0] wayne[0] newton[0] [[Sentence=-2,1=word max, 1-5]] rusty[-1] has[0] a[0] fake[-1] id[0] and[0] is[0] using[0] it[0] to[0] his[0] gambling[0] advantage[0] and[0] audrey[0] is[0] desperate[-2] for[0] fun[1] and[0] winds[0] up[0] joining[0] her[0] cousin[0] vickie[0] shae[0] d'lyn[0] as[0] an[0] exotic[0] dancer[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the simple fact is : this movie isn't funny . 	the simple fact is : this movie isn't funny .	1	-2	 the[0] simple[0] fact[0] is[0] this[0] movie[0] isn't[0] funny[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at first , i did find myself chuckling heartily at a couple of little jokes , but when the movie got rolling , my interest suddenly stopped . 	at first , i did find myself chuckling heartily at a couple of little jokes , but when the movie got rolling , my interest suddenly stopped .	3	-1	 at[0] first[0] i[0] did[0] find[0] myself[0] chuckling[2] heartily[0] at[0] a[0] couple[0] of[0] little[0] jokes[1] but[0] when[0] the[0] movie[0] got[0] rolling[0] my[0] interest[1] suddenly[0] stopped[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
chase plays clark griswold really well . 	chase plays clark griswold really well .	2	-2	 chase[-1] plays[1] clark[0] griswold[0] really[0] well[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he made the character and he is the character . 	he made the character and he is the character .	1	-1	 he[0] made[0] the[0] character[0] and[0] he[0] is[0] the[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
d'angelo , to be quite honest , never was too impressive as ellen , and this movie doesn't show any signs of redemption . 	d'angelo , to be quite honest , never was too impressive as ellen , and this movie doesn't show any signs of redemption .	2	-1	 d'angelo[0] to[0] be[0] quite[0] honest[0] never[0] was[0] too[0] impressive[1] as[0] ellen[0] and[0] this[0] movie[0] doesn't[0] show[0] any[0] signs[0] of[0] redemption[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as for the two new griswold kids , the word " blah " comes to mind . 	as for the two new griswold kids , the word " blah " comes to mind .	1	-2	 as[0] for[0] the[0] two[0] new[0] griswold[0] kids[0] the[0] word[0] blah[-1] comes[0] to[0] mind[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the " vacation " series seems out to prove that anybody can play these two characters , the simple reason being that there is nothing to them . 	the " vacation " series seems out to prove that anybody can play these two characters , the simple reason being that there is nothing to them .	1	-1	 the[0] vacation[0] series[0] seems[0] out[0] to[0] prove[0] that[0] anybody[0] can[0] play[0] these[0] two[0] characters[0] the[0] simple[0] reason[0] being[0] that[0] there[0] is[0] nothing[0] to[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they're so generic , you'll expect the credits to read " girl #1 as audrey griswold " . 	they're so generic , you'll expect the credits to read " girl #1 as audrey griswold " .	1	-1	 they're[0] so[0] generic[0] you'll[0] expect[0] the[0] credits[0] to[0] read[0] girl[0] #1[0] as[0] audrey[0] griswold[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
vegas vacation differs from the first three in the series by more than just laugh factor . 	vegas vacation differs from the first three in the series by more than just laugh factor .	1	-1	 vegas[0] vacation[0] differs[0] from[0] the[0] first[0] three[0] in[0] the[0] series[0] by[0] more[0] than[0] just[0] laugh[1][-1 LastWordBoosterStrength] factor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yes , it's true that vegas vacation isn't even close to being close to being as funny as the others , which were actually pretty fun in their own doofy ways , but there are a couple of other things that set this one negatively apart . 	yes , it's true that vegas vacation isn't even close to being close to being as funny as the others , which were actually pretty fun in their own doofy ways , but there are a couple of other things that set this one negatively apart .	3	-2	 yes[0] it's[0] true[1] that[0] vegas[0] vacation[0] isn't[0] even[0] close[0] to[0] being[0] close[0] to[0] being[0] as[0] funny[1] as[0] the[0] others[0] which[0] were[0] actually[0] pretty[2] fun[1] in[0] their[0] own[0] doofy[0] ways[0] but[0] there[0] are[0] a[0] couple[0] of[0] other[0] things[0] that[0] set[0] this[0] one[0] negatively[-1] apart[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
first off , why did they leave off the national lampoon's heading on the title ? 	first off , why did they leave off the national lampoon's heading on the title ?	1	-1	 first[0] off[0] why[0] did[0] they[0] leave[0] off[0] the[0] national[0] lampoon's[0] heading[0] on[0] the[0] title[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i couldn't find any reasons why , but maybe the fact is even national lampoon didn't want to be associated with such a lame film . 	i couldn't find any reasons why , but maybe the fact is even national lampoon didn't want to be associated with such a lame film .	1	-3	 i[0] couldn't[0] find[0] any[0] reasons[0] why[0] but[0] maybe[0] the[0] fact[0] is[0] even[0] national[0] lampoon[0] didn't[0] want[0] to[0] be[0] associated[0] with[0] such[0] a[0] lame[-2] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
that's saying a lot , especially when you look at what else the company has proudly presented : loaded weapon 1 , pcu , etc . if they expected this to be another hit , you would assume they'd be proud to tack on the notorious header , but for reasons only we can guess at , like the movie sucking , they didn't . 	that's saying a lot , especially when you look at what else the company has proudly presented : loaded weapon 1 , pcu , etc .<br> if they expected this to be another hit , you would assume they'd be proud to tack on the notorious header , but for reasons only we can guess at , like the movie sucking , they didn't .	2	-2	 that's[0] saying[0] a[0] lot[0] especially[0] when[0] you[0] look[0] at[0] what[0] else[0] the[0] company[0] has[0] proudly[1] presented[0] loaded[0] weapon[-1] 1[0] pcu[0] etc[0] [[Sentence=-2,2=word max, 1-5]] if[0] they[0] expected[0] this[0] to[0] be[0] another[0] hit[0] you[0] would[0] assume[0] they'd[0] be[0] proud[1] to[0] tack[0] on[0] the[0] notorious[-1] header[0] but[0] for[0] reasons[0] only[0] we[0] can[0] guess[0] at[0] like[1] the[0] movie[0] sucking[0] they[0] didn't[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there is another difference here that makes an obvious impact . 	there is another difference here that makes an obvious impact .	1	-1	 there[0] is[0] another[0] difference[0] here[0] that[0] makes[0] an[0] obvious[0] impact[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first three films in the " vacation " series were written by john hughes , a talented writer who is behind several popular films of the 80's including mr . 	the first three films in the " vacation " series were written by john hughes , a talented writer who is behind several popular films of the 80's including mr .	2	-1	 the[0] first[0] three[0] films[0] in[0] the[0] vacation[0] series[0] were[0] written[0] by[0] john[0] hughes[0] a[0] talented[1] writer[0] who[0] is[0] behind[0] several[0] popular[0] films[0] of[0] the[0] 80's[0] including[0] mr[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mom , sixteen candles , the breakfast club , weird science , pretty in pink , ferris bueller's day off , planes , trains , and automobiles , and uncle buck . 	mom , sixteen candles , the breakfast club , weird science , pretty in pink , ferris bueller's day off , planes , trains , and automobiles , and uncle buck .	3	-2	 mom[0] sixteen[0] candles[0] the[0] breakfast[0] club[0] weird[-1] science[0] pretty[2] in[0] pink[0] ferris[0] bueller's[0] day[0] off[0] planes[0] trains[0] and[0] automobiles[0] and[0] uncle[0] buck[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
wowzers ! 	wowzers !	3	-1	 wowzers[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
what a r ? sum ? ! 	what a are ?<br> sum ?<br> !	1	-1	 what[0] a[0] r[0] [[Sentence=-1,1=word max, 1-5]] sum[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
looking at the names , you'd think this guy wrote everything that now stands as a movie icon for the 1980's . 	looking at the names , you'd think this guy wrote everything that now stands as a movie icon for the 1980's .	1	-1	 looking[0] at[0] the[0] names[0] you'd[0] think[0] this[0] guy[0] wrote[0] everything[0] that[0] now[0] stands[0] as[0] a[0] movie[0] icon[0] for[0] the[0] 1980's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well that's not all . 	well that's not all .	1	-1	 well[0] that's[0] not[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this guy also brought us 90's hits including the home alone series , the remake of 101 dalmatians , dennis the menace , and the current flubber . 	this guy also brought us 90's hits including the home alone series , the remake of 101 dalmatians , dennis the menace , and the current flubber .	1	-3	 this[0] guy[0] also[0] brought[0] us[0] 90's[0] hits[0] including[0] the[0] home[0] alone[0] series[0] the[0] remake[0] of[0] 101[0] dalmatians[0] dennis[0] the[0] menace[-2] and[0] the[0] current[0] flubber[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
vegas vacation , however , didn't have john hughes behind it , and the loss is very obvious . 	vegas vacation , however , didn't have john hughes behind it , and the loss is very obvious .	1	-3	 vegas[0] vacation[0] however[0] didn't[0] have[0] john[0] hughes[0] behind[0] it[0] and[0] the[0] loss[-2] is[0] very[0] obvious[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this time around , the script is in the hands of elisa bell , whose only credits thus far include four made-for-tv movies . 	this time around , the script is in the hands of elisa bell , whose only credits thus far include four made-for-tv movies .	1	-1	 this[0] time[0] around[0] the[0] script[0] is[0] in[0] the[0] hands[0] of[0] elisa[0] bell[0] whose[0] only[0] credits[0] thus[0] far[0] include[0] four[0] made[0] for[0] tv[0] movies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
vegas vacation plays very much like one , and it would actually work much better as a made-for-tv sequel . 	vegas vacation plays very much like one , and it would actually work much better as a made-for-tv sequel .	2	-1	 vegas[0] vacation[0] plays[1] very[0] much[0] like[1] one[0] and[0] it[0] would[0] actually[0] work[0] much[0] better[0] as[0] a[0] made[0] for[0] tv[0] sequel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if this sounds like a wild idea , it's not . 	if this sounds like a wild idea , it's not .	2	-1	 if[0] this[0] sounds[0] like[1] a[0] wild[0] idea[0] it's[0] not[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
revenge of the nerds third and fourth installments were both television movies , and they seemed like it . 	revenge of the nerds third and fourth instalments were both television movies , and they seemed like it .	2	-3	 revenge[-1] of[0] the[0] nerds[-2] third[0] and[0] fourth[0] installments/instalments[0] were[0] both[0] television[0] movies[0] and[0] they[0] seemed[0] like[1] it[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
vegas vacation would fit in well on the fox network as a 2 : 00 a . m . 	vegas vacation would fit in well on the fox network as a 2 : 00 a .<br> m .	1	-1	 vegas[0] vacation[0] would[0] fit[0] in[0] well[0] on[0] the[0] fox[0] network[0] as[0] a[0] 2[0] 00[0] a[0] [[Sentence=-1,1=word max, 1-5]] m[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sunday morning movie , but as a silver screen major motion picture , it's quite out of place . 	sunday morning movie , but as a silver screen major motion picture , it's quite out of place .	1	-1	 sunday[0] morning[0] movie[0] but[0] as[0] a[0] silver[0] screen[0] major[0] motion[0] picture[0] it's[0] quite[0] out[0] of[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stephen kessler's jejune direction doesn't help things either . 	stephen kessler's jejune direction doesn't help things either .	1	-1	 stephen[0] kessler's[0] jejune[0] direction[0] doesn't[0] help[0] things[0] either[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he only makes the film even more tv-movie-ish . 	he only makes the film even more tv-movie-ish .	1	-1	 he[0] only[0] makes[0] the[0] film[0] even[0] more[0] tv[0] movie[0] ish[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
each consecutive " vacation " movie has suffered a drop in directing power . 	each consecutive " vacation " movie has suffered a drop in directing power .	1	-4	 each[0] consecutive[0] vacation[0] movie[0] has[0] suffered[-3] a[0] drop[-1] in[0] directing[0] power[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
we started the series off with harold ramis , who also directed caddyshack and groundhog day as well as co-writing ghostbusters . 	we started the series off with harold ramis , who also directed caddyshack and groundhog day as well as co-writing ghostbusters .	1	-1	 we[0] started[0] the[0] series[0] off[0] with[0] harold[0] ramis[0] who[0] also[0] directed[0] caddyshack[0] and[0] groundhog[0] day[0] as[0] well[0] as[0] co[0] writing[0] ghostbusters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not too bad . 	not too bad .	2	-1	 not[0] too[0] bad[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
then we had national lampoon's european vacation being directed by amy heckerling , who would go on to direct the hits look who's talking and clueless , as well as having already directed the infamous fast times at ridgemont high . 	then we had national lampoon's european vacation being directed by amy heckerling , who would go on to direct the hits look who's talking and clueless , as well as having already directed the infamous fast times at ridgemont high .	1	-2	 then[0] we[0] had[0] national[0] lampoon's[0] european[0] vacation[0] being[0] directed[0] by[0] amy[0] heckerling[0] who[0] would[0] go[0] on[0] to[0] direct[0] the[0] hits[0] look[0] who's[0] talking[0] and[0] clueless[0] as[0] well[0] as[0] having[0] already[0] directed[0] the[0] infamous[-1] fast[0] times[0] at[0] ridgemont[0] high[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lastly we had national lampoon's christmas vacation , directed by jeremiah s . chechik , who went on to direct the charming benny & joon . 	lastly we had national lampoon's christmas vacation , directed by jeremiah s .<br> chechik , who went on to direct the charming benny & joon .	2	-1	 lastly[0] we[0] had[0] national[0] lampoon's[0] christmas[0] vacation[0] directed[0] by[0] jeremiah[0] s[0] [[Sentence=-1,1=word max, 1-5]] chechik[0] who[0] went[0] on[0] to[0] direct[0] the[0] charming[1] benny[0] &[0] joon[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kessler , so far , has one title under his belt , the short film birch street gym , which received an oscar nomination in 1992 . 	kessler , so far , has one title under his belt , the short film birch street gym , which received an oscar nomination in 1992 .	1	-1	 kessler[0] so[0] far[0] has[0] one[0] title[0] under[0] his[0] belt[0] the[0] short[0] film[0] birch[0] street[0] gym[0] which[0] received[0] an[0] oscar[0] nomination[0] in[0] 1992[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
granted that this was his first attempt at a feature length film , we can allow for some amateurish quality , but instead we get a movie straight from the text book - boring , bland , and deeply unoriginal . 	granted that this was his first attempt at a feature length film , we can allow for some amateurish quality , but instead we get a movie straight from the text book - boring , bland , and deeply unoriginal .	1	-2	 granted[0] that[0] this[0] was[0] his[0] first[0] attempt[0] at[0] a[0] feature[0] length[0] film[0] we[0] can[0] allow[0] for[0] some[0] amateurish[0] quality[0] but[0] instead[0] we[0] get[0] a[0] movie[0] straight[0] from[0] the[0] text[0] book[0] boring[-1] bland[-1] and[0] deeply[0] unoriginal[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if you loved the " vacation " movies , and i know * some * of us did , there still isn't anything here worth seeing . 	if you loved the " vacation " movies , and i know * some * of us did , there still isn't anything here worth seeing .	4	-1	 if[0] you[0] loved[3] the[0] vacation[0] movies[0] and[0] i[0] know[0] some[0] of[0] us[0] did[0] there[0] still[0] isn't[0] anything[0] here[0] worth[0] seeing[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
if you loved them , don't ruin your good impressions of the series by indulging in this tragic example of cinema ala carte . 	if you loved them , don't ruin your good impressions of the series by indulging in this tragic example of cinema ala carte .	4	-3	 if[0] you[0] loved[3] them[0] don't[0] ruin[-1][NegatedDueToPreviousWord] your[0] good[1] impressions[0] of[0] the[0] series[0] by[0] indulging[0] in[0] this[0] tragic[-2] example[0] of[0] cinema[0] ala[0] carte[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
if you never did like the series , why the need to confirm why ? 	if you never did like the series , why the need to confirm why ?	1	-1	 if[0] you[0] never[0] did[0] like[1][-1 LastWordBoosterStrength] the[0] series[0] why[0] the[0] need[0] to[0] confirm[0] why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
