teenagers have a lot of power in hollywood . 	Translation	Positive	Negative	EmotionRationale
the two of them are both stricken with horror upon hearing the news of her first assignment , as they both deem her to be an office worker and not a reporter . 	the two of them are both stricken with horror upon hearing the news of her first assignment , as they both deem her to be an office worker and not a reporter .	1	-4	 the[0] two[0] of[0] them[0] are[0] both[0] stricken[-1] with[0] horror[-3] upon[0] hearing[0] the[0] news[0] of[0] her[0] first[0] assignment[0] as[0] they[0] both[0] deem[0] her[0] to[0] be[0] an[0] office[0] worker[0] and[0] not[0] a[0] reporter[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however , since this film is aimed at a teenage audience with little patience for character conflict , this otherwise interesting scenario is resolved within two minutes , and josie is headed for the field . 	however , since this film is aimed at a teenage audience with little patience for character conflict , this otherwise interesting scenario is resolved within two minutes , and josie is headed for the field .	2	-2	 however[0] since[0] this[0] film[0] is[0] aimed[0] at[0] a[0] teenage[0] audience[0] with[0] little[0] patience[0] for[0] character[0] conflict[-1] this[0] otherwise[0] interesting[1] scenario[0] is[0] resolved[1] within[0] two[0] minutes[0] and[0] josie[0] is[0] headed[0] for[0] the[0] field[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
obviously , the field assignment involves a high school . 	obviously , the field assignment involves a high school .	1	-1	 obviously[0] the[0] field[0] assignment[0] involves[0] a[0] high[0] school[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
specifically , she is to become an undercover reporter at a high school , by enrolling in the senior class and " becoming one of them . " 	specifically , she is to become an undercover reporter at a high school , by enrolling in the senior class and " becoming one of them .<br> "	1	-1	 specifically[0] she[0] is[0] to[0] become[0] an[0] undercover[0] reporter[0] at[0] a[0] high[0] school[0] by[0] enrolling[0] in[0] the[0] senior[0] class[0] and[0] becoming[0] one[0] of[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i don92t think that i   need to even begin to explain all the impossibilities of this situation ever occurring , so i won92t . 	i don92t think that i   need to even begin to explain all the impossibilities of this situation ever occurring , so i won92t .	1	-1	 i[0] don92t[0] think[0] that[0] i[0] need[0] to[0] even[0] begin[0] to[0] explain[0] all[0] the[0] impossibilities[0] of[0] this[0] situation[0] ever[0] occurring[0] so[0] i[0] won92t[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie develops into josie trying to find the life that she never led in high school . 	the movie develops into josie trying to find the life that she never led in high school .	1	-1	 the[0] movie[0] develops[0] into[0] josie[0] trying[0] to[0] find[0] the[0] life[0] that[0] she[0] never[0] led[0] in[0] high[0] school[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
interwoven flashback scenes show us just how much of a dork she truly was , and she appears to be heading down that road again . 	interwoven flashback scenes show us just how much of a dork she truly was , and she appears to be heading down that road again .	2	-3	 interwoven[0] flashback[0] scenes[0] show[0] us[0] just[0] how[0] much[0] of[0] a[0] dork[-2] she[0] truly[1] was[0] and[0] she[0] appears[0] to[0] be[0] heading[0] down[0] that[0] road[0] again[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
fortunately for this lame production , other characters do appear that make some of these high school scenes both humorous and remotely interesting . 	fortunately for this lame production , other characters do appear that make some of these high school scenes both humorous and remotely interesting .	3	-3	 fortunately[0] for[0] this[0] lame[-2] production[0] other[0] characters[0] do[0] appear[0] that[0] make[0] some[0] of[0] these[0] high[0] school[0] scenes[0] both[0] humorous[2] and[0] remotely[0] interesting[1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
they include the predictable love stories , between both a student ( jeremy jordan ) and a teacher ( michael vartan ) , to show that josie is really two people in one body . 	they include the predictable love stories , between both a student ( jeremy jordan ) and a teacher ( michael vartan ) , to show that josie is really two people in one body .	3	-1	 they[0] include[0] the[0] predictable[0] love[2] stories[0] between[0] both[0] a[0] student[0] jeremy[0] jordan[0] and[0] a[0] teacher[0] michael[0] vartan[0] to[0] show[0] that[0] josie[0] is[0] really[0] two[0] people[0] in[0] one[0] body[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
also , her younger brother and opposite , rob ( david arquette ) comes into her new found life and even causes a rare scene that is mildly provocative . 	also , her younger brother and opposite , rob ( david arquette ) comes into her new found life and even causes a rare scene that is mildly provocative .	1	-1	 also[0] her[0] younger[0] brother[0] and[0] opposite[0] rob[0] david[0] arquette[0] comes[0] into[0] her[0] new[0] found[0] life[0] and[0] even[0] causes[0] a[0] rare[0] scene[0] that[0] is[0] mildly[0] provocative[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the humor found in this film is actually quite amusing . 	the humor found in this film is actually quite amusing .	3	-1	 the[0] humor[2] found[0] in[0] this[0] film[0] is[0] actually[0] quite[0] amusing[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
typical for teenage films , it is chalk full of sexual innuendoes and condom humor . 	typical for teenage films , it is chalk full of sexual innuendoes and condom humor .	3	-1	 typical[0] for[0] teenage[0] films[0] it[0] is[0] chalk[0] full[0] of[0] sexual[0] innuendoes[0] and[0] condom[0] humor[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one scene in particular features a certain classroom activity involving bananas and latex that is absolutely hysterical . 	one scene in particular features a certain classroom activity involving bananas and latex that is absolutely hysterical .	1	-3	 one[0] scene[0] in[0] particular[0] features[0] a[0] certain[0] classroom[0] activity[0] involving[0] bananas[0] and[0] latex[0] that[0] is[0] absolutely[0] hysterical[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
most of the other jokes are straight forward high school humor that anyone who has ever been to high school can appreciate and will enjoy . 	most of the other jokes are straight forward high school humor that anyone who has ever been to high school can appreciate and will enjoy .	3	-1	 most[0] of[0] the[0] other[0] jokes[1] are[0] straight[0] forward[0] high[0] school[0] humor[2] that[0] anyone[0] who[0] has[0] ever[0] been[0] to[0] high[0] school[0] can[0] appreciate[1] and[0] will[0] enjoy[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but those still don92t   recover for the total lack of quality in this movie . 	but those still don92t   recover for the total lack of quality in this movie .	1	-3	 but[0] those[0] still[0] don92t[0] recover[0] for[0] the[0] total[0] lack[-1][-1 LastWordBoosterStrength] of[0] quality[0] in[0] this[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
following this trend of high school movie rules , comes the general acting . 	following this trend of high school movie rules , comes the general acting .	1	-1	 following[0] this[0] trend[0] of[0] high[0] school[0] movie[0] rules[0] comes[0] the[0] general[0] acting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is even worse than the trend of overplaying a scenario from film to film . 	it is even worse than the trend of overplaying a scenario from film to film .	1	-3	 it[0] is[0] even[0] worse[-2] than[0] the[0] trend[0] of[0] overplaying[0] a[0] scenario[0] from[0] film[0] to[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in this case , drew barrymore is absolutely painful to watch . 	in this case , drew barrymore is absolutely painful to watch .	1	-5	 in[0] this[0] case[0] drew[0] barrymore[0] is[0] absolutely[0] painful[-3][-1 LastWordBoosterStrength] to[0] watch[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
she is required to play her character on two levels , having some very black and white transitions . 	she is required to play her character on two levels , having some very black and white transitions .	1	-1	 she[0] is[0] required[0] to[0] play[0] her[0] character[0] on[0] two[0] levels[0] having[0] some[0] very[0] black[0] and[0] white[0] transitions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and although some scenes are written to be particular shades of gray , she seems to hold that color throughout all of her screen time . 	and although some scenes are written to be particular shades of gray , she seems to hold that color throughout all of her screen time .	1	-1	 and[0] although[0] some[0] scenes[0] are[0] written[0] to[0] be[0] particular[0] shades[0] of[0] gray[0] she[0] seems[0] to[0] hold[0] that[0] color[0] throughout[0] all[0] of[0] her[0] screen[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at one point she is alone with an obvious love interest on a ferris wheel , and is expected to him on an adult level , since he is one , her teacher . 	at one point she is alone with an obvious love interest on a ferris wheel , and is expected to him on an adult level , since he is one , her teacher .	3	-1	 at[0] one[0] point[0] she[0] is[0] alone[0] with[0] an[0] obvious[0] love[2] interest[1] on[0] a[0] ferris[0] wheel[0] and[0] is[0] expected[0] to[0] him[0] on[0] an[0] adult[0] level[0] since[0] he[0] is[0] one[0] her[0] teacher[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but she never seems to get out of the gray area , and in doing so she makes a mockery out of his otherwise good performance . 	but she never seems to get out of the gray area , and in doing so she makes a mockery out of his otherwise good performance .	2	-3	 but[0] she[0] never[0] seems[0] to[0] get[0] out[0] of[0] the[0] gray[0] area[0] and[0] in[0] doing[0] so[0] she[0] makes[0] a[0] mockery[-2] out[0] of[0] his[0] otherwise[0] good[1] performance[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
following barrymore is the pitiful molly shannon ( saturday night live ) . 	following barrymore is the pitiful molly shannon ( saturday night live ) .	1	-3	 following[0] barrymore[0] is[0] the[0] pitiful[-2] molly[0] shannon[0] saturday[0] night[0] live[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she seems to be limited to playing an ecstatic character that no one can relate to , and draws the attention of an audience as simply unrealistic . 	she seems to be limited to playing an ecstatic character that no one can relate to , and draws the attention of an audience as simply unrealistic .	4	-1	 she[0] seems[0] to[0] be[0] limited[0] to[0] playing[1] an[0] ecstatic[3] character[0] that[0] no[0] one[0] can[0] relate[0] to[0] and[0] draws[0] the[0] attention[0] of[0] an[0] audience[0] as[0] simply[0] unrealistic[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it is these " qualities " that prevent the aforementioned condom scene from being one of the few decent . 	it is these " qualities " that prevent the aforementioned condom scene from being one of the few decent .	1	-1	 it[0] is[0] these[0] qualities[0] that[0] prevent[0] the[0] aforementioned[0] condom[0] scene[0] from[0] being[0] one[0] of[0] the[0] few[0] decent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
luckily there is one great performance to emerge out of this otherwise bleak film . 	luckily there is one great performance to emerge out of this otherwise bleak film .	3	-2	 luckily[2] there[0] is[0] one[0] great[2] performance[0] to[0] emerge[0] out[0] of[0] this[0] otherwise[0] bleak[-1] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
david arquette ( scream ) takes home the prize for being able to stand out in an ensemble performance that is absolutely pathetic , and not have his brilliant acting ruined . 	david arquette ( scream ) takes home the prize for being able to stand out in an ensemble performance that is absolutely pathetic , and not have his brilliant acting ruined .	3	-4	 david[0] arquette[0] scream[-3] takes[0] home[0] the[0] prize[2] for[0] being[0] able[0] to[0] stand[0] out[0] in[0] an[0] ensemble[0] performance[0] that[0] is[0] absolutely[0] pathetic[-2][-1 LastWordBoosterStrength] and[0] not[0] have[0] his[0] brilliant[1] acting[0] ruined[-1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
and as a central character he gets to take on his own mini-plot , which is one of the few well done parts of never been kissed . 	and as a central character he gets to take on his own mini-plot , which is one of the few well done parts of never been kissed .	1	-3	 and[0] as[0] a[0] central[0] character[0] he[0] gets[0] to[0] take[0] on[0] his[0] own[0] mini[0] plot[0] which[0] is[0] one[0] of[0] the[0] few[0] well[0] done[0] parts[0] of[0] never[0] been[0] kissed[2][NegatedDueToPreviousWord] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in a dazzling cherry-on-the-sundae type piece of work , he does an absolutely hilarious tom cruise impression from the 1983 hit , risky business . 	in a dazling cherry-on-the-sundae type piece of work , he does an absolutely hilarious tom cruise impression from the 1983 hit , risky business .	4	-2	 in[0] a[0] dazzling/dazling[0] cherry[0] on[0] the[0] sundae[0] type[0] piece[0] of[0] work[0] he[0] does[0] an[0] absolutely[0] hilarious[2][1 LastWordBoosterStrength] tom[0] cruise[0] impression[0] from[0] the[0] 1983[0] hit[0] risky[-1] business[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
never been kissed is a mediocre film at best . 	never been kissed is a mediocre film at best .	2	-3	 never[0] been[0] kissed[2][NegatedDueToPreviousWord] is[0] a[0] mediocre[-1] film[0] at[0] best[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the predictable plot has become so overplayed in hollywood , that it is sickening to watch time and again , and this film is no exception . 	the predictable plot has become so overplayed in hollywood , that it is sickening to watch time and again , and this film is no exception .	1	-4	 the[0] predictable[0] plot[0] has[0] become[0] so[0] overplayed[0] in[0] hollywood[0] that[0] it[0] is[0] sickening[-3] to[0] watch[0] time[0] and[0] again[0] and[0] this[0] film[0] is[0] no[0] exception[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the acting is just as bad , but there is the one positive presence of david arquette to add some light . 	the acting is just as bad , but there is the one positive presence of david arquette to add some light .	3	-2	 the[0] acting[0] is[0] just[0] as[0] bad[-1] but[0] there[0] is[0] the[0] one[0] positive[2] presence[0] of[0] david[0] arquette[0] to[0] add[0] some[0] light[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
unfortunately , the bottom line is that the movie will be a success , because teenagers will pay to see any trash . 	unfortunately , the bottom line is that the movie will be a success , because teenagers will pay to see any trash .	3	-2	 unfortunately[-1] the[0] bottom[0] line[0] is[0] that[0] the[0] movie[0] will[0] be[0] a[0] success[2] because[0] teenagers[0] will[0] pay[0] to[0] see[0] any[0] trash[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
