two party guys bob their heads to haddaway's dance hit " what is love ? " 	Translation	Positive	Negative	EmotionRationale
there is no story per se , only a loosely structured and linked series of subplots . 	there is no story per se , only a loosely structured and linked series of subplots .	1	-1	 there[0] is[0] no[0] story[0] per[0] se[0] only[0] a[0] loosely[0] structured[0] and[0] linked[0] series[0] of[0] subplots[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the brothers literally run into ( or , rather , get run into , as in by car ) richard grieco of _21_jump_street_ fame , and through him they gain entrance into the exclusive roxbury club . 	the brothers literally run into ( or , rather , get run into , as in by car ) richard grieco of _21_jump_street_ fame , and through him they gain entrance into the exclusive roxbury club .	1	-1	 the[0] brothers[0] literally[0] run[0] into[0] or[0] rather[0] get[0] run[0] into[0] as[0] in[0] by[0] car[0] richard[0] grieco[0] of[0] _21_jump_street_[0] fame[0] and[0] through[0] him[0] they[0] gain[0] entrance[0] into[0] the[0] exclusive[0] roxbury[0] club[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there , they meet a hotshot club owner ( chazz palminteri , conspicuously uncredited--can you blame him ? ) , who takes an interest in an idea of theirs . 	there , they meet a hotshot club owner ( chaz palminteri , conspicuously uncredited-can you blame him ?<br> ) , who takes an interest in an idea of theirs .	2	-2	 there[0] they[0] meet[0] a[0] hotshot[0] club[0] owner[0] chazz/chaz[0] palminteri[0] conspicuously[0] uncredited[0] can[0] you[0] blame[-1] him[0] [[Sentence=-2,1=word max, 1-5]] who[0] takes[0] an[0] interest[1] in[0] an[0] idea[0] of[0] theirs[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
meanwhile , the bros' overbearing father ( dan hedaya ) wants them to stop clubbing . 	meanwhile , the bros' overbearing father ( dan hedaya ) wants them to stop clubbing .	1	-2	 meanwhile[0] the[0] bros'[0] overbearing[-1] father[0] dan[0] hedaya[0] wants[0] them[0] to[0] stop[0] clubbing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when doug refuses and the dimwitted steve obeys his father , a rift is created between the two . 	when doug refuses and the dimwitted steve obeys his father , a rift is created between the two .	1	-2	 when[0] doug[0] refuses[-1] and[0] the[0] dimwitted[-1] steve[0] obeys[0] his[0] father[0] a[0] rift[0] is[0] created[0] between[0] the[0] two[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the narrative messiness of _roxbury_ would have been forgivable if all that went on were the slightest bit funny , but virtually none of it is . 	the narrative messiness of _roxbury_ would have been forgivable if all that went on were the slightest bit funny , but virtually none of it is .	2	-1	 the[0] narrative[0] messiness[0] of[0] _roxbury_[0] would[0] have[0] been[0] forgivable[1] if[0] all[0] that[0] went[0] on[0] were[0] the[0] slightest[0] bit[0] funny[1] but[0] virtually[0] none[0] of[0] it[0] is[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the assembled press audience mostly sat stonily silent throughout the entire film , with the one big exception being a big laugh near the end . 	the assembled press audience mostly sat stonily silent throughout the entire film , with the one big exception being a big laugh near the end .	2	-1	 the[0] assembled[0] press[0] audience[0] mostly[0] sat[0] stonily[0] silent[0] throughout[0] the[0] entire[0] film[0] with[0] the[0] one[0] big[0] exception[0] being[0] a[0] big[0] laugh[1] near[0] the[0] end[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
alas , the joke--a rather lazy takeoff on _jerry_maguire_--will only strike a chord with people who have seen that film . 	alas , the joke-a rather lazy takeoff on _jerry_maguire_-will only strike a chord with people who have seen that film .	2	-2	 alas[-1] the[0] joke[1] a[0] rather[0] lazy[-1] takeoff[0] on[0] _jerry_maguire_[0] will[0] only[0] strike[-1] a[0] chord[0] with[0] people[0] who[0] have[0] seen[0] that[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
granted , a lot of people _have_ seen _jerry_maguire_ , but the fact that the film's best joke is completely dependent on one's familiarity with another film says a lot about _roxbury_'s lack of inspiration . 	granted , a lot of people _have_ seen _jerry_maguire_ , but the fact that the film's best joke is completely dependent on one's familiarity with another film says a lot about _roxbury_'s lack of inspiration .	3	-3	 granted[0] a[0] lot[0] of[0] people[0] _have_[0] seen[0] _jerry_maguire_[0] but[0] the[0] fact[0] that[0] the[0] film's[0] best[1] joke[1] is[0] completely[0] dependent[-1][-1 LastWordBoosterStrength] on[0] one's[0] familiarity[0] with[0] another[0] film[0] says[0] a[0] lot[0] about[0] _roxbury_'s[0] lack[-1] of[0] inspiration[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
that lack of inspiration can be traced back to the insipid characters themselves . 	that lack of inspiration can be traced back to the insipid characters themselves .	3	-2	 that[0] lack[-1] of[0] inspiration[2] can[0] be[0] traced[0] back[0] to[0] the[0] insipid[0] characters[0] themselves[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
like too many of the skits on the current incarnation of _saturday_night_live_ , " the roxbury guys " is a one-joke sketch that never once suggests that the characters have enough comic life in them to survive outside of the sketch context . 	like too many of the skits on the current incarnation of _saturday_night_live_ , " the roxbury guys " is a one-joke sketch that never once suggests that the characters have enough comic life in them to survive outside of the sketch context .	2	-1	 like[1] too[0] many[0] of[0] the[0] skits[0] on[0] the[0] current[0] incarnation[0] of[0] _saturday_night_live_[0] the[0] roxbury[0] guys[0] is[0] a[0] one[0] joke[1] sketch[0] that[0] never[0] once[0] suggests[0] that[0] the[0] characters[0] have[0] enough[0] comic[0] life[0] in[0] them[0] to[0] survive[0] outside[0] of[0] the[0] sketch[0] context[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after watching one of the " roxbury " skits on snl , this is what you come away with from the characters : they bob their heads to " what is love ? " , 	after watching one of the " roxbury " skits on snl , this is what you come away with from the characters : they bob their heads to " what is love ?<br> " ,	3	-1	 after[0] watching[0] one[0] of[0] the[0] roxbury[0] skits[0] on[0] snl[0] this[0] is[0] what[0] you[0] come[0] away[0] with[0] from[0] the[0] characters[0] they[0] bob[0] their[0] heads[0] to[0] what[0] is[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
bump unsuspecting women , and . . . that's all . 	bump unsuspecting women , and .<br> .<br> .<br> that's all .	1	-1	 bump[0] unsuspecting[0] women[0] and[0] [[Sentence=-1,1=word max, 1-5]] that's[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after watching _a_night_at_the_roxbury_ , you'll be left with exactly the same . 	after watching _a_night_at_the_roxbury_ , you'll be left with exactly the same .	1	-1	 after[0] watching[0] _a_night_at_the_roxbury_[0] you'll[0] be[0] left[0] with[0] exactly[0] the[0] same[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
