i can see a decent sports movie struggling to break free of oliver stone's `any given sunday' . 	Translation	Positive	Negative	EmotionRationale
there is some intriguing insight posed , but in the big scheme of things , stone fumbles the ball . 	there is some intriguing insight posed , but in the big scheme of things , stone fumbles the ball .	1	-2	 there[0] is[0] some[0] intriguing[0] insight[0] posed[0] but[0] in[0] the[0] big[0] scheme[0] of[0] things[0] stone[0] fumbles[-1] the[0] ball[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the problem with the director's visual approach is this : he uses extravagant editing devices when a more conventional approach would have been appropriate . 	the problem with the director's visual approach is this : he uses extravagant editing devices when a more conventional approach would have been appropriate .	1	-2	 the[0] problem[-1] with[0] the[0] director's[0] visual[0] approach[0] is[0] this[0] he[0] uses[0] extravagant[-1] editing[0] devices[0] when[0] a[0] more[0] conventional[0] approach[0] would[0] have[0] been[0] appropriate[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
football is an exciting game to watch , but stone seems to think dizzying the audience with an assault on the senses will only add to the adrenaline rush . 	football is an exciting game to watch , but stone seems to think dizying the audience with an assault on the senses will only add to the adrenaline rush .	3	-3	 football[0] is[0] an[0] exciting[2] game[0] to[0] watch[0] but[0] stone[0] seems[0] to[0] think[0] dizzying/dizying[0] the[0] audience[0] with[0] an[0] assault[-2] on[0] the[0] senses[0] will[0] only[0] add[0] to[0] the[0] adrenaline[0] rush[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i guess he is mistaken . 	i guess he is mistaken .	1	-2	 i[0] guess[0] he[0] is[0] mistaken[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 any given sunday' is a visual kaleidoscope that leaves the audience in a frustrated stupor more frequently than it excites them . 	 any given sunday' is a visual kaleidoscope that leaves the audience in a frustrated stupor more frequently than it excites them .	3	-3	 any[0] given[0] sunday'[0] is[0] a[0] visual[0] kaleidoscope[0] that[0] leaves[0] the[0] audience[0] in[0] a[0] frustrated[-2] stupor[-1] more[0] frequently[0] than[0] it[0] excites[2] them[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
many football fans ( including one i attended with ) are liable to be disappointed with the  ultra-stylish' way stone has decided to present the game . 	many football fans ( including one i attended with ) are liable to be disappointed with the  ultra-stylish' way stone has decided to present the game .	1	-2	 many[0] football[0] fans[0] including[0] one[0] i[0] attended[0] with[0] are[0] liable[-1] to[0] be[0] disappointed[-1] with[0] the[0] ultra[0] stylish'[0] way[0] stone[0] has[0] decided[0] to[0] present[0] the[0] game[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in return , a three-star film becomes unfortunately degraded due to the director's tampering . 	in return , a three-star film becomes unfortunately degraded due to the director's tampering .	1	-3	 in[0] return[0] a[0] three[0] star[0] film[0] becomes[0] unfortunately[-1] degraded[-2] due[0] to[0] the[0] director's[0] tampering[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in welcome scenes when the visual pummeling comes to a break , this actually shows decent character development and interaction . 	in welcome scenes when the visual pummeling comes to a break , this actually shows decent character development and interaction .	2	-1	 in[0] welcome[1] scenes[0] when[0] the[0] visual[0] pummeling[0] comes[0] to[0] a[0] break[0] this[0] actually[0] shows[0] decent[0] character[0] development[0] and[0] interaction[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for instance , heated returns between d'amato and feisty young owner christina pagniacci ( cameron diaz ) are enjoyable to watch . 	for instance , heated returns between d'amato and feisty young owner christina pagniacci ( cameron diaz ) are enjoyable to watch .	3	-1	 for[0] instance[0] heated[0] returns[0] between[0] d'amato[0] and[0] feisty[0] young[0] owner[0] christina[0] pagniacci[0] cameron[0] diaz[0] are[0] enjoyable[2] to[0] watch[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there is also a solid performance from jamie foxx , who experiments with great success in his first trek into dramatic territory . 	there is also a solid performance from jamie fox , who experiments with great success in his first trek into dramatic territory .	4	-1	 there[0] is[0] also[0] a[0] solid[0] performance[0] from[0] jamie[0] foxx/fox[0] who[0] experiments[0] with[0] great[2] success[2][+1 MultiplePositiveWords] in[0] his[0] first[0] trek[0] into[0] dramatic[0] territory[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the stellar supporting cast includes matthew modine , aaron eckhart , lauren holly , ann-margret and charlton heston ( in an extraordinarily brief appearance ) . 	the stellar supporting cast includes matthew modine , aron eckhart , lauren holly , an-margret and charlton heston ( in an extraordinarily brief appearance ) .	2	-1	 the[0] stellar[0] supporting[1] cast[0] includes[0] matthew[0] modine[0] aaron/aron[0] eckhart[0] lauren[0] holly[0] ann/an[0] margret[0] and[0] charlton[0] heston[0] in[0] an[0] extraordinarily[0] brief[0] appearance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately , too many big names are wasted - a typical demise for a film with such a large and experienced cast . 	unfortunately , too many big names are wasted - a typical demise for a film with such a large and experienced cast .	1	-2	 unfortunately[-1] too[0] many[0] big[0] names[0] are[0] wasted[-1] a[0] typical[0] demise[-1] for[0] a[0] film[0] with[0] such[0] a[0] large[0] and[0] experienced[0] cast[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
pacino makes some interesting progress with his character . 	pacino makes some interesting progress with his character .	1	-1	 pacino[0] makes[0] some[0] interesting[1][-1 LastWordBoosterStrength] progress[0] with[0] his[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you begin to identify with coach d'amato and the morals he is striving for . . . . 	you begin to identify with coach d'amato and the morals he is striving for .<br> .<br> .<br> .	1	-1	 you[0] begin[0] to[0] identify[0] with[0] coach[0] d'amato[0] and[0] the[0] morals[0] he[0] is[0] striving[0] for[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but i often felt he was just another play thing stone could weave in and out of his editing dynamics . 	but i often felt he was just another play thing stone could weave in and out of his editing dynamics .	2	-1	 but[0] i[0] often[0] felt[0] he[0] was[0] just[0] another[0] play[0] thing[0] stone[0] could[0] weave[0] in[0] and[0] out[0] of[0] his[0] editing[0] dynamics[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 any given sunday' is a watchable but disappointing sports film in which plot and characters take a back seat to excessive filmmaking technique . 	 any given sunday' is a watchable but disappointing sports film in which plot and characters take a back seat to excessive filmmaking technique .	1	-2	 any[0] given[0] sunday'[0] is[0] a[0] watchable[0] but[0] disappointing[-1] sports[0] film[0] in[0] which[0] plot[0] and[0] characters[0] take[0] a[0] back[0] seat[0] to[0] excessive[-1] filmmaking[0] technique[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and a very distant back seat , at that . 	and a very distant back seat , at that .	1	-1	 and[0] a[0] very[0] distant[0] back[0] seat[0] at[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
