preposterous religious action film ( produced by the trinity broadcasting network ) about a code hidden within the text of the bible that when deciphered will lead to the end of the world ( nice of those bible authors to put a doomsday code into the most read book ever eh ? ) . 	Translation	Positive	Negative	EmotionRationale
my main problem with this film is that , despite the silly story ( which could have been pulled off . . . 	my main problem with this film is that , despite the silly story ( which could have been pulled off .<br> .<br> .	1	-2	 my[0] main[0] problem[-1] with[0] this[0] film[0] is[0] that[0] despite[0] the[0] silly[-1] story[0] which[0] could[0] have[0] been[0] pulled[0] off[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
anything can be made believable if executed correctly ) , the events of the film aren't shown with any sense of urgency or importance . 	anything can be made believable if executed correctly ) , the events of the film aren't shown with any sense of urgency or importance .	1	-2	 anything[0] can[0] be[0] made[0] believable[0] if[0] executed[-1] correctly[0] the[0] events[0] of[0] the[0] film[0] aren't[0] shown[0] with[0] any[0] sense[0] of[0] urgency[0] or[0] importance[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for example , at one point york's character is declared chancellor of the world or something , and we see one brief , cheesy news report about it . 	for example , at one point york's character is declared chancellor of the world or something , and we see one brief , cheesy news report about it .	1	-1	 for[0] example[0] at[0] one[0] point[0] york's[0] character[0] is[0] declared[0] chancellor[0] of[0] the[0] world[0] or[0] something[0] and[0] we[0] see[0] one[0] brief[0] cheesy[0] news[0] report[0] about[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie keeps telling us that the apocalypse is coming , but it never seems that way . 	the movie keeps telling us that the apocalypse is coming , but it never seems that way .	1	-1	 the[0] movie[0] keeps[0] telling[0] us[0] that[0] the[0] apocalypse[0] is[0] coming[0] but[0] it[0] never[0] seems[0] that[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's no " world reaction " to anything . 	there's no " world reaction " to anything .	1	-1	 there's[0] no[0] world[0] reaction[0] to[0] anything[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the omega code is available on dvd from goodtimes home video . 	the omega code is available on dvd from goodtimes home video .	1	-1	 the[0] omega[0] code[0] is[0] available[0] on[0] dvd[0] from[0] goodtimes[0] home[0] video[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it contains the film in the original theatrical aspect ratio of 1 . 85 : 1 , and includes the original theatrical trailer , a documentary on the making of the film , production notes , and cast and crew information . 	it contains the film in the original theatrical aspect ratio of 1 .<br> 85 : 1 , and includes the original theatrical trailer , a documentary on the making of the film , production notes , and cast and crew information .	1	-1	 it[0] contains[0] the[0] film[0] in[0] the[0] original[0] theatrical[0] aspect[0] ratio[0] of[0] 1[0] [[Sentence=-1,1=word max, 1-5]] 85[0] 1[0] and[0] includes[0] the[0] original[0] theatrical[0] trailer[0] a[0] documentary[0] on[0] the[0] making[0] of[0] the[0] film[0] production[0] notes[0] and[0] cast[0] and[0] crew[0] information[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the documentary runs about 25 minutes and is actually surprisingly good ( it looks as though it was made for broadcast on tbn ) , and it does a comprehensive job of interviewing practically everyone in the cast and crew ( with the exception of michael ironside , unfortunately ) . 	the documentary runs about 25 minutes and is actually surprisingly good ( it looks as though it was made for broadcast on tbn ) , and it does a comprehensive job of interviewing practically everyone in the cast and crew ( with the exception of michael ironside , unfortunately ) .	2	-2	 the[0] documentary[0] runs[0] about[0] 25[0] minutes[0] and[0] is[0] actually[0] surprisingly[0] good[1] it[0] looks[0] as[0] though[0] it[0] was[0] made[0] for[0] broadcast[0] on[0] tbn[0] and[0] it[0] does[0] a[0] comprehensive[0] job[0] of[0] interviewing[0] practically[0] everyone[0] in[0] the[0] cast[0] and[0] crew[0] with[0] the[0] exception[0] of[0] michael[0] ironside[0] unfortunately[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the best thing about it is that whenever crew members are interviewed , they do an excellent job of explaining their profession and exactly what it is they do on a movie set . 	the best thing about it is that whenever crew members are interviewed , they do an excellent job of explaining their profession and exactly what it is they do on a movie set .	4	-1	 the[0] best[1] thing[0] about[0] it[0] is[0] that[0] whenever[0] crew[0] members[0] are[0] interviewed[0] they[0] do[0] an[0] excellent[3] job[0] of[0] explaining[0] their[0] profession[0] and[0] exactly[0] what[0] it[0] is[0] they[0] do[0] on[0] a[0] movie[0] set[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
most documentaries tend to overlook this . 	most documentaries tend to overlook this .	1	-2	 most[0] documentaries[0] tend[0] to[0] overlook[-1] this[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
doomsday expert hal lindsey is even interviewed ( you'll remember his documentary from the 1970's called the late great planet earth , where lindsey speculated that jimmy carter might actually be the antichrist ) . 	doomsday expert hal lindsey is even interviewed ( you'll remember his documentary from the 1970's called the late great planet earth , where lindsey speculated that jimmy carter might actually be the antichrist ) .	3	-2	 doomsday[-1] expert[0] hal[0] lindsey[0] is[0] even[0] interviewed[0] you'll[0] remember[0] his[0] documentary[0] from[0] the[0] 1970's[0] called[0] the[0] late[0] great[2] planet[0] earth[0] where[0] lindsey[0] speculated[0] that[0] jimmy[0] carter[0] might[0] actually[0] be[0] the[0] antichrist[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
however , at the very beginning of the documentary the producers of the film managed to get on my bad side . 	however , at the very beginning of the documentary the producers of the film managed to get on my bad side .	1	-2	 however[0] at[0] the[0] very[0] beginning[0] of[0] the[0] documentary[0] the[0] producers[0] of[0] the[0] film[0] managed[0] to[0] get[0] on[0] my[0] bad[-1] side[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when interviewed they actually have the nerve to say " ever see raiders of the lost ark ? 	when interviewed they actually have the nerve to say " ever see raiders of the lost ark ?	1	-1	 when[0] interviewed[0] they[0] actually[0] have[0] the[0] nerve[0] to[0] say[0] ever[0] see[0] raiders[0] of[0] the[0] lost[0] ark[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , our film is like that ! " 	well , our film is like that !<br> "	2	-1	 well[0] our[0] film[0] is[0] like[1] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
no it isn't . 	no it isn't .	1	-1	 no[0] it[0] isn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not by a long shot . 	not by a long shot .	1	-2	 not[0] by[0] a[0] long[0] shot[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
[pg-13] 	[pg-13]	1	-1	 [pg[0] -13][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
