there are scenes in " the big hit " that are so awful , they simply defy description . 	Translation	Positive	Negative	EmotionRationale
along the way , there are several obligatory gunfights , explosions , and car chases , plus a literal cliffhanger inspired by " jurassic park , " and a completely unconvincing romance between melvin and keiko ( who looks like she's barely pushing fifteen ) . 	along the way , there are several obligatory gunfights , explosions , and car chases , plus a literal cliffhanger inspired by " jurassic park , " and a completely unconvincing romance between melvin and keiko ( who looks like she's barely pushing fifteen ) .	4	-2	 along[0] the[0] way[0] there[0] are[0] several[0] obligatory[0] gunfights[-1] explosions[-1] and[0] car[0] chases[-1] plus[0] a[0] literal[0] cliffhanger[0] inspired[2] by[0] jurassic[0] park[0] and[0] a[0] completely[0] unconvincing[0] romance[3] between[0] melvin[0] and[0] keiko[0] who[0] looks[0] like[1] she's[0] barely[0] pushing[0] fifteen[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
what the movie passes off as humor resorts to thoroughly unfunny jokes about overweight jewish mothers , hara-kiri , drinking problems , leaking body bags , and a running gag about how crunch has recently discovered the pleasures of masturbation , and now spends all his time doing hand exercises . 	what the movie passes off as humor resorts to thoroughly unfunny jokes about overweight jewish mothers , hara-kiri , drinking problems , leaking body bags , and a running gag about how crunch has recently discovered the pleasures of masturbation , and now spends all his time doing hand exercises .	3	-2	 what[0] the[0] movie[0] passes[0] off[0] as[0] humor[2] resorts[0] to[0] thoroughly[0] unfunny[0] jokes[1] about[0] overweight[-1] jewish[0] mothers[0] hara[0] kiri[0] drinking[0] problems[-1] leaking[-1] body[0] bags[0] and[0] a[0] running[0] gag[0] about[0] how[0] crunch[0] has[0] recently[0] discovered[0] the[0] pleasures[2] of[0] masturbation[0] and[0] now[0] spends[0] all[0] his[0] time[0] doing[0] hand[0] exercises[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
not to mention the pimply video store clerk who is always calling melvin and screeching about how he needs to return his copy of " king kong lives , " which is two weeks overdue . 	not to mention the pimply video store clerk who is always calling melvin and screeching about how he needs to return his copy of " king kong lives , " which is two weeks overdue .	1	-1	 not[0] to[0] mention[0] the[0] pimply[0] video[0] store[0] clerk[0] who[0] is[0] always[0] calling[0] melvin[0] and[0] screeching[0] about[0] how[0] he[0] needs[0] to[0] return[0] his[0] copy[0] of[0] king[0] kong[0] lives[0] which[0] is[0] two[0] weeks[0] overdue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this mess of a movie was helmed by che-kirk wong , the latest hong kong director imported by john woo ( " face/off " ) , who also served as executive producer . 	this mess of a movie was helmed by che-kirk wong , the latest hong kong director imported by john woo ( " face/off " ) , who also served as executive producer .	1	-1	 this[0] mess[0] of[0] a[0] movie[0] was[0] helmed[0] by[0] che[0] kirk[0] wong[0] the[0] latest[0] hong[0] kong[0] director[0] imported[0] by[0] john[0] woo[0] face/off[0] who[0] also[0] served[0] as[0] executive[0] producer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
woo needs to stop acting as a conduit for other directors , and start making more of his own films . 	woo needs to stop acting as a conduit for other directors , and start making more of his own films .	1	-1	 woo[0] needs[0] to[0] stop[0] acting[0] as[0] a[0] conduit[0] for[0] other[0] directors[0] and[0] start[0] making[0] more[0] of[0] his[0] own[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wong , who directed such films as " rock'n'roll cop " back in hong kong , is completely tone deaf when it comes to comedy . 	wong , who directed such films as " rock'n'roll cop " back in hong kong , is completely tone deaf when it comes to comedy .	1	-2	 wong[0] who[0] directed[0] such[0] films[0] as[0] rock'n'roll[0] cop[0] back[0] in[0] hong[0] kong[0] is[0] completely[0] tone[0] deaf[-1] when[0] it[0] comes[0] to[0] comedy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
maybe jokes about vexatious video clerks and vomiting on other people are funny across the ocean , but they're not here , at least in the manner wong handles them . 	maybe jokes about vexatious video clerks and vomiting on other people are funny across the ocean , but they're not here , at least in the manner wong handles them .	2	-3	 maybe[0] jokes[1] about[0] vexatious[-2] video[0] clerks[0] and[0] vomiting[-2] on[0] other[0] people[0] are[0] funny[1] across[0] the[0] ocean[0] but[0] they're[0] not[0] here[0] at[0] least[0] in[0] the[0] manner[0] wong[0] handles[0] them[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
many of the problems can be traced back to the script , which was penned by obvious freshman writer ben ramsey . 	many of the problems can be traced back to the script , which was penned by obvious freshman writer ben ramsey .	1	-2	 many[0] of[0] the[0] problems[-1] can[0] be[0] traced[0] back[0] to[0] the[0] script[0] which[0] was[0] penned[0] by[0] obvious[0] freshman[0] writer[0] ben[0] ramsey[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in addition to his vague characterizations and uninspired action sequences , ramsey's script assaults the audience with his attempts to copy the vulgar , poetic rhythms of tarantino or mamet-style dialogue . 	in addition to his vague characterizations and uninspired action sequences , ramsey's script assaults the audience with his attempts to copy the vulgar , poetic rhythms of tarantino or mamet-style dialogue .	1	-3	 in[0] addition[0] to[0] his[0] vague[-1] characterizations[0] and[0] uninspired[0] action[0] sequences[0] ramsey's[0] script[0] assaults[-2] the[0] audience[0] with[0] his[0] attempts[0] to[0] copy[0] the[0] vulgar[-1] poetic[0] rhythms[0] of[0] tarantino[0] or[0] mamet[0] style[0] dialogue[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what he comes out with is just a lot of annoying blather , most of which spews from the lips of lou diamond phillips ( whose favorite phrase is " it's all love " ) and robin dunne , who plays cisco's stuttering , black-wannabe assistant . 	what he comes out with is just a lot of annoying blather , most of which spews from the lips of lou diamond phillips ( whose favorite phrase is " it's all love " ) and robin dune , who plays cisco's stuttering , black-wannabe assistant .	3	-3	 what[0] he[0] comes[0] out[0] with[0] is[0] just[0] a[0] lot[0] of[0] annoying[-2] blather[-1] most[0] of[0] which[0] spews[-1] from[0] the[0] lips[0] of[0] lou[0] diamond[0] phillips[0] whose[0] favorite[1] phrase[0] is[0] it's[0] all[0] love[2] and[0] robin[0] dunne/dune[0] who[0] plays[1] cisco's[0] stuttering[-1] black[0] wannabe[0] assistant[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the irritation factor of phillips and dunne combined is almost off the scale , which can pretty much describe the film as a whole . 	the irritation factor of phillips and dune combined is almost off the scale , which can pretty much describe the film as a whole .	3	-3	 the[0] irritation[-2] factor[0] of[0] phillips[0] and[0] dunne/dune[0] combined[0] is[0] almost[0] off[0] the[0] scale[0] which[0] can[0] pretty[2] much[0] describe[0] the[0] film[0] as[0] a[0] whole[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
