adam sandler vehicles are never anything special , but continue to make a load of money . 	Translation	Positive	Negative	EmotionRationale
big daddy really isn't that good . 	big daddy really isn't that good .	1	-2	 big[0] daddy[0] really[0] isn't[0] that[0] good[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
many of the jokes revolve around toilet humour , and supposedly we are meant to find julian and sonny peeing against a wall to be funny . 	many of the jokes revolve around toilet humour , and supposedly we are meant to find julian and sonny peeing against a wall to be funny .	3	-2	 many[0] of[0] the[0] jokes[1] revolve[0] around[0] toilet[0] humour[2] and[0] supposedly[0] we[0] are[0] meant[0] to[0] find[0] julian[0] and[0] sonny[0] peeing[0] against[-1] a[0] wall[0] to[0] be[0] funny[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there's the occasional good one liner , but these are usually strangely delivered wrong and lose most of the humour . 	there's the occasional good one liner , but these are usually strangely delivered wrong and lose most of the humour .	3	-2	 there's[0] the[0] occasional[0] good[1] one[0] liner[0] but[0] these[0] are[0] usually[0] strangely[0] delivered[0] wrong[-1] and[0] lose[-1] most[0] of[0] the[0] humour[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film , after all these silly gags , then suddenly turns sentimental , and this is where big daddy really goes from bad to hideous . 	the film , after all these silly gags , then suddenly turns sentimental , and this is where big daddy really goes from bad to hideous .	3	-2	 the[0] film[0] after[0] all[0] these[0] silly[-1] gags[0] then[0] suddenly[0] turns[0] sentimental[2] and[0] this[0] is[0] where[0] big[0] daddy[0] really[0] goes[0] from[0] bad[-1] to[0] hideous[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the court scene at the end of the film is useless and unbelievable , and not helped by the soppy overacting . 	the court scene at the end of the film is useless and unbelievable , and not helped by the soppy overacting .	1	-3	 the[0] court[0] scene[0] at[0] the[0] end[0] of[0] the[0] film[0] is[0] useless[-2] and[0] unbelievable[-1] and[0] not[0] helped[0] by[0] the[0] soppy[0] overacting[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's a poor attempt to win over the audience . 	it's a poor attempt to win over the audience .	1	-2	 it's[0] a[0] poor[-1] attempt[0] to[0] win[0] over[0] the[0] audience[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
adam sandler basically plays the same role he has in his last few films ( except the wedding singer . ) 	adam sandler basically plays the same role he has in his last few films ( except the wedding singer .<br> )	2	-1	 adam[0] sandler[0] basically[0] plays[1] the[0] same[0] role[0] he[0] has[0] in[0] his[0] last[0] few[0] films[0] except[0] the[0] wedding[0] singer[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
joey lauren adams is much , much better , and deserves a far better film than this trash . 	joey lauren adams is much , much better , and deserves a far better film than this trash .	1	-2	 joey[0] lauren[0] adams[0] is[0] much[0] much[0] better[0] and[0] deserves[0] a[0] far[0] better[0] film[0] than[0] this[0] trash[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
steve buscemi pops up in a funny cameo , and his scenes are pretty funny . 	steve buscemi pops up in a funny cameo , and his scenes are pretty funny .	3	-1	 steve[0] buscemi[0] pops[0] up[0] in[0] a[0] funny[1] cameo[0] and[0] his[0] scenes[0] are[0] pretty[2] funny[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
rob schneider is also funny as a crazy delivery man . 	rob schneider is also funny as a crazy delivery man .	2	-2	 rob[0] schneider[0] is[0] also[0] funny[1] as[0] a[0] crazy[-1] delivery[0] man[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the two twins who play julian are o . k , they start out rather well , but then becoming annoying and brattish halfway through and finally turn 'all american' wholesome goodness at the end of the film , where the tear juice is turned up high . 	the two twins who play julian are o .<br> k , they start out rather well , but then becoming annoying and brattish halfway through and finally turn 'all american' wholesome goodness at the end of the film , where the tear juice is turned up high .	3	-3	 the[0] two[0] twins[0] who[0] play[0] julian[0] are[0] o[0] [[Sentence=-1,1=word max, 1-5]] k[0] they[0] start[0] out[0] rather[0] well[0] but[0] then[0] becoming[0] annoying[-2] and[0] brattish[0] halfway[0] through[0] and[0] finally[0] turn[0] 'all[0] american'[0] wholesome[0] goodness[2] at[0] the[0] end[0] of[0] the[0] film[0] where[0] the[0] tear[-1] juice[0] is[0] turned[0] up[0] high[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
big daddy is really nothing special , and is not even worth it for a few chuckles . 	big daddy is really nothing special , and is not even worth it for a few chuckles .	3	-1	 big[0] daddy[0] is[0] really[0] nothing[0] special[1] and[0] is[0] not[0] even[0] worth[0] it[0] for[0] a[0] few[0] chuckles[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although it is actually well put together , with nice direction , good production design and even some montages , this professionalism can't help the fact that the script and characters are trash . 	although it is actually well put together , with nice direction , good production design and even some montages , this professionalism can't help the fact that the script and characters are trash .	2	-2	 although[0] it[0] is[0] actually[0] well[0] put[0] together[0] with[0] nice[1] direction[0] good[1] production[0] design[0] and[0] even[0] some[0] montages[0] this[0] professionalism[0] can't[0] help[0] the[0] fact[0] that[0] the[0] script[0] and[0] characters[0] are[0] trash[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
big daddy is for die hard fans of sandler , and that's about it . 	big daddy is for die hard fans of sandler , and that's about it .	1	-1	 big[0] daddy[0] is[0] for[0] die[0] hard[0] fans[0] of[0] sandler[0] and[0] that's[0] about[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
