note : some may consider portions of the following text to be spoilers . 	Translation	Positive	Negative	EmotionRationale
the duo * look * the part -- and admittedly the avengers is , more than most , heavily dependent upon style -- but they're no fun to watch , and i found myself growing increasingly distant and annoyed by the lack of spark between the two cheekily ironic characters as they navigated through the picture's caper-esque plot . 	the duo * look * the part - and admittedly the avengers is , more than most , heavily dependent upon style - but they're no fun to watch , and i found myself growing increasingly distant and annoyed by the lack of spark between the two cheekily ironic characters as they navigated through the picture's caper-esque plot .	2	-3	 the[0] duo[0] look[0] the[0] part[0] and[0] admittedly[0] the[0] avengers[-1] is[0] more[0] than[0] most[0] heavily[0] dependent[-1] upon[0] style[0] but[0] they're[0] no[0] fun[1] to[0] watch[0] and[0] i[0] found[0] myself[0] growing[0] increasingly[0] distant[0] and[0] annoyed[-2] by[0] the[0] lack[-1] of[0] spark[0] between[0] the[0] two[0] cheekily[0] ironic[-1] characters[0] as[0] they[0] navigated[0] through[0] the[0] picture's[0] caper[0] esque[0] plot[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
when not checking my wristwatch or shifting restlessly in my seat , i began to alleviate the boredom by considering how this all might have played out had the filmmakers chose to go instead with that erstwhile emma as our mrs . peel -- no , not kate beckinsale ( although the notion now intrigues me ) , but gwyneth paltrow , who was originally in the running for the part and can veritably handle a spot-on english accent . 	when not checking my wristwatch or shifting restlessly in my seat , i began to alleviate the boredom by considering how this all might have played out had the filmmakers chose to go instead with that erstwhile emma as our mrs .<br> peel - no , not kate beckinsale ( although the notion now intrigues me ) , but gwyneth paltrow , who was originally in the running for the part and can veritably handle a spot-on english accent .	1	-2	 when[0] not[0] checking[0] my[0] wristwatch[0] or[0] shifting[0] restlessly[-1] in[0] my[0] seat[0] i[0] began[0] to[0] alleviate[0] the[0] boredom[-1] by[0] considering[0] how[0] this[0] all[0] might[0] have[0] played[0] out[0] had[0] the[0] filmmakers[0] chose[0] to[0] go[0] instead[0] with[0] that[0] erstwhile[0] emma[0] as[0] our[0] mrs[0] [[Sentence=-2,1=word max, 1-5]] peel[0] no[0] not[0] kate[0] beckinsale[0] although[0] the[0] notion[0] now[0] intrigues[0] me[0] but[0] gwyneth[0] paltrow[0] who[0] was[0] originally[0] in[0] the[0] running[0] for[0] the[0] part[0] and[0] can[0] veritably[0] handle[0] a[0] spot[0] on[0] english[0] accent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
if nothing else , it'd at least be highly entertaining for the incongruous sight of the vaguely twiggish young actress kicking butt . 	if nothing else , it'd at least be highly entertaining for the incongruous sight of the vaguely twiggish young actress kicking butt .	1	-2	 if[0] nothing[0] else[0] it'd[0] at[0] least[0] be[0] highly[0] entertaining[0] for[0] the[0] incongruous[0] sight[0] of[0] the[0] vaguely[-1] twiggish[0] young[0] actress[0] kicking[-1] butt[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story , such as it is , involves the ever-bemused tandem of steed and peel combating the malevolent sir august de wynter ( sean connery ) , an eccentric aristocrat threatening the safety of the nation with his climate-controlling contraption . 	the story , such as it is , involves the ever-bemused tandem of steed and peel combating the malevolent sir august de wynter ( sean connery ) , an eccentric aristocrat threatening the safety of the nation with his climate-controlling contraption .	2	-3	 the[0] story[0] such[0] as[0] it[0] is[0] involves[0] the[0] ever[0] bemused[0] tandem[0] of[0] steed[0] and[0] peel[0] combating[0] the[0] malevolent[0] sir[0] august[0] de[0] wynter[0] sean[0] connery[0] an[0] eccentric[-1] aristocrat[0] threatening[-2] the[0] safety[1] of[0] the[0] nation[0] with[0] his[0] climate[0] controlling[0] contraption[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 ( they also sip a lot of tea . ) 	 ( they also sip a lot of tea .<br> )	1	-1	 they[0] also[0] sip[0] a[0] lot[0] of[0] tea[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
overlooking some goofy cloning nonsense and quirky hijinx involving our protagonists' superiors , it sounds far better than it plays , and is rendered almost indecipherable by blatant post-production tinkering ; it's clearly evident that the picture has been cut to shreds . 	overlooking some goofy cloning nonsense and quirky hijinx involving our protagonists' superiors , it sounds far better than it plays , and is rendered almost indecipherable by blatant post-production tinkering ; it's clearly evident that the picture has been cut to shreds .	2	-2	 overlooking[-1] some[0] goofy[0] cloning[0] nonsense[-1] and[0] quirky[0] hijinx[0] involving[0] our[0] protagonists'[0] superiors[0] it[0] sounds[0] far[0] better[0] than[0] it[0] plays[1] and[0] is[0] rendered[0] almost[0] indecipherable[0] by[0] blatant[-1] post[0] production[0] tinkering[0] it's[0] clearly[0] evident[0] that[0] the[0] picture[0] has[0] been[0] cut[0] to[0] shreds[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the avengers was never about gripping drama , and our heroes accordingly never take villainous sir august very seriously , but given the lack of cohesion in the plot and the lack of menace conveyed by the buffoonish maniac , it's all decidedly uncompelling . 	the avengers was never about gripping drama , and our heroes accordingly never take villainous sir august very seriously , but given the lack of cohesion in the plot and the lack of menace conveyed by the buffoonish maniac , it's all decidedly uncompelling .	3	-3	 the[0] avengers[-1] was[0] never[0] about[0] gripping[0] drama[0] and[0] our[0] heroes[2] accordingly[0] never[0] take[0] villainous[-2][NegatedDueToPreviousWord] sir[0] august[0] very[0] seriously[0] but[0] given[0] the[0] lack[-1] of[0] cohesion[0] in[0] the[0] plot[0] and[0] the[0] lack[-1] of[0] menace[-2] conveyed[0] by[0] the[0] buffoonish[-1] maniac[-2] it's[0] all[0] decidedly[0] uncompelling[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
mr . connery , who's onscreen barely long enough to register an impression , approaches the role like a man fulfilling a contractual obligation , simultaneously chewing the scenery while unable to hide his disinterest . 	mr .<br> connery , who's onscreen barely long enough to register an impression , approaches the role like a man fulfilling a contractual obligation , simultaneously chewing the scenery while unable to hide his disinterest .	2	-2	 mr[0] [[Sentence=-1,1=word max, 1-5]] connery[0] who's[0] onscreen[0] barely[0] long[0] enough[0] to[0] register[0] an[0] impression[0] approaches[0] the[0] role[0] like[1] a[0] man[0] fulfilling[0] a[0] contractual[0] obligation[0] simultaneously[0] chewing[0] the[0] scenery[0] while[0] unable[0] to[0] hide[0] his[0] disinterest[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
at least it all looks good . 	at least it all looks good .	2	-1	 at[0] least[0] it[0] all[0] looks[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is a genuinely handsome production , with fine costume design by anthony powell and crisply shot by roger pratt . 	this is a genuinely handsome production , with fine costume design by anthony powell and crisply shot by roger prat .	3	-2	 this[0] is[0] a[0] genuinely[0] handsome[1] production[0] with[0] fine[2] costume[0] design[0] by[0] anthony[0] powell[0] and[0] crisply[0] shot[-1] by[0] roger[0] pratt/prat[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in particular , the gleaming production design by stuart craig commands attention , adeptly drawing elements both old and new in order to depict this great britain . 	in particular , the gleaming production design by stuart craig commands attention , adeptly drawing elements both old and new in order to depict this great britain .	3	-1	 in[0] particular[0] the[0] gleaming[0] production[0] design[0] by[0] stuart[0] craig[0] commands[0] attention[0] adeptly[0] drawing[0] elements[0] both[0] old[0] and[0] new[0] in[0] order[0] to[0] depict[0] this[0] great[2] britain[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there are a handful of striking visual moments in the film , including an attack by a swarm of giant robotic bees and a nice shot of steed and peel finding a way to walk on water , but the film is so unremittingly dull that even these instances fail to stir interest or raise pulse rates . 	there are a handful of striking visual moments in the film , including an attack by a swarm of giant robotic bees and a nice shot of steed and peel finding a way to walk on water , but the film is so unremittingly dull that even these instances fail to stir interest or raise pulse rates .	2	-3	 there[0] are[0] a[0] handful[0] of[0] striking[0] visual[0] moments[0] in[0] the[0] film[0] including[0] an[0] attack[-2] by[0] a[0] swarm[0] of[0] giant[0] robotic[0] bees[0] and[0] a[0] nice[1] shot[-1] of[0] steed[0] and[0] peel[0] finding[0] a[0] way[0] to[0] walk[0] on[0] water[0] but[0] the[0] film[0] is[0] so[0] unremittingly[0] dull[-1] that[0] even[0] these[0] instances[0] fail[-2] to[0] stir[0] interest[1] or[0] raise[0] pulse[0] rates[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
by the time the film's climax had arrived , my interest was not with the sight of steed and sir august slugging it out amidst crashing waves and thundering rain , but with the quickest escape route from the theatre . 	by the time the film's climax had arrived , my interest was not with the sight of steed and sir august slugging it out amidst crashing waves and thundering rain , but with the quickest escape route from the theatre .	2	-1	 by[0] the[0] time[0] the[0] film's[0] climax[0] had[0] arrived[0] my[0] interest[1] was[0] not[0] with[0] the[0] sight[0] of[0] steed[0] and[0] sir[0] august[0] slugging[0] it[0] out[0] amidst[0] crashing[0] waves[0] and[0] thundering[0] rain[0] but[0] with[0] the[0] quickest[0] escape[0] route[0] from[0] the[0] theatre[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not coincidentally , the enticing bits of visual bravura were the shots assembled into the movie's remarkable trailer , a savvy piece of work which ironically is infinitely more appealing that the feature film itself ; the first promo which made the rounds in early spring is probably my favourite studio trailer so far this year . 	not coincidentally , the enticing bits of visual bravura were the shots assembled into the movie's remarkable trailer , a savy piece of work which ironically is infinitely more appealing that the feature film itself ; the first promo which made the rounds in early spring is probably my favourite studio trailer so far this year .	2	-2	 not[0] coincidentally[0] the[0] enticing[0] bits[0] of[0] visual[0] bravura[0] were[0] the[0] shots[0] assembled[0] into[0] the[0] movie's[0] remarkable[0] trailer[0] a[0] savvy/savy[0] piece[0] of[0] work[0] which[0] ironically[-1] is[0] infinitely[0] more[0] appealing[0] that[0] the[0] feature[0] film[0] itself[0] the[0] first[0] promo[0] which[0] made[0] the[0] rounds[0] in[0] early[0] spring[0] is[0] probably[0] my[0] favourite[1] studio[0] trailer[0] so[0] far[0] this[0] year[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's everything that the avengers is not -- saucy , clever , engaging , and entertaining . 	it's everything that the avengers is not - saucy , clever , engaging , and entertaining .	1	-2	 it's[0] everything[0] that[0] the[0] avengers[-1] is[0] not[0] saucy[0] clever[0] engaging[0] and[0] entertaining[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a crushing disappointment , the film is one of the worst outings of the year -- too drearily awful to be savoured as gleefully bad , too polished to overlook its deficiencies . 	a crushing disappointment , the film is one of the worst outings of the year - too drearily awful to be savoured as gleefully bad , too polished to overlook its deficiencies .	1	-4	 a[0] crushing[-1] disappointment[-1] the[0] film[0] is[0] one[0] of[0] the[0] worst[-2] outings[0] of[0] the[0] year[0] too[0] drearily[0] awful[-3] to[0] be[0] savoured[0] as[0] gleefully[0] bad[-1] too[0] polished[0] to[0] overlook[-1] its[0] deficiencies[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there may be upcoming pictures that are even more lifeless than the avengers , but i sure hope not . 	there may be upcoming pictures that are even more lifeless than the avengers , but i sure hope not .	3	-2	 there[0] may[0] be[0] upcoming[0] pictures[0] that[0] are[0] even[0] more[0] lifeless[-1] than[0] the[0] avengers[-1] but[0] i[0] sure[0] hope[2] not[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
