godzilla is a nuclear freak . 	Translation	Positive	Negative	EmotionRationale
it is unbelieveable to me how the producers of this movie saw the final cut and said , " ok ! 	it is unbelieveable to me how the producers of this movie saw the final cut and said , " ok !	1	-1	 it[0] is[0] unbelieveable[0] to[0] me[0] how[0] the[0] producers[0] of[0] this[0] movie[0] saw[0] the[0] final[0] cut[0] and[0] said[0] ok[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's great ! 	it's great !	3	-1	 it's[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
let's show this puppy . " 	let's show this puppy .<br> "	1	-1	 let's[0] show[0] this[0] puppy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
roland emmerich needs a good horse whipping . 	roland emmerich needs a good horse whipping .	2	-1	 roland[0] emmerich[0] needs[0] a[0] good[1] horse[0] whipping[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his latest piece of trash makes id4 look like a masterpiece of modern american cinema . 	his latest piece of trash makes id4 look like a masterpiece of modern american cinema .	2	-2	 his[0] latest[0] piece[0] of[0] trash[-1] makes[0] id4[0] look[0] like[1] a[0] masterpiece[0] of[0] modern[0] american[0] cinema[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and if steven spielberg had never made the jurassic park films , emmerich and his team of talent-challenged imbeciles would never have had a clue as to how the creature should look . 	and if steven spielberg had never made the jurassic park films , emmerich and his team of talent-challenged imbeciles would never have had a clue as to how the creature should look .	2	-2	 and[0] if[0] steven[0] spielberg[0] had[0] never[0] made[0] the[0] jurassic[0] park[0] films[0] emmerich[0] and[0] his[0] team[0] of[0] talent[1] challenged[-1] imbeciles[0] would[0] never[0] have[0] had[0] a[0] clue[0] as[0] to[0] how[0] the[0] creature[0] should[0] look[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
let me give you a few examples of this terrible attempt at filmmaking . 	let me give you a few examples of this terrible attempt at filmmaking .	1	-4	 let[0] me[0] give[0] you[0] a[0] few[0] examples[0] of[0] this[0] terrible[-3] attempt[0] at[0] filmmaking[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i plan on giving some things away here . 	i plan on giving some things away here .	1	-1	 i[0] plan[0] on[0] giving[0] some[0] things[0] away[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
belive me , godzilla holds no surprises for anyone with an iq higher than their shoe size , so . . . no 	belive me , godzilla holds no surprises for anyone with an iq higher than their shoe size , so .<br> .<br> .<br> no	1	-1	 belive[0] me[0] godzilla[0] holds[0] no[0] surprises[0] for[0] anyone[0] with[0] an[0] iq[0] higher[0] than[0] their[0] shoe[0] size[0] so[0] [[Sentence=-1,1=word max, 1-5]] no[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
worries . 	worries .	1	-4	 worries[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however , if you are looking for that " first time thrill " and you refuse to let me do you this favor , by all means , stop reading now . 	however , if you are looking for that " first time thrill " and you refuse to let me do you this favor , by all means , stop reading now .	4	-2	 however[0] if[0] you[0] are[0] looking[0] for[0] that[0] first[0] time[0] thrill[3] and[0] you[0] refuse[-1] to[0] let[0] me[0] do[0] you[0] this[0] favor[1] by[0] all[0] means[0] stop[0] reading[0] now[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
a . ) godzilla makes his first ever attack in the pacific islands . 	a .<br> ) godzilla makes his first ever attack in the pacific islands .	1	-3	 a[0] [[Sentence=-1,1=word max, 1-5]] godzilla[0] makes[0] his[0] first[0] ever[0] attack[-2] in[0] the[0] pacific[0] islands[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he next strikes in new york city . 	he next strikes in new york city .	1	-1	 he[0] next[0] strikes[0] in[0] new[0] york[0] city[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
um . . . anyone have a map handy ? 	um .<br> .<br> .<br> anyone have a map handy ?	1	-1	 um[0] [[Sentence=-1,1=word max, 1-5]] anyone[0] have[0] a[0] map[0] handy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
b . ) the mayor of new york city is a heavy set individual with parted gray hair and thick glasses . 	b .<br> ) the mayor of new york city is a heavy set individual with parted gray hair and thick glasses .	1	-1	 b[0] [[Sentence=-1,1=word max, 1-5]] the[0] mayor[0] of[0] new[0] york[0] city[0] is[0] a[0] heavy[0] set[0] individual[0] with[0] parted[0] gray[0] hair[0] and[0] thick[0] glasses[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his name is mayor ebert . 	his name is mayor ebert .	1	-1	 his[0] name[0] is[0] mayor[0] ebert[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his assistant is named gene . 	his assistant is named gene .	1	-1	 his[0] assistant[0] is[0] named[0] gene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gene gives ebert a thumbs down at the end of the film . 	gene gives ebert a thumbs down at the end of the film .	1	-1	 gene[0] gives[0] ebert[0] a[0] thumbs[0] down[0] at[0] the[0] end[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i couldn't make this up if i tried , folks . 	i couldn't make this up if i tried , folks .	1	-1	 i[0] couldn't[0] make[0] this[0] up[0] if[0] i[0] tried[0] folks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
c . ) stay with me on this one . . . 	c .<br> ) stay with me on this one .<br> .<br> .	1	-1	 c[0] [[Sentence=-1,1=word max, 1-5]] stay[0] with[0] me[0] on[0] this[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ok . 	ok .	1	-1	 ok[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
godzilla can out run torpedoes . 	godzilla can out run torpedoes .	1	-1	 godzilla[0] can[0] out[0] run[0] torpedoes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hank azaria can out run godzilla babies . 	hank azaria can out run godzilla babies .	2	-1	 hank[0] azaria[0] can[0] out[0] run[0] godzilla[0] babies[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( which look more like jurassic park raptors than the jurassic park raptors . ) 	 ( which look more like jurassic park raptors than the jurassic park raptors .<br> )	2	-1	 which[0] look[0] more[0] like[1] jurassic[0] park[0] raptors[0] than[0] the[0] jurassic[0] park[0] raptors[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
d . ) the u . s . military , upon realization that godzilla has disappeared after running rampant through the city , decides that he " might be hiding in a building . " 	d .<br> ) the you .<br> s .<br> military , upon realization that godzilla has disappeared after running rampant through the city , decides that he " might be hiding in a building .<br> "	1	-2	 d[0] [[Sentence=-1,1=word max, 1-5]] the[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] military[0] upon[0] realization[0] that[0] godzilla[0] has[0] disappeared[0] after[0] running[0] rampant[-1] through[0] the[0] city[0] decides[0] that[0] he[0] might[0] be[0] hiding[0] in[0] a[0] building[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
e . ) ( oh yeah , i can go all the way to e . ) godzilla strikes at manhattan . 	e .<br> ) ( oh yeah , i can go all the way to e .<br> ) godzilla strikes at manhattan .	1	-1	 e[0] [[Sentence=-1,1=word max, 1-5]] oh[0] yeah[0] i[0] can[0] go[0] all[0] the[0] way[0] to[0] e[0] [[Sentence=-1,1=word max, 1-5]] godzilla[0] strikes[0] at[0] manhattan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
manhattan , an island approximately the size of san francisco holds three million people . 	manhattan , an island approximately the size of san francisco holds three million people .	1	-1	 manhattan[0] an[0] island[0] approximately[0] the[0] size[0] of[0] san[0] francisco[0] holds[0] three[0] million[0] people[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they evactuate to new jersey in about one day . 	they evactuate to new jersey in about one day .	1	-1	 they[0] evactuate[0] to[0] new[0] jersey[0] in[0] about[0] one[0] day[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no problem . 	no problem .	1	-2	 no[0] problem[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
f . ) early on , they bait godzilla with fish . 	f .<br> ) early on , they bait godzilla with fish .	1	-2	 f[0] [[Sentence=-1,1=word max, 1-5]] early[0] on[0] they[0] bait[-1] godzilla[0] with[0] fish[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( he likes fish , you know . ) 	 ( he likes fish , you know .<br> )	3	-1	 he[0] likes[2] fish[0] you[0] know[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the thing is on an island . 	the thing is on an island .	1	-1	 the[0] thing[0] is[0] on[0] an[0] island[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the atlantic ocean is three steps east , but pile a whole bunch of grouper on fifth and 57th . . . oh 	the atlantic ocean is three steps east , but pile a whole bunch of grouper on fifth and 57th .<br> .<br> .<br> oh	1	-1	 the[0] atlantic[0] ocean[0] is[0] three[0] steps[0] east[0] but[0] pile[0] a[0] whole[0] bunch[0] of[0] grouper[0] on[0] fifth[0] and[0] 57th[0] [[Sentence=-1,1=word max, 1-5]] oh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's gonna come running . 	he's gonna come running .	1	-1	 he's[0] gonna[0] come[0] running[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
g . ) you know what ? 	grin� .<br> ) you know what ?	1	-1	 g[0] [[Sentence=-1,1=word max, 1-5]] you[0] know[0] what[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'll stop with the list now . . . the 	i'll stop with the list now .<br> .<br> .<br> the	1	-1	 i'll[0] stop[0] with[0] the[0] list[0] now[0] [[Sentence=-1,1=word max, 1-5]] the[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
alphabet isn't big enough anyway . 	alphabet isn't big enough anyway .	1	-1	 alphabet[0] isn't[0] big[0] enough[0] anyway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the dialogue makes me wonder if producer dean devlin had his five year old do a re-write . 	the dialogue makes me wonder if producer dean devlin had his five year old do a re-write .	1	-1	 the[0] dialogue[0] makes[0] me[0] wonder[0] if[0] producer[0] dean[0] devlin[0] had[0] his[0] five[0] year[0] old[0] do[0] a[0] re[0] write[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " the kid is good ! " he must have said . 	 " the kid is good !<br> " he must have said .	2	-1	 the[0] kid[0] is[0] good[1] [[Sentence=-1,2=word max, 1-5]] he[0] must[0] have[0] said[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
maria pitillo is looking to become a name in hollywood by starring in this potential blockbuster . 	maria pitillo is looking to become a name in hollywood by starring in this potential blockbuster .	1	-3	 maria[0] pitillo[-2] is[0] looking[0] to[0] become[0] a[0] name[0] in[0] hollywood[0] by[0] starring[0] in[0] this[0] potential[0] blockbuster[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
bad move , maria . 	bad move , maria .	1	-2	 bad[-1] move[0] maria[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
acting doesn't get much worse than her turn as broderick's ex-flame . 	acting doesn't get much worse than her turn as broderick's ex-flame .	1	-3	 acting[0] doesn't[0] get[0] much[0] worse[-2] than[0] her[0] turn[0] as[0] broderick's[0] ex[0] flame[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
matthew broderick is a good actor , but you'd never give him a chance if godzilla were the only film of his you'd seen . 	matthew broderick is a good actor , but you'd never give him a chance if godzilla were the only film of his you'd seen .	2	-1	 matthew[0] broderick[0] is[0] a[0] good[1] actor[0] but[0] you'd[0] never[0] give[0] him[0] a[0] chance[0] if[0] godzilla[0] were[0] the[0] only[0] film[0] of[0] his[0] you'd[0] seen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
jean reno needs to pick his american films a bit more carefully . 	jean reno needs to pick his american films a bit more carefully .	1	-1	 jean[0] reno[0] needs[0] to[0] pick[0] his[0] american[0] films[0] a[0] bit[0] more[0] carefully[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at times , godzilla seems to be headed toward a zucker , abrahams , zucker film . 	at times , godzilla seems to be headed toward a zucker , abrahams , zucker film .	1	-1	 at[0] times[0] godzilla[0] seems[0] to[0] be[0] headed[0] toward[0] a[0] zucker[0] abrahams[0] zucker[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( airplane ! , naked gun . ) 	 ( airplane !<br> , naked gun .<br> )	1	-2	 airplane[0] [[Sentence=-1,1=word max, 1-5]] naked[0] gun[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the jokes are indeed that bad . 	the jokes are indeed that bad .	2	-2	 the[0] jokes[1] are[0] indeed[0] that[0] bad[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but just when you think the filmmakers are having fun with you , they take themselves seriously . 	but just when you think the filmmakers are having fun with you , they take themselves seriously .	2	-1	 but[0] just[0] when[0] you[0] think[0] the[0] filmmakers[0] are[0] having[0] fun[1] with[0] you[0] they[0] take[0] themselves[0] seriously[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
how dare they ! 	how dare they !	1	-1	 how[0] dare[0] they[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
godzilla would have been better if it had only thrown in visual sight gags and fart jokes . 	godzilla would have been better if it had only thrown in visual sight gags and fart jokes .	2	-1	 godzilla[0] would[0] have[0] been[0] better[0] if[0] it[0] had[0] only[0] thrown[0] in[0] visual[0] sight[0] gags[0] and[0] fart[0] jokes[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at least then we would know we were supposed to laugh . 	at least then we would know we were supposed to laugh .	2	-1	 at[0] least[0] then[0] we[0] would[0] know[0] we[0] were[0] supposed[0] to[0] laugh[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
each and every character in godzilla is beyond stupid and i was really pulling for the beast to kill more of them . 	each and every character in godzilla is beyond stupid and i was really pulling for the beast to kill more of them .	1	-2	 each[0] and[0] every[0] character[0] in[0] godzilla[0] is[0] beyond[0] stupid[-1] and[0] i[0] was[0] really[0] pulling[0] for[0] the[0] beast[0] to[0] kill[-1] more[0] of[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
emmerich did do one thing , though . 	emmerich did do one thing , though .	1	-1	 emmerich[0] did[0] do[0] one[0] thing[0] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( and i've no idea if it was intentional . ) 	 ( and i've no idea if it was intentional .<br> )	1	-1	 and[0] i've[0] no[0] idea[0] if[0] it[0] was[0] intentional[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he made me sympathize with godzilla . 	he made me sympathize with godzilla .	1	-1	 he[0] made[0] me[0] sympathize[0] with[0] godzilla[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his attackers were so damn dumb that i felt sorry for him being pelted with bullets and missles . 	his attackers were so damn dumb that i felt sorry for him being pelted with bullets and missles .	1	-3	 his[0] attackers[-2] were[0] so[0] damn[-1] dumb[-1] that[0] i[0] felt[0] sorry[-1] for[0] him[0] being[0] pelted[0] with[0] bullets[-1] and[0] missles[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but what made me feel even sorrier for him was that his famous name will always be attatched to one of the worst films hollywood has ever produced . 	but what made me feel even sorrier for him was that his famous name will always be attatched to one of the worst films hollywood has ever produced .	1	-3	 but[0] what[0] made[0] me[0] feel[0] even[0] sorrier[0] for[0] him[0] was[0] that[0] his[0] famous[0] name[0] will[0] always[0] be[0] attatched[0] to[0] one[0] of[0] the[0] worst[-2] films[0] hollywood[0] has[0] ever[0] produced[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
