all through its production and into the early days of its initial , aborted pre-release publicity , hard rain bore the appropriate moniker of the flood . 	Translation	Positive	Negative	EmotionRationale
the film's conclusion is so preposterous that it's almost worth watching for the sheer masochistic enjoyment of seeing the monumentally idiotic way that the film makers decide to resolve the myriad subplots that are floating around . 	the film's conclusion is so preposterous that it's almost worth watching for the sheer masochistic enjoyment of seeing the monumentally idiotic way that the film makers decide to resolve the myriad subplots that are floating around .	3	-3	 the[0] film's[0] conclusion[0] is[0] so[0] preposterous[-1] that[0] it's[0] almost[0] worth[0] watching[0] for[0] the[0] sheer[0] masochistic[-2] enjoyment[2] of[0] seeing[0] the[0] monumentally[0] idiotic[-2] way[0] that[0] the[0] film[0] makers[0] decide[0] to[0] resolve[1] the[0] myriad[0] subplots[0] that[0] are[0] floating[0] around[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
action films are supposed to become progressively more invigorating as they rush towards a conclusion . 	action films are supposed to become progressively more invigorating as they rush towards a conclusion .	2	-1	 action[0] films[0] are[0] supposed[0] to[0] become[0] progressively[0] more[0] invigorating[1] as[0] they[0] rush[0] towards[0] a[0] conclusion[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
graham yost , the writer of both speed and hard rain , surely understands that principle . 	graham yost , the writer of both speed and hard rain , surely understands that principle .	1	-1	 graham[0] yost[0] the[0] writer[0] of[0] both[0] speed[0] and[0] hard[0] rain[0] surely[0] understands[0] that[0] principle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , neither he , nor cinematographer-turned-director mikael salomon ( a far off place ) , applies it . 	unfortunately , neither he , nor cinematographer-turned-director mikael salomon ( a far off place ) , applies it .	1	-2	 unfortunately[-1] neither[0] he[0] nor[0] cinematographer[0] turned[0] director[0] mikael[0] salomon[0] a[0] far[0] off[0] place[0] applies[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the action in hard rain grows tedious through repetition . 	the action in hard rain grows tedious through repetition .	1	-3	 the[0] action[0] in[0] hard[0] rain[0] grows[0] tedious[-2] through[0] repetition[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
we see the same kinds of things -- speedboat chases , flood damage , shoot-outs , etc . -- over and over again . 	we see the same kinds of things - speedboat chases , flood damage , shoot-outs , etc .<br> - over and over again .	1	-2	 we[0] see[0] the[0] same[0] kinds[0] of[0] things[0] speedboat[0] chases[-1] flood[0] damage[0] shoot[-1] outs[0] etc[0] [[Sentence=-2,1=word max, 1-5]] over[0] and[0] over[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie constantly recycles about twenty minutes worth of material to pad the running time out to an acceptable movie length . 	the movie constantly recycles about twenty minutes worth of material to pad the running time out to an acceptable movie length .	1	-1	 the[0] movie[0] constantly[0] recycles[0] about[0] twenty[0] minutes[0] worth[0] of[0] material[0] to[0] pad[0] the[0] running[0] time[0] out[0] to[0] an[0] acceptable[0] movie[0] length[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the storyline gives us a number of paper-thin characters in contrived circumstances . 	the storyline gives us a number of paper-thin characters in contrived circumstances .	1	-1	 the[0] storyline[0] gives[0] us[0] a[0] number[0] of[0] paper[0] thin[0] characters[0] in[0] contrived[0] circumstances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's tom ( christian slater ) , the one- dimensional action hero who works as a security guard driving an armored car full of cash . 	there's tom ( christian slater ) , the one- dimensional action hero who works as a security guard driving an armored car full of cash .	3	-1	 there's[0] tom[0] christian[0] slater[0] the[0] one[0] dimensional[0] action[0] hero[2] who[0] works[0] as[0] a[0] security[1] guard[0] driving[0] an[0] armored[0] car[0] full[0] of[0] cash[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he and his partner , charlie ( edward asner , tv's " lou grant " ) , get stuck on a street that's rapidly turning into a river . 	he and his partner , charlie ( edward asner , tv's " lou grant " ) , get stuck on a street that's rapidly turning into a river .	1	-1	 he[0] and[0] his[0] partner[0] charlie[0] edward[0] asner[0] tv's[0] lou[0] grant[0] get[0] stuck[0] on[0] a[0] street[0] that's[0] rapidly[0] turning[0] into[0] a[0] river[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a group of men , led by jimmy ( morgan freeman ) , arrive on the scene not as rescuers but as robbers . 	a group of men , led by jimmy ( morgan freeman ) , arrive on the scene not as rescuers but as robbers .	1	-2	 a[0] group[0] of[0] men[0] led[0] by[0] jimmy[0] morgan[0] freeman[0] arrive[0] on[0] the[0] scene[0] not[0] as[0] rescuers[0] but[0] as[0] robbers[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after charlie is killed in a shoot-out , tom hides the money , then runs . 	after charlie is killed in a shoot-out , tom hides the money , then runs .	1	-4	 after[0] charlie[0] is[0] killed[-3] in[0] a[0] shoot[-1] out[0] tom[0] hides[0] the[0] money[0] then[0] runs[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as he swims and boats his way through huntingburg's roads , he encounters some of the locals : karen ( minnie driver ) , a would-be love interest ; a bickering old couple ( richard dysart and betty white ) , who are on hand to provide comic relief ; and the easily-corrupted sheriff ( randy quaid ) , whose seeming helpfulness hides sinister ulterior motives . 	as he swims and boats his way through huntingburg's roads , he encounters some of the locals : karen ( minnie driver ) , a would-be love interest ; a bickering old couple ( richard dysart and betty white ) , who are on hand to provide comic relief ; and the easily-corrupted sheriff ( randy quaid ) , whose seeming helpfulness hides sinister ulterior motives .	3	-4	 as[0] he[0] swims[0] and[0] boats[0] his[0] way[0] through[0] huntingburg's[0] roads[0] he[0] encounters[0] some[0] of[0] the[0] locals[0] karen[0] minnie[0] driver[0] a[0] would[0] be[0] love[2] interest[1] a[0] bickering[0] old[0] couple[0] richard[0] dysart[0] and[0] betty[0] white[0] who[0] are[0] on[0] hand[0] to[0] provide[0] comic[0] relief[1] and[0] the[0] easily[0] corrupted[-2] sheriff[0] randy[0] quaid[0] whose[0] seeming[0] helpfulness[1] hides[0] sinister[-3] ulterior[0] motives[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
there isn't any real acting in this film . 	there isn't any real acting in this film .	1	-1	 there[0] isn't[0] any[0] real[0] acting[0] in[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
christian slater utters a few lame one-liners and does a lot of mugging for the camera . 	christian slater utters a few lame one-liners and does a lot of mugging for the camera .	1	-3	 christian[0] slater[0] utters[0] a[0] few[0] lame[-2] one[0] liners[0] and[0] does[0] a[0] lot[0] of[0] mugging[0] for[0] the[0] camera[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
tom is easily one of the most lifeless characters the actor has brought to the screen . 	tom is easily one of the most lifeless characters the actor has brought to the screen .	1	-2	 tom[0] is[0] easily[0] one[0] of[0] the[0] most[0] lifeless[-1] characters[0] the[0] actor[0] has[0] brought[0] to[0] the[0] screen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
randy quaid sneers a lot , and is totally unconvincing . 	randy quaid sneers a lot , and is totally unconvincing .	1	-2	 randy[0] quaid[0] sneers[-1] a[0] lot[0] and[0] is[0] totally[0] unconvincing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
morgan freeman and minnie driver both attempt to give legitimate performances , but they are defeated by the script . 	morgan freeman and minnie driver both attempt to give legitimate performances , but they are defeated by the script .	1	-1	 morgan[0] freeman[0] and[0] minnie[0] driver[0] both[0] attempt[0] to[0] give[0] legitimate[0] performances[0] but[0] they[0] are[0] defeated[0] by[0] the[0] script[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
freeman , one of the best cinematic thespians working today , looks suitably embarrassed to be here , but i suppose everyone needs a good paycheck from time-to-time . 	freeman , one of the best cinematic thespians working today , looks suitably embarrassed to be here , but i suppose everyone needs a good paycheck from time-to-time .	2	-3	 freeman[0] one[0] of[0] the[0] best[1] cinematic[0] thespians[0] working[0] today[0] looks[0] suitably[0] embarrassed[-2] to[0] be[0] here[0] but[0] i[0] suppose[0] everyone[0] needs[0] a[0] good[1] paycheck[0] from[0] time[0] to[0] time[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
following in the wake of twister , this is yet another natural disaster movie that doesn't trust nature's fury as the chief engine of conflict . 	following in the wake of twister , this is yet another natural disaster movie that doesn't trust nature's fury as the chief engine of conflict .	2	-4	 following[0] in[0] the[0] wake[0] of[0] twister[0] this[0] is[0] yet[0] another[0] natural[0] disaster[-1] movie[0] that[0] doesn't[0] trust[1] nature's[0] fury[-3] as[0] the[0] chief[0] engine[0] of[0] conflict[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
as a result , we are saddled with an idiotic good guys/bad guys story that effectively ruins any potential that the flood tale could have had . 	as a result , we are saddled with an idiotic good guys/bad guys story that effectively ruins any potential that the flood tale could have had .	2	-3	 as[0] a[0] result[0] we[0] are[0] saddled[0] with[0] an[0] idiotic[-2] good[1] guys/bad[0] guys[0] story[0] that[0] effectively[0] ruins[0] any[0] potential[0] that[0] the[0] flood[0] tale[0] could[0] have[0] had[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
titanic proved that there can be a wealth of drama in a movie where everything goes under water . 	titanic proved that there can be a wealth of drama in a movie where everything goes under water .	1	-1	 titanic[0] proved[0] that[0] there[0] can[0] be[0] a[0] wealth[0] of[0] drama[0] in[0] a[0] movie[0] where[0] everything[0] goes[0] under[0] water[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hard rain successfully demonstrates that the opposite is equally possible . 	hard rain successfully demonstrates that the opposite is equally possible .	3	-1	 hard[0] rain[0] successfully[2] demonstrates[0] that[0] the[0] opposite[0] is[0] equally[0] possible[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
thus far this year , hollywood has already subjected us to its unique brand of moronic mayhem by fire ( firestorm ) and water ( hard rain ) . 	thus far this year , hollywood has already subjected us to its unique brand of moronic mayhem by fire ( firestorm ) and water ( hard rain ) .	1	-3	 thus[0] far[0] this[0] year[0] hollywood[0] has[0] already[0] subjected[0] us[0] to[0] its[0] unique[0] brand[0] of[0] moronic[-2] mayhem[0] by[0] fire[0] firestorm[0] and[0] water[0] hard[0] rain[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
fortunately , there are only two elements left . 	fortunately , there are only two elements left .	1	-1	 fortunately[0] there[0] are[0] only[0] two[0] elements[0] left[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
