 " spawn " features good guys , bad guys , lots of fighting , bloody violence , a leather-clad machine gun chick , gooey , self-healing bullet holes , scatological humor and a man-eating monster . 	Translation	Positive	Negative	EmotionRationale
the film's reliance on razzle-dazzle would be acceptable if we were given somebody to root for , but both simmons and his funky alter-ego are completely underdeveloped . 	the film's reliance on razle-dazle would be acceptable if we were given somebody to root for , but both simmons and his funky alter-ego are completely underdeveloped .	1	-1	 the[0] film's[0] reliance[0] on[0] razzle/razle[0] dazzle/dazle[0] would[0] be[0] acceptable[0] if[0] we[0] were[0] given[0] somebody[0] to[0] root[0] for[0] but[0] both[0] simmons[0] and[0] his[0] funky[0] alter[0] ego[0] are[0] completely[0] underdeveloped[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what we need is a batman , a luke skywalker . 	what we need is a batman , a luke skywalker .	1	-1	 what[0] we[0] need[0] is[0] a[0] batman[0] a[0] luke[0] skywalker[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even watching the adventures of kleenex man would be more interesting than spawn . 	even watching the adventures of kleenex man would be more interesting than spawn .	2	-1	 even[0] watching[0] the[0] adventures[0] of[0] kleenex[0] man[0] would[0] be[0] more[0] interesting[1] than[0] spawn[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
poor leguizamo . 	poor leguizamo .	1	-2	 poor[-1] leguizamo[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he starred in february's " the pest , " a movie that i still think is the year's worst so far , although this one does give it a run for its money . 	he starred in february's " the pest , " a movie that i still think is the year's worst so far , although this one does give it a run for its money .	1	-3	 he[0] starred[0] in[0] february's[0] the[0] pest[-1] a[0] movie[0] that[0] i[0] still[0] think[0] is[0] the[0] year's[0] worst[-2] so[0] far[0] although[0] this[0] one[0] does[0] give[0] it[0] a[0] run[0] for[0] its[0] money[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as clown , he overacts to the extreme , never missing an opportunity for a poor-taste punchline . 	as clown , he overacts to the extreme , never missing an opportunity for a poor-taste punchline .	1	-2	 as[0] clown[0] he[0] overacts[0] to[0] the[0] extreme[0] never[0] missing[0] an[0] opportunity[0] for[0] a[0] poor[-1] taste[0] punchline[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
leguizamo farts green mist , munches a pizza slice covered with maggots and even dons a mini-skirt and performs a cheerleader routine , all before turning into a giant grey demon . 	leguizamo farts green mist , munches a piza slice covered with maggots and even dons a mini-skirt and performs a cheerleader routine , all before turning into a giant grey demon .	1	-2	 leguizamo[0] farts[0] green[0] mist[0] munches[0] a[0] pizza/piza[0] slice[0] covered[0] with[0] maggots[0] and[0] even[0] dons[0] a[0] mini[0] skirt[0] and[0] performs[0] a[0] cheerleader[0] routine[0] all[0] before[0] turning[0] into[0] a[0] giant[0] grey[0] demon[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the guy was brilliant in " to wong foo , thanks for everything ! 	the guy was brilliant in " to wong foo , thanks for everything !	2	-1	 the[0] guy[0] was[0] brilliant[1] in[0] to[0] wong[0] foo[0] thanks[1] for[0] everything[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
julie newmar . " 	julie newmar .<br> "	1	-1	 julie[0] newmar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what is he doing wasting his talent in this and " the pest " ? 	what is he doing wasting his talent in this and " the pest " ?	2	-2	 what[0] is[0] he[0] doing[0] wasting[0] his[0] talent[1] in[0] this[0] and[0] the[0] pest[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i'm one of the few people that liked " batman & robin , " this summer's other big-budget comic book film . 	i'm one of the few people that liked " batman & robin , " this summer's other big-budget comic book film .	3	-1	 i'm[0] one[0] of[0] the[0] few[0] people[0] that[0] liked[2] batman[0] &[0] robin[0] this[0] summer's[0] other[0] big[0] budget[0] comic[0] book[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
yet after catching this movie and making the inevitable comparison , i can only hope people will change their minds and think of " batman " as the superior adaptation . 	yet after catching this movie and making the inevitable comparison , i can only hope people will change their minds and think of " batman " as the superior adaptation .	3	-1	 yet[0] after[0] catching[0] this[0] movie[0] and[0] making[0] the[0] inevitable[0] comparison[0] i[0] can[0] only[0] hope[2] people[0] will[0] change[0] their[0] minds[0] and[0] think[0] of[0] batman[0] as[0] the[0] superior[2] adaptation[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there's a compelling story somewhere in " spawn " -- including strong religious overtones and the debut of the first african-american superhero ever -- but it's just not found anywhere near here . 	there's a compelling story somewhere in " spawn " - including strong religious overtones and the debut of the first african-american superhero ever - but it's just not found anywhere near here .	1	-1	 there's[0] a[0] compelling[0] story[0] somewhere[0] in[0] spawn[0] including[0] strong[0] religious[0] overtones[0] and[0] the[0] debut[0] of[0] the[0] first[0] african[0] american[0] superhero[0] ever[0] but[0] it's[0] just[0] not[0] found[0] anywhere[0] near[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as it is , " spawn " is just awful -- it stinks worse than a dead trout . 	as it is , " spawn " is just awful - it stinks worse than a dead trout .	1	-4	 as[0] it[0] is[0] spawn[0] is[0] just[0] awful[-3][--1 LastWordBoosterStrength] it[0] stinks[-2] worse[-2][-1 MultiplePositiveWords] than[0] a[0] dead[-2] trout[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
