we could paraphrase michelle pfieffer's character in dangerous minds and say that beyond rangoon starts with an " a . " 	Translation	Positive	Negative	EmotionRationale
demonstrates , she doesn't have * nearly * enough range for the emotions that her character--a mother fleeing the memories of a murdered husband and son--is supposed to show . 	demonstrates , she doesn't have * nearly * enough range for the emotions that her character-a mother fleeing the memories of a murdered husband and son-is supposed to show .	1	-4	 demonstrates[0] she[0] doesn't[0] have[0] nearly[0] enough[0] range[0] for[0] the[0] emotions[0] that[0] her[0] character[0] a[0] mother[0] fleeing[-1] the[0] memories[0] of[0] a[0] murdered[-3] husband[0] and[0] son[0] is[0] supposed[0] to[0] show[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
she may give a stronger performance than , say , keanu reeves in a walk in the clouds , by not by much . 	she may give a stronger performance than , say , keanu reeves in a walk in the clouds , by not by much .	1	-1	 she[0] may[0] give[0] a[0] stronger[0] performance[0] than[0] say[0] keanu[0] reeves[0] in[0] a[0] walk[0] in[0] the[0] clouds[0] by[0] not[0] by[0] much[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
beyond rangoon is a very physically appealing film , thanks to the practiced craftsmanship of john boorman ( deliverance , excalibur , hope and glory ) . 	beyond rangoon is a very physically appealing film , thanks to the practiced craftsmanship of john boorman ( deliverance , excalibur , hope and glory ) .	3	-1	 beyond[0] rangoon[0] is[0] a[0] very[0] physically[0] appealing[0] film[0] thanks[1] to[0] the[0] practiced[0] craftsmanship[0] of[0] john[0] boorman[0] deliverance[0] excalibur[0] hope[2] and[0] glory[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he keeps the narrative moving , no matter how muddy the story--or the heroine--gets . 	he keeps the narrative moving , no matter how muddy the story-or the heroine-gets .	3	-2	 he[0] keeps[0] the[0] narrative[0] moving[0] no[0] matter[0] how[0] muddy[-1] the[0] story[0] or[0] the[0] heroine[2] gets[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
why he chose arquette remains a mystery , though . 	why he chose arquette remains a mystery , though .	1	-1	 why[0] he[0] chose[0] arquette[0] remains[0] a[0] mystery[0] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maybe he was thinking that the dramatic weight of the story would overcome any casting deficiencies . 	maybe he was thinking that the dramatic weight of the story would overcome any casting deficiencies .	1	-1	 maybe[0] he[0] was[0] thinking[0] that[0] the[0] dramatic[0] weight[0] of[0] the[0] story[0] would[0] overcome[0] any[0] casting[0] deficiencies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but even after an hour of half-stated political statements and murky mass killings , we * still * don't know enough of what's happening in this country to feel distressed for the characters or their situations . 	but even after an hour of half-stated political statements and murky mass killings , we * still * don't know enough of what's happening in this country to feel distressed for the characters or their situations .	1	-3	 but[0] even[0] after[0] an[0] hour[0] of[0] half[0] stated[0] political[0] statements[0] and[0] murky[-1] mass[0] killings[0] we[0] still[0] don't[0] know[0] enough[0] of[0] what's[0] happening[0] in[0] this[0] country[0] to[0] feel[0] distressed[-2] for[0] the[0] characters[0] or[0] their[0] situations[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
empty exoticism . 	empty exoticism .	1	-1	 empty[0] exoticism[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the technical credits in beyond rangoon are a curious mix , combining lush jungle photography with bad blue-screen work . 	the technical credits in beyond rangoon are a curious mix , combining lush jungle photography with bad blue-screen work .	1	-2	 the[0] technical[0] credits[0] in[0] beyond[0] rangoon[0] are[0] a[0] curious[0] mix[0] combining[0] lush[0] jungle[0] photography[0] with[0] bad[-1] blue[0] screen[0] work[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
also odd is the obvious dubbing . 	also odd is the obvious dubbing .	1	-1	 also[0] odd[0] is[0] the[0] obvious[0] dubbing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
done to make some of the foreign characters sound less foreign ? 	done to make some of the foreign characters sound less foreign ?	1	-2	 done[0] to[0] make[0] some[0] of[0] the[0] foreign[-1] characters[0] sound[0] less[0] foreign[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and , is it my mistake , or do the same extras keep reappearing as different soldiers ? ? 	and , is it my mistake , or do the same extras keep reappearing as different soldiers ?<br> ?	1	-2	 and[0] is[0] it[0] my[0] mistake[-1] or[0] do[0] the[0] same[0] extras[0] keep[0] reappearing[0] as[0] different[0] soldiers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
doo doo doo doo . 	do do do do .	1	-1	 doo/do[0] doo/do[0] doo/do[0] doo/do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
[ " twilight zone " theme , or opinion of movie . 	[ " twilight zone " theme , or opinion of movie .	1	-1	 [[0] twilight[0] zone[0] theme[0] or[0] opinion[0] of[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you be the judge . ] 	you be the judge .<br> ]	1	-1	 you[0] be[0] the[0] judge[0] [[Sentence=-1,1=word max, 1-5]] ][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
