 " mandingo " has traditionally been seen as one of two things : either a much-needed revisionist look at slavery in the south , or in the words of film critic leonard maltin , " a trashy potboiler " that " appeals only to the s&m crowd . " 	Translation	Positive	Negative	EmotionRationale
it is quickly apparent that hammond , despite his overt racism , is more in love with his bed wench , a sensitive slave girl named ellen ( brenda sykes ) , than he is with blanche . 	it is quickly apparent that hammond , despite his overt racism , is more in love with his bed wench , a sensitive slave girl named ellen ( brenda sykes ) , than he is with blanche .	3	-2	 it[0] is[0] quickly[0] apparent[0] that[0] hammond[0] despite[0] his[0] overt[0] racism[-1] is[0] more[0] in[0] love[2] with[0] his[0] bed[0] wench[-1] a[0] sensitive[0] slave[0] girl[0] named[0] ellen[0] brenda[0] sykes[0] than[0] he[0] is[0] with[0] blanche[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
hammond considers blanche tainted goods because he finds out on their wedding night that another man had " pleasured " her before he did . 	hammond considers blanche tainted goods because he finds out on their wedding night that another man had " pleasured " her before he did .	3	-2	 hammond[0] considers[0] blanche[0] tainted[-1] goods[0] because[0] he[0] finds[0] out[0] on[0] their[0] wedding[0] night[0] that[0] another[0] man[0] had[0] pleasured[2] her[0] before[0] he[0] did[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
of course , it's fine that he's slept with numerous slave girls , but the fact that his wife , a " white lady , " had been with another man out of wedlock destroys his capacity to care for her . 	of course , it's fine that he's slept with numerous slave girls , but the fact that his wife , a " white lady , " had been with another man out of wedlock destroys his capacity to care for her .	3	-3	 of[0] course[0] it's[0] fine[2] that[0] he's[0] slept[0] with[0] numerous[0] slave[0] girls[0] but[0] the[0] fact[0] that[0] his[0] wife[0] a[0] white[0] lady[0] had[0] been[0] with[0] another[0] man[0] out[0] of[0] wedlock[0] destroys[-2] his[0] capacity[0] to[0] care[1] for[0] her[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
so blanche is usually left lonely and sex-starved while hammond is sleeping with ellen . 	so blanche is usually left lonely and sex-starved while hammond is sleeping with ellen .	1	-2	 so[0] blanche[0] is[0] usually[0] left[0] lonely[-1] and[0] sex[0] starved[-1] while[0] hammond[0] is[0] sleeping[0] with[0] ellen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
blanche gets back at hammond by seducing the studly mede and bearing his child . 	blanche gets back at hammond by seducing the studly mede and bearing his child .	1	-1	 blanche[0] gets[0] back[0] at[0] hammond[0] by[0] seducing[0] the[0] studly[0] mede[0] and[0] bearing[0] his[0] child[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hammond and his father cannot stand the idea that blanche has given birth to a half-black child ( although it's okay that ellen was pregnant by hammond ) , so warren kills the child by letting it bleed to death after birth , and hammond poisons blanche . 	hammond and his father cannot stand the idea that blanche has given birth to a half-black child ( although it's okay that ellen was pregnant by hammond ) , so warren kills the child by letting it bleed to death after birth , and hammond poisons blanche .	1	-3	 hammond[0] and[0] his[0] father[0] cannot[0] stand[0] the[0] idea[0] that[0] blanche[0] has[0] given[0] birth[0] to[0] a[0] half[0] black[0] child[0] although[0] it's[0] okay[0] that[0] ellen[0] was[0] pregnant[0] by[0] hammond[0] so[0] warren[0] kills[0] the[0] child[0] by[0] letting[0] it[0] bleed[0] to[0] death[-2] after[0] birth[0] and[0] hammond[0] poisons[-2] blanche[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
hammond then finds mede , shoots him twice in the shoulder , and pushes him into a giant cauldron of boiling water . 	hammond then finds mede , shoots him twice in the shoulder , and pushes him into a giant cauldron of boiling water .	1	-2	 hammond[0] then[0] finds[0] mede[0] shoots[-1] him[0] twice[0] in[0] the[0] shoulder[0] and[0] pushes[0] him[0] into[0] a[0] giant[0] cauldron[0] of[0] boiling[0] water[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yes , you read right : the film ends with hammond getting his revenge by boiling mede alive . 	yes , you read right : the film ends with hammond getting his revenge by boiling mede alive .	1	-2	 yes[0] you[0] read[0] right[0] the[0] film[0] ends[0] with[0] hammond[0] getting[0] his[0] revenge[-1] by[0] boiling[0] mede[0] alive[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
judging only by the plot , " mandingo " is pure sexploitation . 	judging only by the plot , " mandingo " is pure sexploitation .	1	-1	 judging[0] only[0] by[0] the[0] plot[0] mandingo[0] is[0] pure[0] sexploitation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the main purpose of the film seems to be getting as many blacks and whites into bed together as possible , with only the slightest commentary on what that would mean in 19th century southern society . 	the main purpose of the film seems to be getting as many blacks and whites into bed together as possible , with only the slightest commentary on what that would mean in 19th century southern society .	1	-1	 the[0] main[0] purpose[0] of[0] the[0] film[0] seems[0] to[0] be[0] getting[0] as[0] many[0] blacks[0] and[0] whites[0] into[0] bed[0] together[0] as[0] possible[0] with[0] only[0] the[0] slightest[0] commentary[0] on[0] what[0] that[0] would[0] mean[0] in[0] 19th[0] century[0] southern[0] society[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when " mandingo " was released in 1975 , it was still a bit of a shocker to see miscegenation on screen in such a graphic detail ; this way the movie could revise cinematic history while attracting large audiences of curious voyeurs . 	when " mandingo " was released in 1975 , it was still a bit of a shocker to see miscegenation on screen in such a graphic detail ; this way the movie could revise cinematic history while attracting large audiences of curious voyeurs .	2	-3	 when[0] mandingo[0] was[0] released[0] in[0] 1975[0] it[0] was[0] still[0] a[0] bit[0] of[0] a[0] shocker[-2] to[0] see[0] miscegenation[0] on[0] screen[0] in[0] such[0] a[0] graphic[0] detail[0] this[0] way[0] the[0] movie[0] could[0] revise[0] cinematic[0] history[0] while[0] attracting[1] large[0] audiences[0] of[0] curious[0] voyeurs[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
dramatically , " mandingo " is weak and unfocused , and historically it's mostly confused . 	dramatically , " mandingo " is weak and unfocused , and historically it's mostly confused .	1	-2	 dramatically[0] mandingo[0] is[0] weak[-1] and[0] unfocused[0] and[0] historically[0] it's[0] mostly[0] confused[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if one were to judge history by this film , it would be easy to walk away with the notion that the entire system of american slavery was based on sexuality , not economics . 	if one were to judge history by this film , it would be easy to walk away with the notion that the entire system of american slavery was based on sexuality , not economics .	1	-1	 if[0] one[0] were[0] to[0] judge[0] history[0] by[0] this[0] film[0] it[0] would[0] be[0] easy[0] to[0] walk[0] away[0] with[0] the[0] notion[0] that[0] the[0] entire[0] system[0] of[0] american[0] slavery[0] was[0] based[0] on[0] sexuality[0] not[0] economics[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not once in the film do we see any of the slaves working , except for a few house servants . 	not once in the film do we see any of the slaves working , except for a few house servants .	1	-1	 not[0] once[0] in[0] the[0] film[0] do[0] we[0] see[0] any[0] of[0] the[0] slaves[0] working[0] except[0] for[0] a[0] few[0] house[0] servants[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the men spend most of the time sitting around , while the sole purpose of a female slave seems to be free sex for the owner . 	the men spend most of the time sitting around , while the sole purpose of a female slave seems to be free sex for the owner .	1	-1	 the[0] men[0] spend[0] most[0] of[0] the[0] time[0] sitting[0] around[0] while[0] the[0] sole[0] purpose[0] of[0] a[0] female[0] slave[0] seems[0] to[0] be[0] free[0] sex[0] for[0] the[0] owner[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is historical basis in the notion that slave owners often slept with their female slaves , but " mandingo's " overwhelming emphasis on this aspect of slavery gives the movie the unpleasant taste of a cheap sex flick ( although there's plenty of violence -- fights , vicious beatings , shootings , and the aforementioned human boiling sequence -- thrown in for good measure ) . 	there is historical basis in the notion that slave owners often slept with their female slaves , but " mandingo's " overwhelming emphasis on this aspect of slavery gives the movie the unpleasant taste of a cheap sex flick ( although there's plenty of violence - fights , vicious beatings , shootings , and the aforementioned human boiling sequence - thrown in for good measure ) .	2	-5	 there[0] is[0] historical[0] basis[0] in[0] the[0] notion[0] that[0] slave[0] owners[0] often[0] slept[0] with[0] their[0] female[0] slaves[0] but[0] mandingo's[0] overwhelming[-2] emphasis[0] on[0] this[0] aspect[0] of[0] slavery[0] gives[0] the[0] movie[0] the[0] unpleasant[-2] taste[0] of[0] a[0] cheap[-1] sex[0] flick[0] although[0] there's[0] plenty[0] of[0] violence[-3] fights[-2][-1 MultiplePositiveWords] vicious[-3][-1 MultiplePositiveWords] beatings[-2][-1 MultiplePositiveWords] shootings[-1] and[0] the[0] aforementioned[0] human[0] boiling[0] sequence[0] thrown[0] in[0] for[0] good[1] measure[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
some tried to write off " mandingo " as a blaxploitation film , one of a number of quickly-made , low-budget films appealing to black sensibilities in the early seventies , but it's not that easy . 	some tried to write off " mandingo " as a blaxploitation film , one of a number of quickly-made , low-budget films appealing to black sensibilities in the early seventies , but it's not that easy .	1	-2	 some[0] tried[0] to[0] write[0] off[0] mandingo[0] as[0] a[0] blaxploitation[0] film[0] one[0] of[0] a[0] number[0] of[0] quickly[0] made[0] low[-1] budget[0] films[0] appealing[0] to[0] black[0] sensibilities[0] in[0] the[0] early[0] seventies[0] but[0] it's[0] not[0] that[0] easy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " mandingo " was studio-financed by paramount pictures , and produced by dino de laurentiis , the grandiose italian producer behind such notorious productions as " the bible " ( 1966 ) , the remake of " king kong " ( 1976 ) , and the ill-fated " dune " ( 1984 ) . 	 " mandingo " was studio-financed by paramount pictures , and produced by dino de laurentis , the grandiose italian producer behind such notorious productions as " the bible " ( 1966 ) , the remake of " king kong " ( 1976 ) , and the ill-fated " dune " ( 1984 ) .	1	-2	 mandingo[0] was[0] studio[0] financed[0] by[0] paramount[0] pictures[0] and[0] produced[0] by[0] dino[0] de[0] laurentiis/laurentis[0] the[0] grandiose[0] italian[0] producer[0] behind[0] such[0] notorious[-1] productions[0] as[0] the[0] bible[0] 1966[0] the[0] remake[0] of[0] king[0] kong[0] 1976[0] and[0] the[0] ill[-1] fated[0] dune[0] 1984[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the director was richard fleischer , a veteran who was best known for several special effects-laden action movies including " 20 , 000 leagues under the sea " ( 1954 ) and " fantastic voyage " ( 1966 ) , as well as such superior suspense films as " the narrow margin " ( 1952 ) . 	the director was richard fleischer , a veteran who was best known for several special effects-laden action movies including " 20 , 00 leagues under the sea " ( 1954 ) and " fantastic voyage " ( 1966 ) , as well as such superior suspense films as " the narrow margin " ( 1952 ) .	3	-1	 the[0] director[0] was[0] richard[0] fleischer[0] a[0] veteran[0] who[0] was[0] best[1] known[0] for[0] several[0] special[1] effects[0] laden[0] action[0] movies[0] including[0] 20[0] 000/00[0] leagues[0] under[0] the[0] sea[0] 1954[0] and[0] fantastic[2] voyage[0] 1966[0] as[0] well[0] as[0] such[0] superior[2] suspense[0] films[0] as[0] the[0] narrow[0] margin[0] 1952[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the script , based on the supermarket best-seller by ken ostott ( and the subsequent play by jack kirkland ) , was penned by norman wexler , who had been nominated for an oscar two years earlier for his work on " serpico . " 	the script , based on the supermarket best-seller by ken ostott ( and the subsequent play by jack kirkland ) , was penned by norman wexler , who had been nominated for an oscar two years earlier for his work on " serpico .<br> "	2	-1	 the[0] script[0] based[0] on[0] the[0] supermarket[0] best[1] seller[0] by[0] ken[0] ostott[0] and[0] the[0] subsequent[0] play[0] by[0] jack[0] kirkland[0] was[0] penned[0] by[0] norman[0] wexler[0] who[0] had[0] been[0] nominated[0] for[0] an[0] oscar[0] two[0] years[0] earlier[0] for[0] his[0] work[0] on[0] serpico[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
james mason , perry king , and susan george were well-known and respected actors ( mason already had three oscar nominations under his belt ) , and ken norton appeared to have a promising film career . 	james mason , perry king , and susan george were well-known and respected actors ( mason already had three oscar nominations under his belt ) , and ken norton appeared to have a promising film career .	3	-1	 james[0] mason[0] perry[0] king[0] and[0] susan[0] george[0] were[0] well[0] known[0] and[0] respected[2] actors[0] mason[0] already[0] had[0] three[0] oscar[0] nominations[0] under[0] his[0] belt[0] and[0] ken[0] norton[0] appeared[0] to[0] have[0] a[0] promising[1] film[0] career[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so why is " mandingo " so bad ? 	so why is " mandingo " so bad ?	1	-2	 so[0] why[0] is[0] mandingo[0] so[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a number of reasons , including the fact that all those experienced filmmakers behind and in front of the camera did a lousy job . 	a number of reasons , including the fact that all those experienced filmmakers behind and in front of the camera did a lousy job .	1	-3	 a[0] number[0] of[0] reasons[0] including[0] the[0] fact[0] that[0] all[0] those[0] experienced[0] filmmakers[0] behind[0] and[0] in[0] front[0] of[0] the[0] camera[0] did[0] a[0] lousy[-2] job[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
wexler's script is pure poor hokum bordering on the offensive ; it combines stereotyped slave-talk ( " yessuh , massuh " ) , stereotyped southern white trash talk ( " fer whut're you gittin' outta bed ? " ) , and stereotyped contemporary militant black talk ( " if you see me hang , you gonna know you killed a black brother ! " ) . 	wexler's script is pure poor hokum bordering on the offensive ; it combines stereotyped slave-talk ( " yessuh , massuh " ) , stereotyped southern white trash talk ( " fer whut're you gittin' outta bed ?<br> " ) , and stereotyped contemporary militant black talk ( " if you see me hang , you gonna know you killed a black brother !<br> " ) .	1	-4	 wexler's[0] script[0] is[0] pure[0] poor[-1] hokum[0] bordering[0] on[0] the[0] offensive[-2] it[0] combines[0] stereotyped[0] slave[0] talk[0] yessuh[0] massuh[0] stereotyped[0] southern[0] white[0] trash[-1] talk[0] fer[0] whut're[0] you[0] gittin'[0] outta[0] bed[0] [[Sentence=-3,1=word max, 1-5]] and[0] stereotyped[0] contemporary[0] militant[0] black[0] talk[0] if[0] you[0] see[0] me[0] hang[-1] you[0] gonna[0] know[0] you[0] killed[-3] a[0] black[0] brother[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
fleischer's direction is clumsy , especially during the fight scenes , and all the actors give weak performances , especially susan george whose constant shrieking finally becomes laughable . 	fleischer's direction is clumsy , especially during the fight scenes , and all the actors give weak performances , especially susan george whose constant shrieking finally becomes laughable .	1	-3	 fleischer's[0] direction[0] is[0] clumsy[-1] especially[0] during[0] the[0] fight[-2] scenes[0] and[0] all[0] the[0] actors[0] give[0] weak[-1] performances[0] especially[0] susan[0] george[0] whose[0] constant[0] shrieking[-1] finally[0] becomes[0] laughable[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
nevertheless , credit should be given where credit is due . 	nevertheless , credit should be given where credit is due .	1	-1	 nevertheless[0] credit[0] should[0] be[0] given[0] where[0] credit[0] is[0] due[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite its exploitative nature , " mandingo " was one of the first hollywood movies to take an alternative look at slavery . 	despite its exploitative nature , " mandingo " was one of the first hollywood movies to take an alternative look at slavery .	1	-1	 despite[0] its[0] exploitative[0] nature[0] mandingo[0] was[0] one[0] of[0] the[0] first[0] hollywood[0] movies[0] to[0] take[0] an[0] alternative[0] look[0] at[0] slavery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
until then , there had been a kind of underlying racism in all hollywood films dealing with slavery . 	until then , there had been a kind of underlying racism in all hollywood films dealing with slavery .	2	-2	 until[0] then[0] there[0] had[0] been[0] a[0] kind[1] of[0] underlying[0] racism[-1] in[0] all[0] hollywood[0] films[0] dealing[0] with[0] slavery[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
even classics such as " gone with the wind " ( 1939 ) can be seen as inherently racist by its glossing over the subject matter . 	even classics such as " gone with the wind " ( 1939 ) can be seen as inherently racist by its glossing over the subject matter .	1	-2	 even[0] classics[0] such[0] as[0] gone[0] with[0] the[0] wind[0] 1939[0] can[0] be[0] seen[0] as[0] inherently[0] racist[-1] by[0] its[0] glossing[0] over[0] the[0] subject[0] matter[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " mandingo " reassessed the south , and showed that it wasn't all beautiful plantations , green fields , and pretty sunsets . 	 " mandingo " reassessed the south , and showed that it wasn't all beautiful plantations , green fields , and pretty sunsets .	3	-1	 mandingo[0] reassessed[0] the[0] south[0] and[0] showed[0] that[0] it[0] wasn't[0] all[0] beautiful[2] plantations[0] green[0] fields[0] and[0] pretty[2] sunsets[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but all this is constantly undermined by the film's negligible point-of-view -- it claims to see things from the black perspective , but the entire narrative focus is on the soap opera tales of the white owners . 	but all this is constantly undermined by the film's negligible point-of-view - it claims to see things from the black perspective , but the entire narrative focus is on the soap opera tales of the white owners .	1	-2	 but[0] all[0] this[0] is[0] constantly[0] undermined[-1] by[0] the[0] film's[0] negligible[0] point[0] of[0] view[0] it[0] claims[0] to[0] see[0] things[0] from[0] the[0] black[0] perspective[0] but[0] the[0] entire[0] narrative[0] focus[0] is[0] on[0] the[0] soap[0] opera[0] tales[0] of[0] the[0] white[0] owners[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with a little more maturity and different handling , " mandingo " might have been an effective , worthwhile film . 	with a little more maturity and different handling , " mandingo " might have been an effective , worthwhile film .	2	-1	 with[0] a[0] little[0] more[0] maturity[0] and[0] different[0] handling[0] mandingo[0] might[0] have[0] been[0] an[0] effective[0] worthwhile[1] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while it portrays many sensitive aspects of slavery , it never deals with them . 	while it portrays many sensitive aspects of slavery , it never deals with them .	1	-1	 while[0] it[0] portrays[0] many[0] sensitive[0] aspects[0] of[0] slavery[0] it[0] never[0] deals[0] with[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the issues the movie brings up are worthwhile , but wexler's script refuses to move them beyond a surface level of trashily vicarious viewing . 	the issues the movie brings up are worthwhile , but wexler's script refuses to move them beyond a surface level of trashily vicarious viewing .	2	-2	 the[0] issues[0] the[0] movie[0] brings[0] up[0] are[0] worthwhile[1] but[0] wexler's[0] script[0] refuses[-1] to[0] move[0] them[0] beyond[0] a[0] surface[0] level[0] of[0] trashily[-1] vicarious[0] viewing[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there is a great deal of potential in honestly exploring the nature of a sexual relationship between slave and owner , but " mandingo " never does it . 	there is a great deal of potential in honestly exploring the nature of a sexual relationship between slave and owner , but " mandingo " never does it .	3	-1	 there[0] is[0] a[0] great[2] deal[0] of[0] potential[0] in[0] honestly[0] exploring[0] the[0] nature[0] of[0] a[0] sexual[0] relationship[0] between[0] slave[0] and[0] owner[0] but[0] mandingo[0] never[0] does[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
steven spielberg touched on that same topic in " schindler's list " ( 1993 ) , by looking at a nazi officer writhing in inner turmoil because of his feelings for a jewish maid . 	steven spielberg touched on that same topic in " schindler's list " ( 1993 ) , by looking at a nazi officer writhing in inner turmoil because of his feelings for a jewish maid .	1	-3	 steven[0] spielberg[0] touched[0] on[0] that[0] same[0] topic[0] in[0] schindler's[0] list[0] 1993[0] by[0] looking[0] at[0] a[0] nazi[-1] officer[0] writhing[0] in[0] inner[0] turmoil[-2] because[0] of[0] his[0] feelings[0] for[0] a[0] jewish[0] maid[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the difference between that film and " mandingo " is that spielberg dealt with the situation in a fair , unexploitive manner that focused on the inherent human dilemma . 	the difference between that film and " mandingo " is that spielberg dealt with the situation in a fair , unexploitive manner that focused on the inherent human dilemma .	1	-2	 the[0] difference[0] between[0] that[0] film[0] and[0] mandingo[0] is[0] that[0] spielberg[0] dealt[0] with[0] the[0] situation[0] in[0] a[0] fair[0] unexploitive[0] manner[0] that[0] focused[0] on[0] the[0] inherent[0] human[0] dilemma[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " mandingo " is satisfied to simply show some skin , and because of that , its " trashy potboiler " nature overshadows any potential social good it might have accomplished . 	 " mandingo " is satisfied to simply show some skin , and because of that , its " trashy potboiler " nature overshadows any potential social good it might have accomplished .	2	-2	 mandingo[0] is[0] satisfied[1] to[0] simply[0] show[0] some[0] skin[0] and[0] because[0] of[0] that[0] its[0] trashy[-1] potboiler[0] nature[0] overshadows[0] any[0] potential[0] social[0] good[1] it[0] might[0] have[0] accomplished[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
