lauded as a genius by many , stanley kubrick commands a superlative filmography that includes such critically-acclaimed films as " 2001 : a space odyssey , " " a clockwork orange , " " lolita , " and " dr . 	Translation	Positive	Negative	EmotionRationale
bill , too , is seen arm-in-arm with a couple of models before he's pulled away to deal with an overdoser . 	bill , too , is seen arm-in-arm with a couple of models before he's pulled away to deal with an overdoser .	1	-1	 bill[0] too[0] is[0] seen[0] arm[0] in[0] arm[0] with[0] a[0] couple[0] of[0] models[0] before[0] he's[0] pulled[0] away[0] to[0] deal[0] with[0] an[0] overdoser[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
back home , bill and alice smoke a little pot before alice's aggressive jealousy kicks in . 	back home , bill and alice smoke a little pot before alice's aggressive jealousy kicks in .	1	-4	 back[0] home[0] bill[0] and[0] alice[0] smoke[0] a[0] little[0] pot[0] before[0] alice's[0] aggressive[-2] jealousy[-2][-1 MultiplePositiveWords] kicks[-1] in[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as retribution , she confesses to her husband that she once had deep feelings for a naval officer she eyeballed at a hotel where she and bill once stayed . 	as retribution , she confesses to her husband that she once had deep feelings for a naval officer she eyeballed at a hotel where she and bill once stayed .	1	-2	 as[0] retribution[0] she[0] confesses[-1] to[0] her[0] husband[0] that[0] she[0] once[0] had[0] deep[0] feelings[0] for[0] a[0] naval[0] officer[0] she[0] eyeballed[0] at[0] a[0] hotel[0] where[0] she[0] and[0] bill[0] once[0] stayed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this hurtful admission sends bill into a tailspin ; he pounds the streets of the village in his heavy black overcoat struggling with black-and-white images of alice in the grip of a horny midshipman . 	this hurtful admission sends bill into a tailspin ; he pounds the streets of the village in his heavy black overcoat struggling with black-and-white images of alice in the grip of a horny midshipman .	1	-3	 this[0] hurtful[-2] admission[0] sends[0] bill[0] into[0] a[0] tailspin[0] he[0] pounds[0] the[0] streets[0] of[0] the[0] village[0] in[0] his[0] heavy[0] black[0] overcoat[0] struggling[-1] with[0] black[0] and[0] white[0] images[0] of[0] alice[0] in[0] the[0] grip[0] of[0] a[0] horny[0] midshipman[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's all way too much for him . 	it's all way too much for him .	1	-1	 it's[0] all[0] way[0] too[0] much[0] for[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for revenge , bill almost has sex with a hooker . 	for revenge , bill almost has sex with a hooker .	1	-2	 for[0] revenge[-1] bill[0] almost[0] has[0] sex[0] with[0] a[0] hooker[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he almost has feelings for a underage girl he sees in a costume store . 	he almost has feelings for a underage girl he sees in a costume store .	1	-1	 he[0] almost[0] has[0] feelings[0] for[0] a[0] underage[0] girl[0] he[0] sees[0] in[0] a[0] costume[0] store[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then he almost does the hooker's roommate . 	then he almost does the hooker's roommate .	1	-1	 then[0] he[0] almost[0] does[0] the[0] hooker's[0] roommate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and he's almost involved in an overblown rococo orgy when an old college chum of his tips him off to a mysterious , password-protected party where everyone wears masks and " the women are incredible " ( i . e . , naked ) . 	and he's almost involved in an overblown rococo orgy when an old college chum of his tips him off to a mysterious , password-protected party where everyone wears masks and " the women are incredible " ( i .<br> e .<br> , naked ) .	1	-1	 and[0] he's[0] almost[0] involved[0] in[0] an[0] overblown[0] rococo[0] orgy[0] when[0] an[0] old[0] college[0] chum[0] of[0] his[0] tips[0] him[0] off[0] to[0] a[0] mysterious[0] password[0] protected[0] party[0] where[0] everyone[0] wears[0] masks[0] and[0] the[0] women[0] are[0] incredible[0] i[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]] naked[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this " erotic " set piece , a cult-ish bacchanal complete with chanting , incense , and lots of strategically-placed partygoers covering up the dirty , might impress the likes of hugh hefner , but it's a lot less shocking than it's intended to be . 	this " erotic " set piece , a cult-ish bacchanal complete with chanting , incense , and lots of strategically-placed partygoers covering up the dirty , might impress the likes of hugh hefner , but it's a lot less shocking than it's intended to be .	3	-3	 this[0] erotic[0] set[0] piece[0] a[0] cult[0] ish[0] bacchanal[0] complete[0] with[0] chanting[0] incense[0] and[0] lots[0] of[0] strategically[0] placed[0] partygoers[0] covering[0] up[0] the[0] dirty[-1] might[0] impress[1][-1 LastWordBoosterStrength] the[0] likes[2] of[0] hugh[0] hefner[0] but[0] it's[0] a[0] lot[0] less[0] shocking[-2] than[0] it's[0] intended[0] to[0] be[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
what's the big deal ? 	what's the big deal ?	1	-1	 what's[0] the[0] big[0] deal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bill doesn't exactly * do * anything ( other than throw his money and credentials around ) , and alice only ever lusted in her heart . 	bill doesn't exactly * do * anything ( other than throw his money and credentials around ) , and alice only ever lusted in her heart .	1	-1	 bill[0] doesn't[0] exactly[0] do[0] anything[0] other[0] than[0] throw[0] his[0] money[0] and[0] credentials[0] around[0] and[0] alice[0] only[0] ever[0] lusted[0] in[0] her[0] heart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whoop-dee-doo . 	whoop-dee-do .	1	-1	 whoop[0] dee[0] doo/do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
still , they make up at the same agonizingly slow pace--was kubrick , notorious for multiple takes , paying them at an hourly rate ? 	still , they make up at the same agonizingly slow pace-was kubrick , notorious for multiple takes , paying them at an hourly rate ?	1	-4	 still[0] they[0] make[0] up[0] at[0] the[0] same[0] agonizingly[-3] slow[0] pace[0] was[0] kubrick[0] notorious[-1] for[0] multiple[0] takes[0] paying[0] them[0] at[0] an[0] hourly[0] rate[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
even geniuses have their bad days . 	even geniuses have their bad days .	1	-2	 even[0] geniuses[0] have[0] their[0] bad[-1] days[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " eyes wide shut " just happens to be kubrick's bad day , an unerotic , disappointing , and altogether pointless end to an otherwise memorable career . 	 " eyes wide shut " just happens to be kubrick's bad day , an unerotic , disappointing , and altogether pointless end to an otherwise memorable career .	1	-2	 eyes[0] wide[0] shut[0] just[0] happens[0] to[0] be[0] kubrick's[0] bad[-1] day[0] an[0] unerotic[0] disappointing[-1] and[0] altogether[0] pointless[-1] end[0] to[0] an[0] otherwise[0] memorable[0] career[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
