the obvious reason for producing a sequel to an immensely popular movie is to acquire continued profits . 	Translation	Positive	Negative	EmotionRationale
for die-hard fans of the genre , this will be required viewing material , but the bottom line is that the material here is just recycled from the original i know what you did last summer . 	for die-hard fans of the genre , this will be required viewing material , but the bottom line is that the material here is just recycled from the original i know what you did last summer .	1	-1	 for[0] die[0] hard[0] fans[0] of[0] the[0] genre[0] this[0] will[0] be[0] required[0] viewing[0] material[0] but[0] the[0] bottom[0] line[0] is[0] that[0] the[0] material[0] here[0] is[0] just[0] recycled[0] from[0] the[0] original[0] i[0] know[0] what[0] you[0] did[0] last[0] summer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the aura of thrillerism surrounding the plot isn't heightened by skillful scripting or camera work , but rather a tense , string-based score and manipulative editing . 	the aura of thrillerism surrounding the plot isn't heightened by skillful scripting or camera work , but rather a tense , string-based score and manipulative editing .	2	-3	 the[0] aura[0] of[0] thrillerism[1] surrounding[0] the[0] plot[0] isn't[0] heightened[0] by[0] skillful[1] scripting[0] or[0] camera[0] work[0] but[0] rather[0] a[0] tense[-2] string[0] based[0] score[0] and[0] manipulative[-1] editing[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the man with the hook ends up becoming very belittled this time around when the script gives him too many lines of dialogue -- he goes from being a scary figure to a nutcase in a few short and painful moments . 	the man with the hook ends up becoming very belittled this time around when the script gives him too many lines of dialogue - he goes from being a scary figure to a nutcase in a few short and painful moments .	1	-4	 the[0] man[0] with[0] the[0] hook[0] ends[0] up[0] becoming[0] very[0] belittled[-2][-1 LastWordBoosterStrength] this[0] time[0] around[0] when[0] the[0] script[0] gives[0] him[0] too[0] many[0] lines[0] of[0] dialogue[0] he[0] goes[0] from[0] being[0] a[0] scary[-3] figure[0] to[0] a[0] nutcase[-1] in[0] a[0] few[0] short[0] and[0] painful[-3] moments[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
much of the mystery is dropped for the sake of getting the point . 	much of the mystery is dropped for the sake of getting the point .	1	-1	 much[0] of[0] the[0] mystery[0] is[0] dropped[0] for[0] the[0] sake[0] of[0] getting[0] the[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the whole reason the plot exists - julie and karla must guess the capital of brazil in order to win the trip from the radio station - is a dead giveaway , lessening suspense and creating a hurry-up-and-wait timing problem . 	the whole reason the plot exists - julie and karla must guess the capital of brazil in order to win the trip from the radio station - is a dead giveaway , lessening suspense and creating a hurry-up-and-wait timing problem .	1	-3	 the[0] whole[0] reason[0] the[0] plot[0] exists[0] julie[0] and[0] karla[0] must[0] guess[0] the[0] capital[0] of[0] brazil[0] in[0] order[0] to[0] win[0] the[0] trip[0] from[0] the[0] radio[0] station[0] is[0] a[0] dead[-2] giveaway[0] lessening[0] suspense[0] and[0] creating[0] a[0] hurry[0] up[0] and[0] wait[0] timing[0] problem[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and , whereas the killer's identity might've been a question in the first movie , it's almost a given here , which changes the dynamic of the movie drastically . 	and , whereas the killer's identity might've been a question in the first movie , it's almost a given here , which changes the dynamic of the movie drastically .	2	-1	 and[0] whereas[0] the[0] killer's[0] identity[0] might've[0] been[0] a[0] question[0] in[0] the[0] first[0] movie[0] it's[0] almost[0] a[0] given[0] here[0] which[0] changes[0] the[0] dynamic[1] of[0] the[0] movie[0] drastically[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
three or four teens run automatically from a man in a rain slicker they nonchalantly refer to as " the killer . " 	three or four teens run automatically from a man in a rain slicker they nonchalantly refer to as " the killer .<br> "	1	-2	 three[0] or[0] four[0] teens[0] run[0] automatically[0] from[0] a[0] man[0] in[0] a[0] rain[0] slicker[0] they[0] nonchalantly[0] refer[0] to[0] as[0] the[0] killer[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they're almost used to it , and the performances show it - not hewitt , nor prinze , nor brandy , nor phifer give a decent show . 	they're almost used to it , and the performances show it - not hewitt , nor prinze , nor brandy , nor phifer give a decent show .	1	-1	 they're[0] almost[0] used[0] to[0] it[0] and[0] the[0] performances[0] show[0] it[0] not[0] hewitt[0] nor[0] prinze[0] nor[0] brandy[0] nor[0] phifer[0] give[0] a[0] decent[0] show[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and so , in the end , it's left wide open for a third movie and - most likely - a brand new supporting cast . 	and so , in the end , it's left wide open for a third movie and - most likely - a brand new supporting cast .	2	-1	 and[0] so[0] in[0] the[0] end[0] it's[0] left[0] wide[0] open[0] for[0] a[0] third[0] movie[0] and[0] most[0] likely[0] a[0] brand[0] new[0] supporting[1] cast[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
god help us . 	god help us .	1	-1	 god[0] help[0] us[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
