for about twenty minutes into mission impossible 2 director john woo ( the killer , hard boiled , face off ) appears to have made an exciting , elegant , charming spy thriller , kind of a post millennium james bond adventure with a strapping american ( read : unsophisticated ) hero more willing to drop kick villains than out fox them . 	Translation	Positive	Negative	EmotionRationale
cruise and newton first meet during a vigorous flamenco dance featuring several welcome woo devices ( the graceful slow mo artistry of synchronized movement juxtaposed against the stage 1 romance of two attractive individuals discovering how attractive the other is ) . 	cruise and newton first meet during a vigorous flamenco dance featuring several welcome woo devices ( the graceful slow mo artistry of synchronized movement juxtaposed against the stage 1 romance of two attractive individuals discovering how attractive the other is ) .	4	-2	 cruise[0] and[0] newton[0] first[0] meet[0] during[0] a[0] vigorous[0] flamenco[0] dance[0] featuring[0] several[0] welcome[1] woo[0] devices[0] the[0] graceful[2] slow[0] mo[0] artistry[0] of[0] synchronized[0] movement[0] juxtaposed[0] against[-1] the[0] stage[0] 1[0] romance[3] of[0] two[0] attractive[1] individuals[0] discovering[0] how[0] attractive[1] the[0] other[0] is[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
between the frantic dancing , woo trains his camera on cruise and newton as they make with some sensuous eye contact . 	between the frantic dancing , woo trains his camera on cruise and newton as they make with some sensuous eye contact .	1	-2	 between[0] the[0] frantic[-1] dancing[0] woo[0] trains[0] his[0] camera[0] on[0] cruise[0] and[0] newton[0] as[0] they[0] make[0] with[0] some[0] sensuous[0] eye[0] contact[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the scene is a little over the top in a bon jovi music video circa 1988 kind of way , yet it has style and something of soul , and woo casts a bit of a spell on us . 	the scene is a little over the top in a bon jovi music video circa 1988 kind of way , yet it has style and something of soul , and woo casts a bit of a spell on us .	2	-1	 the[0] scene[0] is[0] a[0] little[0] over[0] the[0] top[0] in[0] a[0] bon[0] jovi[0] music[0] video[0] circa[0] 1988[0] kind[1] of[0] way[0] yet[0] it[0] has[0] style[0] and[0] something[0] of[0] soul[0] and[0] woo[0] casts[0] a[0] bit[0] of[0] a[0] spell[0] on[0] us[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sure it's all smoke and mirrors , but we can see that there happens to be a talented maestro behind this particular product . 	sure it's all smoke and mirrors , but we can see that there happens to be a talented maestro behind this particular product .	2	-1	 sure[0] it's[0] all[0] smoke[0] and[0] mirrors[0] but[0] we[0] can[0] see[0] that[0] there[0] happens[0] to[0] be[0] a[0] talented[1] maestro[0] behind[0] this[0] particular[0] product[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
thandie and cruise later meet in a bathtub in a scene that's about half as playfully charming as the jennifer lopez \ george cloony trunk meeting in out of sight . 	thandie and cruise later meet in a bathtub in a scene that's about half as playfully charming as the jennifer lopez \ george cloony trunk meeting in out of sight .	2	-1	 thandie[0] and[0] cruise[0] later[0] meet[0] in[0] a[0] bathtub[0] in[0] a[0] scene[0] that's[0] about[0] half[0] as[0] playfully[1] charming[1] as[0] the[0] jennifer[0] lopez[0] \[0] george[0] cloony[0] trunk[0] meeting[0] in[0] out[0] of[0] sight[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they flirt and exchange obvious double entendres . 	they flirt and exchange obvious double entendres .	2	-1	 they[0] flirt[1] and[0] exchange[0] obvious[0] double[0] entendres[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
newton bats her eyes flirtatiously . 	newton bats her eyes flirtatiously .	2	-1	 newton[0] bats[0] her[0] eyes[0] flirtatiously[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
cruise grins a little too slyly . 	cruise grins a little too slyly .	2	-1	 cruise[0] grins[1] a[0] little[0] too[0] slyly[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the cruise character , ethan hunt , has been drastically altered since the first film . 	the cruise character , ethan hunt , has been drastically altered since the first film .	1	-1	 the[0] cruise[0] character[0] ethan[0] hunt[0] has[0] been[0] drastically[0] altered[0] since[0] the[0] first[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here cruise plays him more as a hip , sexual dynamo than the square jawed robot he impersonated in part 1 . 	here cruise plays him more as a hip , sexual dynamo than the square jawed robot he impersonated in part 1 .	2	-1	 here[0] cruise[0] plays[1] him[0] more[0] as[0] a[0] hip[0] sexual[0] dynamo[0] than[0] the[0] square[0] jawed[0] robot[0] he[0] impersonated[0] in[0] part[0] 1[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he's cool and dashing , which is precisely the kind of role we want to see cruise in after watching him sleep walk through eyes wide shut ( which might just be the longest episode of red show diaries ever committed to film ) , and blustered his way through magnolia ( quite possibly the most overrated performance of the 90's ) . 	he's cool and dashing , which is precisely the kind of role we want to see cruise in after watching him sleep walk through eyes wide shut ( which might just be the longest episode of red show diaries ever committed to film ) , and blustered his way through magnolia ( quite possibly the most overrated performance of the 90's ) .	2	-1	 he's[0] cool[1] and[0] dashing[0] which[0] is[0] precisely[0] the[0] kind[1] of[0] role[0] we[0] want[0] to[0] see[0] cruise[0] in[0] after[0] watching[0] him[0] sleep[0] walk[0] through[0] eyes[0] wide[0] shut[0] which[0] might[0] just[0] be[0] the[0] longest[0] episode[0] of[0] red[0] show[0] diaries[0] ever[0] committed[0] to[0] film[0] and[0] blustered[0] his[0] way[0] through[0] magnolia[0] quite[0] possibly[0] the[0] most[0] overrated[0] performance[0] of[0] the[0] 90's[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sadly as the film progresses we see less of cruise's initial " i'm the man ! " 	sadly as the film progresses we see less of cruise's initial " i'm the man !<br> "	1	-2	 sadly[-1] as[0] the[0] film[0] progresses[0] we[0] see[0] less[0] of[0] cruise's[0] initial[0] i'm[0] the[0] man[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
charm and more slo-mo close-ups of his preening mug . 	charm and more slo-mo close-ups of his preening mug .	2	-1	 charm[1] and[0] more[0] slo[0] mo[0] close[0] ups[0] of[0] his[0] preening[0] mug[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mi2 falls apart on nearly every level during its repetitious third act , which is essentially one hour long action sequence that just won't stop . 	mi2 falls apart on nearly every level during its repetitious third act , which is essentially one hour long action sequence that just won't stop .	1	-1	 mi2[0] falls[0] apart[0] on[0] nearly[0] every[0] level[0] during[0] its[0] repetitious[0] third[0] act[0] which[0] is[0] essentially[0] one[0] hour[0] long[0] action[0] sequence[0] that[0] just[0] won't[0] stop[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the whole thing commences with an utterly generic gun battle ( the first gun fight in the film ) , which really should be unheard of in a john woo film , but alas this particular battle could've been staged by anyone from renny harlin to joseph merhi ( of course excepting the " symbolic " pigeons who seem to find their way into every john woo picture ) . 	the whole thing commences with an utterly generic gun battle ( the first gun fight in the film ) , which really should be unheard of in a john woo film , but alas this particular battle could've been staged by anyone from renny harlin to joseph merhi ( of course excepting the " symbolic " pigeons who seem to find their way into every john woo picture ) .	1	-3	 the[0] whole[0] thing[0] commences[0] with[0] an[0] utterly[0] generic[0] gun[-1] battle[-1] the[0] first[0] gun[-1] fight[-2] in[0] the[0] film[0] which[0] really[0] should[0] be[0] unheard[0] of[0] in[0] a[0] john[0] woo[0] film[0] but[0] alas[-1] this[0] particular[0] battle[-1] could've[0] been[0] staged[0] by[0] anyone[0] from[0] renny[0] harlin[0] to[0] joseph[0] merhi[0] of[0] course[0] excepting[0] the[0] symbolic[0] pigeons[0] who[0] seem[0] to[0] find[0] their[0] way[0] into[0] every[0] john[0] woo[0] picture[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
we've all seen guys slide across the floor in slo mo while firing a gun in each hand . 	we've all seen guys slide across the floor in slo mo while firing a gun in each hand .	1	-2	 we've[0] all[0] seen[0] guys[0] slide[0] across[0] the[0] floor[0] in[0] slo[0] mo[0] while[0] firing[0] a[0] gun[-1] in[0] each[0] hand[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it isn't done any differently here . 	it isn't done any differently here .	1	-1	 it[0] isn't[0] done[0] any[0] differently[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the action is pure hard target \ broken arrow theatrics with nothing to propel it but the apparent need to see tom cruise drop kick face less villains while his hair whips stylishly in the wind . 	the action is pure hard target \ broken arrow theatrics with nothing to propel it but the apparent need to see tom cruise drop kick face less villains while his hair whips stylishly in the wind .	1	-3	 the[0] action[0] is[0] pure[0] hard[0] target[0] \[0] broken[-1] arrow[0] theatrics[0] with[0] nothing[0] to[0] propel[0] it[0] but[0] the[0] apparent[0] need[0] to[0] see[0] tom[0] cruise[0] drop[-1] kick[-1] face[0] less[0] villains[-2] while[0] his[0] hair[0] whips[0] stylishly[0] in[0] the[0] wind[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he's cool for sure but he's made to be as empty as the movie . 	he's cool for sure but he's made to be as empty as the movie .	2	-1	 he's[0] cool[1] for[0] sure[0] but[0] he's[0] made[0] to[0] be[0] as[0] empty[0] as[0] the[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the actor isn't used so much for his boyish appeal as for his chiseled looks ; he smiles narcissistically into the camera at literally any moment , be it during a gunfight , before one or after one . 	the actor isn't used so much for his boyish appeal as for his chiseled looks ; he smiles narcissistically into the camera at literally any moment , be it during a gunfight , before one or after one .	3	-2	 the[0] actor[0] isn't[0] used[0] so[0] much[0] for[0] his[0] boyish[0] appeal[0] as[0] for[0] his[0] chiseled[0] looks[0] he[0] smiles[2] narcissistically[0] into[0] the[0] camera[0] at[0] literally[0] any[0] moment[0] be[0] it[0] during[0] a[0] gunfight[-1] before[0] one[0] or[0] after[0] one[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
when he's not beaming away , he's staring into the lens with cold eyes trying to look mad as hell , but woo's editing seriously undermines the effort . 	when he's not beaming away , he's staring into the lens with cold eyes trying to look mad as hell , but woo's editing seriously undermines the effort .	1	-2	 when[0] he's[0] not[0] beaming[0] away[0] he's[0] staring[0] into[0] the[0] lens[0] with[0] cold[-1] eyes[0] trying[0] to[0] look[0] mad[-1] as[0] hell[-1] but[0] woo's[0] editing[0] seriously[0] undermines[-1] the[0] effort[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he fetishizes cruise's angular face with such glee that it turns into a naked gun style spoof . 	he fetishizes cruise's angular face with such glee that it turns into a naked gun style spoof .	1	-2	 he[0] fetishizes[0] cruise's[0] angular[0] face[0] with[0] such[0] glee[0] that[0] it[0] turns[0] into[0] a[0] naked[0] gun[-1] style[0] spoof[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i half expected cruise to peel off his facemask and reveal that he's really austin powers . 	i half expected cruise to peel off his facemask and reveal that he's really austin powers .	1	-1	 i[0] half[0] expected[0] cruise[0] to[0] peel[0] off[0] his[0] facemask[0] and[0] reveal[0] that[0] he's[0] really[0] austin[0] powers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a classic woo action moment , ethan hunt struts past a fiery doorway glaring at the baddies within its frame like a pin-up boy angel of death . 	in a classic woo action moment , ethan hunt struts past a fiery doorway glaring at the baddies within its frame like a pin-up boy angel of death .	2	-3	 in[0] a[0] classic[0] woo[0] action[0] moment[0] ethan[0] hunt[0] struts[0] past[0] a[0] fiery[-1] doorway[0] glaring[0] at[0] the[0] baddies[0] within[0] its[0] frame[0] like[1] a[0] pin[0] up[0] boy[0] angel[0] of[0] death[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the gunfight turns into a daring escape which turns into a reckless mission which turns into a motorcycle attack in which bad guys seem to angle directly for cruise to kill them like some kind of mass suicide ritual ( one dumb bastard even jumps his bike over the gun toting cruise , basically inviting our handsome hero to shoot him in mid air which he does ) . 	the gunfight turns into a daring escape which turns into a reckless mission which turns into a motorcycle attack in which bad guys seem to angle directly for cruise to kill them like some kind of mass suicide ritual ( one dumb bastard even jumps his bike over the gun toting cruise , basically inviting our handsome hero to shoot him in mid air which he does ) .	3	-4	 the[0] gunfight[-1] turns[0] into[0] a[0] daring[0] escape[0] which[0] turns[0] into[0] a[0] reckless[-1] mission[0] which[0] turns[0] into[0] a[0] motorcycle[0] attack[-2] in[0] which[0] bad[-1] guys[0] seem[0] to[0] angle[0] directly[0] for[0] cruise[0] to[0] kill[-1] them[0] like[1] some[0] kind[1][-1 LastWordBoosterStrength] of[0] mass[0] suicide[-3] ritual[0] one[0] dumb[-1] bastard[-2] even[0] jumps[0] his[0] bike[0] over[0] the[0] gun[-1] toting[0] cruise[0] basically[0] inviting[0] our[0] handsome[1] hero[2] to[0] shoot[-1] him[0] in[0] mid[0] air[0] which[0] he[0] does[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the lead bad guy ( played by the appropriately british dougray scott ) and cruise face off in a mentally deficient game of chicken ? ? ? on motorcycles . 	the lead bad guy ( played by the appropriately british dougray scot ) and cruise face off in a mentally deficient game of chicken ?<br> ?<br> ?<br> on motorcycles .	1	-2	 the[0] lead[0] bad[-1] guy[0] played[0] by[0] the[0] appropriately[0] british[0] dougray[0] scott/scot[0] and[0] cruise[0] face[0] off[0] in[0] a[0] mentally[0] deficient[-1] game[0] of[0] chicken[0] [[Sentence=-2,1=word max, 1-5]] on[0] motorcycles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
though instead of jumping off to the side at the last moment , the two grown men leap directly into the other giving each other a mid air bear hug , only to fly about a hundred feet ( still in bear hug position ) , land on a beach below and begin a mano-e-mano fist fight that ends with the bad guy pulling a " so you thought i was dead . . . " . 	though instead of jumping off to the side at the last moment , the two grown men leap directly into the other giving each other a mid air bear hug , only to fly about a hundred feet ( still in bear hug position ) , land on a beach below and begin a mano-e-mano fist fight that ends with the bad guy pulling a " so you thought i was dead .<br> .<br> .<br> " .	3	-3	 though[0] instead[0] of[0] jumping[0] off[0] to[0] the[0] side[0] at[0] the[0] last[0] moment[0] the[0] two[0] grown[0] men[0] leap[0] directly[0] into[0] the[0] other[0] giving[0] each[0] other[0] a[0] mid[0] air[0] bear[0] hug[2] only[0] to[0] fly[0] about[0] a[0] hundred[0] feet[0] still[0] in[0] bear[0] hug[2] position[0] land[0] on[0] a[0] beach[0] below[0] and[0] begin[0] a[0] mano[0] e[0] mano[0] fist[-1] fight[-2] that[0] ends[0] with[0] the[0] bad[-1] guy[0] pulling[0] a[0] so[0] you[0] thought[0] i[0] was[0] dead[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
not to worry , cruise takes care of the problem without even breaking a sweat . 	not to worry , cruise takes care of the problem without even breaking a sweat .	4	-2	 not[0] to[0] worry[-3][NegatedDueToPreviousWord] cruise[0] takes[0] care[1] of[0] the[0] problem[-1] without[0] even[0] breaking[0] a[0] sweat[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
what a hero ! 	what a hero !	3	-1	 what[0] a[0] hero[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
you may have noticed that i opted not to describe an iota of mi2's plot . 	you may have noticed that i opted not to describe an iota of mi2's plot .	1	-1	 you[0] may[0] have[0] noticed[0] that[0] i[0] opted[0] not[0] to[0] describe[0] an[0] iota[0] of[0] mi2's[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my reasoning is simple : i'm not sure of any good it would do . 	my reasoning is simple : i'm not sure of any good it would do .	2	-1	 my[0] reasoning[0] is[0] simple[0] i'm[0] not[0] sure[0] of[0] any[0] good[1] it[0] would[0] do[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film itself has absolutely no concern with story , only with hurtling forth to the next " special " effect . 	the film itself has absolutely no concern with story , only with hurtling forth to the next " special " effect .	2	-2	 the[0] film[0] itself[0] has[0] absolutely[0] no[0] concern[-1] with[0] story[0] only[0] with[0] hurtling[0] forth[0] to[0] the[0] next[0] special[1] effect[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i wasn't kidding when i told a friend of mine that mi2 has less plot than the average aerosmith video . 	i wasn't kidding when i told a friend of mine that mi2 has less plot than the average aerosmith video .	2	-1	 i[0] wasn't[0] kidding[0] when[0] i[0] told[0] a[0] friend[1] of[0] mine[0] that[0] mi2[0] has[0] less[0] plot[0] than[0] the[0] average[0] aerosmith[0] video[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
nobody will go to this for the plot , and if they do they'll surely regret it . 	nobody will go to this for the plot , and if they do they'll surely regret it .	1	-2	 nobody[0] will[0] go[0] to[0] this[0] for[0] the[0] plot[0] and[0] if[0] they[0] do[0] they'll[0] surely[0] regret[-1] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as summer movies evolve ( or devolve ) character and plot have become increasingly whittled down to nearly nothing . 	as summer movies evolve ( or devolve ) character and plot have become increasingly whittled down to nearly nothing .	1	-1	 as[0] summer[0] movies[0] evolve[0] or[0] devolve[0] character[0] and[0] plot[0] have[0] become[0] increasingly[0] whittled[0] down[0] to[0] nearly[0] nothing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in mi , the plot seemed to be built around brian de palma's ( that film's director ) stylistic flourishes , while in mi2 the plot only serves to give us an intermittent breather from woo's non-stop masturbatory pandemonium . 	in mi , the plot seemed to be built around brian de palma's ( that film's director ) stylistic flourishes , while in mi2 the plot only serves to give us an intermittent breather from woo's non-stop masturbatory pandemonium .	1	-2	 in[0] mi[0] the[0] plot[0] seemed[0] to[0] be[0] built[0] around[0] brian[0] de[0] palma's[0] that[0] film's[0] director[0] stylistic[0] flourishes[0] while[0] in[0] mi2[0] the[0] plot[0] only[0] serves[0] to[0] give[0] us[0] an[0] intermittent[0] breather[0] from[0] woo's[0] non[0] stop[0] masturbatory[0] pandemonium[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's irrelevant in every sense , as is character . 	it's irrelevant in every sense , as is character .	1	-1	 it's[0] irrelevant[0] in[0] every[0] sense[0] as[0] is[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all that ultimately matters are those pesky smoke and mirrors . 	all that ultimately matters are those pesky smoke and mirrors .	1	-1	 all[0] that[0] ultimately[0] matters[0] are[0] those[0] pesky[0] smoke[0] and[0] mirrors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
