for his directoral debut , gary oldman chose a highly personal family drama about a violent , alcoholic husband and father , and the various lives he affects . 	Translation	Positive	Negative	EmotionRationale
while at times it is interesting to watch to see just what makes raymond tick , and why no one ever simply calls the cops on him , in the end , it's not quite worth it . 	while at times it is interesting to watch to see just what makes raymond tick , and why no one ever simply calls the cops on him , in the end , it's not quite worth it .	2	-1	 while[0] at[0] times[0] it[0] is[0] interesting[1] to[0] watch[0] to[0] see[0] just[0] what[0] makes[0] raymond[0] tick[0] and[0] why[0] no[0] one[0] ever[0] simply[0] calls[0] the[0] cops[0] on[0] him[0] in[0] the[0] end[0] it's[0] not[0] quite[0] worth[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are too many scenes which randomly dot the picture with little or no purpose . 	there are too many scenes which randomly dot the picture with little or no purpose .	1	-1	 there[0] are[0] too[0] many[0] scenes[0] which[0] randomly[0] dot[0] the[0] picture[0] with[0] little[0] or[0] no[0] purpose[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
take for example the extended sequence where one of billy's scuzzy friends defends a stray puppy . 	take for example the extended sequence where one of billy's scuzy friends defends a stray puppy .	2	-2	 take[0] for[0] example[0] the[0] extended[0] sequence[0] where[0] one[0] of[0] billy's[0] scuzzy/scuzy[0] friends[1] defends[0] a[0] stray[-1] puppy[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film is filled with these " character moments " that never really achieve anything . 	the film is filled with these " character moments " that never really achieve anything .	1	-1	 the[0] film[0] is[0] filled[0] with[0] these[0] character[0] moments[0] that[0] never[0] really[0] achieve[0] anything[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
granted , there are a few genuinely powerful ( and sickening ) moments in the film , but their expression seems to be more of a catharsis for the creator than us . 	granted , there are a few genuinely powerful ( and sickening ) moments in the film , but their expression seems to be more of a catharsis for the creator than us .	1	-4	 granted[0] there[0] are[0] a[0] few[0] genuinely[0] powerful[0] and[0] sickening[-3] moments[0] in[0] the[0] film[0] but[0] their[0] expression[0] seems[0] to[0] be[0] more[0] of[0] a[0] catharsis[0] for[0] the[0] creator[0] than[0] us[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the actors do a fine job , particularly in the central roles . 	the actors do a fine job , particularly in the central roles .	3	-1	 the[0] actors[0] do[0] a[0] fine[2] job[0] particularly[0] in[0] the[0] central[0] roles[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the good thing about an actor turned writer is that oldman knows how to write good scenes , and the actors in nil by mouth have some meat they can tear into . 	the good thing about an actor turned writer is that oldman knows how to write good scenes , and the actors in nil by mouth have some meat they can tear into .	2	-2	 the[0] good[1] thing[0] about[0] an[0] actor[0] turned[0] writer[0] is[0] that[0] oldman[0] knows[0] how[0] to[0] write[0] good[1] scenes[0] and[0] the[0] actors[0] in[0] nil[0] by[0] mouth[0] have[0] some[0] meat[0] they[0] can[0] tear[-1] into[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the bad thing about an actor turned director is that there's no one to restrain oldman from making poor choices . 	the bad thing about an actor turned director is that there's no one to restrain oldman from making poor choices .	1	-2	 the[0] bad[-1] thing[0] about[0] an[0] actor[0] turned[0] director[0] is[0] that[0] there's[0] no[0] one[0] to[0] restrain[0] oldman[0] from[0] making[0] poor[-1] choices[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a good character drama should mean something to those involved in making the film and the audience . 	a good character drama should mean something to those involved in making the film and the audience .	2	-1	 a[0] good[1] character[0] drama[0] should[0] mean[0] something[0] to[0] those[0] involved[0] in[0] making[0] the[0] film[0] and[0] the[0] audience[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
oldman got it about half right . 	oldman got it about half right .	1	-1	 oldman[0] got[0] it[0] about[0] half[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
