it's probably inevitable that the popular virtual reality genre ( " the matrix , " " existenz " ) would collide with the even more popular serial-killer genre ( " kiss the girls , " " se7en " ) . 	Translation	Positive	Negative	EmotionRationale
so off they go to catharine in the hope that she can go inside carl's mind and find out where the cell is in time . 	so off they go to catharine in the hope that she can go inside carl's mind and find out where the cell is in time .	3	-1	 so[0] off[0] they[0] go[0] to[0] catharine[0] in[0] the[0] hope[2] that[0] she[0] can[0] go[0] inside[0] carl's[0] mind[0] and[0] find[0] out[0] where[0] the[0] cell[0] is[0] in[0] time[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the focus of " the cell " in on the ornate interior of carl's mind , but the universe director tarsem singh creates seems more an exercise in computer-generated spectacle than an exploration of the psychotic personality . 	the focus of " the cell " in on the ornate interior of carl's mind , but the universe director tarsem singh creates seems more an exercise in computer-generated spectacle than an exploration of the psychotic personality .	1	-1	 the[0] focus[0] of[0] the[0] cell[0] in[0] on[0] the[0] ornate[0] interior[0] of[0] carl's[0] mind[0] but[0] the[0] universe[0] director[0] tarsem[0] singh[0] creates[0] seems[0] more[0] an[0] exercise[0] in[0] computer[0] generated[0] spectacle[0] than[0] an[0] exploration[0] of[0] the[0] psychotic[0] personality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for the most part , it's style without substance . 	for the most part , it's style without substance .	1	-1	 for[0] the[0] most[0] part[0] it's[0] style[0] without[0] substance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in his own mind , carl is a decadent emperor in flowing robes , ming the merciless , as well as a frightened boy ( jake thomas ) abused by his father . 	in his own mind , carl is a decadent emperor in flowing robes , ming the merciless , as well as a frightened boy ( jake thomas ) abused by his father .	1	-4	 in[0] his[0] own[0] mind[0] carl[0] is[0] a[0] decadent[-1] emperor[0] in[0] flowing[0] robes[0] ming[0] the[0] merciless[-1] as[0] well[0] as[0] a[0] frightened[-3] boy[0] jake[0] thomas[0] abused[-3] by[0] his[0] father[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
all in all , the mind of a psycho killer turns out to be a strangely dull place , and i kept wishing i could fast-forward to the next development . 	all in all , the mind of a psycho killer turns out to be a strangely dull place , and i kept wishing i could fast-forward to the next development .	1	-2	 all[0] in[0] all[0] the[0] mind[0] of[0] a[0] psycho[0] killer[-1] turns[0] out[0] to[0] be[0] a[0] strangely[0] dull[-1] place[0] and[0] i[0] kept[0] wishing[0] i[0] could[0] fast[0] forward[0] to[0] the[0] next[0] development[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
singh is best known for directing music videos , particularly rem's " losing my religion , " and " the cell " seems very much like a really long , really slow mtv video with the sound deleted . 	singh is best known for directing music videos , particularly rem's " losing my religion , " and " the cell " seems very much like a really long , really slow mtv video with the sound deleted .	2	-3	 singh[0] is[0] best[1] known[0] for[0] directing[0] music[0] videos[0] particularly[0] rem's[0] losing[-2] my[0] religion[0] and[0] the[0] cell[0] seems[0] very[0] much[0] like[1] a[0] really[0] long[0] really[0] slow[0] mtv[0] video[0] with[0] the[0] sound[0] deleted[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
singer lopez seems to think she's in a video as well ; she devotes more time to posing in elaborate costumes than she does to acting . 	singer lopez seems to think she's in a video as well ; she devotes more time to posing in elaborate costumes than she does to acting .	3	-1	 singer[0] lopez[0] seems[0] to[0] think[0] she's[0] in[0] a[0] video[0] as[0] well[0] she[0] devotes[2] more[0] time[0] to[0] posing[0] in[0] elaborate[0] costumes[0] than[0] she[0] does[0] to[0] acting[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the premise had great promise . 	the premise had great promise .	3	-1	 the[0] premise[0] had[0] great[2] promise[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the computer-generated world within carl's mind could have been a bizarre , surreal universe governed by insanity and symbolism rather than logic . 	the computer-generated world within carl's mind could have been a bizarre , surreal universe governed by insanity and symbolism rather than logic .	1	-2	 the[0] computer[0] generated[0] world[0] within[0] carl's[0] mind[0] could[0] have[0] been[0] a[0] bizarre[-1] surreal[0] universe[0] governed[0] by[0] insanity[0] and[0] symbolism[0] rather[0] than[0] logic[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the first room catharine enters in carl's head shows this promise . 	the first room catharine enters in carl's head shows this promise .	2	-1	 the[0] first[0] room[0] catharine[0] enters[0] in[0] carl's[0] head[0] shows[0] this[0] promise[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she finds a horse standing in center of the room ; suddenly , sheets of sharp-edged glass fall into the horse , dividing it into segments . 	she finds a horse standing in center of the room ; suddenly , sheets of sharp-edged glass fall into the horse , dividing it into segments .	1	-1	 she[0] finds[0] a[0] horse[0] standing[0] in[0] center[0] of[0] the[0] room[0] suddenly[0] sheets[0] of[0] sharp[0] edged[0] glass[0] fall[0] into[0] the[0] horse[0] dividing[0] it[0] into[0] segments[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the panes of glass separate , pulling apart the pieces of the still-living horse . 	the panes of glass separate , pulling apart the pieces of the still-living horse .	1	-1	 the[0] panes[0] of[0] glass[0] separate[0] pulling[0] apart[0] the[0] pieces[0] of[0] the[0] still[0] living[0] horse[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this scene is twisted , disturbing , and thought-provoking , because the psychological importance of the horse and its fate is left to the viewer to ponder . 	this scene is twisted , disturbing , and thought-provoking , because the psychological importance of the horse and its fate is left to the viewer to ponder .	1	-2	 this[0] scene[0] is[0] twisted[0] disturbing[-1] and[0] thought[0] provoking[0] because[0] the[0] psychological[0] importance[0] of[0] the[0] horse[0] and[0] its[0] fate[0] is[0] left[0] to[0] the[0] viewer[0] to[0] ponder[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
another element that should have been developed is the effect on catharine of merging with the mind of a psychopath . 	another element that should have been developed is the effect on catharine of merging with the mind of a psychopath .	1	-1	 another[0] element[0] that[0] should[0] have[0] been[0] developed[0] is[0] the[0] effect[0] on[0] catharine[0] of[0] merging[0] with[0] the[0] mind[0] of[0] a[0] psychopath[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their minds begin to bleed together at one point in the movie , and this should have provided an opportunity to discover the dark corners of catharine's own psyche . 	their minds begin to bleed together at one point in the movie , and this should have provided an opportunity to discover the dark corners of catharine's own psyche .	1	-1	 their[0] minds[0] begin[0] to[0] bleed[0] together[0] at[0] one[0] point[0] in[0] the[0] movie[0] and[0] this[0] should[0] have[0] provided[0] an[0] opportunity[0] to[0] discover[0] the[0] dark[0] corners[0] of[0] catharine's[0] own[0] psyche[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like sidney lumet's " the offence " or michael mann's " manhunter , " " the cell " could have explored how the madness of the killer brings out a repressed darkness in the investigator . 	like sidney lumet's " the offence " or michael mann's " manhunter , " " the cell " could have explored how the madness of the killer brings out a repressed darkness in the investigator .	2	-2	 like[1] sidney[0] lumet's[0] the[0] offence[-1] or[0] michael[0] mann's[0] manhunter[0] the[0] cell[0] could[0] have[0] explored[0] how[0] the[0] madness[-1] of[0] the[0] killer[-1] brings[0] out[0] a[0] repressed[-1] darkness[0] in[0] the[0] investigator[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
however , catharine's character is hardly developed at all , and lopez has no depth to offer the role . 	however , catharine's character is hardly developed at all , and lopez has no depth to offer the role .	1	-1	 however[0] catharine's[0] character[0] is[0] hardly[0] developed[0] at[0] all[0] and[0] lopez[0] has[0] no[0] depth[0] to[0] offer[0] the[0] role[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bottom line : don't get trapped in this one . 	bottom line : don't get trapped in this one .	1	-1	 bottom[0] line[0] don't[0] get[0] trapped[0] in[0] this[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
