working in the motion picture industry must be a constant source of frustration for a front-line african american actress like jada pinkett smith . 	Translation	Positive	Negative	EmotionRationale
now , her transvestite/medium friend celestrial ( girlina ) predicts that she's about to meet mr . right , and that he'll be a virgo . 	now , her transvestite/medium friend celestrial ( girlina ) predicts that she's about to meet mr .<br> right , and that he'll be a virgo .	2	-1	 now[0] her[0] transvestite/medium[0] friend[1] celestrial[0] girlina[0] predicts[0] that[0] she's[0] about[0] to[0] meet[0] mr[0] [[Sentence=-1,2=word max, 1-5]] right[0] and[0] that[0] he'll[0] be[0] a[0] virgo[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
later that day , woo is given an opportunity to go out on a blind date with tim , a shy man with a penchant for neatness and order , who just happens to be a virgo . 	later that day , woo is given an opportunity to go out on a blind date with tim , a shy man with a penchant for neatness and order , who just happens to be a virgo .	1	-3	 later[0] that[0] day[0] woo[0] is[0] given[0] an[0] opportunity[0] to[0] go[0] out[0] on[0] a[0] blind[-1] date[0] with[0] tim[0] a[0] shy[-2] man[0] with[0] a[0] penchant[0] for[0] neatness[0] and[0] order[0] who[0] just[0] happens[0] to[0] be[0] a[0] virgo[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's not love at first sight , however . 	it's not love at first sight , however .	1	-3	 it's[0] not[0] love[2][NegatedDueToPreviousWord] at[0] first[0] sight[0] however[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
things get off to a rocky start when tim makes an awkward pass , and they get even worse when the pair arrives at a swanky restaurant to enjoy a " quiet " dinner . 	things get off to a rocky start when tim makes an awkward pass , and they get even worse when the pair arrives at a swanky restaurant to enjoy a " quiet " dinner .	3	-3	 things[0] get[0] off[0] to[0] a[0] rocky[0] start[0] when[0] tim[0] makes[0] an[0] awkward[-1] pass[0] and[0] they[0] get[0] even[0] worse[-2] when[0] the[0] pair[0] arrives[0] at[0] a[0] swanky[0] restaurant[0] to[0] enjoy[2] a[0] quiet[0] dinner[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in the one-hundred year history of motion pictures , there have been a ton of bad " white " movies about mismatched lovers , so i suppose it's only fair that we get a " black " effort of the same low caliber . 	in the one-hundred year history of motion pictures , there have been a ton of bad " white " movies about mismatched lovers , so i suppose it's only fair that we get a " black " effort of the same low caliber .	4	-2	 in[0] the[0] one[0] hundred[0] year[0] history[0] of[0] motion[0] pictures[0] there[0] have[0] been[0] a[0] ton[0] of[0] bad[-1] white[0] movies[0] about[0] mismatched[0] lovers[3] so[0] i[0] suppose[0] it's[0] only[0] fair[0] that[0] we[0] get[0] a[0] black[0] effort[0] of[0] the[0] same[0] low[-1] caliber[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
as in all romantic comedies , we know from the beginning that woo and tim are going to end up together . 	as in all romantic comedies , we know from the beginning that woo and tim are going to end up together .	4	-1	 as[0] in[0] all[0] romantic[3] comedies[0] we[0] know[0] from[0] the[0] beginning[0] that[0] woo[0] and[0] tim[0] are[0] going[0] to[0] end[0] up[0] together[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the question is , are their courtship rituals entertaining ? 	the question is , are their courtship rituals entertaining ?	1	-1	 the[0] question[0] is[0] are[0] their[0] courtship[0] rituals[0] entertaining[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a good entry to the genre , the audience becomes caught up in the love story , no matter how familiar it is . 	in a good entry to the genre , the audience becomes caught up in the love story , no matter how familiar it is .	3	-1	 in[0] a[0] good[1] entry[0] to[0] the[0] genre[0] the[0] audience[0] becomes[0] caught[0] up[0] in[0] the[0] love[2] story[0] no[0] matter[0] how[0] familiar[0] it[0] is[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in woo , the constant reliance upon unfunny , moronic humor sinks the project . 	in woo , the constant reliance upon unfunny , moronic humor sinks the project .	3	-3	 in[0] woo[0] the[0] constant[0] reliance[0] upon[0] unfunny[0] moronic[-2] humor[2] sinks[0] the[0] project[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
for those who enjoy spotting continuity gaffes , there's a huge one in woo involving a corvette with a broken window that miraculously repairs itself ( added to that is the mystery of how the car looses its top ) . 	for those who enjoy spotting continuity gaffes , there's a huge one in woo involving a corvette with a broken window that miraculously repairs itself ( added to that is the mystery of how the car looses its top ) .	3	-2	 for[0] those[0] who[0] enjoy[2] spotting[0] continuity[0] gaffes[0] there's[0] a[0] huge[0] one[0] in[0] woo[0] involving[0] a[0] corvette[0] with[0] a[0] broken[-1] window[0] that[0] miraculously[0] repairs[0] itself[0] added[0] to[0] that[0] is[0] the[0] mystery[0] of[0] how[0] the[0] car[0] looses[0] its[0] top[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
sadly , that's one of the film's most enjoyable sequences , and the entertainment value is entirely unintentional . 	sadly , that's one of the film's most enjoyable sequences , and the entertainment value is entirely unintentional .	3	-2	 sadly[-1] that's[0] one[0] of[0] the[0] film's[0] most[0] enjoyable[2] sequences[0] and[0] the[0] entertainment[0] value[1] is[0] entirely[0] unintentional[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
despite exuding charm from every pore , there's little that pinkett smith and davidson can do to save their characters or david c . johnson's script . 	despite exuding charm from every pore , there's little that pinkett smith and davidson can do to save their characters or david c .<br> johnson's script .	2	-1	 despite[0] exuding[0] charm[1] from[0] every[0] pore[0] there's[0] little[0] that[0] pinkett[0] smith[0] and[0] davidson[0] can[0] do[0] to[0] save[1] their[0] characters[0] or[0] david[0] c[0] [[Sentence=-1,2=word max, 1-5]] johnson's[0] script[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
since it misses the mark by so much , a better name for woo might have been whoops . 	since it misses the mark by so much , a better name for woo might have been whoops .	1	-3	 since[0] it[0] misses[-2] the[0] mark[0] by[0] so[0] much[0] a[0] better[0] name[0] for[0] woo[0] might[0] have[0] been[0] whoops[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
